rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,7096555611370751019,Elibett101791,https://cn--xtb.noxinfluencer.com/tiktok/channel/7096555611370751019,-18,badcase,娱乐美妆为主，缺少婴幼儿营养或补剂场景
5,6795217714270929926,𝓰ℯ𝓇𝒶𝓁 🤴💰,https://cn--xtb.noxinfluencer.com/tiktok/channel/6795217714270929926,-16,badcase,娱乐/梗内容占主，宝宝补剂推广不匹配
7,6910557056663929862,ALE,https://cn--xtb.noxinfluencer.com/tiktok/channel/6910557056663929862,-23,badcase,纯娱乐账号，母婴标签不足以支撑补剂投放
10,6661379260009283590,Marcelis🌸,https://cn--xtb.noxinfluencer.com/tiktok/channel/6661379260009283590,-20,badcase,泛娱乐内容为主，偶发商品词不能抵消不匹配
15,7309928479143052334,Señor Probiotico 🌱,https://cn--xtb.noxinfluencer.com/tiktok/channel/7309928479143052334,-18,badcase,成人女性健康/补剂为主，不适合宝宝补剂
16,7522181387274830878,𝘈𝘯𝘢 ꚠShop 🇺🇸,https://cn--xtb.noxinfluencer.com/tiktok/channel/7522181387274830878,-18,badcase,泛娱乐/直播引流号，宝宝补剂相关性很弱
19,7408761286719259691,yaleamor,https://cn--xtb.noxinfluencer.com/tiktok/channel/7408761286719259691,-20,badcase,美妆香氛与家居内容为主，和宝宝补剂无关
23,6907814814774166533,Natural Shilajit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6907814814774166533,-9,badcase,补剂泛类但缺少婴儿/育儿信号，近期内容也多不匹配
35,6827605506909537286,Britney Shaw,https://cn--xtb.noxinfluencer.com/tiktok/channel/6827605506909537286,-6,badcase,个人生活为主，婴儿相关仅偶发，促销承接弱
36,7165844603412579334,Emily Stone,https://cn--xtb.noxinfluencer.com/tiktok/channel/7165844603412579334,-20,badcase,反应/整蛊娱乐为主，不适合婴儿补充剂推广
37,6867678165889647621,Billie Bryson 🧚🏽‍♀️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6867678165889647621,-18,badcase,讽刺娱乐号，母婴补剂推广场景不匹配
44,6622426368590446598,Afghan Zinat,https://cn--xtb.noxinfluencer.com/tiktok/channel/6622426368590446598,-6,badcase,厨房内容为主，偶有儿童维生素，不够聚焦
50,6799095684303504390,𝕯𝖊𝖑𝖛𝖎𝖘𝖌𝖆𝖒𝖊𝖗🎮🖤,https://cn--xtb.noxinfluencer.com/tiktok/channel/6799095684303504390,-17,badcase,游戏娱乐号，婴儿补充剂推广基本不适配
51,6799095684303504390,𝕯𝖊𝖑𝖛𝖎𝖘𝖌𝖆𝖒𝖊𝖗🎮🖤,https://cn--xtb.noxinfluencer.com/tiktok/channel/6799095684303504390,-8,badcase,游戏号为主，补剂与婴儿受众关联弱
52,6915510881498153990,𝓙𝓸𝓵𝓮𝓽𝓽𝓮🎀,https://cn--xtb.noxinfluencer.com/tiktok/channel/6915510881498153990,-10,badcase,饰品小商家，缺少母婴补剂相关内容
56,7337376283201881134,codeyuix,https://cn--xtb.noxinfluencer.com/tiktok/channel/7337376283201881134,-20,badcase,娱乐号为主，和母婴补剂推广不匹配
65,6796704725707949062,Marve castro🇸🇻💙🤍,https://cn--xtb.noxinfluencer.com/tiktok/channel/6796704725707949062,-10,badcase,家庭生活杂内容，和补剂推广关系弱
75,6695093194654417925,@ Dmntiti 🇨🇺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6695093194654417925,-25,badcase,娱乐剪辑号，近10条多为成人补剂/日常内容，与婴儿补剂推广不符
76,6984980057589646342,Jay’s,https://cn--xtb.noxinfluencer.com/tiktok/channel/6984980057589646342,-6,badcase,儿童向但非婴儿补充剂，近期多为生活杂项
