rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
22,6961285868975866886,Ney Sánchez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6961285868975866886,10,badcase,近期几乎全是无关内容，时尚标签支撑不足
32,6985172672784090117,Joshua Doss,https://cn--xtb.noxinfluencer.com/tiktok/channel/6985172672784090117,0,badcase,娱乐号为主，时尚仅零星露出，近10条几乎都非服饰内容
75,5831967,charli d’amelio,https://cn--xtb.noxinfluencer.com/tiktok/channel/5831967,10,badcase,近期以舞蹈娱乐为主，时尚标签不构成主赛道
100,7459244231406126112,emo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7459244231406126112,2,badcase,标签命中但近10条多为无关怪内容
113,6858045394200839174,k.onth,https://cn--xtb.noxinfluencer.com/tiktok/channel/6858045394200839174,15,badcase,近10条多为杂内容，时尚信号弱，适配低
238,6775056564275397637,Danthejuice,https://cn--xtb.noxinfluencer.com/tiktok/channel/6775056564275397637,0,badcase,主要是喜剧内容，时尚仅是标签，格式严重不匹配
255,7069205571523445806,*,https://cn--xtb.noxinfluencer.com/tiktok/channel/7069205571523445806,12,badcase,仅有泛时尚标签，近期内容杂乱，转化承接弱
266,6934941010372756485,Adrian🐈‍⬛,https://cn--xtb.noxinfluencer.com/tiktok/channel/6934941010372756485,11,badcase,虽带时尚标签，但近期几乎是泛娱乐内容
272,6777116541260727302,sondra_blust,https://cn--xtb.noxinfluencer.com/tiktok/channel/6777116541260727302,11,badcase,情侣娱乐内容为主，时尚只是弱标签，不适合
361,89384766092746752,Tana Mongeau,https://cn--xtb.noxinfluencer.com/tiktok/channel/89384766092746752,10,badcase,虽有时尚标签，但近10条几乎全非时尚内容，适配弱
376,191013848190197760,Sofie Dossi,https://cn--xtb.noxinfluencer.com/tiktok/channel/191013848190197760,10,badcase,有Fashion标签，但近10条以体操/日常为主，时尚推广相关性弱
383,6804783597552239621,lena,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804783597552239621,10,badcase,标签有时尚，但近10条几乎全是 vlog，推广意图弱
393,309910914684641280,andreaespadatv,https://cn--xtb.noxinfluencer.com/tiktok/channel/309910914684641280,10,badcase,主轴偏家庭娱乐和美妆，时尚只剩标签
406,6786049521577673734,CallMeMike,https://cn--xtb.noxinfluencer.com/tiktok/channel/6786049521577673734,-5,badcase,剪辑娱乐号，非服饰推广型内容
493,6841141728939066373,🌟,https://cn--xtb.noxinfluencer.com/tiktok/channel/6841141728939066373,5,badcase,以游戏蒙太奇为主，时尚仅是表层标签，不适合服饰推广
