rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7387049371463369771,Cleaning ASMR 88,https://cn.noxinfluencer.com/tiktok/channel/7387049371463369771,10,badcase,ASMR频道，虽命中割草机词但促销场景错配
5,7344074815859196974,mjaa_fashion,https://cn.noxinfluencer.com/tiktok/channel/7344074815859196974,20,badcase,时尚号仅挂单个割草机词，像蹭词
8,6910392047539078149,DirtyBuilt,https://cn.noxinfluencer.com/tiktok/channel/6910392047539078149,5,badcase,泥地越野改装向，非普通园林割草机主场
9,6768975545939837958,sam,https://cn.noxinfluencer.com/tiktok/channel/6768975545939837958,0,badcase,狗狗内容，和割草机推广无关
11,7250285899711415338,Hunqeditz,https://cn.noxinfluencer.com/tiktok/channel/7250285899711415338,0,badcase,无相关标签，无法支撑割草机推广
12,6814737952821822469,El Garage de Vic,https://cn.noxinfluencer.com/tiktok/channel/6814737952821822469,0,badcase,汽车/礼物向账号，和割草机品类不匹配
18,7338221529933923370,Corbin,https://cn.noxinfluencer.com/tiktok/channel/7338221529933923370,5,badcase,ATV/越野泥地改装向，偏离普通割草机推广
20,7270417588610335790,Rug Cleaning ASMR,https://cn.noxinfluencer.com/tiktok/channel/7270417588610335790,5,badcase,清洁助眠ASMR，和割草机促销强冲突
24,7442596062010164270,the555,https://cn.noxinfluencer.com/tiktok/channel/7442596062010164270,0,badcase,无相关信息，不能判断为割草机频道
28,6903965391149368326,Jerry Reviews,https://cn.noxinfluencer.com/tiktok/channel/6903965391149368326,0,badcase,内容与割草机无关，缺少任何相关受众信号
33,7347244291587163179,The Gearhead Court,https://cn.noxinfluencer.com/tiktok/channel/7347244291587163179,0,badcase,汽车性能内容为主，与割草机无关
37,7538443838575658006,pepMC,https://cn.noxinfluencer.com/tiktok/channel/7538443838575658006,5,badcase,ASMR格式不适合物理产品推广
38,7406729736603305003,Animals Core,https://cn.noxinfluencer.com/tiktok/channel/7406729736603305003,5,badcase,动画/meme为主，和割草机受众不匹配
44,7067182191844623406,Tool displayer,https://cn.noxinfluencer.com/tiktok/channel/7067182191844623406,0,badcase,工具卖货泛化，缺少割草机相关性
47,6684364784076358662,Windward shoe Repair,https://cn.noxinfluencer.com/tiktok/channel/6684364784076358662,0,badcase,仅有品牌/链锯标签，缺少割草机信号
54,7449059917200606241,Miniature Carpet Cleaning ASMR,https://cn.noxinfluencer.com/tiktok/channel/7449059917200606241,7,badcase,ASMR/睡眠型内容，和割草机推广格式强冲突
60,6992463276362040322,Benny Lalios,https://cn.noxinfluencer.com/tiktok/channel/6992463276362040322,0,badcase,服饰穿搭号，无割草机相关信号
65,7244566445023560747,Dailydays,https://cn.noxinfluencer.com/tiktok/channel/7244566445023560747,8,badcase,警察和 karen 娱乐内容，和割草机推广不匹配
66,7358352617796830251,saratjor9ps,https://cn.noxinfluencer.com/tiktok/channel/7358352617796830251,0,badcase,无有效标签或内容信号
79,6785535352871535621,Alyssa & Kickball Dad,https://cn.noxinfluencer.com/tiktok/channel/6785535352871535621,20,badcase,生活/体育为主，lawn mower 只是弱挂靠
81,7675906,Hassan🥶,https://cn.noxinfluencer.com/tiktok/channel/7675906,0,badcase,与 lawn mower 无关，缺少相关标签
83,7381347573876196394,TarwaterServices,https://cn.noxinfluencer.com/tiktok/channel/7381347573876196394,5,badcase,ASMR/声音向强错配，不适合实体产品推广
84,7355301525491909674,brandiejean_momof2,https://cn.noxinfluencer.com/tiktok/channel/7355301525491909674,20,badcase,家庭生活为主，lawn mower 仅是弱挂靠
92,7262784340156220462,karen.com.us.usa,https://cn.noxinfluencer.com/tiktok/channel/7262784340156220462,20,badcase,警察/梗图向内容，与 lawn mower 无关
105,7357903775786746912,Spiritual Dive,https://cn.noxinfluencer.com/tiktok/channel/7357903775786746912,8,badcase,ASMR/故事格式错配，产品推广不合适
127,7229825609915581482,Inspiring Designs,https://cn.noxinfluencer.com/tiktok/channel/7229825609915581482,0,badcase,室内设计频道，与割草机无关
129,7025052340428948486,Ad,https://cn.noxinfluencer.com/tiktok/channel/7025052340428948486,5,badcase,宠物狗内容占主导，割草机标签为宠物向冲突
138,6772931116125324293,Jack Schneider,https://cn.noxinfluencer.com/tiktok/channel/6772931116125324293,0,badcase,科技航空向，与割草机无关
140,6935845411874685957,The Barn Brothers,https://cn.noxinfluencer.com/tiktok/channel/6935845411874685957,0,badcase,车辆/卡丁车为主，缺少草坪机械语境
