rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,7387049371463369771,Cleaning ASMR 88,https://cn--xtb.noxinfluencer.com/tiktok/channel/7387049371463369771,5,badcase,ASMR清洁型，产品词在但不适合带货
11,6768975545939837958,sam,https://cn--xtb.noxinfluencer.com/tiktok/channel/6768975545939837958,-5,badcase,近10条全是喜剧内容，割草机标签像噪声
12,6814737952821822469,El Garage de Vic,https://cn--xtb.noxinfluencer.com/tiktok/channel/6814737952821822469,12,badcase,标签有割草机，但近期内容几乎不相关
13,7250285899711415338,Hunqeditz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7250285899711415338,-5,badcase,娱乐短剧号，割草机标签像噪声
23,7538443838575658006,pepMC,https://cn--xtb.noxinfluencer.com/tiktok/channel/7538443838575658006,5,badcase,ASMR满足感风格，推广格式错配明显
25,7161972936837039150,Clean Up Mowing,https://cn--xtb.noxinfluencer.com/tiktok/channel/7161972936837039150,-5,badcase,ASMR清理号，强相关词也抵不过格式错配
28,7472717584535520302,fcaiji yeyeye,https://cn--xtb.noxinfluencer.com/tiktok/channel/7472717584535520302,-18,badcase,故事/娱乐号，割草机只是标题标签
29,7473382882515223598,Rug Cleaning ASMR 01,https://cn--xtb.noxinfluencer.com/tiktok/channel/7473382882515223598,5,badcase,ASMR清洁向，虽有割草机标签但不适合做产品推广
30,7433424287673041963,Flaharty 87,https://cn--xtb.noxinfluencer.com/tiktok/channel/7433424287673041963,-16,badcase,清洁ASMR为主，近10条多为家清而非割草机
32,7526926239572804641,dclunvzni1r,https://cn--xtb.noxinfluencer.com/tiktok/channel/7526926239572804641,5,badcase,故事号，割草机只是标签，商业转化不稳
34,7269402025187869738,Tou,https://cn--xtb.noxinfluencer.com/tiktok/channel/7269402025187869738,5,badcase,皮肤清理号与割草机受众冲突，标签污染明显
35,7535483686680167456,vt198598vtr,https://cn--xtb.noxinfluencer.com/tiktok/channel/7535483686680167456,-10,badcase,故事连载号，割草机只是话题标签
45,7169617751666721838,ASMR Cleaning,https://cn--xtb.noxinfluencer.com/tiktok/channel/7169617751666721838,-23,badcase,纯 ASMR 清洁号，和割草机推广场景冲突
46,7253102946442871835,Clean Space,https://cn--xtb.noxinfluencer.com/tiktok/channel/7253102946442871835,-8,badcase,有割草内容，但清洁/ASMR 属性太强，不稳
56,7494357492283294762,Story mowing,https://cn--xtb.noxinfluencer.com/tiktok/channel/7494357492283294762,-2,badcase,ASMR/relaxing 叙事型，偏娱乐不适合卖货
59,7019823935258133510,David Kreigh Lawn Mowing Guru,https://cn--xtb.noxinfluencer.com/tiktok/channel/7019823935258133510,-5,badcase,偏 funny 娱乐号，卖 lawn mower 的适配度低
60,7240836024574379054,CopperCreekCuts1,https://cn--xtb.noxinfluencer.com/tiktok/channel/7240836024574379054,-2,badcase,ASMR+satisfying 格式强错配，虽有 mowing 也不适合
