rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
53,7213842136315577387,Professor Pineapple,https://cn.noxinfluencer.com/tiktok/channel/7213842136315577387,5,badcase,虽有生活方式标签，但核心是成人 swingers 话题
66,6829475240398816262,TheNightGameHouston,https://cn.noxinfluencer.com/tiktok/channel/6829475240398816262,5,badcase,虽有生活方式标签，但核心是 swingers 成人场景
110,7314862948463215659,lila,https://cn.noxinfluencer.com/tiktok/channel/7314862948463215659,5,badcase,ASMR感官娱乐为主，和lifestyle推广存在明显格式冲突
113,6732937992790590470,✞ 𝐖𝐄𝐋𝐋𝐒,https://cn.noxinfluencer.com/tiktok/channel/6732937992790590470,10,badcase,ASMR为主，和lifestyle推广存在格式冲突
151,6759637129648702470,carelessmorgann,https://cn.noxinfluencer.com/tiktok/channel/6759637129648702470,0,badcase,以吃播和烹饪为主，缺少生活方式场景标签。
203,6675125627300381701,Fordsixfo,https://cn.noxinfluencer.com/tiktok/channel/6675125627300381701,0,badcase,汽车卡车垂类，和生活方式推广不匹配
248,6747567773482107909,Maham Khaan USA🩵,https://cn.noxinfluencer.com/tiktok/channel/6747567773482107909,-10,badcase,无 lifestyle 语境，舞蹈娱乐为主，不适合生活方式推广
256,6900736764417000453,Otiti Uwagbai,https://cn.noxinfluencer.com/tiktok/channel/6900736764417000453,0,badcase,缺少任何标签证据，无法判断与 lifestyle 的相关性
292,7283616911747941418,Ozz podcast 🖤,https://cn.noxinfluencer.com/tiktok/channel/7283616911747941418,0,badcase,无标签无内容，缺少lifestyle相关性证据
308,6752533252143629318,Shaavir Noorani,https://cn.noxinfluencer.com/tiktok/channel/6752533252143629318,0,badcase,无 lifestyle 命中，标签过窄且缺少生活方式定位
322,7256955556929602603,landenlevine,https://cn.noxinfluencer.com/tiktok/channel/7256955556929602603,0,badcase,无 lifestyle 命中，money/business 垂类，相关性弱
340,6903318092232164354,soyelbarbashats,https://cn.noxinfluencer.com/tiktok/channel/6903318092232164354,-5,badcase,无lifestyle命中，偏娱乐/搞笑/音乐
372,6851674712030102533,parkerhern,https://cn.noxinfluencer.com/tiktok/channel/6851674712030102533,0,badcase,无标签和视频证据，无法判断与 lifestyle 相关
432,6937653836924781573,Gem,https://cn.noxinfluencer.com/tiktok/channel/6937653836924781573,0,badcase,无标签与内容证据，无法判断为 lifestyle 相关
438,7482166611166331950,keekee..shante,https://cn.noxinfluencer.com/tiktok/channel/7482166611166331950,0,badcase,无标签与内容证据，相关性不足
465,6567787497966403589,El Charrula  504 🔨🔨,https://cn.noxinfluencer.com/tiktok/channel/6567787497966403589,0,badcase,无生活方式相关标签，区域泛流量为主
474,7194570537132868654,sarahbeauty💇‍♀️,https://cn.noxinfluencer.com/tiktok/channel/7194570537132868654,0,badcase,仅见艺术/portrait，生活方式信号弱
475,7554124832943277069,Mamba Clpz,https://cn.noxinfluencer.com/tiktok/channel/7554124832943277069,0,badcase,无有效标签，无法判断为生活方式频道
487,6772904000242844678,Frida Loera,https://cn.noxinfluencer.com/tiktok/channel/6772904000242844678,0,badcase,无标签，缺少lifestyle相关证据
490,6630221241183895557,Amiyah,https://cn.noxinfluencer.com/tiktok/channel/6630221241183895557,0,badcase,仅娱乐关系向，缺少lifestyle直接证据
494,6781263488519259141,Morgan,https://cn.noxinfluencer.com/tiktok/channel/6781263488519259141,0,badcase,食谱饮品向，缺少lifestyle直接证据
