rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6718966570229498886,Neji and Nami,https://cn.noxinfluencer.com/tiktok/channel/6718966570229498886,23,badcase,有宠物食品命中，但ASMR吃播不利于推广
3,7002795756663014406,Kit and Sunday,https://cn.noxinfluencer.com/tiktok/channel/7002795756663014406,1,badcase,有kibble相关，但ASMR吃播格式与投放目标错位
7,7357556411341440046,Ponyo and Luna,https://cn.noxinfluencer.com/tiktok/channel/7357556411341440046,18,badcase,直指宠物食品，但ASMR格式明显不适合推广
10,7412520248295605253,KK pet,https://cn.noxinfluencer.com/tiktok/channel/7412520248295605253,0,badcase,无标签和视频证据
11,7171334766238925867,salem & harry 🐈‍⬛🐈🤍,https://cn.noxinfluencer.com/tiktok/channel/7171334766238925867,2,badcase,有猫粮相关，但ASMR格式与推广目标冲突
12,6652056435315130373,The Honest Kitchen,https://cn.noxinfluencer.com/tiktok/channel/6652056435315130373,0,badcase,无可验证标签证据
14,7416757383256343595,momo 🥟 & mochi 🍡,https://cn.noxinfluencer.com/tiktok/channel/7416757383256343595,13,badcase,有宠物食品命中，但ASMR形式不适合商品推广
15,7209807980559959083,Evan Cooper,https://cn.noxinfluencer.com/tiktok/channel/7209807980559959083,0,badcase,无标签和视频证据
16,6734120567442080774,Piper | Cats | Debt Free,https://cn.noxinfluencer.com/tiktok/channel/6734120567442080774,0,badcase,无标签和视频证据
18,6991632916816888838,larissaWhite_,https://cn.noxinfluencer.com/tiktok/channel/6991632916816888838,0,badcase,无相关受众证据
21,7447613188547298350,Gizmo🐈‍⬛ & Scooby🐶,https://cn.noxinfluencer.com/tiktok/channel/7447613188547298350,0,badcase,无标签和视频证据
22,6812299585110197253,"Katie, Bolton & Almond",https://cn.noxinfluencer.com/tiktok/channel/6812299585110197253,0,badcase,无标签和视频证据
23,6819885332897678341,Ellie + Friends 🐕😺😺,https://cn.noxinfluencer.com/tiktok/channel/6819885332897678341,0,badcase,无标签和视频证据
26,7391487729375495211,Baby & Hugo,https://cn.noxinfluencer.com/tiktok/channel/7391487729375495211,0,badcase,无宠物食品相关标签或视频证据
27,6914300471471031301,Skylar,https://cn.noxinfluencer.com/tiktok/channel/6914300471471031301,0,badcase,缺少任何与宠物食品相关的信号
30,6620854336078004230,Gubba Homestead,https://cn.noxinfluencer.com/tiktok/channel/6620854336078004230,-15,badcase,游戏内容与宠物食品推广目标明显不符
32,6744842546507891717,Allysa Breanne,https://cn.noxinfluencer.com/tiktok/channel/6744842546507891717,-15,badcase,时尚旅行向账号，与宠物食品推广不匹配
37,6785527240777253894,KatrinaInAZ,https://cn.noxinfluencer.com/tiktok/channel/6785527240777253894,-15,badcase,穿搭/服饰账号，和宠物食品推广场景不一致
39,7056851625925788718,Sebastian Garcia,https://cn.noxinfluencer.com/tiktok/channel/7056851625925788718,0,badcase,咖啡/本地美食内容，与宠物食品不匹配
42,6937409528237425669,Loki,https://cn.noxinfluencer.com/tiktok/channel/6937409528237425669,0,badcase,无可用宠物食品信号
44,7009018608118432774,HAZEL & POTATO ACE LAS VEGAS,https://cn.noxinfluencer.com/tiktok/channel/7009018608118432774,0,badcase,无可用宠物食品信号
46,7339793825021756458,Bennett 🐱,https://cn.noxinfluencer.com/tiktok/channel/7339793825021756458,5,badcase,命中 pet food，但 ASMR 形式不适合商品推广
48,7533955432492467214,Moof + Everest,https://cn.noxinfluencer.com/tiktok/channel/7533955432492467214,0,badcase,无可用宠物食品信号
54,6793896946320851974,Zed and Zen,https://cn.noxinfluencer.com/tiktok/channel/6793896946320851974,5,badcase,ASMR喂食为主，偏娱乐，不适合宠物食品推广。
