rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,7208540846726530091,Cat,https://cn--xtb.noxinfluencer.com/tiktok/channel/7208540846726530091,6,badcase,动画娱乐号，虽带Power Bank词但主体不适合推广
21,6996705744595862534,Shine,https://cn--xtb.noxinfluencer.com/tiktok/channel/6996705744595862534,6,badcase,娱乐剧情号，虽有Power Bank词但主体不适合推广
44,7268191096718394410,👑 WALI KING 👑,https://cn--xtb.noxinfluencer.com/tiktok/channel/7268191096718394410,0,badcase,娱乐直播为主，近10条几乎无充电宝相关
55,7528289440533742647,Elodie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7528289440533742647,-10,badcase,搞笑/礼物混杂，近期内容与充电宝不匹配
70,7133546263110239275,GREEN utilities shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7133546263110239275,-10,badcase,搞笑挑战为主，充电宝不在主赛道
73,7444477157344789547,Daily Wow,https://cn--xtb.noxinfluencer.com/tiktok/channel/7444477157344789547,-12,badcase,儿童动漫受众，充电宝带货不合适
77,6816843149085934598,Poppy Jim | Gen❌,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816843149085934598,-5,badcase,喜剧娱乐号，充电宝标签不代表带货能力
82,6931162590577230854,permis express français,https://cn--xtb.noxinfluencer.com/tiktok/channel/6931162590577230854,2,badcase,娱乐/教学混杂，充电宝仅零星出现，不适合推广
83,7163164052339606571,cjf1144uh,https://cn--xtb.noxinfluencer.com/tiktok/channel/7163164052339606571,-25,badcase,故事类娱乐号，近期无电源产品推广能力，#powerbank仅标题噪声
93,7165687629845136427,Leakzz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7165687629845136427,-5,badcase,游戏娱乐频道，充电宝只是标签噪音
95,7332239711506252846,aurasagrada,https://cn--xtb.noxinfluencer.com/tiktok/channel/7332239711506252846,-5,badcase,影视故事号，缺乏充电宝带货语境
104,7502424557388727342,askerfood,https://cn--xtb.noxinfluencer.com/tiktok/channel/7502424557388727342,-8,badcase,几乎无充电宝相关标签，近期内容也缺少可投放信号
108,7316375275107861547,Daylenis Verdecia🌸,https://cn--xtb.noxinfluencer.com/tiktok/channel/7316375275107861547,-10,badcase,近期主打美妆、纹身和婴儿用品，与充电宝明显不符
109,7506484058869597226,yabmadymkbw,https://cn--xtb.noxinfluencer.com/tiktok/channel/7506484058869597226,-8,badcase,近期以猫和日常杂内容为主，充电宝信号很弱
121,6803829713875911686,That Girl,https://cn--xtb.noxinfluencer.com/tiktok/channel/6803829713875911686,-7,badcase,近期多为牙膏/健康/杂项，充电宝只是偶发带货
122,6800853334154101766,Logan Dana,https://cn--xtb.noxinfluencer.com/tiktok/channel/6800853334154101766,-6,badcase,内容以充电宝与翻译耳机混杂，稳定性不足
132,6853805317836637190,m3l4r,https://cn--xtb.noxinfluencer.com/tiktok/channel/6853805317836637190,-18,badcase,以舞蹈娱乐为主，power bank 仅偶尔点到
134,6526295522750239759,Khushbu,https://cn--xtb.noxinfluencer.com/tiktok/channel/6526295522750239759,-17,badcase,娱乐/情绪向频道，近期 power bank 只是零散提及
153,7551285679633712159,Bella188,https://cn--xtb.noxinfluencer.com/tiktok/channel/7551285679633712159,-8,badcase,生活自拍为主，充电宝只有偶发提及
171,7427743253011006506,🥀Ghanam Rang🥀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7427743253011006506,-20,badcase,音乐娱乐号为主，充电宝只是顺带
176,7522401530991264781,89ythjh,https://cn--xtb.noxinfluencer.com/tiktok/channel/7522401530991264781,-6,badcase,内容杂乱，充电宝定向信号很弱
193,7550793458336990263,yadi_martinez3,https://cn--xtb.noxinfluencer.com/tiktok/channel/7550793458336990263,-10,badcase,女鞋和生活内容为主，与充电宝不相关
196,7280978853970822190,Editor's Choice,https://cn--xtb.noxinfluencer.com/tiktok/channel/7280978853970822190,-8,badcase,电池工厂技术号，非消费级推广场景
208,7344189450002056235,stfsvhufj,https://cn--xtb.noxinfluencer.com/tiktok/channel/7344189450002056235,-17,badcase,游戏/小说娱乐为主，充电宝推广匹配度低
226,7586574300396946487,Dharmendar161,https://cn--xtb.noxinfluencer.com/tiktok/channel/7586574300396946487,-3,badcase,仅1条充电宝相关，主要是生活技巧/杂项，近内容多不匹配
252,7538318407462290445,ucboviivsja,https://cn--xtb.noxinfluencer.com/tiktok/channel/7538318407462290445,-21,badcase,娱乐和赛马内容为主，充电宝词只是偶发蹭词
258,7405148777004565547,polyhjsigev,https://cn--xtb.noxinfluencer.com/tiktok/channel/7405148777004565547,-21,badcase,Pov和搞笑为主，产品购买意图弱，不适合充电宝推广
259,6738450656439862278,radiant_shojiro883,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738450656439862278,-19,badcase,儿童/训练类频道，充电宝只是零星带货，相关性弱
267,7081056579760718890,Momo13,https://cn--xtb.noxinfluencer.com/tiktok/channel/7081056579760718890,-16,badcase,美妆生活号为主，缺少数码购买语境，充电宝相关性弱
273,7082621728468403206,My closet,https://cn--xtb.noxinfluencer.com/tiktok/channel/7082621728468403206,-12,badcase,体育账号为主，夹杂充电宝广告，整体不适合投放
277,6950092865029948422,🐼 Ladis Queen 🌻👑🐝🌛🌞💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6950092865029948422,-8,badcase,生活信仰号为主，仅一条充电宝内容，相关性很弱
280,6783039185705452550,mamiidimesfdxth,https://cn--xtb.noxinfluencer.com/tiktok/channel/6783039185705452550,-4,badcase,有带货式内容，但标签缺失、近期大多是耳机等其他品类
289,7514873705769403438,yyysfmnj,https://cn--xtb.noxinfluencer.com/tiktok/channel/7514873705769403438,5,badcase,仅见一条充电宝内容，证据太少
300,1700420,trendydeals97,https://cn--xtb.noxinfluencer.com/tiktok/channel/1700420,-9,badcase,主推电源插座/防浪涌，和充电宝不算同类核心
309,6933628206339982342,Gilberto,https://cn--xtb.noxinfluencer.com/tiktok/channel/6933628206339982342,-16,badcase,娱乐梗图为主，近期仅少量power bank，偏不匹配
318,7171281597885629482,Lucky5558,https://cn--xtb.noxinfluencer.com/tiktok/channel/7171281597885629482,-15,badcase,storytime/娱乐向为主，power bank只是偶发提及
329,6959738459742520325,Patsy_campos💖CM👑,https://cn--xtb.noxinfluencer.com/tiktok/channel/6959738459742520325,-6,badcase,美妆服饰频道，只有1条充电宝，近期大多不相关。
355,6919932930521465861,meinv78,https://cn--xtb.noxinfluencer.com/tiktok/channel/6919932930521465861,4,badcase,内容杂乱，充电宝只占少量，相关性弱
356,6997507331210724358,vintage.elephant66,https://cn--xtb.noxinfluencer.com/tiktok/channel/6997507331210724358,-1,badcase,电源/充电内容很少，其他题材占主导
360,7481751583639094315,user55846694884728,https://cn--xtb.noxinfluencer.com/tiktok/channel/7481751583639094315,-1,badcase,只有零星充电宝内容，且大量无关混发
364,6884948540047000582,Barred Artisan Soaps,https://cn--xtb.noxinfluencer.com/tiktok/channel/6884948540047000582,-6,badcase,以香皂/耳机杂混内容为主，充电宝不成主线
366,6811933065616786438,🌺Ms.JaDeD86🌺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6811933065616786438,-6,badcase,内容以饰品/个性短视频为主，充电宝弱相关
367,7535440801456423949,ntcfhfw,https://cn--xtb.noxinfluencer.com/tiktok/channel/7535440801456423949,-9,badcase,仅 hashtag 垃圾流量，几乎无有效充电宝内容
377,7470234086197298219,Xionel_power_Bank_Factory,https://cn--xtb.noxinfluencer.com/tiktok/channel/7470234086197298219,11,badcase,工厂批发/B2B属性强，更像供货端而非达人推广
378,83465484058112000,lauren_fuhremann,https://cn--xtb.noxinfluencer.com/tiktok/channel/83465484058112000,0,badcase,泛娱乐混发，近10条多数无关，相关性偏低
382,7316269407143035950,soyarianna.resto,https://cn--xtb.noxinfluencer.com/tiktok/channel/7316269407143035950,-10,badcase,近10条与充电宝无关，偏配饰/美妆，不适合
384,7527547501138904077,DigiNow Shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7527547501138904077,0,badcase,主轴是隐蔽摄像头，充电宝只是伪装，不适合
385,6988228090334020613,Nate😎😎,https://cn--xtb.noxinfluencer.com/tiktok/channel/6988228090334020613,-5,badcase,以整蛊搞笑为主，带货只是零散穿插，相关性低
400,6678828024450991110,ydfgdsfgs,https://cn--xtb.noxinfluencer.com/tiktok/channel/6678828024450991110,-5,badcase,内容杂且与充电宝占比低，推广相关性弱
403,6678828024450991110,ydfgdsfgs,https://cn--xtb.noxinfluencer.com/tiktok/channel/6678828024450991110,-6,badcase,无标签，近10条仅1条充电宝相关，其余多为耳机/宠物/杂项
405,7086537212973155374,jullie_louise,https://cn--xtb.noxinfluencer.com/tiktok/channel/7086537212973155374,-10,badcase,宠物内容为主，近10条无充电宝相关
408,6814156364233032709,gouza91,https://cn--xtb.noxinfluencer.com/tiktok/channel/6814156364233032709,-2,badcase,耳机号里夹1条充电宝，相关性偏弱
410,7504669888620692522,PURE VISION,https://cn--xtb.noxinfluencer.com/tiktok/channel/7504669888620692522,-5,badcase,仅1条太阳能充电宝内容，其余多为叙事/美妆/家居
417,7432520453329683499,Frugal.Funky.Finds✨,https://cn--xtb.noxinfluencer.com/tiktok/channel/7432520453329683499,-10,badcase,无充电宝相关内容，最近10条几乎全是美发/非相关
445,270891439683727360,.,https://cn--xtb.noxinfluencer.com/tiktok/channel/270891439683727360,0,badcase,账号过于稀疏，仅零散出现充电宝词
449,7608458130217010190,Experiment,https://cn--xtb.noxinfluencer.com/tiktok/channel/7608458130217010190,-16,badcase,ASMR实验型内容，不是充电宝带货场景
456,6811672693391344646,The DBD Apparel,https://cn--xtb.noxinfluencer.com/tiktok/channel/6811672693391344646,-11,badcase,频道主打节庆装饰，充电宝只在少数标题里顺带出现
477,7466593593372771374,Reflexiones,https://cn--xtb.noxinfluencer.com/tiktok/channel/7466593593372771374,-15,badcase,标签偏音频杂货，几乎无充电宝推广信号
480,6864765742346355717,Dolphin,https://cn--xtb.noxinfluencer.com/tiktok/channel/6864765742346355717,-10,badcase,动物/养生向为主，与充电宝推广不搭
483,7366155685664834606,DealHuntX,https://cn--xtb.noxinfluencer.com/tiktok/channel/7366155685664834606,-21,badcase,音乐号为主，产品推广场景不匹配
486,7376062652172993578,CMO.FINDZ,https://cn--xtb.noxinfluencer.com/tiktok/channel/7376062652172993578,-15,badcase,家居/香氛/音乐为主，充电宝信号弱
495,7010455260036793350,Carlos & Grise | Familia 🫅 👸,https://cn--xtb.noxinfluencer.com/tiktok/channel/7010455260036793350,-14,badcase,家居园艺生活号，缺少充电宝推广信号
