rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7466554637626377247,MeganLovesSakura,https://cn.noxinfluencer.com/tiktok/channel/7466554637626377247,0,badcase,无标签无内容信号
7,6779363721358640134,its.samantha.jo,https://cn.noxinfluencer.com/tiktok/channel/6779363721358640134,0,badcase,标签偏创作者/节日，无游泳或母婴产品信号
8,7254996114373526570,Sophisticata - Professional,https://cn.noxinfluencer.com/tiktok/channel/7254996114373526570,0,badcase,无相关标签或内容信号
10,7481201544048133166,ellisreed5,https://cn.noxinfluencer.com/tiktok/channel/7481201544048133166,0,badcase,无标签无内容信号
16,7386381612387025963,The Rumor Effect,https://cn.noxinfluencer.com/tiktok/channel/7386381612387025963,-15,badcase,宠物犬内容，与人用泳衣互斥
18,7188638406054282282,Dante,https://cn.noxinfluencer.com/tiktok/channel/7188638406054282282,0,badcase,无相关标签或内容信号
24,6980064067163718661,DOGGY•U,https://cn.noxinfluencer.com/tiktok/channel/6980064067163718661,-10,badcase,宠物犬内容，与人用泳具互斥
25,6732254113767228422,Rutvi Patel,https://cn.noxinfluencer.com/tiktok/channel/6732254113767228422,0,badcase,无相关标签或内容信号
28,7583171016562639927,FireFox Den,https://cn.noxinfluencer.com/tiktok/channel/7583171016562639927,0,badcase,无标签无内容，缺乏任何泳衣推广信号
29,7379873836060427306,urbanattire5,https://cn.noxinfluencer.com/tiktok/channel/7379873836060427306,0,badcase,无标签无内容，相关性证据不足
30,7202154457692390442,Kuoser Official,https://cn.noxinfluencer.com/tiktok/channel/7202154457692390442,0,badcase,无标签，无法判断为泳衣推广受众
35,7481196503793861674,ZoeyJade,https://cn.noxinfluencer.com/tiktok/channel/7481196503793861674,0,badcase,无标签无内容，缺少推广泳衣的证据
36,7247898411461444651,snicksnack28,https://cn.noxinfluencer.com/tiktok/channel/7247898411461444651,-10,badcase,纯喜剧向，和物理产品推广场景不匹配
38,7022049823177327621,josiahramirez,https://cn.noxinfluencer.com/tiktok/channel/7022049823177327621,0,badcase,仅眼睫毛标签，和泳衣类目不相关
40,105978189688045569,sbv.shelby,https://cn.noxinfluencer.com/tiktok/channel/105978189688045569,0,badcase,无标签无内容，相关性证据不足
43,108878732177612800,RedandGolden,https://cn.noxinfluencer.com/tiktok/channel/108878732177612800,0,badcase,无标签无内容，缺少相关性
45,121506223564193792,KimmyLud,https://cn.noxinfluencer.com/tiktok/channel/121506223564193792,-15,badcase,宠物狗内容，和人用泳衣互斥
46,121897252503052288,Tavman,https://cn.noxinfluencer.com/tiktok/channel/121897252503052288,0,badcase,无标签无内容，缺少相关性
47,123408874920964096,Kiana Champion,https://cn.noxinfluencer.com/tiktok/channel/123408874920964096,-10,badcase,娱乐故事向，和泳衣推广不匹配
48,124530919457067008,Shayna King,https://cn.noxinfluencer.com/tiktok/channel/124530919457067008,0,badcase,无标签无内容，缺少相关性
50,136038455012257792,I AM OSKAR,https://cn.noxinfluencer.com/tiktok/channel/136038455012257792,0,badcase,无标签无内容，缺少相关性
52,13860718,Anchors & Adventures Creations,https://cn.noxinfluencer.com/tiktok/channel/13860718,0,badcase,地理向频道，和 swim vest 关联弱
53,140772463243636736,Zan,https://cn.noxinfluencer.com/tiktok/channel/140772463243636736,0,badcase,烹饪内容，缺少泳具或户外安全场景
54,1422751,Lex,https://cn.noxinfluencer.com/tiktok/channel/1422751,0,badcase,标签缺失，暂无推广相关信号
55,158154487751348224,Diana Mercadal-Martin Cummings,https://cn.noxinfluencer.com/tiktok/channel/158154487751348224,0,badcase,标签缺失，暂无推广相关信号
56,1821302,Von,https://cn.noxinfluencer.com/tiktok/channel/1821302,0,badcase,标签缺失，暂无推广相关信号
57,18675847,Jasmynn Taylor,https://cn.noxinfluencer.com/tiktok/channel/18675847,0,badcase,标签缺失，暂无推广相关信号
58,190226,Shardé K.,https://cn.noxinfluencer.com/tiktok/channel/190226,0,badcase,标签缺失，暂无推广相关信号
62,201600517444251648,✩runawayfiance✩,https://cn.noxinfluencer.com/tiktok/channel/201600517444251648,0,badcase,标签缺失，暂无推广相关信号
63,205261902296461312,SonnysLittleFarm,https://cn.noxinfluencer.com/tiktok/channel/205261902296461312,0,badcase,内容域不明，缺少泳具相关证据
