rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,7278995719515112490,Audit the Audit,https://cn--xtb.noxinfluencer.com/tiktok/channel/7278995719515112490,-15,badcase,狗狗救生衣是宠物向，对人用 swim vest 属互斥
13,6981196315783332869,juli.tyra,https://cn--xtb.noxinfluencer.com/tiktok/channel/6981196315783332869,-10,badcase,时尚美妆号为主，近期内容与 swim vest 相关性低
26,6805276775653245958,Melissa🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805276775653245958,-10,badcase,时尚生活号，近期全是穿搭/假发/保健，和救生游泳背心不相关
27,6947835561429271557,lareesemichelle,https://cn--xtb.noxinfluencer.com/tiktok/channel/6947835561429271557,-10,badcase,健身减脂号，主打加重背心，不是泳背心推广场景
31,6701685548774016005,CRISTIAN CAMINERO,https://cn--xtb.noxinfluencer.com/tiktok/channel/6701685548774016005,-10,badcase,灵性/泛娱乐号，最近主要是音箱和加重背心，和泳背心无关
33,6905074882749678598,Sacblacknation,https://cn--xtb.noxinfluencer.com/tiktok/channel/6905074882749678598,-10,badcase,泛热点号，主线是安全/施工背心，不是水上泳背心
35,7371491232192873518,HeidiMillennialMomFinds🗝️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7371491232192873518,-10,badcase,母婴测评号，近期只集中在加重背心，和泳背心不相关
36,7538310296339760183,Riley,https://cn--xtb.noxinfluencer.com/tiktok/channel/7538310296339760183,-10,badcase,穿搭服饰号，主要是羽绒背心，不是游泳装备
37,7179469623854613550,latenightmusiclisten,https://cn--xtb.noxinfluencer.com/tiktok/channel/7179469623854613550,-20,badcase,氛围/灯光号，偏感官内容，属于强格式不匹配
39,7412638445817005102,Sophie 2.0,https://cn--xtb.noxinfluencer.com/tiktok/channel/7412638445817005102,-6,badcase,偏泳装生活方式号，缺少泳衣背心/购买评测信号
41,6790432098881897477,blackqueen25_,https://cn--xtb.noxinfluencer.com/tiktok/channel/6790432098881897477,-10,badcase,美发美妆号，近期都是加重背心内容，和泳背心不相关
42,7531771447502504974,Lila,https://cn--xtb.noxinfluencer.com/tiktok/channel/7531771447502504974,-10,badcase,服饰穿搭号，主要卖羽绒背心，和泳背心偏离
43,7522423603578291255,wellnessver9,https://cn--xtb.noxinfluencer.com/tiktok/channel/7522423603578291255,-10,badcase,加重背心/减脂号，最近全是同类健身背心，场景不对
44,6856802670649623558,tideweofficial,https://cn--xtb.noxinfluencer.com/tiktok/channel/6856802670649623558,-10,badcase,狩猎户外号，产品线是猎装和雨具，和泳背心差异大
45,6962733417563161606,sincitydesign,https://cn--xtb.noxinfluencer.com/tiktok/channel/6962733417563161606,-10,badcase,贴纸印刷号，偶有泳池用品，但整体不适合泳背心推广
47,6811528872012071942,Kemah Kar,https://cn--xtb.noxinfluencer.com/tiktok/channel/6811528872012071942,-10,badcase,减脂走路号，核心是加重背心，和泳背心用途不同
48,7139940173194380331,NAPTOWNJJ❌,https://cn--xtb.noxinfluencer.com/tiktok/channel/7139940173194380331,-10,badcase,泛流量号，最近内容随机，缺少泳装/水上用品信号
56,20268350,catcatcat1_33,https://cn--xtb.noxinfluencer.com/tiktok/channel/20268350,-14,badcase,娱乐/情绪向内容为主，和泳具推广场景不匹配
57,6805745944710956037,H romas nursery,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805745944710956037,-20,badcase,duet/CapCut娱乐号，和泳具推广目标不匹配
61,6738594137270289413,CoachD_Speaks,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738594137270289413,-20,badcase,政治争议内容为主，和泳具推广目标明显不符
68,6816753753149457413,Sheena Nelson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816753753149457413,-19,badcase,以娱乐/音乐为主，和泳具推广无关
69,144993451535728640,Kourtney 11:11,https://cn--xtb.noxinfluencer.com/tiktok/channel/144993451535728640,-17,badcase,生活娱乐号，缺少商品导购或水上品类证据
77,7579828207362491447,Jess,https://cn--xtb.noxinfluencer.com/tiktok/channel/7579828207362491447,-10,badcase,以家具、钓鱼、儿童玩具为主，和泳背心推广几乎无关
79,6863278956856853509,Aesthetically _Tori MVP 🥇🌞,https://cn--xtb.noxinfluencer.com/tiktok/channel/6863278956856853509,-13,badcase,疗愈/职场日常为主，偶发带货但与泳背心场景不符
85,6605388446256513030,Van3zza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6605388446256513030,-10,badcase,海钓与海边生活为主，近期内容和泳背心推广不匹配
86,6806342109059138566,amyah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6806342109059138566,-11,badcase,健身流量号，只有训练背心语境，和泳背心不在同一场景
87,6799699115254350854,HUNK.Menswear,https://cn--xtb.noxinfluencer.com/tiktok/channel/6799699115254350854,-15,badcase,近期内容几乎都是泳裤/内衣，不是泳衣背心类产品，推广不匹配
92,7289023846895928362,Sweet,https://cn--xtb.noxinfluencer.com/tiktok/channel/7289023846895928362,-14,badcase,内容集中在服装与冬季背心，和泳背心的产品场景不符
97,7125172561827316741,Kensui Fitness,https://cn--xtb.noxinfluencer.com/tiktok/channel/7125172561827316741,-14,badcase,健身器械与负重背心内容为主，和泳背心用途不同
100,6658773728242384902,🌟𝐓𝐨𝐫𝐢🌟,https://cn--xtb.noxinfluencer.com/tiktok/channel/6658773728242384902,-9,badcase,整体是时尚穿搭号，虽提到泳装，但与泳背心推广场景不够贴合
106,309614384761507840,A&L Safety Supply,https://cn--xtb.noxinfluencer.com/tiktok/channel/309614384761507840,-25,badcase,工地安全装备号，和泳衣救生背心用途冲突
110,7218728761154946090,tacticalartex,https://cn--xtb.noxinfluencer.com/tiktok/channel/7218728761154946090,-25,badcase,军警战术背心号，和泳 vest 场景不相关
111,6632681175343988741,Gus91,https://cn--xtb.noxinfluencer.com/tiktok/channel/6632681175343988741,-6,badcase,以机车、工具、无人机为主，缺少游泳产品线索
112,6858701415586464773,Rummy’s Beach Club,https://cn--xtb.noxinfluencer.com/tiktok/channel/6858701415586464773,-25,badcase,宠物游泳内容，属宠物向，不适合人用泳 vest
116,7373556545583481898,MOKO.Shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7373556545583481898,-8,badcase,内容以充气床、拱门、露营为主，和泳 vest 无关
119,7481201544048133166,ellisreed5,https://cn--xtb.noxinfluencer.com/tiktok/channel/7481201544048133166,-7,badcase,以穿搭和梗图为主，缺少泳具推广相关信号
124,1733583,Francheska,https://cn--xtb.noxinfluencer.com/tiktok/channel/1733583,-8,badcase,礼品/家居/旅行杂项为主，缺少泳具相关性
127,7188638406054282282,Dante,https://cn--xtb.noxinfluencer.com/tiktok/channel/7188638406054282282,-25,badcase,纯宠物游泳内容，和人用swim vest受众冲突
128,7291971981222249518,mercy plus-size outfits,https://cn--xtb.noxinfluencer.com/tiktok/channel/7291971981222249518,-10,badcase,时尚穿搭号，和泳具推广缺少场景匹配
131,7386381612387025963,The Rumor Effect,https://cn--xtb.noxinfluencer.com/tiktok/channel/7386381612387025963,-25,badcase,宠物狗内容，属于宠物救生衣语境，不适合人用
142,6980064067163718661,DOGGY•U,https://cn--xtb.noxinfluencer.com/tiktok/channel/6980064067163718661,-25,badcase,狗训/服务犬内容，宠物受众与人用泳vest不匹配
144,7202154457692390442,Kuoser Official,https://cn--xtb.noxinfluencer.com/tiktok/channel/7202154457692390442,-25,badcase,明确狗狗life jacket内容，属于宠物泳具，不适合人用
150,6705745274284999686,English Bulldog,https://cn--xtb.noxinfluencer.com/tiktok/channel/6705745274284999686,-25,badcase,宠物犬内容且无人用泳vest场景，明显受众不符
154,6796296834815706118,prepare2swim,https://cn--xtb.noxinfluencer.com/tiktok/channel/6796296834815706118,-2,badcase,做儿童学游泳，但明确反对浮具，和泳背心推广冲突
163,7036435623813432325,Zulekha Williams,https://cn--xtb.noxinfluencer.com/tiktok/channel/7036435623813432325,-9,badcase,自闭症/教育向内容，缺少商品带货场景，和泳背心不匹配
166,7111561266590499886,Knucklehead,https://cn--xtb.noxinfluencer.com/tiktok/channel/7111561266590499886,-25,badcase,宠物狗内容号，受众与人用泳背心明显不符
167,7328395019098047530,Alissa (Алиса) Cane Corso,https://cn--xtb.noxinfluencer.com/tiktok/channel/7328395019098047530,-25,badcase,犬类内容号，属于宠物场景，不适合人用泳背心
171,7494995530625188894,ItsFurrito,https://cn--xtb.noxinfluencer.com/tiktok/channel/7494995530625188894,-25,badcase,宠物用品店号，明确是猫狗用品，不适合人用泳背心
172,7538775444406191118,Budget PVCFun,https://cn--xtb.noxinfluencer.com/tiktok/channel/7538775444406191118,-10,badcase,城市玩法号，偏活动导览，不是商品推广场景
173,85353381732503552,Lisa Summers | Things to Do,https://cn--xtb.noxinfluencer.com/tiktok/channel/85353381732503552,-10,badcase,本地探店/活动号，偏目的地内容，不是商品带货场景
174,312533655418081280,Thepups,https://cn--xtb.noxinfluencer.com/tiktok/channel/312533655418081280,-25,badcase,宠物犬号，受众和人用泳背心不一致
176,6529336759950513167,longhairdontcare007,https://cn--xtb.noxinfluencer.com/tiktok/channel/6529336759950513167,-10,badcase,时尚宗教号，近期内容与泳衣/救生衣无关
177,6532037609202417666,Chelsea | Dog & Toddler Mom,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532037609202417666,-25,badcase,宠物狗受众为主，与人用泳衣救生衣互斥
178,6545236872423374854,Sayuma&Samyun mom💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6545236872423374854,-22,badcase,娱乐歌舞号，缺少商品推广和水上用品信号
179,6550690583973729280,Goma_kc,https://cn--xtb.noxinfluencer.com/tiktok/channel/6550690583973729280,-10,badcase,个人母婴号，未见游泳装备或商品推广迹象
182,6592414414372585477,💫🦋bibhu_mom🦋💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/6592414414372585477,-10,badcase,家庭娱乐号，近期多为情绪/音乐内容，缺少带货能力
187,6723236226725430278,Kimmy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6723236226725430278,-10,badcase,穿搭健身号，近期与泳具无关
190,6753335311838774278,Denise,https://cn--xtb.noxinfluencer.com/tiktok/channel/6753335311838774278,-10,badcase,美妆礼物号，近期内容与泳具无关
