rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
62,7562202548443448375,Mr Ali,https://cn.noxinfluencer.com/tiktok/channel/7562202548443448375,7,badcase,魔术/热点娱乐为主，tech只是附带标签
68,7563340678627345421,@usaclips543,https://cn.noxinfluencer.com/tiktok/channel/7563340678627345421,7,badcase,魔术/热点娱乐为主，tech只是附带标签
69,6846902640691037190,socially inept,https://cn.noxinfluencer.com/tiktok/channel/6846902640691037190,10,badcase,喜剧娱乐为主，tech标签不足以支撑推广
105,7297009874022745134,ShockForce,https://cn.noxinfluencer.com/tiktok/channel/7297009874022745134,10,badcase,恶搞/冲击式内容为主，科技推广适配差
116,6726053400150541317,gavin,https://cn.noxinfluencer.com/tiktok/channel/6726053400150541317,5,badcase,ASMR格式与常规科技产品推广冲突
149,6807149037692978181,Techish,https://cn.noxinfluencer.com/tiktok/channel/6807149037692978181,20,badcase,ASMR/娱乐格式偏离科技产品推广场景，带货适配差
188,6616681730772516870,xlptrades,https://cn.noxinfluencer.com/tiktok/channel/6616681730772516870,-10,badcase,无科技标签，家庭娱乐向，与科技推广不相关
190,7570400827405796407,funny,https://cn.noxinfluencer.com/tiktok/channel/7570400827405796407,5,badcase,娱乐内容占主导，科技标签偏噪声，推广不匹配
198,7547690404847109134,USA Funny,https://cn.noxinfluencer.com/tiktok/channel/7547690404847109134,5,badcase,魔术/流量娱乐为主，科技标签偏噪声，难转化
212,7551157470502536247,techexplain,https://cn.noxinfluencer.com/tiktok/channel/7551157470502536247,0,badcase,无标签，缺少科技相关证据
223,7127325382835848238,Ninjas Are Butterflies,https://cn.noxinfluencer.com/tiktok/channel/7127325382835848238,-10,badcase,播客喜剧型频道，与科技推广明显不符
225,6659790466340454406,kaitlynd!,https://cn.noxinfluencer.com/tiktok/channel/6659790466340454406,0,badcase,汽车/社会故事型内容，与科技推广无关
244,7570400151312303159,englishedit,https://cn.noxinfluencer.com/tiktok/channel/7570400151312303159,8,badcase,魔术/热点娱乐占主，科技标签不适合种草
258,7481895882076439598,mundomoneda,https://cn.noxinfluencer.com/tiktok/channel/7481895882076439598,8,badcase,古币收藏为主，tech 只是弱挂钩，推广相关性差
278,7580653390553089037,.vinideals,https://cn.noxinfluencer.com/tiktok/channel/7580653390553089037,5,badcase,魔术/热梗为主，tech像蹭词，整体不适合科技推广
280,7543631397941167135,jakeugc23,https://cn.noxinfluencer.com/tiktok/channel/7543631397941167135,5,badcase,剧情/故事向为主，科技标签弱，推广相关性差
