rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
13,6591600111029567494,Spencer,https://cn--xtb.noxinfluencer.com/tiktok/channel/6591600111029567494,-13,badcase,以喜剧短剧为主，AI/ChatGPT仅泛相关，近10条几乎无科技推广信号
14,7502060893326361630,LoveOrLie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7502060893326361630,-10,badcase,技术标签有但内容以故事/娱乐为主，最近10条都不适合推广
49,7257639467988304938,Daily Ai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7257639467988304938,-10,badcase,问答/故事娱乐为主，明显不适合科技推广。
65,6947325489926112261,Bueller - Movies & Heists,https://cn--xtb.noxinfluencer.com/tiktok/channel/6947325489926112261,-12,badcase,影视娱乐号，缺少科技产品推广语境，近期内容也几乎全是电影相关
89,6806408674833531910,inchados,https://cn--xtb.noxinfluencer.com/tiktok/channel/6806408674833531910,1,badcase,生活vlog为主，科技信号弱，近期多数内容不相关。
104,6716671117534888965,SoulSyn🔥💜💜💜🔥,https://cn--xtb.noxinfluencer.com/tiktok/channel/6716671117534888965,-15,badcase,娱乐叙事为主，AI只是包装，不适合科技投放
111,7298017265483285550,INFLUENCER LYFSTYLE🩷✨,https://cn--xtb.noxinfluencer.com/tiktok/channel/7298017265483285550,-13,badcase,短视频娱乐号，AI只做噱头，推广场景不稳
112,6769776465601889286,ai.mindmorph,https://cn--xtb.noxinfluencer.com/tiktok/channel/6769776465601889286,-8,badcase,AI梗图/娱乐内容为主，科技产品推广不匹配
116,6763091329486242822,Colton,https://cn--xtb.noxinfluencer.com/tiktok/channel/6763091329486242822,-13,badcase,娱乐和时政混合，科技相关度低
118,6904091759443461126,Detroits Finest,https://cn--xtb.noxinfluencer.com/tiktok/channel/6904091759443461126,11,badcase,有科技标签，但近期内容偏情绪/生活向
121,7502821951960269866,ai baby,https://cn--xtb.noxinfluencer.com/tiktok/channel/7502821951960269866,-12,badcase,AI梗娱乐号，缺少产品推广语境
123,6865800185965233158,sadqtts,https://cn--xtb.noxinfluencer.com/tiktok/channel/6865800185965233158,-18,badcase,随机事实/问答号，科技相关信号很弱
124,7119545965845890054,Zxv._._,https://cn--xtb.noxinfluencer.com/tiktok/channel/7119545965845890054,-20,badcase,二次元娱乐号，AI只是内容元素，不适合
126,7331088457429451819,pinkwhalepassion,https://cn--xtb.noxinfluencer.com/tiktok/channel/7331088457429451819,-8,badcase,美食内容为主，仅有 AI/ChatGPT 弱相关，近10条几乎都不科技
129,6739225167848850437,shy ™️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6739225167848850437,-5,badcase,金融/军事/励志为主，科技受众弱且近期内容不匹配
135,6732621523720537093,Curren,https://cn--xtb.noxinfluencer.com/tiktok/channel/6732621523720537093,-23,badcase,氛围/玄学/故事型内容为主，不适合科技推广
140,7028315276123882501,crypticchills,https://cn--xtb.noxinfluencer.com/tiktok/channel/7028315276123882501,-18,badcase,故事/惊悚娱乐为主，科技推广转化弱
145,7530932544894108685,inw1whhyg2,https://cn--xtb.noxinfluencer.com/tiktok/channel/7530932544894108685,-2,badcase,标签像科技号，但近10条全是社会新闻，科技转化不稳
156,7408925189672059937,TourTheUSA,https://cn--xtb.noxinfluencer.com/tiktok/channel/7408925189672059937,-10,badcase,内容是地区危险榜单，和科技推广几乎无关
172,6895753349040522245,The_Architect,https://cn--xtb.noxinfluencer.com/tiktok/channel/6895753349040522245,-2,badcase,以游戏/角色扮演为主，科技相关性弱
183,6688939192011883526,Slicktok,https://cn--xtb.noxinfluencer.com/tiktok/channel/6688939192011883526,-20,badcase,娱乐内容占主导，科技相关信号弱且最近内容多与科技无关
186,6795059447452500998,Jared Frazier,https://cn--xtb.noxinfluencer.com/tiktok/channel/6795059447452500998,5,badcase,有产品评测标签，但内容主线是烹饪/游戏，科技推广匹配度低
196,7312167222230647854,Mr Rattlebone,https://cn--xtb.noxinfluencer.com/tiktok/channel/7312167222230647854,0,badcase,幻想/故事化内容占主导，科技标签不足以支撑产品推广
199,6940352604766323714,Приоритет,https://cn--xtb.noxinfluencer.com/tiktok/channel/6940352604766323714,4,badcase,有AI词，但近期内容多为季节/泛娱乐，科技推广相关性弱
205,6816365264986407942,Sienna Hayes,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816365264986407942,15,badcase,标签有科技/评测，但最近10条全是健身自我提升
208,7519392999009403934,Anthony Psychosis Survivor,https://cn--xtb.noxinfluencer.com/tiktok/channel/7519392999009403934,2,badcase,内容核心是心理健康案例，AI仅是话题背景
