rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,5719448794,Scooby,https://cn.noxinfluencer.com/instagram/channel/5719448794,-15,badcase,娱乐游戏向，和农业产品推广几乎无关
3,1254360248,Re:wild,https://cn.noxinfluencer.com/instagram/channel/1254360248,-5,badcase,偏野生动物保护，与农业产品推广场景不符
10,49809173443,David Shapiro,https://cn.noxinfluencer.com/instagram/channel/49809173443,2,badcase,仅有泛化产品词，缺少农业语境
11,14802606916,Ertl,https://cn.noxinfluencer.com/instagram/channel/14802606916,8,badcase,农场玩具品牌，和真实农业产品推广不完全一致
13,7119311318,Power Of Africa,https://cn.noxinfluencer.com/instagram/channel/7119311318,-10,badcase,故事娱乐向，和农业产品推广不相关
14,228448479,World Bank Group,https://cn.noxinfluencer.com/instagram/channel/228448479,1,badcase,有食物话题，但偏发展/政策，不是农业产品推广
15,45470593580,Ace ♤,https://cn.noxinfluencer.com/instagram/channel/45470593580,-10,badcase,医疗健康向，与农业产品不相关
19,1526484406,Carmen Pratt,https://cn.noxinfluencer.com/instagram/channel/1526484406,0,badcase,素食生活与健康话题，农业产品相关性弱
22,1723800278,Freshwaters Illustrated,https://cn.noxinfluencer.com/instagram/channel/1723800278,-5,badcase,偏自然保护与影片内容，不适合农业产品推广
23,5279861,DANI  •  KLASS,https://cn.noxinfluencer.com/instagram/channel/5279861,0,badcase,日常励志向，与农业产品无关
24,2115096486,BNSF Railway,https://cn.noxinfluencer.com/instagram/channel/2115096486,0,badcase,铁路职业向，与农业产品无关
25,1605553601,US Customs & Border Protection,https://cn.noxinfluencer.com/instagram/channel/1605553601,0,badcase,执法机构账号，与农业产品无关
46,1651579931,Ganjapreneur,https://cn.noxinfluencer.com/instagram/channel/1651579931,-8,badcase,聚焦大麻行业新闻，和泛农业产品投放不匹配
60,2816952663,Hall and Hall,https://cn.noxinfluencer.com/instagram/channel/2816952663,0,badcase,牧场地产内容，偏土地交易而非农产品
61,48391272596,Historic Propertunities,https://cn.noxinfluencer.com/instagram/channel/48391272596,0,badcase,历史/社区内容为主，农业无关
65,1069406705,Fay Ranches,https://cn.noxinfluencer.com/instagram/channel/1069406705,0,badcase,牧场地产内容，偏土地交易而非农产品
73,2959825071,Animal Outlook | Undercover Investigations,https://cn.noxinfluencer.com/instagram/channel/2959825071,5,badcase,素食调查立场与农业推广冲突明显
74,35850335,Lynn Richardson,https://cn.noxinfluencer.com/instagram/channel/35850335,0,badcase,生活/商务泛内容，和农业无关
75,78597625739,Dr.Banana,https://cn.noxinfluencer.com/instagram/channel/78597625739,0,badcase,无有效标签，无法判断相关性
79,299467049,Wrestling Club at FAMU,https://cn.noxinfluencer.com/instagram/channel/299467049,-15,badcase,摔跤社团，和农业产品推广完全不相关
83,212257211,Sheri Winter Parker | North Fork Real Estate | Corcoran,https://cn.noxinfluencer.com/instagram/channel/212257211,-15,badcase,房产账号，与农业产品推广无关
92,16338546656,Trillionaire Estates ⚜️,https://cn.noxinfluencer.com/instagram/channel/16338546656,-15,badcase,豪宅房产账号，与农业产品无关
93,214160754,BID,https://cn.noxinfluencer.com/instagram/channel/214160754,0,badcase,拉美科技泛议题账号，农业产品相关性弱
98,2719486839,Backslash,https://cn.noxinfluencer.com/instagram/channel/2719486839,0,badcase,科技商业话题，缺少农业产品受众
110,1975038226,Parsons Healthy Materials Lab,https://cn.noxinfluencer.com/instagram/channel/1975038226,0,badcase,设计建筑向，与农业产品无关
114,27007789517,Director of Field Operations,https://cn.noxinfluencer.com/instagram/channel/27007789517,0,badcase,执法安全向，与农业产品无关
