rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
18,51880178091,HMJ AGRO PVT. LTD.,https://cn--xtb.noxinfluencer.com/instagram/channel/51880178091,0,badcase,无有效标签，农业相关证据缺失
20,7619814648,👩🏻‍🌾دختر مزرعه🌱,https://cn--xtb.noxinfluencer.com/instagram/channel/7619814648,0,badcase,标签缺失，农业产品相关证据不足
24,40820077288,jalil_ahmadi__1964,https://cn--xtb.noxinfluencer.com/instagram/channel/40820077288,0,badcase,无标签与内容证据，难判为相关
34,1412650717,Dharamjeet_Singh_Chahal,https://cn--xtb.noxinfluencer.com/instagram/channel/1412650717,0,badcase,无标签无内容证据
36,21605232455,Miloš Spasojević,https://cn--xtb.noxinfluencer.com/instagram/channel/21605232455,0,badcase,无标签无内容证据
37,34931920166,شرکت نگین سبز ساوه,https://cn--xtb.noxinfluencer.com/instagram/channel/34931920166,0,badcase,信息不足，无法判断农产品相关性
38,51185329106,Rinku,https://cn--xtb.noxinfluencer.com/instagram/channel/51185329106,0,badcase,健身内容与农产品推广无关
42,1285064767,КАПСУЛЫ ДЛЯ ПОХУДЕНИЯ💊АСТАНА АҚТӨБЕ АЛМАТЫ,https://cn--xtb.noxinfluencer.com/instagram/channel/1285064767,0,badcase,减肥胶囊与农产品类目不相关
43,38058278401,I DON’T WANT TO DROP OUT 🥹😩,https://cn--xtb.noxinfluencer.com/instagram/channel/38058278401,-15,badcase,娱乐短视频为主，和农产品推广场景不符
48,8537848948,Claudio Neri Tarciso Lima,https://cn--xtb.noxinfluencer.com/instagram/channel/8537848948,0,badcase,无标签无内容证据
61,25019114624,AMYZ,https://cn--xtb.noxinfluencer.com/instagram/channel/25019114624,0,badcase,无有效农业信息，无法判断相关性
65,45932817268,For The Nature,https://cn--xtb.noxinfluencer.com/instagram/channel/45932817268,0,badcase,自然风景号，缺少农产品推广场景
69,76323565581,Anvar Haqberdiyev,https://cn--xtb.noxinfluencer.com/instagram/channel/76323565581,0,badcase,无标签无视频，相关性不足
74,5829701771,João_Paulo,https://cn--xtb.noxinfluencer.com/instagram/channel/5829701771,0,badcase,无有效标签，相关性不足
78,5393803544,Vanlalchhanchhuahi Ralte,https://cn--xtb.noxinfluencer.com/instagram/channel/5393803544,0,badcase,仅摄影标签，与农产品推广无关
82,52222151097,Agro Jabotoma- Lucelia Aparecida da Costa,https://cn--xtb.noxinfluencer.com/instagram/channel/52222151097,0,badcase,无标签，无相关证据
98,50883021856,agro _br,https://cn--xtb.noxinfluencer.com/instagram/channel/50883021856,0,badcase,仅编辑标签，无农业相关性
102,1508238496,Gislaine Marques,https://cn--xtb.noxinfluencer.com/instagram/channel/1508238496,0,badcase,无标签，无法判断相关性
109,49966954419,Соғым Талдыкорган Доставка,https://cn--xtb.noxinfluencer.com/instagram/channel/49966954419,0,badcase,无标签，缺少农业语义
116,34436953568,pradip,https://cn--xtb.noxinfluencer.com/instagram/channel/34436953568,5,badcase,有农业标签，但主内容偏娱乐
117,2283834178,Самал Ишангалиева,https://cn--xtb.noxinfluencer.com/instagram/channel/2283834178,0,badcase,无标签，缺少农业语义
118,65737775005,Shivani Ji Diwakar,https://cn--xtb.noxinfluencer.com/instagram/channel/65737775005,0,badcase,无标签，缺少农业语义
119,5753676293,Valdir Misnerovicz,https://cn--xtb.noxinfluencer.com/instagram/channel/5753676293,1,badcase,仅有 food 泛标签，缺少农产品语义
122,62104520103,krishi yantra,https://cn--xtb.noxinfluencer.com/instagram/channel/62104520103,0,badcase,偏泛流量与工程向，和农业产品不匹配
130,1326345825,Santi Arnaudo,https://cn--xtb.noxinfluencer.com/instagram/channel/1326345825,0,badcase,无有效标签，无法判断相关性
131,8742258071,Murilo Groth,https://cn--xtb.noxinfluencer.com/instagram/channel/8742258071,-15,badcase,娱乐和游戏占主导，不适合农产品推广
134,7341357373,Jose A Perez,https://cn--xtb.noxinfluencer.com/instagram/channel/7341357373,0,badcase,无有效标签，无法判断相关性
136,2311258398,GILIANA  MORO,https://cn--xtb.noxinfluencer.com/instagram/channel/2311258398,0,badcase,无有效标签，无法判断相关性
141,15924250638,Seis Tierras,https://cn--xtb.noxinfluencer.com/instagram/channel/15924250638,0,badcase,无有效标签，无法判断相关性
144,1955335265,Marcelo Pina,https://cn--xtb.noxinfluencer.com/instagram/channel/1955335265,0,badcase,无有效标签，无法判断相关性
149,73800739048,Binshad,https://cn--xtb.noxinfluencer.com/instagram/channel/73800739048,0,badcase,无有效标签，无法判断相关性
151,60826506652,‼️ अंत अस्ति प्रारंभ ‼️,https://cn--xtb.noxinfluencer.com/instagram/channel/60826506652,0,badcase,时尚生活向，缺少农业/农产品相关标签
154,53500828442,Alok Chaudhary,https://cn--xtb.noxinfluencer.com/instagram/channel/53500828442,0,badcase,仅个人名标签，无法判断农产品相关性
170,6328198578,Ura e Suloves,https://cn--xtb.noxinfluencer.com/instagram/channel/6328198578,-10,badcase,ASMR食音格式，不适合农产品推广
173,9007405810,Təbii kənd məhsulları,https://cn--xtb.noxinfluencer.com/instagram/channel/9007405810,0,badcase,清洁生活向，缺少农产品语义
174,44360763498,BOLACHEIA_,https://cn--xtb.noxinfluencer.com/instagram/channel/44360763498,0,badcase,无标签无内容，无法判断相关性
175,63719889160,Madhuvanam,https://cn--xtb.noxinfluencer.com/instagram/channel/63719889160,0,badcase,无标签无内容，无法判断相关性
176,10239727263,HORTI MIX DO VALLE,https://cn--xtb.noxinfluencer.com/instagram/channel/10239727263,0,badcase,缺少标签和内容证据，无法判断相关性
177,25232281611,Sandra | Agricultrice 👩‍🌾,https://cn--xtb.noxinfluencer.com/instagram/channel/25232281611,0,badcase,马和动物向内容，缺少农产品证据
179,4727000724,Yeşildağınçiftliği,https://cn--xtb.noxinfluencer.com/instagram/channel/4727000724,0,badcase,缺少标签和内容证据，无法判断相关性
180,6789476662,NUTRIAGRO | AGRONEGÓCIOS,https://cn--xtb.noxinfluencer.com/instagram/channel/6789476662,0,badcase,披萨促销为主，和农产品无关
181,1554944908,Frutos Vale Verde,https://cn--xtb.noxinfluencer.com/instagram/channel/1554944908,0,badcase,缺少标签和内容证据，无法判断相关性
184,2128086311,Verde Origen,https://cn--xtb.noxinfluencer.com/instagram/channel/2128086311,0,badcase,缺少标签和内容证据，无法判断相关性
186,145437079,danielantequera,https://cn--xtb.noxinfluencer.com/instagram/channel/145437079,0,badcase,政治选举账号，农产品相关性很弱
206,10014324710,Agriculture is Sexy Network,https://cn--xtb.noxinfluencer.com/instagram/channel/10014324710,1,badcase,农业泛话题但以娱乐短视频为主，缺少产品推广场景
207,10028497283,The Rancher Advocacy Program,https://cn--xtb.noxinfluencer.com/instagram/channel/10028497283,-5,badcase,纯素/动物权益导向，与农产品推广方向冲突
213,10377026497,Terra Excel Drones,https://cn--xtb.noxinfluencer.com/instagram/channel/10377026497,0,badcase,仅凭名字像无人机业务，缺少农业产品证据
214,10424743251,Amihan Women,https://cn--xtb.noxinfluencer.com/instagram/channel/10424743251,0,badcase,仅有气候/女性/正义标签，与农产品推广无关
218,10569003002,Plural Magazine,https://cn--xtb.noxinfluencer.com/instagram/channel/10569003002,0,badcase,设计/艺术类频道，与农业产品不相关
219,1058078865,OECD,https://cn--xtb.noxinfluencer.com/instagram/channel/1058078865,0,badcase,经济政策类频道，缺少农产品推广场景
221,1069406705,Fay Ranches,https://cn--xtb.noxinfluencer.com/instagram/channel/1069406705,0,badcase,野生动物/纪录片方向，与农产品推广不符
229,10913886045,eudebates.tv,https://cn--xtb.noxinfluencer.com/instagram/channel/10913886045,-15,badcase,政治国际关系频道，与农产品推广明显不匹配
233,1112272263,Marbleseed,https://cn--xtb.noxinfluencer.com/instagram/channel/1112272263,0,badcase,无标签无内容证据，相关性不足
238,11294101657,HAWE Hydraulik,https://cn--xtb.noxinfluencer.com/instagram/channel/11294101657,0,badcase,液压与科技内容，和农产品推广不相关
239,1138381506,Hon. Ramatu El-ladan 🇳🇬☕️💫,https://cn--xtb.noxinfluencer.com/instagram/channel/1138381506,0,badcase,政治与鞋包销售混杂，农业相关性弱
245,11663268948,1st Products Inc,https://cn--xtb.noxinfluencer.com/instagram/channel/11663268948,0,badcase,仅有公司名，缺少农业相关证据
249,1199865257,Plant Based News,https://cn--xtb.noxinfluencer.com/instagram/channel/1199865257,0,badcase,素食新闻与倡议主导，不适合农产品推广
252,1221326179,DIMI NAKOV 🌍,https://cn--xtb.noxinfluencer.com/instagram/channel/1221326179,0,badcase,无标签无内容线索，难以支持农产品推广
259,1254360248,Re:wild,https://cn--xtb.noxinfluencer.com/instagram/channel/1254360248,-15,badcase,野生动物与保育主轴，和农产品推广明显不符
266,12848054004,METISA,https://cn--xtb.noxinfluencer.com/instagram/channel/12848054004,0,badcase,标签仅是通用公司信息，缺少农业相关性
267,13081007967,Federal Ministry of Finance,https://cn--xtb.noxinfluencer.com/instagram/channel/13081007967,0,badcase,财政/政府属性明显，和农产品推广目标不匹配
274,1346911198,Stephen Akintayo,https://cn--xtb.noxinfluencer.com/instagram/channel/1346911198,0,badcase,商业地产/投资导向，和农产品推广目标偏离
