rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
11,34522505,Amber Sharniece,https://cn.noxinfluencer.com/instagram/channel/34522505,0,badcase,vlog/灵感向，和数字产品不相关
13,614272043,SALOME EMANI,https://cn.noxinfluencer.com/instagram/channel/614272043,0,badcase,时尚美妆向，不适合数字产品投放
14,66349396467,Joii | The Profit Princess,https://cn.noxinfluencer.com/instagram/channel/66349396467,0,badcase,无标签证据，相关性不足
24,4184188627,Bryan Delimata,https://cn.noxinfluencer.com/instagram/channel/4184188627,0,badcase,无标签且无主题证据
26,13480909966,Lori Crosby,https://cn.noxinfluencer.com/instagram/channel/13480909966,0,badcase,精神/励志垂类，和数字产品推广无关
27,45855956442,Mohamed Keita,https://cn.noxinfluencer.com/instagram/channel/45855956442,0,badcase,售货机业务偏实体生意，数字产品关联弱
31,69497779270,Jenn Allen | Sober life Coach,https://cn.noxinfluencer.com/instagram/channel/69497779270,0,badcase,空标签且内容指向戒酒教练，相关性不足
32,1275286588,This Dyny World 🌎,https://cn.noxinfluencer.com/instagram/channel/1275286588,0,badcase,仅有 baby 标签，缺少数字产品相关受众
36,21853021,Tony Matusiak,https://cn.noxinfluencer.com/instagram/channel/21853021,0,badcase,无标签和内容证据，无法支持数字产品推广
37,2673698355,Your Digital Bestie,https://cn.noxinfluencer.com/instagram/channel/2673698355,0,badcase,缺少标签和内容证据，无法判断为数字产品频道
42,40973696750,PortalForms,https://cn.noxinfluencer.com/instagram/channel/40973696750,0,badcase,净水器垂类，和数字产品推广偏离
50,47547342423,Dorothy Williamson | Helping You Build Income with Purpose,https://cn.noxinfluencer.com/instagram/channel/47547342423,0,badcase,信用修复服务垂类，与数字产品不匹配
53,1648737964,Samantha Wolk | Wellness Brand Consultant,https://cn.noxinfluencer.com/instagram/channel/1648737964,-5,badcase,健康疗愈向，和数字产品推广相关性弱
57,200652574,Online Business Coach & Real Estate Investor,https://cn.noxinfluencer.com/instagram/channel/200652574,0,badcase,房产为主，和数字产品推广关联弱
60,8518085677,Salangie_Brown,https://cn.noxinfluencer.com/instagram/channel/8518085677,0,badcase,个人美业/生活向，缺少产品转化信号
61,645929643,Roxy,https://cn.noxinfluencer.com/instagram/channel/645929643,0,badcase,孕期母婴向，和数字产品推广关联弱
63,200479864,Dupé,https://cn.noxinfluencer.com/instagram/channel/200479864,-5,badcase,宗教内容为主，不适合数字产品推广
72,44753734,Chicago Hair Stylist,https://cn.noxinfluencer.com/instagram/channel/44753734,0,badcase,美发工具向，和数字产品推广不匹配
74,5411771788,Mobile Homes And Trailer LLC,https://cn.noxinfluencer.com/instagram/channel/5411771788,0,badcase,房屋/拖车业务为主，数字产品相关性低
78,252860949,THE TAY MILLY 🎀,https://cn.noxinfluencer.com/instagram/channel/252860949,0,badcase,无标签无内容证据，相关性不足
80,240933944,Tiara Charelle 🦋,https://cn.noxinfluencer.com/instagram/channel/240933944,0,badcase,无标签无内容证据，相关性不足
87,30495897,Victoria Katseva,https://cn.noxinfluencer.com/instagram/channel/30495897,0,badcase,无标签无内容证据，相关性不足
89,892397122,A M Y A H 🤍,https://cn.noxinfluencer.com/instagram/channel/892397122,0,badcase,无标签无内容证据，相关性不足
91,1022901,g_ftini,https://cn.noxinfluencer.com/instagram/channel/1022901,-5,badcase,娱乐向内容为主，缺少数字产品语境
93,6697376140,JamesParadiseLifestyle,https://cn.noxinfluencer.com/instagram/channel/6697376140,0,badcase,无标签无内容证据，相关性不足
96,3688829996,Laay,https://cn.noxinfluencer.com/instagram/channel/3688829996,0,badcase,仅有星座单标签，难支撑数字产品推广
97,303574556,Juliete Mirella,https://cn.noxinfluencer.com/instagram/channel/303574556,0,badcase,无标签无内容证据，相关性不足
