rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
46,47928871845,سرای‌تل|موبایل|لپ تاپ|کنسول بازی|اسپیکر و باند,https://cn--xtb.noxinfluencer.com/instagram/channel/47928871845,5,badcase,电子零售为主，数字产品标签语义不一致
277,78534658477,Mitak Abdelhafid Kamal,https://cn--xtb.noxinfluencer.com/instagram/channel/78534658477,0,badcase,无标签与内容证据，无法判断相关性
285,3822328264,Digital Product | Cuan Bareng,https://cn--xtb.noxinfluencer.com/instagram/channel/3822328264,0,badcase,无标签与内容证据，无法判断相关性
289,70252845969,Kema Sambondu | E-commerce Profit Strategist,https://cn--xtb.noxinfluencer.com/instagram/channel/70252845969,0,badcase,无标签与内容证据，无法判断相关性
299,58277360743,Charlie Newnham | Digital Products Coach,https://cn--xtb.noxinfluencer.com/instagram/channel/58277360743,0,badcase,仅标题含数字产品，无标签与内容支撑
302,2241963673,Jane Pineda,https://cn--xtb.noxinfluencer.com/instagram/channel/2241963673,0,badcase,几乎无标签，缺少数字产品相关信号
303,46131250378,Mom Clicks and Picks,https://cn--xtb.noxinfluencer.com/instagram/channel/46131250378,0,badcase,无有效标签，和数字产品无关
306,48440961387,Sketsapreneur,https://cn--xtb.noxinfluencer.com/instagram/channel/48440961387,0,badcase,无标签，无法判断为相关频道
307,145711547,CherryPie,https://cn--xtb.noxinfluencer.com/instagram/channel/145711547,0,badcase,餐饮加盟方向，与数字产品推广不符
311,4731981094,Jai Karan,https://cn--xtb.noxinfluencer.com/instagram/channel/4731981094,0,badcase,无标签，缺少任何相关信号
316,47373184059,SmartShop Digital,https://cn--xtb.noxinfluencer.com/instagram/channel/47373184059,0,badcase,宠物猫垂类，与数字产品无关
318,55746040308,♡ Jahmila | Digital Marketing + Content Creation,https://cn--xtb.noxinfluencer.com/instagram/channel/55746040308,0,badcase,无标签，无法支持相关判断
319,70397899755,callie,https://cn--xtb.noxinfluencer.com/instagram/channel/70397899755,0,badcase,无标签，缺少数字产品相关信号
321,78837814049,digitalempiresofficial,https://cn--xtb.noxinfluencer.com/instagram/channel/78837814049,0,badcase,无标签，缺少任何相关性依据
325,201943567,Keren Puig,https://cn--xtb.noxinfluencer.com/instagram/channel/201943567,0,badcase,仅有儿童标签，与数字产品无关
328,18411946267,Bapakperjuangan,https://cn--xtb.noxinfluencer.com/instagram/channel/18411946267,0,badcase,无标签无内容证据，无法判断为数字产品渠道
329,1965086392,NAVY STUDIO,https://cn--xtb.noxinfluencer.com/instagram/channel/1965086392,0,badcase,无标签无内容证据，相关性不足
330,47534218151,💎𝓐𝓜𝓔𝓡²⁸🤍,https://cn--xtb.noxinfluencer.com/instagram/channel/47534218151,0,badcase,偏TikTok/viral娱乐内容，缺少数字产品推广承接
331,275407432,Mr Herve,https://cn--xtb.noxinfluencer.com/instagram/channel/275407432,0,badcase,服饰/艺人向标签，和数字产品推广不匹配
342,69548216635,innovation & digital,https://cn--xtb.noxinfluencer.com/instagram/channel/69548216635,0,badcase,过于泛化的数字主题，缺少推广承接证据
343,50890571498,Quentin AWESSO,https://cn--xtb.noxinfluencer.com/instagram/channel/50890571498,0,badcase,艺术时尚向内容，与数字产品推广不相关
354,2344477218,منتجات رقمية | RH,https://cn--xtb.noxinfluencer.com/instagram/channel/2344477218,0,badcase,无标签和视频证据，无法支撑数字产品推广
355,54772118735,Digital Products | Yahya 🥇,https://cn--xtb.noxinfluencer.com/instagram/channel/54772118735,0,badcase,无标签和视频证据，无法支撑数字产品推广
356,335672707,Samara Souza | Estrategista digital,https://cn--xtb.noxinfluencer.com/instagram/channel/335672707,0,badcase,信仰励志号，与数字产品推广不匹配
358,61842303376,Ym_Digital,https://cn--xtb.noxinfluencer.com/instagram/channel/61842303376,-15,badcase,挑战娱乐号，和数字产品推广明显冲突
360,47873921970,𝑳𝒆𝒘𝒊𝒔 𝑴𝒂𝒔𝒂𝒓𝒊,https://cn--xtb.noxinfluencer.com/instagram/channel/47873921970,0,badcase,励志文案为主，缺少数字产品和商业推广信号
363,61346993452,Tamuu,https://cn--xtb.noxinfluencer.com/instagram/channel/61346993452,0,badcase,标签和内容都为空，缺少可用证据
365,72685893525,"Rosana | Canva, Digital Product & IG Growth",https://cn--xtb.noxinfluencer.com/instagram/channel/72685893525,0,badcase,无标签和视频证据，无法判断为数字产品推广号
368,56293519846,ILIASSPRO,https://cn--xtb.noxinfluencer.com/instagram/channel/56293519846,0,badcase,标签为空，缺少数字产品相关证据
370,64248204217,Digitostore,https://cn--xtb.noxinfluencer.com/instagram/channel/64248204217,0,badcase,只有购买导向，没有数字产品主题证据
375,47885388942,📍Lash🏚Trap,https://cn--xtb.noxinfluencer.com/instagram/channel/47885388942,0,badcase,无标签且主题不明，缺少推广依据
376,44508987400,ii digital,https://cn--xtb.noxinfluencer.com/instagram/channel/44508987400,0,badcase,无标签和内容证据，无法判断为相关
377,48495829237,They Call Me B,https://cn--xtb.noxinfluencer.com/instagram/channel/48495829237,0,badcase,物流卡车调度垂直，和数字产品推广不匹配
379,9167229328,Digital art/نقاشی دیجیتال,https://cn--xtb.noxinfluencer.com/instagram/channel/9167229328,0,badcase,数字艺术内容为主，缺少数字产品推广场景
380,75847475218,Carlyspire Creatives,https://cn--xtb.noxinfluencer.com/instagram/channel/75847475218,0,badcase,无标签和内容证据，无法判断为相关
383,44102202874,IDO | Doi Digitalmu,https://cn--xtb.noxinfluencer.com/instagram/channel/44102202874,0,badcase,香氛实体产品号，不适合数字产品推广
386,5643523790,𝑿𝒊𝒐 ♕,https://cn--xtb.noxinfluencer.com/instagram/channel/5643523790,-10,badcase,娱乐流量号，非产品推广型频道
387,61940798192,أنت مليونير | تحفيز | أفكار | نجاح,https://cn--xtb.noxinfluencer.com/instagram/channel/61940798192,0,badcase,励志/成功内容为主，缺少数字产品推广场景
388,22366912762,Pamper Palace Detox Spa,https://cn--xtb.noxinfluencer.com/instagram/channel/22366912762,0,badcase,健康美容类实体产品号，与数字产品不匹配
391,56258881419,Junior Monkoun,https://cn--xtb.noxinfluencer.com/instagram/channel/56258881419,0,badcase,无标签和内容证据，无法判断为相关
395,33250801699,HouseholdWasteCollections,https://cn--xtb.noxinfluencer.com/instagram/channel/33250801699,0,badcase,废弃物清运业务号，与数字产品无关
399,8251803298,devs.thz,https://cn--xtb.noxinfluencer.com/instagram/channel/8251803298,0,badcase,无标签和内容证据，无法判断为相关
