rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,69994623145,Josh Quiñonez,https://cn.noxinfluencer.com/instagram/channel/69994623145,0,badcase,无标签与内容信号，无法判断相关性
4,12281817,Kylie,https://cn.noxinfluencer.com/instagram/channel/12281817,0,badcase,仅有合作标记，无相关品类信号
6,11830955,Taylor Swift,https://cn.noxinfluencer.com/instagram/channel/11830955,-10,badcase,娱乐音乐型频道，与家电推广目标不符
7,460563723,Selena Gomez,https://cn.noxinfluencer.com/instagram/channel/460563723,-3,badcase,娱乐为主，虽有美妆健康但缺少产品推广语境
8,25025320,Instagram,https://cn.noxinfluencer.com/instagram/channel/25025320,0,badcase,无标签无内容信号
9,18428658,Kim Kardashian,https://cn.noxinfluencer.com/instagram/channel/18428658,-5,badcase,明星娱乐号，缺少家居清洁类受众
10,13768085013,Jane Knight,https://cn.noxinfluencer.com/instagram/channel/13768085013,0,badcase,无标签无内容信号
11,232192182,Dwayne Johnson,https://cn.noxinfluencer.com/instagram/channel/232192182,-5,badcase,娱乐向明星号，不适合家电推广
12,325734299,Miley Cyrus,https://cn.noxinfluencer.com/instagram/channel/325734299,-10,badcase,音乐娱乐频道，和家电推广错位明显
13,8713286,Sabrina Carpenter,https://cn.noxinfluencer.com/instagram/channel/8713286,-5,badcase,明星音乐号，和 Dreame 目标不匹配
14,13460080,Nike,https://cn.noxinfluencer.com/instagram/channel/13460080,0,badcase,运动品牌内容为主，和 Dreame 类目不相关
15,12995776,Gigi Hadid,https://cn.noxinfluencer.com/instagram/channel/12995776,-5,badcase,时尚娱乐型明星号，家电推广关联弱
16,60088258571,Kate S.,https://cn.noxinfluencer.com/instagram/channel/60088258571,11,badcase,有 Dreame 与清洁标签，但 ASMR 形式错配严重
17,528817151,NASA,https://cn.noxinfluencer.com/instagram/channel/528817151,0,badcase,航天科普，与家电推广不相关
18,1287006597,Vin Diesel,https://cn.noxinfluencer.com/instagram/channel/1287006597,-5,badcase,娱乐电影号，和产品推广无关
20,19596899,⋆𐙚₊˚⊹♡ camila,https://cn.noxinfluencer.com/instagram/channel/19596899,-5,badcase,娱乐音乐号，产品推广相关性低
21,208560325,Khloé Kardashian,https://cn.noxinfluencer.com/instagram/channel/208560325,-4,badcase,娱乐明星号，健康标签不足以支撑家电推广
23,324599988,Wardell Curry,https://cn.noxinfluencer.com/instagram/channel/324599988,-5,badcase,体育娱乐号，与家电推广目标不符
24,19649762,madisonbeer,https://cn.noxinfluencer.com/instagram/channel/19649762,-5,badcase,音乐娱乐型明星号，缺少相关品类证据
25,186611121,Chris Bumstead,https://cn.noxinfluencer.com/instagram/channel/186611121,-5,badcase,健身娱乐号，不是家电类目标受众
26,304358009,Addison,https://cn.noxinfluencer.com/instagram/channel/304358009,-5,badcase,服饰号，与Dreame家电/美妆产品推广无明显交集
27,144646783,Kris Jenner,https://cn.noxinfluencer.com/instagram/channel/144646783,-10,badcase,娱乐时尚号，缺少家电/美妆产品推广信号
29,16363404,Hilary Duff,https://cn.noxinfluencer.com/instagram/channel/16363404,-10,badcase,娱乐家庭号，非产品测评型内容
