rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
45,1913006276,Amélie Neten,https://cn--xtb.noxinfluencer.com/instagram/channel/1913006276,-15,badcase,娱乐时尚号，品牌词仅埋在扩展标签里，不适合
50,1447229753,Judah Shaw,https://cn--xtb.noxinfluencer.com/instagram/channel/1447229753,-12,badcase,搞笑家庭号，缺少产品评测或购买场景，不适合
57,70140657751,Milana Alekber 🇦🇿,https://cn--xtb.noxinfluencer.com/instagram/channel/70140657751,0,badcase,书籍推荐频道，和 Dreame 家电推广不在同一场景
62,64234959297,Jaz Guzman 🐆✨,https://cn--xtb.noxinfluencer.com/instagram/channel/64234959297,0,badcase,时尚奢品号，和 Dreame 家电推广不匹配
64,1235153894,Dana Alchamister,https://cn--xtb.noxinfluencer.com/instagram/channel/1235153894,0,badcase,母婴梦想话题，和 Dreame 品牌推广关联弱
66,223666992,maggievillegas27,https://cn--xtb.noxinfluencer.com/instagram/channel/223666992,-2,badcase,清洁 ASMR 风格与家电推广不匹配
67,49538690975,Courtney Babic 🇦🇺 🇲🇰,https://cn--xtb.noxinfluencer.com/instagram/channel/49538690975,0,badcase,家庭生活向但与 Dreame 缺少品类相关性
69,253718472,Tiffany  🌸,https://cn--xtb.noxinfluencer.com/instagram/channel/253718472,0,badcase,时尚美妆生活号，缺少家电/测评/购买导向，不适合Dreame推广
71,30806471,Slađana Ostić,https://cn--xtb.noxinfluencer.com/instagram/channel/30806471,0,badcase,时尚生活号，和 Dreame 家电推广不匹配
75,1581371717,Nef,https://cn--xtb.noxinfluencer.com/instagram/channel/1581371717,-8,badcase,ASMR主导且无Dreame直相关，虽有清洁/测评容量但匹配弱
76,79508384078,dwei diaries,https://cn--xtb.noxinfluencer.com/instagram/channel/79508384078,0,badcase,无品牌或产品相关信号，难以支撑 Dreame 推广
77,66046327366,Хомбоо & Гомбоо,https://cn--xtb.noxinfluencer.com/instagram/channel/66046327366,0,badcase,无品牌或产品相关信号，难以支撑 Dreame 推广
85,64589766016,nadia,https://cn--xtb.noxinfluencer.com/instagram/channel/64589766016,-2,badcase,开箱测评有价值，但 ASMR/无声格式偏强不匹配
92,21428905429,"Allie, Marley, Pumpkin, and Bennie",https://cn--xtb.noxinfluencer.com/instagram/channel/21428905429,0,badcase,宠物日常号，缺少家电/测评/购物语境
96,4508809450,Mantas Vaitiekunas,https://cn--xtb.noxinfluencer.com/instagram/channel/4508809450,0,badcase,宠物/生活混合号，缺少家电推广证据
106,8569154038,Weronika Świerkosz,https://cn--xtb.noxinfluencer.com/instagram/channel/8569154038,0,badcase,风景内容，和 Dreame 推广无关
109,51492801462,ОПТОМ И В РОЗНИЦУ,https://cn--xtb.noxinfluencer.com/instagram/channel/51492801462,0,badcase,无标签无内容，无法判断相关性
111,186961554,büşra,https://cn--xtb.noxinfluencer.com/instagram/channel/186961554,0,badcase,时尚社区号，品类和 Dreame 错位
120,47285968231,Selli,https://cn--xtb.noxinfluencer.com/instagram/channel/47285968231,0,badcase,娱乐/美食向，和家电推广不符
121,61362463402,R.electromenager,https://cn--xtb.noxinfluencer.com/instagram/channel/61362463402,0,badcase,无标签无内容，缺少相关证据
124,65248394566,cehizlink,https://cn--xtb.noxinfluencer.com/instagram/channel/65248394566,0,badcase,无有效标签，无法判断可推广性
134,77870746798,dreamebeauty_it,https://cn--xtb.noxinfluencer.com/instagram/channel/77870746798,0,badcase,无标签和内容证据，难判断为可投放创作者
137,77959557949,DreameBeauty France,https://cn--xtb.noxinfluencer.com/instagram/channel/77959557949,0,badcase,无标签证据，无法判断相关性
139,1114730795,Katalina 王海鏵,https://cn--xtb.noxinfluencer.com/instagram/channel/1114730795,0,badcase,摄影潮流内容为主，和 Dreame 产品不匹配
145,57669342175,nona_fortunaa,https://cn--xtb.noxinfluencer.com/instagram/channel/57669342175,-15,badcase,剧情娱乐号，与产品推广格式强冲突
154,8657600866,Chouaki.électroménager,https://cn--xtb.noxinfluencer.com/instagram/channel/8657600866,-15,badcase,马术/动物标签占主导，与 Dreame 家电推广错位
157,1188526389,Liu Yifei Fan Club Official 刘亦菲吧官方,https://cn--xtb.noxinfluencer.com/instagram/channel/1188526389,-5,badcase,粉丝娱乐向频道，和家电品牌推广关联很弱
159,47298008896,🇦🇪🇹🇷🇪🇺 دوریا بـرنـدز/آنـلاین شاپ/اروپـا،تـرکـیه و امارات,https://cn--xtb.noxinfluencer.com/instagram/channel/47298008896,-5,badcase,服饰网店场景与 Dreame 家电类推广不匹配
