rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
35,3941619263,Детские кухни и мебель.,https://cn--xtb.noxinfluencer.com/instagram/channel/3941619263,10,badcase,儿童厨房/家具方向，和成人厨房推广不匹配
126,1537375401,OLIVER GERBIG || based in Frankfurt,https://cn--xtb.noxinfluencer.com/instagram/channel/1537375401,5,badcase,车圈为主，厨房仅是零散标签，不适合推广
146,1609321527,Jhoon'G 🇨🇴🔥,https://cn--xtb.noxinfluencer.com/instagram/channel/1609321527,10,badcase,ASMR导向，虽有厨房标签但更像氛围内容
147,3180826623,Djmanou Boudiaf🇫🇷🇩🇿🫀,https://cn--xtb.noxinfluencer.com/instagram/channel/3180826623,20,badcase,仅有厨房词，整体语境与推广目标不符
193,57686866615,mishanavina,https://cn--xtb.noxinfluencer.com/instagram/channel/57686866615,10,badcase,ASMR娱乐为主，和厨房产品不匹配
226,56178786256,Kami Larae,https://cn--xtb.noxinfluencer.com/instagram/channel/56178786256,5,badcase,ASMR格式强错配，厨房词仅表面相关
245,36293584,Noah Klein,https://cn--xtb.noxinfluencer.com/instagram/channel/36293584,5,badcase,ASMR/满足感内容，和厨房推广格式冲突
253,915317564,Nouran ElShemy,https://cn--xtb.noxinfluencer.com/instagram/channel/915317564,5,badcase,ASMR主导，厨房词只是露出，不适合厨房产品推广
264,50894673549,marmeland 77,https://cn--xtb.noxinfluencer.com/instagram/channel/50894673549,5,badcase,塔罗/灵性内容为主，厨房词不构成有效相关性
278,56861346973,chattori chaat,https://cn--xtb.noxinfluencer.com/instagram/channel/56861346973,5,badcase,主内容是动漫娱乐，厨房词仅是附带标签
345,7100578058,💎N A Z N I N 🌹 نا ز نین 💎,https://cn--xtb.noxinfluencer.com/instagram/channel/7100578058,8,badcase,娱乐搞笑为主，厨房只是泛标签，推广不适配
447,8527158866,Daniel🌙,https://cn--xtb.noxinfluencer.com/instagram/channel/8527158866,10,badcase,美妆娱乐为主，厨房仅泛标签
466,61817939257,Marina.B | Hochzeit auf den ersten Blick,https://cn--xtb.noxinfluencer.com/instagram/channel/61817939257,5,badcase,真人秀娱乐为主，厨房标签不足以支撑推广
489,1785395537,Muskan & Abhi ❤️,https://cn--xtb.noxinfluencer.com/instagram/channel/1785395537,8,badcase,情侣娱乐内容为主，厨房仅是泛标签，转化弱
