rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
43,523903362,The Marathon Clothing,https://cn.noxinfluencer.com/instagram/channel/523903362,0,badcase,标签不命中，且偏娱乐/品牌向，缺少跑步马拉松证据
58,9446524,Claire Holt,https://cn.noxinfluencer.com/instagram/channel/9446524,0,badcase,娱乐美妆向，和马拉松推广无关
63,40798759,Roger Scott,https://cn.noxinfluencer.com/instagram/channel/40798759,0,badcase,喜剧情侣内容，与马拉松无关
76,23381692,AMEYA OKAMOTO,https://cn.noxinfluencer.com/instagram/channel/23381692,0,badcase,无马拉松或跑步相关信号
87,337849044,Stacy Thomson️️,https://cn.noxinfluencer.com/instagram/channel/337849044,5,badcase,娱乐/音乐为主，马拉松仅表面命中
94,10804583271,Océane Andréa,https://cn.noxinfluencer.com/instagram/channel/10804583271,0,badcase,仅播客泛标签，无马拉松信号
100,31833582,Tayshia Adams,https://cn.noxinfluencer.com/instagram/channel/31833582,0,badcase,时尚赞助号，缺少马拉松相关内容
102,7196095377,Katerina Finck,https://cn.noxinfluencer.com/instagram/channel/7196095377,-15,badcase,宠物犬垂类，与人类马拉松推广不相干
106,339712806,Noah Rolette,https://cn.noxinfluencer.com/instagram/channel/339712806,0,badcase,标签过泛，缺少跑步/赛事相关信号
132,7080916,Connor Franta,https://cn.noxinfluencer.com/instagram/channel/7080916,0,badcase,无马拉松或跑步相关信号，偏购物联动但不相关
141,239351182,Isaac Christopher Rochell,https://cn.noxinfluencer.com/instagram/channel/239351182,0,badcase,无马拉松/跑步信号，NFL与时尚方向不匹配
145,16271478987,Genny Mack | Wellness Educator,https://cn.noxinfluencer.com/instagram/channel/16271478987,0,badcase,健康疗愈向账号，缺少马拉松/跑步语境
146,5859413,Noreaga Nore,https://cn.noxinfluencer.com/instagram/channel/5859413,0,badcase,娱乐音乐向账号，与马拉松推广不相关
151,3694097,Sophia Chang,https://cn.noxinfluencer.com/instagram/channel/3694097,0,badcase,无马拉松相关标签，内容与跑步推广无关
184,237885438,Victoria Bennie,https://cn.noxinfluencer.com/instagram/channel/237885438,0,badcase,娱乐生活号，与马拉松推广无关。
187,490647941,Tanya Sam,https://cn.noxinfluencer.com/instagram/channel/490647941,0,badcase,商业创业号，与马拉松推广无直接相关。
209,268485353,tommy_rivs 🏴‍☠️,https://cn.noxinfluencer.com/instagram/channel/268485353,0,badcase,无马拉松或跑步相关标签，相关性缺失
212,51435137599,Ding Tang,https://cn.noxinfluencer.com/instagram/channel/51435137599,0,badcase,无标签，无相关内容信号
215,23728365,Maya + Hunter,https://cn.noxinfluencer.com/instagram/channel/23728365,0,badcase,情侣喜剧为主，与马拉松无关
224,48011221,Samantha MacIntyre,https://cn.noxinfluencer.com/instagram/channel/48011221,0,badcase,无标签无内容，无法判断相关性
227,132307,Laura Perlongo,https://cn.noxinfluencer.com/instagram/channel/132307,0,badcase,无马拉松或跑步相关证据，主题不匹配
233,29924047,Taryn Lamb,https://cn.noxinfluencer.com/instagram/channel/29924047,0,badcase,美妆旅行向频道，与马拉松推广不相关
236,10694988012,Brooke Monk,https://cn.noxinfluencer.com/instagram/channel/10694988012,0,badcase,仅泛健身品牌标签，无马拉松相关证据
251,30576719186,Ilana Dunn Solomon,https://cn.noxinfluencer.com/instagram/channel/30576719186,0,badcase,恋爱播客号，与马拉松推广无关
256,51458048,Jess Tonn McClain,https://cn.noxinfluencer.com/instagram/channel/51458048,0,badcase,无有效标签，无法判断相关性
258,4544115504,Nate Castner | Mountain Techne,https://cn.noxinfluencer.com/instagram/channel/4544115504,0,badcase,无标签，缺少相关证据
261,21192150,Nadya Okamoto,https://cn.noxinfluencer.com/instagram/channel/21192150,0,badcase,周期健康号，与马拉松推广不匹配
273,18204493,Tommy Gines,https://cn.noxinfluencer.com/instagram/channel/18204493,0,badcase,无标签，无法支撑推荐
276,1558654946,JacksonProperties & Associates,https://cn.noxinfluencer.com/instagram/channel/1558654946,20,badcase,房产号仅沾一个marathon标签，跑马受众不匹配
280,4338126,LESLIE SANTOS,https://cn.noxinfluencer.com/instagram/channel/4338126,0,badcase,life/skam类内容与marathon无关
287,3912761923,Jessica Kameko 👩‍👧‍👦🌎🐟,https://cn.noxinfluencer.com/instagram/channel/3912761923,0,badcase,母婴生活号，与marathon无关
290,46272354,Jordan Beau,https://cn.noxinfluencer.com/instagram/channel/46272354,0,badcase,coffee/时尚类账号，与marathon无关
296,506995065,Calli Hauger-Thackery,https://cn.noxinfluencer.com/instagram/channel/506995065,0,badcase,无标签无证据，无法判断相关性
310,1836511769,Michael Mitchell,https://cn.noxinfluencer.com/instagram/channel/1836511769,0,badcase,无相关标签，缺少马拉松线索
311,258288542,Kyle Forgeard,https://cn.noxinfluencer.com/instagram/channel/258288542,0,badcase,艺术纹身向，和马拉松无关
313,429747917,Valentin Osipov,https://cn.noxinfluencer.com/instagram/channel/429747917,0,badcase,关系/NYC 向内容，与马拉松无关
318,1725911961,Lynn-Kate,https://cn.noxinfluencer.com/instagram/channel/1725911961,0,badcase,美妆发型向，与马拉松无关
331,1696930263,LIZZIE RAMEY :),https://cn.noxinfluencer.com/instagram/channel/1696930263,0,badcase,无相关标签和视频证据
337,488260572,CJ Albertson,https://cn.noxinfluencer.com/instagram/channel/488260572,0,badcase,无标签无内容证据
339,176387444,G i s e l l e,https://cn.noxinfluencer.com/instagram/channel/176387444,0,badcase,无标签无内容证据
340,6973968516,Max Guyer,https://cn.noxinfluencer.com/instagram/channel/6973968516,0,badcase,无标签无内容证据
345,47161134272,Alex Beach,https://cn.noxinfluencer.com/instagram/channel/47161134272,0,badcase,无标签无内容证据
346,24752447,CLIF BAR,https://cn.noxinfluencer.com/instagram/channel/24752447,0,badcase,品牌号但无跑步/马拉松证据
351,196788718,Aidan Blake,https://cn.noxinfluencer.com/instagram/channel/196788718,0,badcase,无相关标签，和马拉松无明显关联
353,3177510,Kate Austin,https://cn.noxinfluencer.com/instagram/channel/3177510,0,badcase,娱乐情感向，与马拉松推广不相关
354,32704886,David,https://cn.noxinfluencer.com/instagram/channel/32704886,0,badcase,无标签，无法判断为相关创作者
361,5642530241,anna x sitar,https://cn.noxinfluencer.com/instagram/channel/5642530241,0,badcase,时尚旅行号，与马拉松无关
368,8697268739,Anali | latina millennial mom,https://cn.noxinfluencer.com/instagram/channel/8697268739,0,badcase,生活方式号，与马拉松无明显关联
370,411204237,Annie Tran,https://cn.noxinfluencer.com/instagram/channel/411204237,0,badcase,美妆家居号，与马拉松不相关
372,180079271,CLEARWATER FLORIDA PHOTOGRAPHER,https://cn.noxinfluencer.com/instagram/channel/180079271,0,badcase,摄影旅行号，和马拉松无关
377,3383226,Mariana Fernández,https://cn.noxinfluencer.com/instagram/channel/3383226,-15,badcase,娱乐舞蹈音乐向，和马拉松受众明显不匹配
398,3928203053,Melissa Graf,https://cn.noxinfluencer.com/instagram/channel/3928203053,0,badcase,生活/地域标签为主，缺少马拉松相关受众
402,1471001519,Carter Schmidt,https://cn.noxinfluencer.com/instagram/channel/1471001519,0,badcase,无有效相关标签
403,435145025,Lu,https://cn.noxinfluencer.com/instagram/channel/435145025,0,badcase,无有效相关标签
412,5647504025,hallie patel,https://cn.noxinfluencer.com/instagram/channel/5647504025,0,badcase,仅 life 标签，缺少相关信号
417,6187986341,Braden Guyot,https://cn.noxinfluencer.com/instagram/channel/6187986341,0,badcase,无有效相关标签
419,8560967262,Uly Morazan,https://cn.noxinfluencer.com/instagram/channel/8560967262,0,badcase,娱乐/家庭向，缺少马拉松相关信号
420,278969981,Maria Victoria Rellihan,https://cn.noxinfluencer.com/instagram/channel/278969981,0,badcase,无有效相关标签
422,176297323,Tamara Alak,https://cn.noxinfluencer.com/instagram/channel/176297323,0,badcase,无有效相关标签
431,30618266,Caleb-Michael Files,https://cn.noxinfluencer.com/instagram/channel/30618266,0,badcase,无相关标签
432,13841206,Julianna Simmons,https://cn.noxinfluencer.com/instagram/channel/13841206,0,badcase,母婴家庭向，与马拉松无关
433,562588510,Corey Moriarty,https://cn.noxinfluencer.com/instagram/channel/562588510,0,badcase,无相关标签
436,12630554671,Jasmine Richardson,https://cn.noxinfluencer.com/instagram/channel/12630554671,0,badcase,母婴穿搭向，与马拉松无关
438,1445107541,Shawn Barnett,https://cn.noxinfluencer.com/instagram/channel/1445107541,0,badcase,无相关标签
443,27715245,David Johnson,https://cn.noxinfluencer.com/instagram/channel/27715245,0,badcase,娱乐向，与马拉松无关
450,51190883,Sammy Wilk,https://cn.noxinfluencer.com/instagram/channel/51190883,0,badcase,音乐娱乐向，与马拉松无关
452,7581244529,Keep It Run Hundred ®,https://cn.noxinfluencer.com/instagram/channel/7581244529,0,badcase,无跑步或马拉松相关信号
454,176744319,Tyler Swartz,https://cn.noxinfluencer.com/instagram/channel/176744319,0,badcase,信息不足，无法判断相关性
457,19784479727,ggc,https://cn.noxinfluencer.com/instagram/channel/19784479727,0,badcase,标签过少，且与马拉松无关
459,1980193318,Rowan Vansleve,https://cn.noxinfluencer.com/instagram/channel/1980193318,0,badcase,食物类频道，与马拉松不相关
461,4155840682,H O L L Y W O O D 🛬🌴,https://cn.noxinfluencer.com/instagram/channel/4155840682,0,badcase,缺少有效标签，无法判断相关性
465,479386570,Mitch Ammons,https://cn.noxinfluencer.com/instagram/channel/479386570,0,badcase,房地产类频道，与马拉松无关
466,3291940954,Andi VanMeter,https://cn.noxinfluencer.com/instagram/channel/3291940954,0,badcase,信息不足，无法判断相关性
467,49972820,• JANESHA MOORE •,https://cn.noxinfluencer.com/instagram/channel/49972820,0,badcase,时尚穿搭号，与马拉松关联弱
468,189979840,DanceBlue,https://cn.noxinfluencer.com/instagram/channel/189979840,0,badcase,娱乐号，缺少跑步或赛事受众
472,2325847,Ichsan Akbar,https://cn.noxinfluencer.com/instagram/channel/2325847,0,badcase,娱乐属性强，与马拉松无关
476,21445433913,Release Recovery Foundation,https://cn.noxinfluencer.com/instagram/channel/21445433913,0,badcase,地点标签，无马拉松推广相关性
479,4731585,amanda_ferrin,https://cn.noxinfluencer.com/instagram/channel/4731585,0,badcase,健康故事向，缺少跑步场景
481,61221060878,SavageMias,https://cn.noxinfluencer.com/instagram/channel/61221060878,-15,badcase,娱乐内容占主导，与马拉松不匹配
487,2593240,Austin Clare,https://cn.noxinfluencer.com/instagram/channel/2593240,0,badcase,标签与马拉松无关
496,29020976,Antonia Passalacqua,https://cn.noxinfluencer.com/instagram/channel/29020976,0,badcase,标签无运动相关信号
