rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,2376738,Jovell - Alaska,https://cn.noxinfluencer.com/instagram/channel/2376738,0,badcase,无相关标签，和摄影器材无明显关联
16,28311075,Anjelica Bette Fellini,https://cn.noxinfluencer.com/instagram/channel/28311075,-15,badcase,娱乐/同学内容为主，与摄影器材受众不符
22,197129480,Tristan Hoogland,https://cn.noxinfluencer.com/instagram/channel/197129480,0,badcase,无相关标签，证据不足
27,8595349307,Dubnitskiy David,https://cn.noxinfluencer.com/instagram/channel/8595349307,0,badcase,无标签与内容证据，难判断为摄影器材相关
28,7115075614,Joseph Ford,https://cn.noxinfluencer.com/instagram/channel/7115075614,0,badcase,时尚频道，缺少摄影器材受众信号
34,50776703192,Slim Wonder,https://cn.noxinfluencer.com/instagram/channel/50776703192,0,badcase,无标签信息，无法支持器材相关召回
37,47321269429,The Reservoir Philly,https://cn.noxinfluencer.com/instagram/channel/47321269429,-15,badcase,音乐娱乐内容，和摄影器材推广明显不匹配
39,63522673601,Joel🌑🤲🏽👁️,https://cn.noxinfluencer.com/instagram/channel/63522673601,0,badcase,无内容标签，相关性不足
43,5464182340,Kayla Fisher | Southern California Wedding Photographer,https://cn.noxinfluencer.com/instagram/channel/5464182340,0,badcase,缺少标签证据，无法确认摄影器材相关性
44,2273203121,Samuel Tse,https://cn.noxinfluencer.com/instagram/channel/2273203121,0,badcase,无标签无内容，相关性不足
47,18575437,Ben Flythe | Photographer,https://cn.noxinfluencer.com/instagram/channel/18575437,0,badcase,仅名称显示摄影师，缺少可用标签证据
50,3463708807,Zaire Ivey,https://cn.noxinfluencer.com/instagram/channel/3463708807,0,badcase,无标签和内容，无法判断相关性
52,253625823,Ari Weiss,https://cn.noxinfluencer.com/instagram/channel/253625823,0,badcase,无相关摄影或器材信号
54,2262395638,Shannon Brooke,https://cn.noxinfluencer.com/instagram/channel/2262395638,0,badcase,玩具/娃娃内容，与摄影器材无关
56,11401489356,Christopher Williams,https://cn.noxinfluencer.com/instagram/channel/11401489356,0,badcase,缺少摄影器材相关信号
57,22249618,Kealani Foster (Isenmann),https://cn.noxinfluencer.com/instagram/channel/22249618,0,badcase,缺少摄影器材相关信号
60,22032732,Lily Glass Photography,https://cn.noxinfluencer.com/instagram/channel/22032732,0,badcase,无可用标签与内容信号
61,191153955,cindy ♥️,https://cn.noxinfluencer.com/instagram/channel/191153955,0,badcase,内容与摄影器材无关
62,5427023245,Sondra & Ryan,https://cn.noxinfluencer.com/instagram/channel/5427023245,0,badcase,缺少摄影器材相关信号
64,18120094541,Savannah Wedding Photographer - Rodney K. Gary,https://cn.noxinfluencer.com/instagram/channel/18120094541,0,badcase,缺少可用标签与内容信号
66,30827237,ray spears is rayneutron,https://cn.noxinfluencer.com/instagram/channel/30827237,-15,badcase,故事/儿童娱乐向，和摄影器材推广明显不匹配
67,349378804,TREVOR LOVATTO | STL WEDDING PHOTOGRAPHER,https://cn.noxinfluencer.com/instagram/channel/349378804,0,badcase,缺少可用标签与内容信号
