rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
78,36492633360,B.R PHOTOGRAPHY,https://cn--xtb.noxinfluencer.com/instagram/channel/36492633360,0,badcase,无标签与内容证据，相关性不足
80,4833342154,🦋⃟≛⃝𝑫𝒂𝒚𝒂𝒔𝒂𝒈𝒂𝒓≛⃝❤️࿐,https://cn--xtb.noxinfluencer.com/instagram/channel/4833342154,0,badcase,无标签与内容证据，相关性不足
85,3552728499,👔𝐘𝐚𝐬𝐡 𝐜𝐡𝐚𝐮𝐝𝐡𝐚𝐫𝐲👔,https://cn--xtb.noxinfluencer.com/instagram/channel/3552728499,0,badcase,无标签与内容证据，相关性不足
88,3568118801,мама в декрете|жизнь без идеальной картинки,https://cn--xtb.noxinfluencer.com/instagram/channel/3568118801,0,badcase,主体偏母婴生活，与摄影器材无关
98,1642474637,caption_photography_,https://cn--xtb.noxinfluencer.com/instagram/channel/1642474637,1,badcase,仅有摄影/助手标签，缺少器材与推广证据
99,1547774,Tito Trueba,https://cn--xtb.noxinfluencer.com/instagram/channel/1547774,1,badcase,仅泛摄影标签，主体偏游戏/时尚，器材推广弱
100,7456868076,Hosni photogrphy,https://cn--xtb.noxinfluencer.com/instagram/channel/7456868076,1,badcase,仅泛摄影标签，偏引流互动内容，不适合器材推广
101,7456868076,Hosni photogrphy,https://cn--xtb.noxinfluencer.com/instagram/channel/7456868076,0,badcase,引流互赞标签为主，摄影器材推广相关性很弱
109,39553711363,KULDEEP ‼️⏳,https://cn--xtb.noxinfluencer.com/instagram/channel/39553711363,2,badcase,泛流量内容为主，摄影器材相关性弱
110,53129066993,RAF RANJANI,https://cn--xtb.noxinfluencer.com/instagram/channel/53129066993,-15,badcase,博彩slot标签主导，与摄影器材推广互斥
114,54829152131,Noah Osoria,https://cn--xtb.noxinfluencer.com/instagram/channel/54829152131,0,badcase,无标签，无法判断器材受众
118,50268002386,Irfan Khan,https://cn--xtb.noxinfluencer.com/instagram/channel/50268002386,0,badcase,无标签，缺少任何摄影器材信号
122,18119402,Mario Chavez,https://cn--xtb.noxinfluencer.com/instagram/channel/18119402,0,badcase,无标签，无法支撑摄影器材判断
128,45027219139,André,https://cn--xtb.noxinfluencer.com/instagram/channel/45027219139,0,badcase,无标签与内容，无法判断
130,2178779504,Risanadr,https://cn--xtb.noxinfluencer.com/instagram/channel/2178779504,0,badcase,无标签与内容，缺少判断依据
135,29646498,KLC Studios,https://cn--xtb.noxinfluencer.com/instagram/channel/29646498,0,badcase,无标签与内容，缺少判断依据
138,4974717142,Ashley Howells,https://cn--xtb.noxinfluencer.com/instagram/channel/4974717142,0,badcase,马术账号，摄影仅是边缘内容
139,52907696522,TAHSIN   photographer,https://cn--xtb.noxinfluencer.com/instagram/channel/52907696522,0,badcase,无标签与内容，缺少判断依据
143,65107374006,Jonathan Villa,https://cn--xtb.noxinfluencer.com/instagram/channel/65107374006,0,badcase,无标签与内容，缺少判断依据
156,51806520832,𝐍𝐢𝐤𝐡𝐢𝐥 𝐒𝐨𝐧𝐢,https://cn--xtb.noxinfluencer.com/instagram/channel/51806520832,0,badcase,缺少任何有效标签，无法判断为相关。
161,2998823223,subhojit das,https://cn--xtb.noxinfluencer.com/instagram/channel/2998823223,0,badcase,时尚美妆向，与摄影器材无关。
165,58738575576,❗🚩  𝐇𝐈𝐍𝐃𝐔  🚩❗,https://cn--xtb.noxinfluencer.com/instagram/channel/58738575576,1,badcase,仅有单一摄影标签，证据太少。
167,45190355345,Krishna Ai Edit,https://cn--xtb.noxinfluencer.com/instagram/channel/45190355345,0,badcase,无相关标签，定位不适合。
170,25133682663,PSP DIGITAL PHOTO +,https://cn--xtb.noxinfluencer.com/instagram/channel/25133682663,0,badcase,无标签无内容，缺乏相关性证据。
178,39283272083,M OZATLI,https://cn--xtb.noxinfluencer.com/instagram/channel/39283272083,0,badcase,无标签无内容，缺少相关证据
181,1550306189,Tho Production,https://cn--xtb.noxinfluencer.com/instagram/channel/1550306189,-15,badcase,娱乐说唱内容，与摄影器材推广明显不符
