rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
19,1804320711,Discipline Dave,https://cn.noxinfluencer.com/instagram/channel/1804320711,0,badcase,标签为空，无法支撑相关性判断
21,41667542484,CORE CLUB,https://cn.noxinfluencer.com/instagram/channel/41667542484,-5,badcase,娱乐型频道，与阻力带推广不匹配
30,908579523,Waist Trainers & Shapewear,https://cn.noxinfluencer.com/instagram/channel/908579523,0,badcase,主打收腹塑形/束腰，和阻力带促销关联弱
33,21275653252,Waist Trainers | Body Sculpting | Cellulite | Wood therapy | RLT,https://cn.noxinfluencer.com/instagram/channel/21275653252,0,badcase,塑形内衣类账号，阻力带促销关联弱
53,40444925,jacq,https://cn.noxinfluencer.com/instagram/channel/40444925,0,badcase,无标签无内容，缺少任何相关信号
78,2264286201,Sj™,https://cn.noxinfluencer.com/instagram/channel/2264286201,0,badcase,无标签无视频证据，无法判断阻力带推广匹配
125,32312073266,Guillermo Suarez,https://cn.noxinfluencer.com/instagram/channel/32312073266,5,badcase,汽车垂直频道，和阻力带推广场景不匹配
182,193740238,Vita Sidorkina-Morabito,https://cn.noxinfluencer.com/instagram/channel/193740238,-15,badcase,游戏/时尚旅行类，和弹力带推广无关
194,6363240499,Alexander Whitehair,https://cn.noxinfluencer.com/instagram/channel/6363240499,1,badcase,仅有体育泛标签，主体偏飞机/车辆娱乐
199,4805620070,Justin Lienhard,https://cn.noxinfluencer.com/instagram/channel/4805620070,0,badcase,无有效标签，无法判断推广相关性
217,187152730,Dr Jennifer Ashton,https://cn.noxinfluencer.com/instagram/channel/187152730,0,badcase,以发型和娱乐为主，健康标签过泛
224,618096299,Bill Maeda,https://cn.noxinfluencer.com/instagram/channel/618096299,1,badcase,仅有泛训练标签，相关性偏弱
236,195667026,Kevin Johnson,https://cn.noxinfluencer.com/instagram/channel/195667026,0,badcase,标签为空，缺少任何相关推广信号
247,7582390336,Helena Crevar,https://cn.noxinfluencer.com/instagram/channel/7582390336,0,badcase,格斗生活方式为主，缺少相关推广信号
254,1329445739,Ashley Ta,https://cn.noxinfluencer.com/instagram/channel/1329445739,0,badcase,生活时尚向，和弹力带推广几乎无关。
280,7782079883,Aida Ortiz,https://cn.noxinfluencer.com/instagram/channel/7782079883,0,badcase,无标签无内容，无法判断相关性
298,51172166220,The Godfrey Method,https://cn.noxinfluencer.com/instagram/channel/51172166220,0,badcase,舞蹈号，缺少器械训练语境
300,2552711540,CONNECT YOUR SKIN,https://cn.noxinfluencer.com/instagram/channel/2552711540,0,badcase,美妆护肤号，和弹力带推广不匹配
327,2112197117,Priscilla Andrews,https://cn.noxinfluencer.com/instagram/channel/2112197117,-5,badcase,宠物狗频道，与人用阻力带用途互斥
365,23554750,Dionna Hickox | Midlife & Menopause,https://cn.noxinfluencer.com/instagram/channel/23554750,0,badcase,旅行生活向，和阻力带推广目标不匹配
372,27048309174,Patricia Streff,https://cn.noxinfluencer.com/instagram/channel/27048309174,1,badcase,生活方式账号，健身相关信号太弱
392,4831844313,Lee Pinkham,https://cn.noxinfluencer.com/instagram/channel/4831844313,0,badcase,缺少标签与内容证据，难判断
428,8934165211,The Note Ninjas,https://cn.noxinfluencer.com/instagram/channel/8934165211,0,badcase,无相关标签和标题证据，难以判断可推广性
432,188917170,"Dr. Zach Colls PT, DPT, CSCS, USAW",https://cn.noxinfluencer.com/instagram/channel/188917170,-12,badcase,标签偏服饰时尚，和阻力带推广场景不匹配
459,67299463809,Bree Lee,https://cn.noxinfluencer.com/instagram/channel/67299463809,0,badcase,无标签无内容证据
465,7045658850,PREMIUM JEWELRY | RINGS | ENGAGEMENT | WEDDING,https://cn.noxinfluencer.com/instagram/channel/7045658850,-15,badcase,珠宝婚礼类，和弹力带不符
498,12172033103,Jasmine Wilks,https://cn.noxinfluencer.com/instagram/channel/12172033103,0,badcase,仅跑步励志标签，缺少器材推广证据
499,3671194689,𝗪𝗬𝗢𝗫     |     𝗪𝗶𝗻 𝗬𝗼𝘂𝗿 𝗢𝘄𝗻 𝗘𝘅𝗰𝗲𝗹𝗹𝗲𝗻𝗰𝗲,https://cn.noxinfluencer.com/instagram/channel/3671194689,0,badcase,无标签，缺少任何相关信号
