rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
13,29677057,Rodney Lee,https://cn.noxinfluencer.com/instagram/channel/29677057,5,badcase,娱乐挑战型内容，跑步机推广意图弱
33,4612070409,Janine Delaney,https://cn.noxinfluencer.com/instagram/channel/4612070409,0,badcase,偏时尚美妆饮品，和跑步机相关性很弱
34,13572447833,Gwen and Oliver,https://cn.noxinfluencer.com/instagram/channel/13572447833,5,badcase,宠物犬内容，跑步机更像宠物向，不适合人用推广
37,3807983,Massy Arias,https://cn.noxinfluencer.com/instagram/channel/3807983,0,badcase,亲子宗教标签偏多，缺少跑步机相关受众
46,262009164,Dimitri / Dimi,https://cn.noxinfluencer.com/instagram/channel/262009164,-15,badcase,娱乐向账号，和跑步机推广明显不符
47,305621944,Jason Rodelo,https://cn.noxinfluencer.com/instagram/channel/305621944,-10,badcase,搞笑娱乐向，缺少运动器械购买场景
58,24819788,Mikebisping,https://cn.noxinfluencer.com/instagram/channel/24819788,0,badcase,格斗播客向，和跑步机差距大
65,55292840078,JJ Howland,https://cn.noxinfluencer.com/instagram/channel/55292840078,0,badcase,恢复+格斗为主，缺少跑步机受众
71,1273780004,Pasha Grozdov,https://cn.noxinfluencer.com/instagram/channel/1273780004,-15,badcase,娱乐笑料号，和产品推广不搭
79,55295004567,Good Sh*t Radio,https://cn.noxinfluencer.com/instagram/channel/55295004567,0,badcase,音乐娱乐向，与 treadmill 推广无关
80,7148218611,Christina Heinritz,https://cn.noxinfluencer.com/instagram/channel/7148218611,0,badcase,农场家居生活向，缺少健身器材相关语境
81,177509141,Madison Prewett Troutt,https://cn.noxinfluencer.com/instagram/channel/177509141,0,badcase,娱乐婚礼美容向，不适合 treadmill 推广
93,47686250635,Treadmill Guy,https://cn.noxinfluencer.com/instagram/channel/47686250635,5,badcase,虽含 treadmill，但赛车/游戏娱乐向，非器材推广
95,267844921,Xandy Sutherland Nickel,https://cn.noxinfluencer.com/instagram/channel/267844921,0,badcase,美食食谱向，与 treadmill 推广无关
103,12549828522,Emily Pack,https://cn.noxinfluencer.com/instagram/channel/12549828522,0,badcase,旅行情侣内容，和跑步机推广无关
104,49039340226,Athena Peros,https://cn.noxinfluencer.com/instagram/channel/49039340226,-5,badcase,娱乐舞蹈向，和运动器材推广错位
111,8757287648,Chupey,https://cn.noxinfluencer.com/instagram/channel/8757287648,-15,badcase,宠物账号，和人用跑步机明显不匹配
116,68187927901,Julia Arndt Shelton | Life-Aligned Career™,https://cn.noxinfluencer.com/instagram/channel/68187927901,0,badcase,职场/效率内容，与跑步机无关
117,59368513381,Mr. Kitty,https://cn.noxinfluencer.com/instagram/channel/59368513381,-15,badcase,猫宠物账号，属于明显错配
121,1694533382,Rolling Blue,https://cn.noxinfluencer.com/instagram/channel/1694533382,-15,badcase,搞笑音乐娱乐号，和跑步机推广错位
127,29743329,Craig McCloskey,https://cn.noxinfluencer.com/instagram/channel/29743329,2,badcase,饮食/动物内容为主，和跑步机推广关联很弱
136,29486064,Claire Ashley | Women Over 30 | Mom Hacks | Save Time,https://cn.noxinfluencer.com/instagram/channel/29486064,0,badcase,母婴/美妆/穿搭为主，与跑步机推广不匹配
142,69684944605,Francesca LoChirco - Toddler mom | Lifestyle | Wellness,https://cn.noxinfluencer.com/instagram/channel/69684944605,1,badcase,日常/母婴生活为主，跑步机相关性很弱
144,6406054503,📸❤️📍CALIFORNIA/ FLORIDA🌎LUXURY TRAVEL🚝 RV LIFE 🇺🇸 LA  • SF • MIA,https://cn.noxinfluencer.com/instagram/channel/6406054503,0,badcase,旅游杂项内容，几乎无跑步机相关性
145,68295968735,Nagehan Bicil,https://cn.noxinfluencer.com/instagram/channel/68295968735,0,badcase,家居穿搭美妆为主，与跑步机推广无关
146,25686028684,"Meg Kilcup, PharmD, IHP",https://cn.noxinfluencer.com/instagram/channel/25686028684,1,badcase,母婴健康向，但缺少运动器材场景和购买导向
