rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,72000407571,Meg Richardson ✨,https://cn.noxinfluencer.com/instagram/channel/72000407571,0,badcase,无标签无内容，无法判断为vape相关
16,293793793,Addison Guerra,https://cn.noxinfluencer.com/instagram/channel/293793793,0,badcase,生活音乐向，与vape推广无关
26,42599593666,Aron Covarrubias,https://cn.noxinfluencer.com/instagram/channel/42599593666,0,badcase,无相关标签或内容，无法支撑 vape 推广
28,215613191,Denis benitez,https://cn.noxinfluencer.com/instagram/channel/215613191,0,badcase,仅有聚会类标签，和 vape 无关
31,312660249,HONOREBEL,https://cn.noxinfluencer.com/instagram/channel/312660249,0,badcase,音乐艺人页，缺少 vape 相关性
37,1511553782,Chris Higgins,https://cn.noxinfluencer.com/instagram/channel/1511553782,0,badcase,喜剧号，和 vape 推广不相关
42,38892344608,Houk services llc,https://cn.noxinfluencer.com/instagram/channel/38892344608,0,badcase,无相关标签和内容，基本不相关
44,476931889,Puma Swede,https://cn.noxinfluencer.com/instagram/channel/476931889,0,badcase,时尚号无 vape 语境，基本不相关
47,21378319271,Hamed,https://cn.noxinfluencer.com/instagram/channel/21378319271,0,badcase,无相关标签与内容，基本不相关
51,19192947,James,https://cn.noxinfluencer.com/instagram/channel/19192947,0,badcase,无相关标签或内容证据
52,65665765814,Shua Mundy,https://cn.noxinfluencer.com/instagram/channel/65665765814,0,badcase,无相关标签或内容证据
53,49384066347,🦅 Black Rose 🦅,https://cn.noxinfluencer.com/instagram/channel/49384066347,5,badcase,音乐审美号，vape为噪声词，推广格式不匹配
56,7149496504,DEI VINC,https://cn.noxinfluencer.com/instagram/channel/7149496504,0,badcase,无相关标签或内容证据
57,9283697336,memes & media ?_?,https://cn.noxinfluencer.com/instagram/channel/9283697336,-15,badcase,纯娱乐表情号，和 vape 推广不匹配
58,2289640912,Sia Lofi,https://cn.noxinfluencer.com/instagram/channel/2289640912,5,badcase,音乐审美号，vape为噪声词，推广格式不匹配
59,277379827,Nαjαh Renee,https://cn.noxinfluencer.com/instagram/channel/277379827,0,badcase,无相关标签或内容证据
60,49738131,Bonnie Mercado,https://cn.noxinfluencer.com/instagram/channel/49738131,0,badcase,食品内容，和 vape 推广无关
61,15554703878,Fin In Usa,https://cn.noxinfluencer.com/instagram/channel/15554703878,0,badcase,无相关标签或内容证据
62,10592126808,KOAN,https://cn.noxinfluencer.com/instagram/channel/10592126808,0,badcase,时尚珠宝号，与 vape 推广无关
65,53042818448,Williams Wu,https://cn.noxinfluencer.com/instagram/channel/53042818448,0,badcase,无相关标签或内容证据
67,30051557149,P.F.Memes,https://cn.noxinfluencer.com/instagram/channel/30051557149,-15,badcase,纯娱乐表情号，和 vape 推广不匹配
71,1662409688,Lazarus Vintage,https://cn.noxinfluencer.com/instagram/channel/1662409688,0,badcase,无相关标签或内容证据
76,15976288441,Sean Phillips,https://cn.noxinfluencer.com/instagram/channel/15976288441,5,badcase,航空内容为主，vape 只是噪声标签，不适合投放
78,2033049873,ELEV8ED,https://cn.noxinfluencer.com/instagram/channel/2033049873,0,badcase,无标签、无视频证据，无法判断为 vape 相关
79,2106191690,Matthew Petitto,https://cn.noxinfluencer.com/instagram/channel/2106191690,0,badcase,美妆/健身/搞笑内容，与 vape 投放目标无关
80,382090489,🍉🍉🍉🍉🍉🍉🍉🍉🍉,https://cn.noxinfluencer.com/instagram/channel/382090489,0,badcase,无内容与标签，缺乏任何 vape 相关信号
82,1493958002,Bruno,https://cn.noxinfluencer.com/instagram/channel/1493958002,0,badcase,无任何相关内容信号
85,1705331990,fine $hitt. 💋,https://cn.noxinfluencer.com/instagram/channel/1705331990,5,badcase,音乐审美号，vape 只是装饰性标签，格式不匹配
87,3443988560,Taylor Flavors,https://cn.noxinfluencer.com/instagram/channel/3443988560,0,badcase,仅有名称无其他信号，不能判定为 vape 相关
92,6797426725,Fran Lucas,https://cn.noxinfluencer.com/instagram/channel/6797426725,5,badcase,音乐/审美频道，不适合电子烟推广
97,41035808,Chris Ashley,https://cn.noxinfluencer.com/instagram/channel/41035808,0,badcase,无任何可用信号
108,5558160994,Official Vladimeme Putin,https://cn.noxinfluencer.com/instagram/channel/5558160994,0,badcase,无有效标签，无法判断为vape推广相关
119,47629978345,Alexis Owen,https://cn.noxinfluencer.com/instagram/channel/47629978345,0,badcase,无标签无内容依据，不适合判为相关
121,964688697,The Real Cost,https://cn.noxinfluencer.com/instagram/channel/964688697,0,badcase,明显偏反vape公共健康语境，不适合推广
122,176303134,𝑉𝑎𝑙𝑜𝑟𝑎 𝑆𝑢𝑖𝑐𝑖𝑑𝑒 🦊,https://cn.noxinfluencer.com/instagram/channel/176303134,0,badcase,无有效标签和内容信号，判定为不相关
126,4437965989,PaperPlanes,https://cn.noxinfluencer.com/instagram/channel/4437965989,0,badcase,无 vape 相关标签和视频证据
137,4585351600,BNC,https://cn.noxinfluencer.com/instagram/channel/4585351600,0,badcase,音乐娱乐页，无 vape 相关
145,51628805178,Brian Sienkiewicz,https://cn.noxinfluencer.com/instagram/channel/51628805178,0,badcase,无相关标签，证据不足
148,16106747,truth,https://cn.noxinfluencer.com/instagram/channel/16106747,5,badcase,戒烟/反 vape 语境，明确不适配
156,249607018,American Greed,https://cn.noxinfluencer.com/instagram/channel/249607018,5,badcase,真相/犯罪类TV节目，不适合 vape 推广
157,47622011623,Nio,https://cn.noxinfluencer.com/instagram/channel/47622011623,0,badcase,无有效标签与内容信号
165,42359424419,KilroyGabriel,https://cn.noxinfluencer.com/instagram/channel/42359424419,10,badcase,艺术音乐主轴，vape 词不构成受众
169,6789416809,PATRIOT OPS,https://cn.noxinfluencer.com/instagram/channel/6789416809,10,badcase,军机内容为主，vape 标签不构成相关受众
173,192864165,Michelle Marinaro | Business Coach,https://cn.noxinfluencer.com/instagram/channel/192864165,10,badcase,商业教练号，受众与 vape 产品不匹配
174,283041799,Dr. Jarrett Schanzer,https://cn.noxinfluencer.com/instagram/channel/283041799,10,badcase,医疗美容号，vape 推广场景不合适
185,202444444,Zach Ruffo,https://cn.noxinfluencer.com/instagram/channel/202444444,5,badcase,喜剧整活为主，商品推广匹配差
192,45559568739,Couple Goals 💕,https://cn.noxinfluencer.com/instagram/channel/45559568739,5,badcase,音乐审美向，vape 更像泛标签
194,52961700,BlackJust🧊,https://cn.noxinfluencer.com/instagram/channel/52961700,0,badcase,无标签无内容依据
195,2061108431,Inhale Health®,https://cn.noxinfluencer.com/instagram/channel/2061108431,5,badcase,戒烟/戒 vape 方向，和推广目标冲突
235,391676605,Matt Manning,https://cn.noxinfluencer.com/instagram/channel/391676605,5,badcase,vape 只是边标签，主体是 knife business，不适合
239,3565018001,Patty Madden,https://cn.noxinfluencer.com/instagram/channel/3565018001,5,badcase,艺术/动画号为主，vape 只是弱标签，不适合
243,57248571069,Jones,https://cn.noxinfluencer.com/instagram/channel/57248571069,10,badcase,recipe/food 账号里只有 vape，主题错位
248,49470714816,Universal Wellness,https://cn.noxinfluencer.com/instagram/channel/49470714816,5,badcase,健康/ wellness 账号与 vape 促销冲突明显
