rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,49336183131,Vape Anti Nyamuk,https://cn--xtb.noxinfluencer.com/instagram/channel/49336183131,5,badcase,命中的是灭蚊vape，和电子烟推广是错位品类
93,293793793,Addison Guerra,https://cn--xtb.noxinfluencer.com/instagram/channel/293793793,10,badcase,个人娱乐账号，Vape只是混入标签，推广匹配弱
172,2029245888,양주연,https://cn--xtb.noxinfluencer.com/instagram/channel/2029245888,5,badcase,ASMR/形象内容偏强，虽有 vape 词但推广不合适
190,1824775435,Reza ﾌ乇乙ㄒ乇尺,https://cn--xtb.noxinfluencer.com/instagram/channel/1824775435,10,badcase,ASMR/娱乐化明显，虽有评测标签但不适合常规带货
236,59731923457,Aktif Gt Takipçi,https://cn--xtb.noxinfluencer.com/instagram/channel/59731923457,5,badcase,互关增粉号，vape 只是挂词，投放不匹配
237,35801603282,vape.alltype,https://cn--xtb.noxinfluencer.com/instagram/channel/35801603282,5,badcase,家具设计主域，vape 只是挂词，不适合投放
239,51682574574,Vape Mobs,https://cn--xtb.noxinfluencer.com/instagram/channel/51682574574,5,badcase,娱乐/音乐主域，vape 词不构成有效匹配
257,8416948185,NOTALELONGO,https://cn--xtb.noxinfluencer.com/instagram/channel/8416948185,8,badcase,ASMR 形式与物理产品推广不匹配，偏 badcase
261,185950681,Mamanini VapeShop Distribution,https://cn--xtb.noxinfluencer.com/instagram/channel/185950681,8,badcase,娱乐/搞笑导向强，虽带 Vape 但推广属性弱
295,59731923457,Aktif Gt Takipçi,https://cn--xtb.noxinfluencer.com/instagram/channel/59731923457,10,badcase,主类是互赞涨粉，和 vape 推广不匹配
296,35801603282,vape.alltype,https://cn--xtb.noxinfluencer.com/instagram/channel/35801603282,5,badcase,家居设计垂类，和 vape 推广明显不符
345,312660249,HONOREBEL,https://cn--xtb.noxinfluencer.com/instagram/channel/312660249,5,badcase,音乐娱乐为主，vape 仅像附带标签
383,38892344608,Houk services llc,https://cn--xtb.noxinfluencer.com/instagram/channel/38892344608,5,badcase,虽有 vape 标签，但主体是清洁服务，受众不匹配
387,65665765814,Shua Mundy,https://cn--xtb.noxinfluencer.com/instagram/channel/65665765814,8,badcase,娱乐/抓捕内容为主，vape 只是陪衬
423,3155716232,Suara Tanpa Rokok,https://cn--xtb.noxinfluencer.com/instagram/channel/3155716232,5,badcase,控烟反烟语境，和vape推广冲突
437,45310975198,Huisarts Stefan,https://cn--xtb.noxinfluencer.com/instagram/channel/45310975198,9,badcase,医疗健康号，不适合推广Vape产品
469,2068035595,DRAGON VAPOR SIANTAR,https://cn--xtb.noxinfluencer.com/instagram/channel/2068035595,0,badcase,标签为空，缺少vape与促销证据
483,4151145765,🇺🇸🇺🇸AMERICA WALLE🇺🇸🇺🇸,https://cn--xtb.noxinfluencer.com/instagram/channel/4151145765,0,badcase,无 vape 相关标签，内容主题不匹配推广
