rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
35,538571725,New York Bucket List,https://cn.noxinfluencer.com/instagram/channel/538571725,0,badcase,无 yoga mat 相关信号，内容偏泛生活娱乐
64,1603202094,Mathew Micheletti & Ashley Micheletti,https://cn.noxinfluencer.com/instagram/channel/1603202094,0,badcase,关系内容为主，与瑜伽垫无关
78,1727544011,Crumbs & Whiskers,https://cn.noxinfluencer.com/instagram/channel/1727544011,-15,badcase,猫咖内容与人用瑜伽垫受众不符
82,10474205864,SVOUND Sound Vibration Therapy,https://cn.noxinfluencer.com/instagram/channel/10474205864,5,badcase,sound bath内容为主，属于物理产品推广的格式错配
94,769960514,Mystic Minerals,https://cn.noxinfluencer.com/instagram/channel/769960514,0,badcase,水晶/神秘学方向与瑜伽垫推广不相关
97,55060868959,Samantha Loya Serrata,https://cn.noxinfluencer.com/instagram/channel/55060868959,0,badcase,医疗叙事受众与瑜伽垫推广场景不匹配
100,3525687,SOPHIE JAFFE | modern motherhood + wellness,https://cn.noxinfluencer.com/instagram/channel/3525687,0,badcase,娱乐/家庭类账号，与瑜伽垫目标受众不符
111,225180463,Chicago Bucket List,https://cn.noxinfluencer.com/instagram/channel/225180463,0,badcase,与瑜伽垫推广目标无关
115,15673088862,Jeff Yamazaki,https://cn.noxinfluencer.com/instagram/channel/15673088862,0,badcase,时尚摄影内容，与瑜伽垫无关
121,2220517986,LA Bucket List,https://cn.noxinfluencer.com/instagram/channel/2220517986,0,badcase,本地清单内容，与瑜伽垫无关
122,22492319,joy 🧚🏼‍♀️,https://cn.noxinfluencer.com/instagram/channel/22492319,0,badcase,家居穿搭内容，和瑜伽垫推广不匹配
127,8607303730,MAGIC MARKET,https://cn.noxinfluencer.com/instagram/channel/8607303730,0,badcase,与瑜伽垫受众无关
145,70431539005,Helaine Zhao,https://cn.noxinfluencer.com/instagram/channel/70431539005,0,badcase,校园学习vlog，与瑜伽垫无关
146,27476223,Whitney | Juice Alchemist + Nutritionist,https://cn.noxinfluencer.com/instagram/channel/27476223,0,badcase,营养饮食向，缺少瑜伽场景
150,4045746702,The Satanic Temple Salem,https://cn.noxinfluencer.com/instagram/channel/4045746702,0,badcase,主题与瑜伽垫推广完全不符
156,187432863,Historic Pearl,https://cn.noxinfluencer.com/instagram/channel/187432863,0,badcase,历史美食舞蹈为主，与瑜伽垫无关
160,188079063,Sound Baths & Sound Healer Training • SoCal,https://cn.noxinfluencer.com/instagram/channel/188079063,0,badcase,无标签，缺少可判断的相关证据
163,13151469,Android Jones,https://cn.noxinfluencer.com/instagram/channel/13151469,0,badcase,艺术科技为主，与瑜伽垫不相关
165,25021253,Downtown Houston,https://cn.noxinfluencer.com/instagram/channel/25021253,0,badcase,本地城市美食历史，完全不相关
168,1561545710,Hello Mamas,https://cn.noxinfluencer.com/instagram/channel/1561545710,0,badcase,妈妈生活账号，与瑜伽垫无直接关联
176,289123078,"Downtown Dallas, Inc.",https://cn.noxinfluencer.com/instagram/channel/289123078,0,badcase,本地活动频道，与瑜伽垫无关，缺少运动语境
177,4294615445,Sue Morter,https://cn.noxinfluencer.com/instagram/channel/4294615445,0,badcase,灵性疗愈内容，和瑜伽垫推广受众不匹配
