rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
21,44294331970,Guide lights | مصور | يعقوب المهنا,https://cn--xtb.noxinfluencer.com/instagram/channel/44294331970,0,badcase,无有效标签，缺乏相关性
31,10810663323,Up to You | Activewear,https://cn--xtb.noxinfluencer.com/instagram/channel/10810663323,0,badcase,无标签，缺少可判断的相关性
33,43387781223,My Magic Carpet,https://cn--xtb.noxinfluencer.com/instagram/channel/43387781223,0,badcase,家居地毯号，和瑜伽垫场景不符
44,2272603733,Nathalie van Kralingen,https://cn--xtb.noxinfluencer.com/instagram/channel/2272603733,0,badcase,生活方式号，缺少瑜伽相关
46,42815666,Carolina Peconick | Yoga,https://cn--xtb.noxinfluencer.com/instagram/channel/42815666,0,badcase,音乐标签，和瑜伽垫推广不匹配
51,5999337048,Unycos,https://cn--xtb.noxinfluencer.com/instagram/channel/5999337048,0,badcase,美妆频道，与瑜伽垫推广无关
57,26209307148,Shita Roshita,https://cn--xtb.noxinfluencer.com/instagram/channel/26209307148,0,badcase,无标签无内容证据，无法判断相关
59,48859223314,naturyoga,https://cn--xtb.noxinfluencer.com/instagram/channel/48859223314,0,badcase,无标签无内容证据，相关性不足
64,8411118785,Yoga Squares,https://cn--xtb.noxinfluencer.com/instagram/channel/8411118785,0,badcase,仅有模糊频道名，无有效标签支撑
68,7376101421,GymAndYoga Story,https://cn--xtb.noxinfluencer.com/instagram/channel/7376101421,0,badcase,标签偏孩子/价格，和瑜伽垫不匹配
71,1777157848,Paulina Champare,https://cn--xtb.noxinfluencer.com/instagram/channel/1777157848,0,badcase,无标签无内容证据，相关性不足
74,68216599686,Dixitaaa <3,https://cn--xtb.noxinfluencer.com/instagram/channel/68216599686,0,badcase,无任何瑜伽垫相关标签或内容信号
79,3032725343,RR-OM,https://cn--xtb.noxinfluencer.com/instagram/channel/3032725343,0,badcase,无标签无内容证据，和瑜伽垫推广关联极弱
88,1309316427,송경이,https://cn--xtb.noxinfluencer.com/instagram/channel/1309316427,0,badcase,内容偏日常穿搭，缺少瑜伽垫语境
90,2720793930,Alina | Yoga Teacher,https://cn--xtb.noxinfluencer.com/instagram/channel/2720793930,5,badcase,只有泛瑜伽标签，推广证据过弱
91,56758249594,요기니_영경,https://cn--xtb.noxinfluencer.com/instagram/channel/56758249594,0,badcase,几乎无可用标签，无法判断为相关
93,25330422089,NUMMU YOGA,https://cn--xtb.noxinfluencer.com/instagram/channel/25330422089,5,badcase,仅有泛瑜伽标签，缺少垫类推广证据
101,56133526945,Gaurishankar Nayak,https://cn--xtb.noxinfluencer.com/instagram/channel/56133526945,0,badcase,无标签无视频，几乎无推广相关性
105,372332584,Bee,https://cn--xtb.noxinfluencer.com/instagram/channel/372332584,0,badcase,无有效标签与内容，无法用于瑜伽垫推广
110,1799214533,R. Firdhania Azzahra,https://cn--xtb.noxinfluencer.com/instagram/channel/1799214533,0,badcase,无内容证据，难判断为目标创作者
114,1779769655,𝗦vitlana,https://cn--xtb.noxinfluencer.com/instagram/channel/1779769655,0,badcase,美发美容向，与瑜伽垫不相关
116,40003860970,Yana Patel,https://cn--xtb.noxinfluencer.com/instagram/channel/40003860970,-10,badcase,舞蹈娱乐向，非瑜伽垫推广场景
119,52417311685,CRAZE BOUTIQUE,https://cn--xtb.noxinfluencer.com/instagram/channel/52417311685,0,badcase,无有效标签与内容，无法用于推广
120,1741614369,trending sportswear,https://cn--xtb.noxinfluencer.com/instagram/channel/1741614369,0,badcase,运动服饰泛流量，缺少瑜伽垫相关性
125,50793513404,Deepak Kumar,https://cn--xtb.noxinfluencer.com/instagram/channel/50793513404,0,badcase,娱乐流量向，与产品推广不匹配
