rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7294835391298421802,Agriculture,https://cn.noxinfluencer.com/tiktok/channel/7294835391298421802,0,badcase,标签全是美妆健身，和农业产品无关
2,7083587878291571754,Power Service Products,https://cn.noxinfluencer.com/tiktok/channel/7083587878291571754,0,badcase,偏柴油车辆服务，不是农业产品受众
4,6760889288941192198,LANDIO,https://cn.noxinfluencer.com/tiktok/channel/6760889288941192198,0,badcase,房地产和狩猎向，缺少农业产品信号
5,6985562093907674117,Stop Italian Sounding 🇮🇹 🎯,https://cn.noxinfluencer.com/tiktok/channel/6985562093907674117,0,badcase,意大利美食科普向，和农业产品不匹配
9,7312471453618127903,Notes on Iowa,https://cn.noxinfluencer.com/tiktok/channel/7312471453618127903,0,badcase,历史体育教育内容，缺少农业和产品信号
14,7086195704398447622,Ramato Dana Halaba,https://cn.noxinfluencer.com/tiktok/channel/7086195704398447622,0,badcase,无标签无内容信号，无法判断相关性
18,7300737170476893192,TCPEL Indonesia | Mesin Pelet,https://cn.noxinfluencer.com/tiktok/channel/7300737170476893192,0,badcase,无标签无内容信号，无法判断相关性
20,7337818178971649066,Ag News Daily,https://cn.noxinfluencer.com/tiktok/channel/7337818178971649066,0,badcase,无标签无内容信号，无法判断相关性
21,7513387756951110678,Work Process,https://cn.noxinfluencer.com/tiktok/channel/7513387756951110678,0,badcase,无标签无内容信号，无法判断相关性
24,7149648347048838186,Paul Schriner,https://cn.noxinfluencer.com/tiktok/channel/7149648347048838186,0,badcase,保健品促销向，不是农业产品场景
25,6899656132748526598,Counselor Yasser Al-Bahadli,https://cn.noxinfluencer.com/tiktok/channel/6899656132748526598,0,badcase,无标签无内容信号，无法判断相关性
31,7050244859331920943,Crownstone Equipment,https://cn.noxinfluencer.com/tiktok/channel/7050244859331920943,-10,badcase,重型工程设备为主，与农产品推广不匹配
32,7431945797905663022,labor protection gloves,https://cn.noxinfluencer.com/tiktok/channel/7431945797905663022,0,badcase,仅有手套类名称，缺少农业相关证据
36,7351471557875024942,Bailey Slater,https://cn.noxinfluencer.com/tiktok/channel/7351471557875024942,0,badcase,信息不足，无法判断为农业相关频道
37,7210521483298587691,highpointlandcompany,https://cn.noxinfluencer.com/tiktok/channel/7210521483298587691,0,badcase,缺少农业或产品推广证据
39,7078525675698717697,superant_maxj,https://cn.noxinfluencer.com/tiktok/channel/7078525675698717697,-15,badcase,娱乐玩具向，和农产品推广明显不符
44,6808776937545581573,Aly Moore,https://cn.noxinfluencer.com/tiktok/channel/6808776937545581573,0,badcase,无有效农业信号
45,7511885740617385003,The Rike Stories,https://cn.noxinfluencer.com/tiktok/channel/7511885740617385003,0,badcase,故事叙事向，和产品推广场景不一致
