rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
31,7498171306949755935,passiveplayground,https://cn.noxinfluencer.com/tiktok/channel/7498171306949755935,0,badcase,无标签无内容证据，无法判断适配
35,6910040056204362758,coverMeCutee,https://cn.noxinfluencer.com/tiktok/channel/6910040056204362758,0,badcase,时尚宗教内容为主，与数字产品推广弱相关
38,808690,Leah Rae  ☆,https://cn.noxinfluencer.com/tiktok/channel/808690,-5,badcase,纯舞蹈娱乐内容，与数字产品推广无关
39,6814692254009590790,Coach Beast Digital,https://cn.noxinfluencer.com/tiktok/channel/6814692254009590790,0,badcase,职业教练向，缺少数字产品或变现证据
43,7408714580095026218,jerikajack,https://cn.noxinfluencer.com/tiktok/channel/7408714580095026218,0,badcase,无标签无内容证据，无法判断适配
46,6991900590562444294,TRE | Online Income Mentor,https://cn.noxinfluencer.com/tiktok/channel/6991900590562444294,-10,badcase,约会/男性内容，和数字产品推广不匹配
49,6923391397312316421,ASH | HustleFromHome,https://cn.noxinfluencer.com/tiktok/channel/6923391397312316421,0,badcase,无标签无内容证据，无法判断适配
52,7314178356252492843,Six Figure Girly🩷🪄,https://cn.noxinfluencer.com/tiktok/channel/7314178356252492843,0,badcase,标签和视频证据都为空，无法支持数字产品推广
57,6782730239460328454,theannanicolexo,https://cn.noxinfluencer.com/tiktok/channel/6782730239460328454,0,badcase,标签与数字产品无关，且内容偏泛娱乐
61,7812724,Digitalwithfate,https://cn.noxinfluencer.com/tiktok/channel/7812724,0,badcase,标签偏宠物/泛娱乐，与数字产品推广无关
62,7512499655290160170,Christina 💸 Canva Creator,https://cn.noxinfluencer.com/tiktok/channel/7512499655290160170,0,badcase,标签为空，缺少可用证据
64,6561060717398016006,Jena-Marie | 🌸 mom of 4 ✝️,https://cn.noxinfluencer.com/tiktok/channel/6561060717398016006,0,badcase,标签为空，缺少可用证据
67,7440349665602667566,Shy | Faceless Creator,https://cn.noxinfluencer.com/tiktok/channel/7440349665602667566,0,badcase,标签为空，缺少可用证据
68,6710267411923698693,thapassiveprincess,https://cn.noxinfluencer.com/tiktok/channel/6710267411923698693,0,badcase,标签偏信用修复，与数字产品推广无关
70,6877652103654097926,MadMikeMedia,https://cn.noxinfluencer.com/tiktok/channel/6877652103654097926,-10,badcase,生活方式娱乐向，和数字产品推广不匹配
71,6809333748719879173,Erika,https://cn.noxinfluencer.com/tiktok/channel/6809333748719879173,0,badcase,标签为空，缺少可用证据
72,7049049858447377413,Ashia l PLR Digital Products,https://cn.noxinfluencer.com/tiktok/channel/7049049858447377413,0,badcase,标签为空，缺少可用证据
74,7282837370318636074,Kaylie Marie,https://cn.noxinfluencer.com/tiktok/channel/7282837370318636074,0,badcase,标签为空，缺少可用证据
75,7332214598466815006,JennifersAiJourney002,https://cn.noxinfluencer.com/tiktok/channel/7332214598466815006,0,badcase,标签为空，缺少可用证据
81,6775747416593810438,Fabulous 50❤️⚜️,https://cn.noxinfluencer.com/tiktok/channel/6775747416593810438,0,badcase,无相关标签，缺少投放证据
86,7230073961127609387,wealthwlauren,https://cn.noxinfluencer.com/tiktok/channel/7230073961127609387,0,badcase,无相关标签，缺少投放证据
88,7318280045120881707,judymusmar,https://cn.noxinfluencer.com/tiktok/channel/7318280045120881707,0,badcase,无相关标签，缺少投放证据
93,7251236413833069614,Jen,https://cn.noxinfluencer.com/tiktok/channel/7251236413833069614,0,badcase,无标签、无视频匹配，缺少数字产品推广能力信号
94,7444198565318296619,Jayy,https://cn.noxinfluencer.com/tiktok/channel/7444198565318296619,0,badcase,无相关标签，偏泛娱乐/激励内容
95,6772677320722613253,Honestiii,https://cn.noxinfluencer.com/tiktok/channel/6772677320722613253,0,badcase,无相关标签，缺少投放证据
98,7211958941446669358,Club Roe 🧸🎀,https://cn.noxinfluencer.com/tiktok/channel/7211958941446669358,0,badcase,无相关标签，缺少投放证据
