rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,6910040056204362758,coverMeCutee,https://cn--xtb.noxinfluencer.com/tiktok/channel/6910040056204362758,-2,badcase,虽有直标，但账号主轴是穿搭生活，和数字产品推广不符
16,808690,Leah Rae  ☆,https://cn--xtb.noxinfluencer.com/tiktok/channel/808690,-3,badcase,有直标但主体是舞蹈/日常娱乐，和数字产品推广不匹配
35,6672701208706794502,Hasso abdulle,https://cn--xtb.noxinfluencer.com/tiktok/channel/6672701208706794502,10,badcase,标签命中但近期全是索马里/娱乐内容
55,7275005787536131077,NEW DIGITAL STORE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7275005787536131077,10,badcase,最近十条几乎全是相机售卖，和数字产品不符
85,7368861164929778721,Daniel.ramos trucklovver,https://cn--xtb.noxinfluencer.com/tiktok/channel/7368861164929778721,15,badcase,虽有数字产品标签，但近期多跑题到卡车和杂谈，相关性弱
143,7299516135991755822,Theperfectgiftzz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7299516135991755822,10,badcase,虽有标签直中，但近期几乎全是无关娱乐/减重内容
148,7148548969534325802,SAFELEVE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7148548969534325802,10,badcase,虽有直中标签，但近期主要是健康养生内容，明显跑偏
153,7148548969534325802,SAFELEVE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7148548969534325802,11,badcase,主内容是健康养生，数字产品只属零散标签
163,6524622564648009729,kj,https://cn--xtb.noxinfluencer.com/tiktok/channel/6524622564648009729,10,badcase,更像线下设计服务号，近期几乎全是实体物料
169,6850625792713720833,Chars digital shop💻🖨️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6850625792713720833,10,badcase,有数字产品标签，但近期内容与其几乎无关
175,7287133239788340256,Blidariu Patricia și Baba,https://cn--xtb.noxinfluencer.com/tiktok/channel/7287133239788340256,10,badcase,有数字产品标签，但近期内容与其几乎无关
200,6721132582518834178,Keanu Charles Reeves,https://cn--xtb.noxinfluencer.com/tiktok/channel/6721132582518834178,12,badcase,直命中但近期几乎全是无关内容，当前不适合投放
209,6809857782512108549,Kemstar Dominant,https://cn--xtb.noxinfluencer.com/tiktok/channel/6809857782512108549,10,badcase,标签虽有数字产品，但近期几乎全是无关励志内容
211,7205769511093519386,Lucian Vale,https://cn--xtb.noxinfluencer.com/tiktok/channel/7205769511093519386,10,badcase,标签有数字产品，但近期几乎全是服饰商品内容
218,6804531795850871814,ryma.ae,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804531795850871814,11,badcase,标签有数字产品，但近期几乎都是娱乐/生活内容
222,7195931730467931179,Kate Robb,https://cn--xtb.noxinfluencer.com/tiktok/channel/7195931730467931179,10,badcase,标签有数字产品，但近期几乎全是日内交易内容
229,6995354942685594650,Edd,https://cn--xtb.noxinfluencer.com/tiktok/channel/6995354942685594650,2,badcase,核心是宗教/生活方式，近期内容与数字产品推广明显脱节
232,7307214905991726122,Looksmaxxing Tips,https://cn--xtb.noxinfluencer.com/tiktok/channel/7307214905991726122,2,badcase,标签是数字产品，但近期 10 条几乎全是外观改造内容
249,6945172515053356037,Sumer,https://cn--xtb.noxinfluencer.com/tiktok/channel/6945172515053356037,2,badcase,标签有数字产品，但近期大多是体育/日常杂内容，偏离很大
258,6782730239460328454,theannanicolexo,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782730239460328454,11,badcase,虽有数字产品标签，但近期几乎全是穿搭健身，推广匹配弱
267,6877652103654097926,MadMikeMedia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6877652103654097926,12,badcase,数字产品只是零星出现，近期主体偏娱乐/生活，不太适配
273,7341031020633949216,bjorn.mindset,https://cn--xtb.noxinfluencer.com/tiktok/channel/7341031020633949216,10,badcase,几乎全是鸡汤动机内容，缺少数字产品推广场景
285,6553223481100697601,Michelle,https://cn--xtb.noxinfluencer.com/tiktok/channel/6553223481100697601,10,badcase,只剩泛流量内容，几乎看不到数字产品推广迹象
294,6775747416593810438,Fabulous 50❤️⚜️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6775747416593810438,10,badcase,情绪/励志为主，数字产品仅是挂标签
295,7067965887309235246,kephenstim,https://cn--xtb.noxinfluencer.com/tiktok/channel/7067965887309235246,10,badcase,近期全是无关内容，数字产品标签不支撑推广
299,7318280045120881707,judymusmar,https://cn--xtb.noxinfluencer.com/tiktok/channel/7318280045120881707,10,badcase,近期主要是海边/ASMR/生活内容，和数字产品不搭
303,6570202770140381189,Mo ✨,https://cn--xtb.noxinfluencer.com/tiktok/channel/6570202770140381189,2,badcase,娱乐/情绪内容为主，数字产品只是标签噱头
324,6750371504682681349,Atiyya NaDirah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6750371504682681349,0,badcase,娱乐评论为主，不像数字产品推广号
325,7017423416378901509,Aniya Monae💎,https://cn--xtb.noxinfluencer.com/tiktok/channel/7017423416378901509,0,badcase,房产和WWE内容为主，数字产品信号很弱
327,6854652941975585793,Bu'E Jogja,https://cn--xtb.noxinfluencer.com/tiktok/channel/6854652941975585793,0,badcase,虽有数字产品标签，但内容几乎全是乌姆拉行程，明显不匹配
330,6865814014380573697,kate.dominique 🌱,https://cn--xtb.noxinfluencer.com/tiktok/channel/6865814014380573697,0,badcase,有数字产品标签，但近期几乎全是日常杂片，内容偏离
341,7126457767284409345,thefallenian UGC,https://cn--xtb.noxinfluencer.com/tiktok/channel/7126457767284409345,0,badcase,UGC频道，近期内容与数字产品无关，偏离明显
