rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6804330214786843654,iamgangstagorgeous,https://cn.noxinfluencer.com/tiktok/channel/6804330214786843654,0,badcase,无标签无内容证据，相关性不足
3,6709321451104912389,HotmessKRS 🔥 ❌️,https://cn.noxinfluencer.com/tiktok/channel/6709321451104912389,0,badcase,偏内容创作/搞笑，不指向家电推广
4,7560409738455368759,Ibelsis. Vlog 🗝️,https://cn.noxinfluencer.com/tiktok/channel/7560409738455368759,0,badcase,缺少标签与视频证据
5,6916615892839171078,eve ♥︎,https://cn.noxinfluencer.com/tiktok/channel/6916615892839171078,0,badcase,美妆美甲向，与Dreame家电不匹配
6,6702793819987084293,joe,https://cn.noxinfluencer.com/tiktok/channel/6702793819987084293,0,badcase,仅有昵称，无有效相关信号
7,6813760789545337861,La Nemo Books,https://cn.noxinfluencer.com/tiktok/channel/6813760789545337861,0,badcase,书籍向，和家电推广关联弱
9,7029187386982630406,coloveread,https://cn.noxinfluencer.com/tiktok/channel/7029187386982630406,-5,badcase,小说故事向，和产品推广场景冲突
11,6942286376638415877,Chinotiktokdeals,https://cn.noxinfluencer.com/tiktok/channel/6942286376638415877,0,badcase,健身娱乐向，和Dreame家电不相关
13,6905234702652081158,ynnailiy_queen,https://cn.noxinfluencer.com/tiktok/channel/6905234702652081158,0,badcase,无标签证据
16,7195091359626363946,Drama Life,https://cn.noxinfluencer.com/tiktok/channel/7195091359626363946,-5,badcase,故事/小说号，明显不适合家电投放
17,7347331164394210350,baya_kekeeva,https://cn.noxinfluencer.com/tiktok/channel/7347331164394210350,0,badcase,无标签无视频证据
19,6993416931756721157,cleaningwith_julie,https://cn.noxinfluencer.com/tiktok/channel/6993416931756721157,5,badcase,清洁ASMR格式偏导向内容，不利产品投放
22,127905465618821121,Khabane lame,https://cn.noxinfluencer.com/tiktok/channel/127905465618821121,0,badcase,娱乐/梗图向，缺少品牌推广相关性
23,7380902171934606379,Dj Madigan,https://cn.noxinfluencer.com/tiktok/channel/7380902171934606379,0,badcase,游戏娱乐号，和清洁家电受众不匹配
24,123036,Joelle Siwa,https://cn.noxinfluencer.com/tiktok/channel/123036,0,badcase,音乐舞蹈娱乐向，不适合家电推广
26,292342703596507136,Alex Warren,https://cn.noxinfluencer.com/tiktok/channel/292342703596507136,-12,badcase,音乐娱乐为主，缺少Dreame相关品类或购买场景
27,6800576763841201157,HALEYYBAYLEE,https://cn.noxinfluencer.com/tiktok/channel/6800576763841201157,-2,badcase,缝纫/手工语境，和Dreame产品推广关联很弱
28,6772322259039945733,America’s Got Talent,https://cn.noxinfluencer.com/tiktok/channel/6772322259039945733,-12,badcase,选秀娱乐内容，缺少家电或美护类推广场景
29,6843911691744379909,Disney,https://cn.noxinfluencer.com/tiktok/channel/6843911691744379909,-12,badcase,影视娱乐为主，和Dreame品牌投放场景不匹配
34,7019311731323339782,InterMiamiCF,https://cn.noxinfluencer.com/tiktok/channel/7019311731323339782,-10,badcase,体育赛事账号，和Dreame产品推广域不匹配
36,6805919155301712902,laufey,https://cn.noxinfluencer.com/tiktok/channel/6805919155301712902,-12,badcase,音乐翻唱账号，和Dreame推广场景不符
37,6708974328132289541,Isaiah Garza,https://cn.noxinfluencer.com/tiktok/channel/6708974328132289541,-3,badcase,偏正能量/家庭内容，缺少产品使用与购买证据
38,6530329342721922048,Taylor Nation,https://cn.noxinfluencer.com/tiktok/channel/6530329342721922048,-12,badcase,音乐粉丝向内容，和Dreame投放主题偏离
39,8822217,ParisHilton,https://cn.noxinfluencer.com/tiktok/channel/8822217,-8,badcase,娱乐名人号，缺少具体产品评测或导购证据
40,6678709915819262982,anna x,https://cn.noxinfluencer.com/tiktok/channel/6678709915819262982,-10,badcase,娱乐账号为主，缺少Dreame相关消费场景
41,6844178288162063365,Disney+,https://cn.noxinfluencer.com/tiktok/channel/6844178288162063365,-12,badcase,影视娱乐号，和Dreame品牌推广不匹配
42,6704771379085329414,Markell Washington,https://cn.noxinfluencer.com/tiktok/channel/6704771379085329414,-6,badcase,舞蹈娱乐为主，产品导购属性不足
43,6753876535490479109,Fuerza Regida,https://cn.noxinfluencer.com/tiktok/channel/6753876535490479109,-12,badcase,音乐娱乐账号，缺少家电或美护投放场景
45,6741601791881839621,Jimmy Darts,https://cn.noxinfluencer.com/tiktok/channel/6741601791881839621,-4,badcase,公益惊喜向内容，缺少Dreame相关品类证据
46,6546976923460976645,Jonas Brothers,https://cn.noxinfluencer.com/tiktok/channel/6546976923460976645,-12,badcase,巡演音乐账号，和Dreame推广主题偏离
47,6844176226829108230,Pixar,https://cn.noxinfluencer.com/tiktok/channel/6844176226829108230,-12,badcase,动画影视内容，产品推广相关性弱
50,96402384888725504,gabriela moura,https://cn.noxinfluencer.com/tiktok/channel/96402384888725504,-8,badcase,音乐短内容账号，缺少Dreame相关消费场景
52,6699542567460389894,Jay Prehistoric,https://cn.noxinfluencer.com/tiktok/channel/6699542567460389894,-15,badcase,动物野生内容与家电推广场景明显不匹配
54,6757878501728175110,Dhar Mann,https://cn.noxinfluencer.com/tiktok/channel/6757878501728175110,-10,badcase,剧情娱乐型频道，和产品推广意图不一致
55,6741606616121197574,enolabedard,https://cn.noxinfluencer.com/tiktok/channel/6741606616121197574,-10,badcase,音乐娱乐频道，缺少产品带货场景
62,6748074590692541446,Eliana Ghen,https://cn.noxinfluencer.com/tiktok/channel/6748074590692541446,-10,badcase,短剧/娱乐风格明显，不适合家电推广
64,6814706165981889541,Jennifer Hudson Show,https://cn.noxinfluencer.com/tiktok/channel/6814706165981889541,-10,badcase,访谈娱乐节目为主，产品推广场景弱
65,6775626478115341318,Noah Kahan,https://cn.noxinfluencer.com/tiktok/channel/6775626478115341318,-10,badcase,音乐人频道，和产品推广目标不匹配
