rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,6812052926983652353,lyka,https://cn--xtb.noxinfluencer.com/tiktok/channel/6812052926983652353,-4,badcase,剧情/娱乐号为主，Dreame仅偶发出现，不适合品牌推广
15,6882973787504739330,Roce Ordoñez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6882973787504739330,-5,badcase,剧情演绎内容占主导，Dreame只是陪衬，不适合推广
20,6807777901501826050,🌈LANZ🌈,https://cn--xtb.noxinfluencer.com/tiktok/channel/6807777901501826050,-5,badcase,剧情/恋爱故事号为主，Dreame仅是故事关键词，不适合推广
22,6804330214786843654,iamgangstagorgeous,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804330214786843654,-5,badcase,娱乐内容为主，Dreame仅零散露出，不适合推广
24,7142360321742668843,chesterbegley112,https://cn--xtb.noxinfluencer.com/tiktok/channel/7142360321742668843,-9,badcase,只有#DreameShort露出，没有明确产品推广语境
25,6882763028573963270,ÅĻPĦǍBËŤ MǍFÏǍ MǍMǍ,https://cn--xtb.noxinfluencer.com/tiktok/channel/6882763028573963270,-9,badcase,无标签支撑，#DreameShort不足以说明相关性
26,6938752111182201857,❤️🇲🇨SERA🇲🇾❤️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6938752111182201857,-10,badcase,仅有#DreameShort，内容与Dreame产品推广无关
27,6764694658217395202,Tattoo❤️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6764694658217395202,-10,badcase,个人随拍号，Dreame仅模板式提及，几乎无相关性
28,6798626056367916034,🄼Ш🌹💋OPHELIA🌹🄰🄳🄼🄸🄽💋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6798626056367916034,-10,badcase,娱乐型账号，近期内容与Dreame推广无关
29,7136460585819489286,teresapresutto805,https://cn--xtb.noxinfluencer.com/tiktok/channel/7136460585819489286,-3,badcase,仅3条近期内容，均与Dreame无关
34,7098936990935073838,Anthony  P,https://cn--xtb.noxinfluencer.com/tiktok/channel/7098936990935073838,-10,badcase,AI/表情包号，几乎无Dreame相关
37,6576837375748636673,Diane Dhine Lucero V,https://cn--xtb.noxinfluencer.com/tiktok/channel/6576837375748636673,-10,badcase,美妆随拍号，Dreame仅作模板式提及
42,7198690923181229099,Kat Ann,https://cn--xtb.noxinfluencer.com/tiktok/channel/7198690923181229099,-10,badcase,个人号，DreameShort为模板化提及
49,7550199531796202501,rejitwd,https://cn--xtb.noxinfluencer.com/tiktok/channel/7550199531796202501,-8,badcase,时尚服饰号，Dreame基本无有效相关
51,6754275071247942661,Luciamoio88,https://cn--xtb.noxinfluencer.com/tiktok/channel/6754275071247942661,-18,badcase,娱乐音乐号，近期仅少量Dreame提及，不适合产品推广
53,6775322731255104518,Buúh Stefhanny,https://cn--xtb.noxinfluencer.com/tiktok/channel/6775322731255104518,5,badcase,虽有DreameShort标签，但主体是短剧情娱乐，不适合
70,168054125367029760,I R I N A,https://cn--xtb.noxinfluencer.com/tiktok/channel/168054125367029760,-12,badcase,主要是旅行/放松内容，和Dreame清洁产品不匹配
80,6724047752005010438,nailsbyhaime,https://cn--xtb.noxinfluencer.com/tiktok/channel/6724047752005010438,-5,badcase,美甲垂类，Dreame仅零星出现，受众不匹配
86,6859861747298812933,Julia’s world,https://cn--xtb.noxinfluencer.com/tiktok/channel/6859861747298812933,-20,badcase,ASMR/白噪音号，内容格式与Dreame推广明显不符
87,7321486120318944298,el_lengue,https://cn--xtb.noxinfluencer.com/tiktok/channel/7321486120318944298,-5,badcase,泛流量号，偶有Dreame提及，但整体推广证据太弱
102,6900236802586985473,THE FERRAGNEZ 💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900236802586985473,-8,badcase,名人家庭号，近期内容与Dreame不稳定
103,7459070146167112726,Fantasiia,https://cn--xtb.noxinfluencer.com/tiktok/channel/7459070146167112726,-10,badcase,无标签且偏娱乐/营销，和Dreame无关
116,6800813250089305093,siemka,https://cn--xtb.noxinfluencer.com/tiktok/channel/6800813250089305093,-10,badcase,纯宠物号，和人用Dreame无关
120,6738162585692226565,Colton Family - Kassandra,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738162585692226565,-10,badcase,家庭生活号，缺少Dreame相关证据
121,6786238298098336770,หลิวอี้เฟย_CC,https://cn--xtb.noxinfluencer.com/tiktok/channel/6786238298098336770,-6,badcase,明星粉丝号，品牌露出有但带货能力弱
123,6900314396100690949,Vidi Mino,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900314396100690949,-6,badcase,信息太少，只有一个Dreame短视频
125,6761599793581835266,𝓐𝓵𝓮𝔁 𝓴𝔂 _ អេឡិចគី,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761599793581835266,-6,badcase,宝妈/选美号，Dreame内容太零散
126,242061183854571520,tyraover40,https://cn--xtb.noxinfluencer.com/tiktok/channel/242061183854571520,-1,badcase,美妆生活号，只有单条 Dreame 清洁机内容
133,6845500213143208961,✎⃝✰ქᥙ∫іᥱ➣🦋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6845500213143208961,-19,badcase,纯剪辑流量号，和 Dreame 推广不匹配
137,7136409256266712070,Sissies Corner,https://cn--xtb.noxinfluencer.com/tiktok/channel/7136409256266712070,-19,badcase,娱乐反应号，几乎无商品转化场景
138,7376181333524005930,Restnature,https://cn--xtb.noxinfluencer.com/tiktok/channel/7376181333524005930,-25,badcase,白噪音睡眠氛围号，属于强格式不匹配
140,7085117290454238210,Calle Cuatro,https://cn--xtb.noxinfluencer.com/tiktok/channel/7085117290454238210,-19,badcase,纯 CapCut 流量号，不适合 Dreame 投放
153,113190466296160256,Jamie M,https://cn--xtb.noxinfluencer.com/tiktok/channel/113190466296160256,-20,badcase,纯热点/duet 号，几乎无产品推广相关性
156,7484602741872952342,Aussedat Eltana,https://cn--xtb.noxinfluencer.com/tiktok/channel/7484602741872952342,-17,badcase,剧情号，Dreame 只是脚本文案夹带
157,7278284387371074602,Small Town DTF,https://cn--xtb.noxinfluencer.com/tiktok/channel/7278284387371074602,-17,badcase,DTF 服装设计号，与 Dreame 家电投放不符
161,7099308027656946730,hayleyerin,https://cn--xtb.noxinfluencer.com/tiktok/channel/7099308027656946730,-12,badcase,RV vlog 为主，和 Dreame 投放关联弱
171,6864250331024212997,my_homekoncept_37,https://cn--xtb.noxinfluencer.com/tiktok/channel/6864250331024212997,-14,badcase,豪宅汽车内容，和 Dreame 家电投放不搭
173,7467754280423883794,drieddreams,https://cn--xtb.noxinfluencer.com/tiktok/channel/7467754280423883794,-12,badcase,标签杂乱，Dreame 只是噪音式露出
176,7370171352747230213,Ladies Things,https://cn--xtb.noxinfluencer.com/tiktok/channel/7370171352747230213,-10,badcase,美妆/宠物混合号，近10条无Dreame相关，家电不匹配
177,7376172751121564714,Dreamegg,https://cn--xtb.noxinfluencer.com/tiktok/channel/7376172751121564714,-25,badcase,白噪音睡眠频道，和Dreame家电推广格式强冲突
