rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7254294325303084075,2M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7254294325303084075,5,badcase,ASMR编排与厨房产品推广冲突，虽有kitchen但不适合种草
6,6892842790318081030,𝐾𝑎𝑚𝑖 𝐿𝑎𝑟𝑎𝑒,https://cn.noxinfluencer.com/tiktok/channel/6892842790318081030,5,badcase,ASMR清洁类与产品推广不匹配，厨房仅是场景词
7,6997906930228986886,Meecat,https://cn.noxinfluencer.com/tiktok/channel/6997906930228986886,5,badcase,迷你手作ASMR频道，场景不适合厨房产品推广
13,7254790165633139754,5M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7254790165633139754,5,badcase,ASMR编排与厨房产品推广冲突，虽有kitchen但不适合种草
16,7251405510288983082,5M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7251405510288983082,5,badcase,ASMR占主导，厨房仅是背景词，不适合产品推广
19,7206149224562803755,Aenamism,https://cn.noxinfluencer.com/tiktok/channel/7206149224562803755,8,badcase,ASMR占主导，虽有厨房技巧词但推广场景仍不合适
35,7155225890465924142,🥤🍕The Kitchen Kid 🍜🍨,https://cn.noxinfluencer.com/tiktok/channel/7155225890465924142,10,badcase,玩具假食物/儿童厨房，和成人厨房产品不符
43,7255013779917784110,Waleria Watson,https://cn.noxinfluencer.com/tiktok/channel/7255013779917784110,5,badcase,ASMR/收纳沉浸内容，重氛围不重商品
44,6727761606816941061,Noah Klein,https://cn.noxinfluencer.com/tiktok/channel/6727761606816941061,5,badcase,ASMR烹饪型，适合度低
56,4121306,emilyyv13,https://cn.noxinfluencer.com/tiktok/channel/4121306,10,badcase,ASMR清洁收纳风明显，不适合厨房商品推广
58,6860061616185754629,sweet.smile185,https://cn.noxinfluencer.com/tiktok/channel/6860061616185754629,5,badcase,娱乐/歌曲导向强，厨房词不代表商品推广能力
61,7389065239419569194,sv_finds,https://cn.noxinfluencer.com/tiktok/channel/7389065239419569194,10,badcase,ASMR和声音向内容主导，不适合厨房产品推广
68,6947901306670547974,Everyday Home Design,https://cn.noxinfluencer.com/tiktok/channel/6947901306670547974,10,badcase,ASMR家居内容占比高，厨房词只是背景场景
77,6817526662889325573,Monica Brady,https://cn.noxinfluencer.com/tiktok/channel/6817526662889325573,8,badcase,ASMR/满意感内容为主，厨房商品推广格式错位明显
79,7254999459955262507,waleria watson,https://cn.noxinfluencer.com/tiktok/channel/7254999459955262507,6,badcase,ASMR+restock 为主，厨房商品推广的格式错位较强
87,7146732115781420074,Makeover Momma,https://cn.noxinfluencer.com/tiktok/channel/7146732115781420074,7,badcase,ASMR+清洁装饰为主，厨房商品推广格式不佳
95,7151863921330226219,Houda,https://cn.noxinfluencer.com/tiktok/channel/7151863921330226219,0,badcase,无标签无内容信号，无法判断为厨房相关创作者
104,7089500945415226411,Life in 3D,https://cn.noxinfluencer.com/tiktok/channel/7089500945415226411,0,badcase,纯唱歌娱乐，和厨房产品推广无关
114,6720944915097158662,Grandma Gets Real,https://cn.noxinfluencer.com/tiktok/channel/6720944915097158662,5,badcase,微缩玩具内容为主，和厨房产品推广不符
123,7362882423041180718,eatwithchlo,https://cn.noxinfluencer.com/tiktok/channel/7362882423041180718,0,badcase,无标签无内容证据，无法判断为厨房推广号
124,6940689983955731461,feliciahittGENX❤️,https://cn.noxinfluencer.com/tiktok/channel/6940689983955731461,10,badcase,美甲和猫内容占主导，厨房标签不足以支撑投放
132,6873296156127282181,Sadii | Home | Organizing,https://cn.noxinfluencer.com/tiktok/channel/6873296156127282181,10,badcase,ASMR格式冲突，厨房产品不适合
149,7561902370054276110,ModernPrairie,https://cn.noxinfluencer.com/tiktok/channel/7561902370054276110,0,badcase,无标签无内容，无法判断
153,6991900438175581190,pattipagewhite,https://cn.noxinfluencer.com/tiktok/channel/6991900438175581190,8,badcase,宗教向为主，厨房仅表面命中，和厨房产品推广不匹配
157,7318520076235654187,PassionForPurpose,https://cn.noxinfluencer.com/tiktok/channel/7318520076235654187,8,badcase,宗教内容为主，厨房标签只是表面相关
159,7185550477935920170,Pop-3c-Gaming,https://cn.noxinfluencer.com/tiktok/channel/7185550477935920170,5,badcase,剑类/游戏向，厨房标签与主内容冲突明显
165,6643516907701207045,Liz,https://cn.noxinfluencer.com/tiktok/channel/6643516907701207045,13,badcase,ASMR为主且偏休闲，和厨房产品推广格式不匹配
167,6907062246430557190,Livin the scrub life,https://cn.noxinfluencer.com/tiktok/channel/6907062246430557190,12,badcase,清洁ASMR为主，适合度低，偏感官内容而非导购
170,7445909789215900718,Say The World On Beat,https://cn.noxinfluencer.com/tiktok/channel/7445909789215900718,8,badcase,艺术/放松向，厨房仅表面命中，适配度低
174,7281584217451545643,sportpartner07,https://cn.noxinfluencer.com/tiktok/channel/7281584217451545643,5,badcase,玩具/迷你/宠物向，明显不是人用厨房产品场景
180,7479785980321612842,Now You Know Daily,https://cn.noxinfluencer.com/tiktok/channel/7479785980321612842,0,badcase,无标签无视频证据，无法判断厨房相关性
181,7377328579533276206,Aleadhomeus,https://cn.noxinfluencer.com/tiktok/channel/7377328579533276206,0,badcase,无标签无视频证据，无法判断厨房相关性
186,6932273715863946245,Boelon_Official,https://cn.noxinfluencer.com/tiktok/channel/6932273715863946245,0,badcase,植物园艺内容，和厨房产品无关
188,6721294648914707461,Kelsey,https://cn.noxinfluencer.com/tiktok/channel/6721294648914707461,0,badcase,旅行/自拍类，和厨房推广无关
195,6798759244894536710,klaceehanson,https://cn.noxinfluencer.com/tiktok/channel/6798759244894536710,-25,badcase,ASMR/解压类，属于强推广形式不匹配
224,7099659707136427050,OnlyLikePuppy,https://cn.noxinfluencer.com/tiktok/channel/7099659707136427050,5,badcase,宠物+游戏娱乐号，厨房标签不构成适配
231,7224136635634205742,Melissa Grace,https://cn.noxinfluencer.com/tiktok/channel/7224136635634205742,0,badcase,无标签无内容，无法判断相关性
235,7223953370922239018,amazonstuff_buys,https://cn.noxinfluencer.com/tiktok/channel/7223953370922239018,-10,badcase,娱乐梗号，和厨房商品明显不匹配
240,6652068097024360454,Moss,https://cn.noxinfluencer.com/tiktok/channel/6652068097024360454,0,badcase,母婴家居向，厨房相关信号不足
243,6786744911460811781,Feeva,https://cn.noxinfluencer.com/tiktok/channel/6786744911460811781,0,badcase,美妆舞蹈向，厨房商品不匹配
244,6775672545288733701,Shereen🇵🇸,https://cn.noxinfluencer.com/tiktok/channel/6775672545288733701,8,badcase,清洁ASMR格式，产品推广适配差
245,7170712905750643754,LADY BAMBA,https://cn.noxinfluencer.com/tiktok/channel/7170712905750643754,-15,badcase,美妆穿搭向频道，与厨房类产品推广目标明显不符
248,7518893347386868749,jen,https://cn.noxinfluencer.com/tiktok/channel/7518893347386868749,0,badcase,无标签无内容，相关性无法建立
258,7436261544499676203,Chris Minis,https://cn.noxinfluencer.com/tiktok/channel/7436261544499676203,5,badcase,迷你玩具/手作向，偏玩具场景，不适合真实厨房推广
259,7502568880549299222,LUXE HEVAN HAUS,https://cn.noxinfluencer.com/tiktok/channel/7502568880549299222,0,badcase,无有效标签，无法判断厨房相关性
264,6747781078583657477,Sandry Guzmán,https://cn.noxinfluencer.com/tiktok/channel/6747781078583657477,0,badcase,设计/Logo 频道，与厨房产品无关
265,7493914746579092526,Bellz Lulu,https://cn.noxinfluencer.com/tiktok/channel/7493914746579092526,0,badcase,无有效标签，无法判断厨房相关性
266,6796497109275640837,Chelybell ✨🛍️,https://cn.noxinfluencer.com/tiktok/channel/6796497109275640837,0,badcase,娱乐泛流量号，缺少厨房垂类信号
268,6615217935509553153,Tap-Hula-Queen,https://cn.noxinfluencer.com/tiktok/channel/6615217935509553153,0,badcase,舞蹈健身号，与厨房产品无关
271,6640859227064991750,wishyou26,https://cn.noxinfluencer.com/tiktok/channel/6640859227064991750,0,badcase,舞蹈泛娱乐号，与厨房产品无关
275,7011193599112152070,Amy’s Tumbler Junkies,https://cn.noxinfluencer.com/tiktok/channel/7011193599112152070,0,badcase,手工杯子号，与厨房产品无关
282,68616495085350913,Zach King,https://cn.noxinfluencer.com/tiktok/channel/68616495085350913,0,badcase,娱乐向为主，和厨房产品推广场景不匹配
283,7235209772130321454,kukiasg9999,https://cn.noxinfluencer.com/tiktok/channel/7235209772130321454,0,badcase,宠物号为主，与厨房产品推广无关
289,6971506275444966405,beckiowenss,https://cn.noxinfluencer.com/tiktok/channel/6971506275444966405,0,badcase,无有效标签，无法判断厨房推广相关性
297,7049605624552588294,franklin's nice shopping,https://cn.noxinfluencer.com/tiktok/channel/7049605624552588294,0,badcase,宠物号为主，与厨房产品推广无关
302,6597056419299115013,Methodical Muses,https://cn.noxinfluencer.com/tiktok/channel/6597056419299115013,13,badcase,ASMR为主，虽有厨房标签但促销格式不匹配
317,6546160901576201216,Rohan_Prasad,https://cn.noxinfluencer.com/tiktok/channel/6546160901576201216,0,badcase,无标签无视频证据，无法判断为厨房相关
318,7036599210893329413,Homely.store1,https://cn.noxinfluencer.com/tiktok/channel/7036599210893329413,0,badcase,无标签无视频证据，无法判断为厨房相关
