rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
14,7279692371338921003,Anna DIY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7279692371338921003,6,badcase,有Kitchen标签和ProductReview，但近10条多为珠宝打包ASMR，厨房推广不适配
30,316486225731784704,Caun Nicoleta,https://cn--xtb.noxinfluencer.com/tiktok/channel/316486225731784704,9,badcase,虽有厨房和维修标签，但近期多为个人杂内容
38,7131770060418352133,Riche,https://cn--xtb.noxinfluencer.com/tiktok/channel/7131770060418352133,2,badcase,主要是迈克尔杰克逊内容，厨房只是偶发
42,6972336699675739141,Sajmir,https://cn--xtb.noxinfluencer.com/tiktok/channel/6972336699675739141,11,badcase,个人生活内容为主，厨房只是少量出现
70,7332134991538029573,I N D R A,https://cn--xtb.noxinfluencer.com/tiktok/channel/7332134991538029573,-2,badcase,明显偏娱乐/声音流，标题带厨房词也不适合投放
72,7006869599271584773,AYOO TRACEY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7006869599271584773,8,badcase,清洁ASMR/家务向，厨房词有但促销格式不佳
98,7415146753769833505,user6061804143141,https://cn--xtb.noxinfluencer.com/tiktok/channel/7415146753769833505,2,badcase,剧情短剧为主，厨房仅偶发标题，推广不合适
106,6793541998030046209,bian,https://cn--xtb.noxinfluencer.com/tiktok/channel/6793541998030046209,11,badcase,宠物与杂谈占主导，厨房相关太弱
109,68616495085350913,Zach King,https://cn--xtb.noxinfluencer.com/tiktok/channel/68616495085350913,-5,badcase,娱乐魔术号，厨房词不代表带货
113,6877259970769912834,CYSGrides,https://cn--xtb.noxinfluencer.com/tiktok/channel/6877259970769912834,2,badcase,骑行娱乐占主导，厨房关联弱
117,7364744031542887466,Alan_official 💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/7364744031542887466,2,badcase,ASMR清洁风格，不适合厨房带货
119,7036748655063335962,Gina,https://cn--xtb.noxinfluencer.com/tiktok/channel/7036748655063335962,-1,badcase,个人杂谈为主，厨房内容很少
124,6967325786370425862,AidenShack,https://cn--xtb.noxinfluencer.com/tiktok/channel/6967325786370425862,-4,badcase,喜剧角色号，厨房带货适配差
135,7089500945415226411,Life in 3D,https://cn--xtb.noxinfluencer.com/tiktok/channel/7089500945415226411,-5,badcase,唱歌娱乐为主，厨房只是蹭词，不适合厨房推广
138,6897302772106986501,Call me Nour 🦋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6897302772106986501,11,badcase,生活随拍为主，厨房信号弱且近期偏离较多
139,7206149224562803755,Aenamism,https://cn--xtb.noxinfluencer.com/tiktok/channel/7206149224562803755,8,badcase,ASMR/治愈音频占主导，和厨房商品推广格式不匹配
140,6892842790318081030,𝐾𝑎𝑚𝑖 𝐿𝑎𝑟𝑎𝑒,https://cn--xtb.noxinfluencer.com/tiktok/channel/6892842790318081030,8,badcase,ASMR收纳清洁为主，厨房推广适配度低
142,7389065239419569194,sv_finds,https://cn--xtb.noxinfluencer.com/tiktok/channel/7389065239419569194,6,badcase,ASMR加美妆宠物混杂，厨房推广相关性弱
153,7190631771658470443,Movie Action,https://cn--xtb.noxinfluencer.com/tiktok/channel/7190631771658470443,14,badcase,有厨房标签和购物信号，但近期内容杂乱且偏博彩推广
154,6800583375226962950,Keep it organised,https://cn--xtb.noxinfluencer.com/tiktok/channel/6800583375226962950,9,badcase,补货整理内容多，但ASMR形式不利于厨房产品推广
160,7254294325303084075,2M ASMR Compilation,https://cn--xtb.noxinfluencer.com/tiktok/channel/7254294325303084075,8,badcase,厨房补货为主但ASMR强，做厨房产品推广不合适
167,19716537,Enderson Cordeiro,https://cn--xtb.noxinfluencer.com/tiktok/channel/19716537,2,badcase,标题带厨房但本质是八卦娱乐，不适合厨房推广
174,6706593776834331654,Makeup 3,https://cn--xtb.noxinfluencer.com/tiktok/channel/6706593776834331654,15,badcase,美妆杂号夹带厨房词，厨房推广相关性弱
188,7380187204095902728,Monkey Lily,https://cn--xtb.noxinfluencer.com/tiktok/channel/7380187204095902728,0,badcase,动物娱乐号，和厨房商品推广场景冲突
202,7155225890465924142,🥤🍕The Kitchen Kid 🍜🍨,https://cn--xtb.noxinfluencer.com/tiktok/channel/7155225890465924142,0,badcase,玩具假食物内容，和真实厨房用品推广不匹配
211,7251405510288983082,5M ASMR Compilation,https://cn--xtb.noxinfluencer.com/tiktok/channel/7251405510288983082,0,badcase,ASMR重度休闲内容，不适合真实厨房产品推广
213,6796802699397497862,Cookinwithjai,https://cn--xtb.noxinfluencer.com/tiktok/channel/6796802699397497862,11,badcase,近期几乎全是时尚内容，厨房主题已明显跑偏
223,6997906930228986886,Meecat,https://cn--xtb.noxinfluencer.com/tiktok/channel/6997906930228986886,0,badcase,微缩玩具和ASMR内容，和真实厨房用品不匹配
229,7407089687099704353,💎kris4en💎,https://cn--xtb.noxinfluencer.com/tiktok/channel/7407089687099704353,0,badcase,个人娱乐号，厨房标签像泛词噪音，转化弱
235,6810556702242128902,Sidity Des,https://cn--xtb.noxinfluencer.com/tiktok/channel/6810556702242128902,0,badcase,娱乐/日常为主，厨房标签不构成有效投放场景
240,7234597523409814533,casal estrela Dalva.,https://cn--xtb.noxinfluencer.com/tiktok/channel/7234597523409814533,0,badcase,音乐挑战号，厨房只是蹭词，基本不适合投放
241,7131105212303541253,Niko’s kitchen 🔪,https://cn--xtb.noxinfluencer.com/tiktok/channel/7131105212303541253,4,badcase,心理/日常杂内容为主，厨房相关性很弱
263,6673833722406929413,Rezk Mahmoud🇪🇬🇰🇪🇸🇦🇯🇴,https://cn--xtb.noxinfluencer.com/tiktok/channel/6673833722406929413,0,badcase,近期多为杂项和梗图，厨房推广场景弱
268,7163942367522751494,Eric,https://cn--xtb.noxinfluencer.com/tiktok/channel/7163942367522751494,0,badcase,故事/戏剧内容为主，不适合厨房带货
281,7200920051254658054,SaucyExplains,https://cn--xtb.noxinfluencer.com/tiktok/channel/7200920051254658054,-14,badcase,娱乐/健康内容为主，厨房仅是弱标签，最近10条几乎不相关
283,7458583973842142240,The Fight Game,https://cn--xtb.noxinfluencer.com/tiktok/channel/7458583973842142240,10,badcase,近期全是格斗叙事，厨房标签不代表可推广厨房品
291,6899350821290869761,obsessionforoldermen,https://cn--xtb.noxinfluencer.com/tiktok/channel/6899350821290869761,-15,badcase,剧情/追星内容为主，厨房与清洁只是挂名标签
310,7246648925779559429,user41189889964,https://cn--xtb.noxinfluencer.com/tiktok/channel/7246648925779559429,-5,badcase,厨房词命中但核心是节目切片，非产品推广场景
311,7377515620025975840,fqlybpz346,https://cn--xtb.noxinfluencer.com/tiktok/channel/7377515620025975840,-5,badcase,新闻/谋杀/监狱类切片，厨房只是蹭词，不适合投放
312,6790455741125739526,@ghediamousa,https://cn--xtb.noxinfluencer.com/tiktok/channel/6790455741125739526,-3,badcase,ASMR/吃声娱乐号，属于明显格式不匹配
313,7057696489389048838,Agüigüi Real🎓,https://cn--xtb.noxinfluencer.com/tiktok/channel/7057696489389048838,-2,badcase,学校生活/搞笑号，厨房标签不构成有效投放相关
337,6582917521375297542,gio,https://cn--xtb.noxinfluencer.com/tiktok/channel/6582917521375297542,-1,badcase,娱乐叙事内容为主，厨房受众不足
350,7102521043323732997,Élégance Amina,https://cn--xtb.noxinfluencer.com/tiktok/channel/7102521043323732997,-2,badcase,泛流量模板账号，厨房标签不代表受众
