rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
32,6814031188111737861,Ben Carpenter,https://cn.noxinfluencer.com/tiktok/channel/6814031188111737861,0,badcase,无马拉松相关语境，内容偏健康泛领域
34,6650073159859109893,Isaiah,https://cn.noxinfluencer.com/tiktok/channel/6650073159859109893,0,badcase,与马拉松无关，偏汽车与故事内容
38,65054586842955776,Ameya Okamoto,https://cn.noxinfluencer.com/tiktok/channel/65054586842955776,0,badcase,无马拉松相关信号，偏美甲美容内容
45,6657493073607770118,Nēv Schulman,https://cn.noxinfluencer.com/tiktok/channel/6657493073607770118,2,badcase,跑步词弱命中，但主体偏娱乐/钓鱼
52,56969343909015552,Jay Torrez,https://cn.noxinfluencer.com/tiktok/channel/56969343909015552,0,badcase,娱乐向且无跑步相关标签
54,6876882668173296645,Get Adjusted Now,https://cn.noxinfluencer.com/tiktok/channel/6876882668173296645,0,badcase,理疗背痛向，与马拉松受众不符
60,6776452143368995845,fonzian,https://cn.noxinfluencer.com/tiktok/channel/6776452143368995845,0,badcase,仅aesthetic，无跑步或马拉松标签
74,7895844,taryn lamb,https://cn.noxinfluencer.com/tiktok/channel/7895844,0,badcase,生活方式服饰向，缺少跑步受众
77,6671673515304075269,Bearsun,https://cn.noxinfluencer.com/tiktok/channel/6671673515304075269,0,badcase,新闻旅游向，缺少跑步或马拉松受众信号
79,6750050170391626757,Sara 🤩,https://cn.noxinfluencer.com/tiktok/channel/6750050170391626757,5,badcase,宠物受众为主，马拉松仅零散出现
93,6826359685060215814,Katerina Finck,https://cn.noxinfluencer.com/tiktok/channel/6826359685060215814,-15,badcase,宠物频道，和人类马拉松推广不匹配
103,6572296726793928709,JACKIE🤠,https://cn.noxinfluencer.com/tiktok/channel/6572296726793928709,0,badcase,咖啡娱乐频道，无跑步或马拉松相关受众
104,6814596968040416262,Buenosdiasdiaz,https://cn.noxinfluencer.com/tiktok/channel/6814596968040416262,0,badcase,军旅娱乐杂项频道，和马拉松推广不匹配
113,6591920393857712134,samualreecee,https://cn.noxinfluencer.com/tiktok/channel/6591920393857712134,0,badcase,娱乐游戏音乐频道，缺少马拉松相关受众
117,6702542815405147141,vinny mui,https://cn.noxinfluencer.com/tiktok/channel/6702542815405147141,0,badcase,男装时尚频道，无跑步受众
121,6834934015361205253,Isaac Rochell,https://cn.noxinfluencer.com/tiktok/channel/6834934015361205253,0,badcase,家庭婚礼娱乐向，和马拉松无关
123,7002335279227323398,sarahbfit,https://cn.noxinfluencer.com/tiktok/channel/7002335279227323398,0,badcase,纯健身举铁向，缺少跑步马拉松受众
131,6806029928737571846,Memo González,https://cn.noxinfluencer.com/tiktok/channel/6806029928737571846,0,badcase,主题与马拉松无关
133,6773781568681100293,Hannah,https://cn.noxinfluencer.com/tiktok/channel/6773781568681100293,0,badcase,缺少标签与主题信息，难判断相关性
135,7052733638395561006,Travis Hottinger,https://cn.noxinfluencer.com/tiktok/channel/7052733638395561006,20,badcase,汽车/健身为主，马拉松词更像泛词
139,6573101879264329733,Alex Carvalho,https://cn.noxinfluencer.com/tiktok/channel/6573101879264329733,0,badcase,旅行生活号，无马拉松相关信号
143,6832137325804635142,Safa Bilal,https://cn.noxinfluencer.com/tiktok/channel/6832137325804635142,0,badcase,美妆穿搭频道，和马拉松无关
144,6775253997530285061,Amy Woods,https://cn.noxinfluencer.com/tiktok/channel/6775253997530285061,0,badcase,缺少标签，相关性不足
145,6823355654250431494,Heather Nixon ✨,https://cn.noxinfluencer.com/tiktok/channel/6823355654250431494,0,badcase,摄影/商业频道，和马拉松无关
147,6805218943567266822,Cierra,https://cn.noxinfluencer.com/tiktok/channel/6805218943567266822,0,badcase,美妆穿搭为主，和马拉松无关
149,6931131318952543237,Rigo Mendoza,https://cn.noxinfluencer.com/tiktok/channel/6931131318952543237,0,badcase,情感 faith 频道，和马拉松无关
154,6723438248885224453,unit,https://cn.noxinfluencer.com/tiktok/channel/6723438248885224453,0,badcase,无马拉松或跑步相关信号
155,6789407930535478278,AyJay✨,https://cn.noxinfluencer.com/tiktok/channel/6789407930535478278,0,badcase,纯迪士尼演员标签，与马拉松推广无关
156,6615574506754916357,maura tompkins,https://cn.noxinfluencer.com/tiktok/channel/6615574506754916357,0,badcase,无跑步/马拉松相关内容
158,91054351858733056,Paula Rosero | Content Creator,https://cn.noxinfluencer.com/tiktok/channel/91054351858733056,0,badcase,诗歌与生活向内容，不适合马拉松推广
159,7053165250657305646,Avelyn,https://cn.noxinfluencer.com/tiktok/channel/7053165250657305646,0,badcase,LGBT内容为主，缺少跑步/马拉松受众
161,6756022327651550214,skylerstockie,https://cn.noxinfluencer.com/tiktok/channel/6756022327651550214,0,badcase,纯时尚号，与马拉松不相关
162,6811239861011186694,Finn,https://cn.noxinfluencer.com/tiktok/channel/6811239861011186694,0,badcase,娱乐/影视向内容，缺少马拉松受众
163,6804985458679170053,Angela Jordan,https://cn.noxinfluencer.com/tiktok/channel/6804985458679170053,0,badcase,婚礼宠物向内容，和马拉松无关
166,7098332477966287918,Amira,https://cn.noxinfluencer.com/tiktok/channel/7098332477966287918,-12,badcase,ASMR为主，属于跑步产品推广格式不匹配
167,6545551601863507973,og.dirty.dan,https://cn.noxinfluencer.com/tiktok/channel/6545551601863507973,0,badcase,校园娱乐号，缺少马拉松相关性
168,6768201886690608133,theofficialsmeags,https://cn.noxinfluencer.com/tiktok/channel/6768201886690608133,0,badcase,泛FYP流量号，无明确马拉松受众
179,6822393046047392773,benkeepsrunning,https://cn.noxinfluencer.com/tiktok/channel/6822393046047392773,0,badcase,标签与跑步/马拉松无明显相关
180,7362566037529297962,LifeOfKelsey,https://cn.noxinfluencer.com/tiktok/channel/7362566037529297962,0,badcase,无标签与内容信号
181,6789248041432024070,Travelwithmeko,https://cn.noxinfluencer.com/tiktok/channel/6789248041432024070,0,badcase,母婴旅行向，和跑马拉松无关
183,6616476801034649605,theboyfromtangled,https://cn.noxinfluencer.com/tiktok/channel/6616476801034649605,0,badcase,娱乐混剪号，与 marathon 无关
187,7026136573239182341,LordsChild,https://cn.noxinfluencer.com/tiktok/channel/7026136573239182341,-15,badcase,纯游戏频道，与 marathon 受众互斥
191,6736305044528333829,Elmy,https://cn.noxinfluencer.com/tiktok/channel/6736305044528333829,0,badcase,母婴日常与跑马拉松无关
193,6767807601231152134,Diego Armando Bueno,https://cn.noxinfluencer.com/tiktok/channel/6767807601231152134,0,badcase,足球/舞蹈/生活向，和 marathon 无关
195,6713368688118563846,Riley Davis,https://cn.noxinfluencer.com/tiktok/channel/6713368688118563846,0,badcase,宗教/生活/美食向，与 marathon 无关
197,7235350152424457258,DezetEghoo,https://cn.noxinfluencer.com/tiktok/channel/7235350152424457258,0,badcase,内容标签与 marathon 无关
201,6785748734934221829,ariazeneth,https://cn.noxinfluencer.com/tiktok/channel/6785748734934221829,0,badcase,手工耳环小店，和马拉松无关
202,6532375556716331009,Rob Spychalski,https://cn.noxinfluencer.com/tiktok/channel/6532375556716331009,0,badcase,美剧账号，和马拉松无关
203,6771280064303776773,Ems Outta Breath,https://cn.noxinfluencer.com/tiktok/channel/6771280064303776773,0,badcase,挑战/游戏混合号，和马拉松无关
205,6761852793974703110,Juana,https://cn.noxinfluencer.com/tiktok/channel/6761852793974703110,0,badcase,疑似泛流量/擦边号，无关
206,7096833932628624426,Beth Bice,https://cn.noxinfluencer.com/tiktok/channel/7096833932628624426,0,badcase,婚恋剧情号，与马拉松无关
211,6745290877176792069,Jack Cook,https://cn.noxinfluencer.com/tiktok/channel/6745290877176792069,0,badcase,节日杂货号，无关
212,6774095304511489029,Brandon Lu,https://cn.noxinfluencer.com/tiktok/channel/6774095304511489029,0,badcase,摄影账号，与马拉松无关
213,7189389068979569710,Cloe,https://cn.noxinfluencer.com/tiktok/channel/7189389068979569710,0,badcase,阅读书单号，与马拉松无关
216,6610858202517913606,David Barry Jr,https://cn.noxinfluencer.com/tiktok/channel/6610858202517913606,0,badcase,财经投资号，无关
217,6807489962868933638,Jacques,https://cn.noxinfluencer.com/tiktok/channel/6807489962868933638,0,badcase,音乐娱乐号，无关
218,6902897097982559237,TheRealGhost,https://cn.noxinfluencer.com/tiktok/channel/6902897097982559237,0,badcase,游戏号，无关
220,6683489664907117574,Sophia,https://cn.noxinfluencer.com/tiktok/channel/6683489664907117574,0,badcase,情侣生活号，与马拉松无关
