rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,65054586842955776,Ameya Okamoto,https://cn--xtb.noxinfluencer.com/tiktok/channel/65054586842955776,11,badcase,美甲美妆为主，马拉松只是零散露出，近期几乎不相关
25,6781565851683324934,Sean Hill,https://cn--xtb.noxinfluencer.com/tiktok/channel/6781565851683324934,13,badcase,近期几乎全是旅行日常，马拉松信号太弱
28,68005603914227712,JuanBertheau,https://cn--xtb.noxinfluencer.com/tiktok/channel/68005603914227712,-5,badcase,虽有马拉松标签，但主轴是娱乐时尚摩托，近期高度不相关
64,6931131318952543237,Rigo Mendoza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6931131318952543237,2,badcase,近期多为舞蹈情感内容，马拉松相关性很弱
93,6646277321614065669,bonakala_zoey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6646277321614065669,12,badcase,标题多为生活和祷告，马拉松相关性弱
137,6996026814678172677,mandyandmadi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6996026814678172677,0,badcase,娱乐向账号，马拉松仅零散出现，近期多不相关。
142,6723438248885224453,unit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6723438248885224453,-1,badcase,娱乐/书影音杂内容，马拉松信号太弱。
157,7106246378833167402,caden,https://cn--xtb.noxinfluencer.com/tiktok/channel/7106246378833167402,10,badcase,标签有Marathon，但近10条几乎全是挑战/美食/足球
169,6952071159538304002,Thế anh - chạy bộ,https://cn--xtb.noxinfluencer.com/tiktok/channel/6952071159538304002,10,badcase,有跑步标签，但近期10条几乎全是旅行/路演内容
188,6547587762283053057,Rahmad Setiabudi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6547587762283053057,13,badcase,马拉松标签有，但近期内容多为抽象杂片段，稳定性差
197,6885715214442152965,Salvatore Greco,https://cn--xtb.noxinfluencer.com/tiktok/channel/6885715214442152965,12,badcase,生活/语言学习/娱乐为主，跑步内容占比低
206,6857577781037040646,Juan Pablo || Fisioterapeuta,https://cn--xtb.noxinfluencer.com/tiktok/channel/6857577781037040646,11,badcase,虽有马拉松标签，但近期几乎都是泛娱乐和热点内容
215,6810200060946924549,Anthony and Gabby,https://cn--xtb.noxinfluencer.com/tiktok/channel/6810200060946924549,10,badcase,虽有马拉松标签，但近10条几乎全是旅行购物和生活内容
219,5656130,Aliana King,https://cn--xtb.noxinfluencer.com/tiktok/channel/5656130,10,badcase,美发美妆为主，虽有马拉松标签但近期几乎无相关内容
241,6735649874878284801,Xaiosphere,https://cn--xtb.noxinfluencer.com/tiktok/channel/6735649874878284801,9,badcase,娱乐搞笑为主，马拉松只是零散标题，格式不适合
265,6805387143431980038,nefastinnn,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805387143431980038,0,badcase,幽默与跑步混合，近期非跑步内容偏多
269,6539214018547029007,Julie Vermeire,https://cn--xtb.noxinfluencer.com/tiktok/channel/6539214018547029007,0,badcase,舞蹈娱乐为主，近期无跑步内容，不适合马拉松推广
303,6791134496839287813,Chief Charlie Chance,https://cn--xtb.noxinfluencer.com/tiktok/channel/6791134496839287813,3,badcase,宠物号为主，马拉松只是少量个人内容，不适合投放
313,7002335279227323398,sarahbfit,https://cn--xtb.noxinfluencer.com/tiktok/channel/7002335279227323398,10,badcase,标签有跑步，但近期内容几乎全是校园日常与清洁
316,6590315617160970241,THANH THANHHH,https://cn--xtb.noxinfluencer.com/tiktok/channel/6590315617160970241,0,badcase,情感娱乐向占主导，马拉松只是少量点缀且不稳定
324,6740248569146786822,Kell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6740248569146786822,2,badcase,教育娱乐混合且近期几乎无跑步主线，不适合投放
362,6563506540010831874,✨ S A B 💚,https://cn--xtb.noxinfluencer.com/tiktok/channel/6563506540010831874,10,badcase,虽有马拉松标签，但近期几乎全是娱乐/舞蹈/生活
389,63007250813816832,natflixandchill,https://cn--xtb.noxinfluencer.com/tiktok/channel/63007250813816832,1,badcase,夜生活/音乐内容为主，马拉松只剩标签
391,6793780551260324869,Maria Elisa🇵🇷🌺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6793780551260324869,10,badcase,美食/美妆为主，近10条几乎全偏题
458,6824559227093861382,Victoria Myers 🤍,https://cn--xtb.noxinfluencer.com/tiktok/channel/6824559227093861382,12,badcase,虽有马拉松标签，但近期多为美妆和生活内容
464,6781171774963172357,marth,https://cn--xtb.noxinfluencer.com/tiktok/channel/6781171774963172357,11,badcase,马拉松只偶尔提及，近期多为马术生活内容
469,7378721433007948843,safiaruns,https://cn--xtb.noxinfluencer.com/tiktok/channel/7378721433007948843,10,badcase,马拉松标签存在，但近期几乎无跑步相关内容
473,6720035029344666630,Brooke Epps,https://cn--xtb.noxinfluencer.com/tiktok/channel/6720035029344666630,11,badcase,近期多为家庭/剧情内容，马拉松存在感弱
