rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,6699650883243115526,Aisley Herndon 📸✨,https://cn.noxinfluencer.com/tiktok/channel/6699650883243115526,-4,badcase,娱乐粉圈内容为主，摄影标签不足以支撑推广
9,1219912,aoeimagery,https://cn.noxinfluencer.com/tiktok/channel/1219912,-5,badcase,娱乐/舞蹈/美食内容，和摄影器材不符
11,6771253463898801157,Bailey Pascua,https://cn.noxinfluencer.com/tiktok/channel/6771253463898801157,0,badcase,母婴生活内容，和摄影器材无关
12,7228045425570759723,iamnicknguyen,https://cn.noxinfluencer.com/tiktok/channel/7228045425570759723,0,badcase,无标签无视频，缺少判断依据
14,6934137316709876742,Ceoofallthethings,https://cn.noxinfluencer.com/tiktok/channel/6934137316709876742,0,badcase,无标签，缺少摄影推广证据
21,6730695704546755590,bitesbydre,https://cn.noxinfluencer.com/tiktok/channel/6730695704546755590,-15,badcase,游戏内容为主，与摄影器材不符
22,7292957222643811370,WA+8613416280123,https://cn.noxinfluencer.com/tiktok/channel/7292957222643811370,-15,badcase,CNC加工内容，与摄影器材无关
23,7215785273333859371,Selens,https://cn.noxinfluencer.com/tiktok/channel/7215785273333859371,0,badcase,无标签，缺少摄影器材相关证据
26,6756979674674971654,Kel’s Finds,https://cn.noxinfluencer.com/tiktok/channel/6756979674674971654,0,badcase,无摄影器材相关信号，适配度低
27,6738933090565145606,Zarryen Gaines,https://cn.noxinfluencer.com/tiktok/channel/6738933090565145606,0,badcase,体育赛道与摄影器材无关
29,6855334977598784517,Spencer Brown,https://cn.noxinfluencer.com/tiktok/channel/6855334977598784517,0,badcase,缺少摄影或器材相关信号
30,6622372117411774469,️,https://cn.noxinfluencer.com/tiktok/channel/6622372117411774469,0,badcase,无可用标签或内容信号
31,7370362721630618666,🤣 Funny Videos 🤣,https://cn.noxinfluencer.com/tiktok/channel/7370362721630618666,-15,badcase,娱乐搞笑为主，不适合器材推广
33,7246529445688509486,dj_Sid,https://cn.noxinfluencer.com/tiktok/channel/7246529445688509486,0,badcase,无摄影器材相关证据
34,7350750903430104110,GigaParts,https://cn.noxinfluencer.com/tiktok/channel/7350750903430104110,0,badcase,信息不足，无法判断适配度
35,7200979590600459306,check_techa,https://cn.noxinfluencer.com/tiktok/channel/7200979590600459306,-15,badcase,影视动漫娱乐向，和器材推广不匹配
