rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,6748950803710690309,jenjetzer,https://cn--xtb.noxinfluencer.com/tiktok/channel/6748950803710690309,10,badcase,直击器材标签，但近期内容与摄影器材无关
16,7020818863408088091,😁,https://cn--xtb.noxinfluencer.com/tiktok/channel/7020818863408088091,0,badcase,只有泛摄影标签，缺少器材和产品信号
18,7020424009109062662,Enrique Ventas,https://cn--xtb.noxinfluencer.com/tiktok/channel/7020424009109062662,-1,badcase,几乎无有效标签，近期只见零散相机词
22,7251494414114800686,YY’s Tool,https://cn--xtb.noxinfluencer.com/tiktok/channel/7251494414114800686,-10,badcase,工具和汽车号为主，和摄影器材推广不匹配
30,7484124373364769797,личность не установлена,https://cn--xtb.noxinfluencer.com/tiktok/channel/7484124373364769797,2,badcase,只剩数字相机标签和引流式内容，创作者适配度低
31,6998905459123373062,miserablephase,https://cn--xtb.noxinfluencer.com/tiktok/channel/6998905459123373062,1,badcase,只有数字相机碎片内容，缺少稳定器材推广场景
32,7231862375959004165,CorpseLakes,https://cn--xtb.noxinfluencer.com/tiktok/channel/7231862375959004165,1,badcase,数字相机相关信息极少，整体像引流号而非创作者
33,7520451512401691670,boung0,https://cn--xtb.noxinfluencer.com/tiktok/channel/7520451512401691670,-24,badcase,影视片段频道，和摄影器材推广场景明显不匹配
42,6728406683406550022,Møhâmèd,https://cn--xtb.noxinfluencer.com/tiktok/channel/6728406683406550022,-8,badcase,只有零散摄影标签，最近内容基本不指向器材推广
61,6992253371566670854,Ig: bizu_zabki_ 🪷🧘🏻‍♀️🍢,https://cn--xtb.noxinfluencer.com/tiktok/channel/6992253371566670854,-6,badcase,内容偏二次元/生活，器材推广弱
73,95268930289569792,Dipqi,https://cn--xtb.noxinfluencer.com/tiktok/channel/95268930289569792,-8,badcase,偏创作氛围和个人内容，器材转化弱
88,7600772362522739767,King David | Shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7600772362522739767,-9,badcase,频道主要卖食品/杂货，摄影器材相关度极低
92,7389177077649998881,Mach Loop Virtual Squadron,https://cn--xtb.noxinfluencer.com/tiktok/channel/7389177077649998881,-7,badcase,航空虚拟社群为主，摄影器材推广关联很弱
96,250952056868605952,CHRIS 📸🖤🎬,https://cn--xtb.noxinfluencer.com/tiktok/channel/250952056868605952,-4,badcase,主体是健身/搞笑，摄影器材只是零散内容
107,6996276493388203035,Mstr. Joser,https://cn--xtb.noxinfluencer.com/tiktok/channel/6996276493388203035,-9,badcase,虽有摄影标签，但近期几乎都是泛流量内容，器材相关很弱
108,6929551908881662982,Stephanie🦋💜,https://cn--xtb.noxinfluencer.com/tiktok/channel/6929551908881662982,-10,badcase,偏美妆娱乐，摄影标签弱且近期内容与器材推广不相关
109,7030110658080654338,sexwithzombie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7030110658080654338,-5,badcase,娱乐向账号，偶有相机词但格式与器材推广明显不匹配
117,7607926328386798612,TOKO KOKO STEVEN,https://cn--xtb.noxinfluencer.com/tiktok/channel/7607926328386798612,-4,badcase,标签空且内容杂乱，摄影器材相关信号不足
119,6830180409906611206,Maduzinha💋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6830180409906611206,-10,badcase,纯个人娱乐内容，和摄影器材无关
135,6918731452574974978,Vanessa S. Rico,https://cn--xtb.noxinfluencer.com/tiktok/channel/6918731452574974978,0,badcase,仅零星提到相机，近10条基本无关
142,6903898789820875778,Léa Salvador,https://cn--xtb.noxinfluencer.com/tiktok/channel/6903898789820875778,0,badcase,摄影标签有，但近期多为 vlog 和纪录内容
153,7339736496046031915,naattvbf7,https://cn--xtb.noxinfluencer.com/tiktok/channel/7339736496046031915,-25,badcase,监控/直播/网络摄像头，不是摄影器材受众
177,7180871977443836971,🥥megahitz.🌀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7180871977443836971,-21,badcase,游戏VR为主，摄影仅零散提及，器材推广不匹配
178,6719600835402646533,R,https://cn--xtb.noxinfluencer.com/tiktok/channel/6719600835402646533,-22,badcase,游戏娱乐频道，摄影只是顺手带过，推广适配度低
207,79499102893,Nguyễn Linh Đan 🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/79499102893,-5,badcase,时尚旅行为主，器材相关仅零星出现
216,6897137839651144710,Ndivhu M,https://cn--xtb.noxinfluencer.com/tiktok/channel/6897137839651144710,-7,badcase,多数内容与摄影器材无关，仅偶有摄影袋分享
236,6890381846347547654,flippy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6890381846347547654,-21,badcase,主要是游戏和娱乐，和摄影器材推广不匹配
237,7264938255823782918,maki,https://cn--xtb.noxinfluencer.com/tiktok/channel/7264938255823782918,-18,badcase,生活杂类为主，缺少摄影器材受众和购买意图
242,7111715618126431238,Aesthetichub,https://cn--xtb.noxinfluencer.com/tiktok/channel/7111715618126431238,-21,badcase,旅游搞笑向，几乎没有摄影器材受众
254,7422249779713049606,𝘿𝔼𝕏𝘾𝙇𝙐𝙎𝙄𝙑𝙀💢,https://cn--xtb.noxinfluencer.com/tiktok/channel/7422249779713049606,-10,badcase,主营与摄影器材无关，近期也多为其他商品
260,7046820439599334405,azul <3,https://cn--xtb.noxinfluencer.com/tiktok/channel/7046820439599334405,-8,badcase,宗教内容为主，摄影器材只是零散提及
270,6953323544336221190,Rapid News Tv,https://cn--xtb.noxinfluencer.com/tiktok/channel/6953323544336221190,-10,badcase,新闻号为主，摄影器材只是噪声标签
274,6804130590990074886,DACIA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804130590990074886,-9,badcase,几乎只有泛生活内容，器材相关信号很弱
282,6882184927095784453,Adam Dowling,https://cn--xtb.noxinfluencer.com/tiktok/channel/6882184927095784453,-10,badcase,纯摄影创作型，几乎没有器材推广能力
290,6627466223636856838,Mersni photographe,https://cn--xtb.noxinfluencer.com/tiktok/channel/6627466223636856838,-10,badcase,内容太泛，缺少器材、导购或评测信号
291,7002417517814268954,ah.shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7002417517814268954,-21,badcase,娱乐标签占主导，和摄影器材推广明显不符
301,6820979730569757697,GES CAMBODIA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6820979730569757697,-2,badcase,鱼类频道为主，少量相机售卖不够支撑器材推广
307,7138115402991502363,Wanda Bustami2,https://cn--xtb.noxinfluencer.com/tiktok/channel/7138115402991502363,-25,badcase,剧情娱乐频道，和摄影器材推广场景明显不符
311,6928789924071523333,Geyza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6928789924071523333,-10,badcase,无标签且内容缺乏摄影器材相关信号
343,6959938035383993350,lutfi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6959938035383993350,-10,badcase,近10条全是设计/售卖内容，几乎无摄影器材相关性
353,7050045474309915650,vy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7050045474309915650,0,badcase,标签缺失，只有泛化相机标题，难以稳定判断为器材推广频道
363,6597985133658718209,แม็ก รีวิว,https://cn--xtb.noxinfluencer.com/tiktok/channel/6597985133658718209,-20,badcase,是户外与劳保器材评测号，不是摄影器材赛道，近期内容也完全不沾边
368,7223389725746807810,Seifu A,https://cn--xtb.noxinfluencer.com/tiktok/channel/7223389725746807810,-20,badcase,标签和内容都偏泛流量/日常，几乎没有摄影器材相关信号
370,6626072462105100294,Jamroll,https://cn--xtb.noxinfluencer.com/tiktok/channel/6626072462105100294,-13,badcase,主要是时尚穿搭，器材只是偶发拍摄配置，不足以承接摄影器材推广
371,6581163535941304326,شووق305,https://cn--xtb.noxinfluencer.com/tiktok/channel/6581163535941304326,-20,badcase,问候和搞笑内容为主，几乎没有摄影器材或摄影场景信号
379,6882041373348856833,pipana,https://cn--xtb.noxinfluencer.com/tiktok/channel/6882041373348856833,-25,badcase,娱乐挑战频道，和摄影器材推广明显不匹配
389,285209882885312512,!g:kuborolo,https://cn--xtb.noxinfluencer.com/tiktok/channel/285209882885312512,-19,badcase,几乎都是泛娱乐内容，摄影器材相关性很低
391,7042795057720329222,CoSmiK,https://cn--xtb.noxinfluencer.com/tiktok/channel/7042795057720329222,-21,badcase,娱乐整活频道，不适合摄影器材推广
417,7032283864581407745,001paperid0,https://cn--xtb.noxinfluencer.com/tiktok/channel/7032283864581407745,-20,badcase,魔术/娱乐号，和摄影器材推广基本不相干
425,7060462590732649477,lyrics Ak,https://cn--xtb.noxinfluencer.com/tiktok/channel/7060462590732649477,-2,badcase,少量器材售卖夹杂大量歌词/娱乐内容，不适合推广
