rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,7000091584018859014,Coach Mandy-CPT BCS WFS CGFI🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/7000091584018859014,10,badcase,标签命中但近期内容几乎全是个人生活，推广性差
15,6795302605276496902,Elakoa,https://cn--xtb.noxinfluencer.com/tiktok/channel/6795302605276496902,-7,badcase,仅有泛运动标签，近期内容与带子训练无关
16,6532090445395148802,wudihang-5,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532090445395148802,-10,badcase,缺少相关标签，近期内容也不支持健身器材推广
22,7260737043836617733,Import SC,https://cn--xtb.noxinfluencer.com/tiktok/channel/7260737043836617733,-21,badcase,美食综艺频道与健身器材推广不符
24,6992860626767184897,Yhanz♍,https://cn--xtb.noxinfluencer.com/tiktok/channel/6992860626767184897,-10,badcase,缺少标签和相关内容，基本不相关
43,6722554702368801794,christa heaven15,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722554702368801794,-4,badcase,只有零散器材词，整体内容太杂，相关性弱
50,6558264682159112194,𝖆𝖓𝖌𝖊𝖑,https://cn--xtb.noxinfluencer.com/tiktok/channel/6558264682159112194,-10,badcase,娱乐/ fakebody 倾向明显，和 resistance bands 不匹配
58,6846939571491636225,Ann Lorien Raquiza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6846939571491636225,-15,badcase,美妆时尚为主，和弹力带健身场景不符
60,7434735323903509550,CHLOE CHANTAL,https://cn--xtb.noxinfluencer.com/tiktok/channel/7434735323903509550,-15,badcase,祷告/信仰频道，和弹力带推广场景明显不符
69,82686169972350976,Amy Marsh,https://cn--xtb.noxinfluencer.com/tiktok/channel/82686169972350976,-14,badcase,近期多为美妆穿搭和杂项，缺乏健身受众
70,7026035741033792518,NaomixElaine | ContentCreator,https://cn--xtb.noxinfluencer.com/tiktok/channel/7026035741033792518,-15,badcase,信仰内容频道，和弹力带推广不匹配
81,6770469072335209474,Kimaura Picks,https://cn--xtb.noxinfluencer.com/tiktok/channel/6770469072335209474,-10,badcase,内容与阻力带推广无关，近期也几乎全是偏题内容
85,7023783372767347739,AdjTmplte,https://cn--xtb.noxinfluencer.com/tiktok/channel/7023783372767347739,-18,badcase,娱乐号为主，阻力带只是在标题里偶发出现
115,7340281431656088619,Renande’s beauty,https://cn--xtb.noxinfluencer.com/tiktok/channel/7340281431656088619,-8,badcase,美妆/塑形向，和阻力带品类不匹配
120,7356992187127989294,LY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7356992187127989294,-7,badcase,主域是娱乐/收藏，近条虽带货但不贴阻力带
122,7375312812493620266,🫧kate doll🫧,https://cn--xtb.noxinfluencer.com/tiktok/channel/7375312812493620266,-9,badcase,美妆塑形号，近期内容与阻力带不相关
123,6777069885027369989,Jaycee Layne,https://cn--xtb.noxinfluencer.com/tiktok/channel/6777069885027369989,-9,badcase,偏生活娱乐，缺少健身器材受众
124,6993497402750518278,Tienda_Tiktokshop,https://cn--xtb.noxinfluencer.com/tiktok/channel/6993497402750518278,-8,badcase,美妆/家居/健康杂项，和阻力带不对口
127,7521213479044531208,SHOP CỦA TÂM TÌNH,https://cn--xtb.noxinfluencer.com/tiktok/channel/7521213479044531208,-10,badcase,美妆穿搭店铺，近期内容与弹力带推广无关。
131,7384027462495699973,Seo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7384027462495699973,5,badcase,鸡汤引流格式明显，虽有商品标签但不像器材推广号。
143,6854170318383252481,dekok81,https://cn--xtb.noxinfluencer.com/tiktok/channel/6854170318383252481,2,badcase,动漫/日常为主，健身带货语境弱，近期大多不匹配。
181,7508877222411142146,Real Strength Over 50,https://cn--xtb.noxinfluencer.com/tiktok/channel/7508877222411142146,-4,badcase,只有健身泛标签，近期偏旅行/生活，缺少器材推广迹象
185,6910660132784620550,Ashley Pompey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6910660132784620550,0,badcase,直播/娱乐内容为主，阻力带标签不足以支撑推广
186,6950255482158334977,Sandiko | Video Editor,https://cn--xtb.noxinfluencer.com/tiktok/channel/6950255482158334977,-5,badcase,视频编辑号夹带器材标签，内容域与产品推广不匹配
207,6808568381764060165,RN & REALTOR®️ ❤️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6808568381764060165,-9,badcase,美妆护肤向，和弹力带购买场景不匹配
