rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7217449542114395178,Morgan 🗝️,https://cn.noxinfluencer.com/tiktok/channel/7217449542114395178,0,badcase,服饰时尚为主，与跑步机推广关联弱
3,7366263258095354922,Manna Flow 🪽,https://cn.noxinfluencer.com/tiktok/channel/7366263258095354922,0,badcase,闪光灯/美妆为主，和跑步机不相关
4,6739879186918704134,griselda,https://cn.noxinfluencer.com/tiktok/channel/6739879186918704134,0,badcase,无标签与视频证据，相关性不足
5,6751076338523784197,Annie Tran,https://cn.noxinfluencer.com/tiktok/channel/6751076338523784197,0,badcase,婚礼/教育/家庭向，缺少健身器材语境
6,6669521921396539398,Keshornashantell,https://cn.noxinfluencer.com/tiktok/channel/6669521921396539398,0,badcase,地产批发金融向，与跑步机推广不匹配
8,6645992989259071494,Kaylin Ricci,https://cn.noxinfluencer.com/tiktok/channel/6645992989259071494,0,badcase,无标签与内容证据，难判断相关性
35,6619727687664975878,Cheddar,https://cn.noxinfluencer.com/tiktok/channel/6619727687664975878,-15,badcase,新闻娱乐频道，跑步机与受众/内容域不匹配
36,6725267084962628614,Dimi,https://cn.noxinfluencer.com/tiktok/channel/6725267084962628614,-15,badcase,纯娱乐影视频道，与跑步机推广不匹配
37,6767486255666119686,cleolonglegs,https://cn.noxinfluencer.com/tiktok/channel/6767486255666119686,-15,badcase,宠物狗频道，和人用跑步机属错位受众
39,7079057403644150830,mk,https://cn.noxinfluencer.com/tiktok/channel/7079057403644150830,0,badcase,时尚测色频道，跑步机标签像泛投，推广不稳
46,6712505721622610949,Dan Sur,https://cn.noxinfluencer.com/tiktok/channel/6712505721622610949,-15,badcase,纯娱乐频道，缺少器材推广语境
48,6797982798247969797,ATHENA PARIS,https://cn.noxinfluencer.com/tiktok/channel/6797982798247969797,-12,badcase,娱乐恋爱内容，与跑步机推广不相关
57,6545583978890400783,Sekeithia,https://cn.noxinfluencer.com/tiktok/channel/6545583978890400783,1,badcase,生活杂项为主，缺少跑步机场景
58,7362622889823093803,Jewelz 💎🎶,https://cn.noxinfluencer.com/tiktok/channel/7362622889823093803,1,badcase,泛励志/泛购物，相关性过弱
60,2981829,stephaniee,https://cn.noxinfluencer.com/tiktok/channel/2981829,0,badcase,纯喜剧家庭内容，和跑步机无关
62,6891749366475473925,Sammy Jo,https://cn.noxinfluencer.com/tiktok/channel/6891749366475473925,7,badcase,时尚娱乐为主，跑步机只是点缀
64,6905099076481074182,Ana Luisa,https://cn.noxinfluencer.com/tiktok/channel/6905099076481074182,0,badcase,纯娱乐/喜剧，相关性极低
67,6745559817971500037,Better You Better Society,https://cn.noxinfluencer.com/tiktok/channel/6745559817971500037,0,badcase,自我成长号，缺少运动器材关联
70,6818002673023878149,carolinemooore,https://cn.noxinfluencer.com/tiktok/channel/6818002673023878149,0,badcase,时尚舞蹈混合，相关性弱
81,7320358461086598186,Matt Barnes,https://cn.noxinfluencer.com/tiktok/channel/7320358461086598186,0,badcase,篮球体育故事号，与跑步机不匹配
82,7026330807824581678,Erin Confortini,https://cn.noxinfluencer.com/tiktok/channel/7026330807824581678,0,badcase,财经号，和跑步机推广无关
84,6782958838896329733,Consumer Reports,https://cn.noxinfluencer.com/tiktok/channel/6782958838896329733,0,badcase,清洁生活资讯号，缺少跑步机相关性
