rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,7244849105637114881,CTNORZAITUN🦈🦛🕸️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7244849105637114881,-8,badcase,家居收纳与杂货为主，跑步机相关信号很弱
10,7468459862529475616,𝔾𝕠𝕕’𝕤 𝔽𝕒𝕧𝕠𝕦𝕣,https://cn--xtb.noxinfluencer.com/tiktok/channel/7468459862529475616,-10,badcase,近期多为杂品广告，缺少跑步机或运动器材相关内容
26,7039939594381739010,Cel Shop 23,https://cn--xtb.noxinfluencer.com/tiktok/channel/7039939594381739010,-10,badcase,杂货/宠物/服饰混杂，近10条与跑步机无关，带货相关性弱
27,6677956344040080390,Usman Bhatti 🔥,https://cn--xtb.noxinfluencer.com/tiktok/channel/6677956344040080390,-6,badcase,泛流量账号，只有1条跑步机提及，缺少稳定受众和承接能力
31,7343742551407133701,简单生活笔记,https://cn--xtb.noxinfluencer.com/tiktok/channel/7343742551407133701,-7,badcase,以居家好物/家居香氛为主，跑步机内容不足，相关度偏低
32,6965438265412617217,sansanstore.id,https://cn--xtb.noxinfluencer.com/tiktok/channel/6965438265412617217,-5,badcase,主卖家电/小家电，跑步机仅偶发提及，健身承接较弱
35,7004246898854200325,Lady Sledge,https://cn--xtb.noxinfluencer.com/tiktok/channel/7004246898854200325,-10,badcase,纯娱乐杂号，和跑步机推广场景不匹配
36,7223435123105170438,Muzhda Safi🇦🇫🇩🇪,https://cn--xtb.noxinfluencer.com/tiktok/channel/7223435123105170438,-10,badcase,美妆护肤为主，缺少健身器材或跑步机推广承接
39,6504974424382210050,SW2512,https://cn--xtb.noxinfluencer.com/tiktok/channel/6504974424382210050,-6,badcase,以骑行/穿搭为主，跑步机仅偶发提及，相关性较弱
43,52596986826219520,SRIDEV1206,https://cn--xtb.noxinfluencer.com/tiktok/channel/52596986826219520,-10,badcase,娱乐/搞笑账号，和跑步机推广场景完全不匹配
52,6562948376881692677,Rose and her Mom,https://cn--xtb.noxinfluencer.com/tiktok/channel/6562948376881692677,-10,badcase,以家庭杂货和儿童用品为主，与跑步机无关
54,6568702295994580998,ᖇᗩᖴᎥ🐺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6568702295994580998,-20,badcase,娱乐口播为主，健身词仅零星出现，不适合带货
62,6580203411567230978,Marifel🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/6580203411567230978,-10,badcase,泛品类产品号，近期与跑步机无关
63,7210279125105214466,Che✨🌸,https://cn--xtb.noxinfluencer.com/tiktok/channel/7210279125105214466,-10,badcase,宠物和美妆内容为主，与跑步机不相关
69,6553796512047775745,BOSS GARNEL,https://cn--xtb.noxinfluencer.com/tiktok/channel/6553796512047775745,-8,badcase,标签与跑步机无直接相关，近期多为工具内容，仅少量提及
91,6646040649630138374,Zay,https://cn--xtb.noxinfluencer.com/tiktok/channel/6646040649630138374,-12,badcase,娱乐篮球号，跑步机只是梗，不适合卖货
104,6740399318384395266,Syazalio(〃＾▽＾〃)o,https://cn--xtb.noxinfluencer.com/tiktok/channel/6740399318384395266,-17,badcase,娱乐儿童向为主，跑步机只是口号式提及
118,7211505333037220906,Vicki💙🤡,https://cn--xtb.noxinfluencer.com/tiktok/channel/7211505333037220906,-19,badcase,娱乐号，跑步机推广相关性很弱
161,6928485275693777926,Moonmanhy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6928485275693777926,-1,badcase,娱乐/卡拉OK号，不适合跑步机带货
168,6818002673023878149,carolinemooore,https://cn--xtb.noxinfluencer.com/tiktok/channel/6818002673023878149,0,badcase,喜剧娱乐号，跑步机词不适合带货
176,6719772136309490689,Hami diah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6719772136309490689,-4,badcase,娱乐号为主，商品杂但无跑步机/健身器材定位
184,28559125,Sophiiiaxx | Recipes & Vibes💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/28559125,-6,badcase,美食生活号，缺少健身器材推广场景
189,7459159313517659168,DunnersTTS,https://cn--xtb.noxinfluencer.com/tiktok/channel/7459159313517659168,-4,badcase,宠物+游戏为主，跑步机标签疑似混入
197,6792801814766617602,Ibaf Fabi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6792801814766617602,-5,badcase,旅游/parkour号，内容域与跑步机推广不匹配
203,7006637674086286362,💫 Ainsworth Ann,https://cn--xtb.noxinfluencer.com/tiktok/channel/7006637674086286362,0,badcase,偏生活故事娱乐，和跑步机推广不匹配
213,7070994180919608347,AKI,https://cn--xtb.noxinfluencer.com/tiktok/channel/7070994180919608347,0,badcase,宗教/穿搭内容为主，产品推广不对口
222,6617802232446959617,zioziazyan,https://cn--xtb.noxinfluencer.com/tiktok/channel/6617802232446959617,2,badcase,直播碎片内容为主，推广转化弱
224,7239219225410225158,NANA REYHANA,https://cn--xtb.noxinfluencer.com/tiktok/channel/7239219225410225158,0,badcase,娱乐/穿搭/lipsync为主，不适合
225,7124999673685197825,𝙍𝙞𝙡𝙚𝙮🛠️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7124999673685197825,1,badcase,恶搞直播号，和跑步机推广不符
226,7506578805017936938,swiftiecatlady13,https://cn--xtb.noxinfluencer.com/tiktok/channel/7506578805017936938,-5,badcase,猫垂类为主，跑步机标签疑似误挂，近期全是宠物内容
227,6801588009416295430,Nicole Loviee,https://cn--xtb.noxinfluencer.com/tiktok/channel/6801588009416295430,-9,badcase,无跑步机或运动相关证据，近期内容也非健身带货
231,6821261316842996742,Paige 💅🏽,https://cn--xtb.noxinfluencer.com/tiktok/channel/6821261316842996742,-5,badcase,舞蹈娱乐号，跑步机仅像标签噪音，近期也不相关
234,6604820700455092229,Nation Bants,https://cn--xtb.noxinfluencer.com/tiktok/channel/6604820700455092229,-5,badcase,动画娱乐内容为主，不适合跑步机推广
237,7168711047036617730,Mom of Khali,https://cn--xtb.noxinfluencer.com/tiktok/channel/7168711047036617730,-10,badcase,母婴日常和杂货带货为主，缺少健身器材受众
240,7168728545056392194,Mikay🍀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7168728545056392194,-5,badcase,美甲号，跑步机与内容域冲突明显
250,7238189351124042758,movie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7238189351124042758,5,badcase,耳清ASMR号，标题蹭跑步机也不适合推广
253,59887532863131649,Funny.pet.dog888,https://cn--xtb.noxinfluencer.com/tiktok/channel/59887532863131649,-15,badcase,搞笑宠物内容为主，和跑步机推广场景明显不符
256,6890942645025489922,ITA || IG: @itatitoo7,https://cn--xtb.noxinfluencer.com/tiktok/channel/6890942645025489922,-10,badcase,近期主推母婴家居品类，与跑步机受众差距大
