rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,6588887484310028289,Trippydripp,https://cn.noxinfluencer.com/tiktok/channel/6588887484310028289,0,badcase,无 vape 相关信号
12,6644285746188910597,iamryanprice,https://cn.noxinfluencer.com/tiktok/channel/6644285746188910597,0,badcase,无相关产品或消费信号
13,6766385839205696517,Ravi Knows All,https://cn.noxinfluencer.com/tiktok/channel/6766385839205696517,0,badcase,无相关产品或消费信号
14,6787143677850043398,KJWOCK,https://cn.noxinfluencer.com/tiktok/channel/6787143677850043398,0,badcase,纯音乐娱乐，与 vape 推广无关
16,6776452826282738694,lyfe4ever,https://cn.noxinfluencer.com/tiktok/channel/6776452826282738694,0,badcase,绿色屏/挑战类内容，和 vape 无关
17,7183045647674360874,jade emperor,https://cn.noxinfluencer.com/tiktok/channel/7183045647674360874,0,badcase,美妆发型娱乐向，与 vape 无关
18,7128068699462288430,simplisick,https://cn.noxinfluencer.com/tiktok/channel/7128068699462288430,0,badcase,信息过少，且无 vape 信号
19,6652689530271744005,Cazwell,https://cn.noxinfluencer.com/tiktok/channel/6652689530271744005,0,badcase,娱乐账号，无 vape 推广语境
21,6736341086765958149,huntergrazianoo,https://cn.noxinfluencer.com/tiktok/channel/6736341086765958149,0,badcase,街访访谈类，无 vape 相关信号
23,6965951892741637126,RUBY DELILAH,https://cn.noxinfluencer.com/tiktok/channel/6965951892741637126,0,badcase,美妆草稿号，与 vape 无关
25,7352176043396940842,Outre,https://cn.noxinfluencer.com/tiktok/channel/7352176043396940842,0,badcase,宗教学习/健康话题，与 vape 推广不匹配
26,6737810526791468037,HolyGxd ( HolyGod ),https://cn.noxinfluencer.com/tiktok/channel/6737810526791468037,0,badcase,娱乐号，无 vape 相关信号
27,7309108159417893930,owenhunley,https://cn.noxinfluencer.com/tiktok/channel/7309108159417893930,0,badcase,无标签，无相关依据
28,6786034106474185733,Tay,https://cn.noxinfluencer.com/tiktok/channel/6786034106474185733,0,badcase,舞蹈/娱乐号，与 vape 无关
31,7276036525116245035,Weeaboo,https://cn.noxinfluencer.com/tiktok/channel/7276036525116245035,0,badcase,内容无 vape 关联
33,6883644568144839685,Vicki,https://cn.noxinfluencer.com/tiktok/channel/6883644568144839685,0,badcase,泛娱乐/身份号，无相关信号
34,6758187527763903494,Ria,https://cn.noxinfluencer.com/tiktok/channel/6758187527763903494,0,badcase,绿幕娱乐号，无 vape 关联
37,6794301814281339909,K I N G,https://cn.noxinfluencer.com/tiktok/channel/6794301814281339909,0,badcase,无标签，无判断依据
38,6724821561176638469,docfrankhere,https://cn.noxinfluencer.com/tiktok/channel/6724821561176638469,-15,badcase,戒烟语境，和 vape 推广对立
39,6967468360905851910,Arkansaed,https://cn.noxinfluencer.com/tiktok/channel/6967468360905851910,0,badcase,体育/测验号，与 vape 无关
42,6929712950963323910,SiIas,https://cn.noxinfluencer.com/tiktok/channel/6929712950963323910,0,badcase,绿幕/动机号，无 vape 关联
