rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6805177780398212102,ripple+,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805177780398212102,-2,badcase,命中 vape，但核心是戒烟/替代品与街访，反向受众
3,6865027912316765189,Container USA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6865027912316765189,5,badcase,仅有标签命中，主体是拍卖/集装箱混杂内容
4,6677606266712081413,Danni💨,https://cn--xtb.noxinfluencer.com/tiktok/channel/6677606266712081413,4,badcase,命中 vape，但以ASMR/特效技巧为主，推广适配差
5,7018906038866920454,Fakten Statt Hype,https://cn--xtb.noxinfluencer.com/tiktok/channel/7018906038866920454,0,badcase,命中 vape，但近期全是健康劝退向内容
6,6917816432135635973,Vinnie Brigance,https://cn--xtb.noxinfluencer.com/tiktok/channel/6917816432135635973,-5,badcase,命中 vape，但主轴是戒烟催眠，和推广方向冲突
9,157055312267501568,EstefaDuqueA | UGC,https://cn--xtb.noxinfluencer.com/tiktok/channel/157055312267501568,-1,badcase,命中 vape，但以娱乐UGC和戒烟叙事为主
11,140341688937402368,Armand🐻,https://cn--xtb.noxinfluencer.com/tiktok/channel/140341688937402368,3,badcase,命中 vape，但近期多为泛娱乐随机内容
16,7149672344020894766,pulatici,https://cn--xtb.noxinfluencer.com/tiktok/channel/7149672344020894766,2,badcase,命中 vape，但近期内容与频道主体明显不一致
25,6979951415814259739,: \,https://cn--xtb.noxinfluencer.com/tiktok/channel/6979951415814259739,5,badcase,命中 vape，但近期几乎无相关内容
26,7441223428306191392,Vape-Stories,https://cn--xtb.noxinfluencer.com/tiktok/channel/7441223428306191392,-5,badcase,故事/犯罪内容为主，虽有Vape标签但推广格式明显错位
29,6651675497951559685,biigpimpin,https://cn--xtb.noxinfluencer.com/tiktok/channel/6651675497951559685,-4,badcase,戒vape自述和个人成长内容，不是产品推广场
32,6640336901063245830,mimi ♡,https://cn--xtb.noxinfluencer.com/tiktok/channel/6640336901063245830,12,badcase,审美日常号，vape只是零星点缀，推广承接弱
39,7032807534755759109,The Doll House Collection,https://cn--xtb.noxinfluencer.com/tiktok/channel/7032807534755759109,-2,badcase,服饰卖货为主，vape标签不改变主赛道
40,6766385839205696517,Ravi Knows All,https://cn--xtb.noxinfluencer.com/tiktok/channel/6766385839205696517,10,badcase,泛生活内容，缺少vape产品语境
41,6597826791799750661,doctorzahiri,https://cn--xtb.noxinfluencer.com/tiktok/channel/6597826791799750661,-5,badcase,牙科健康科普偏戒烟，不适合推vape
42,6963108186035405830,Mas Goang,https://cn--xtb.noxinfluencer.com/tiktok/channel/6963108186035405830,0,badcase,喜剧聊天号，产品推广承接力弱
45,6583239806083956738,RatColi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6583239806083956738,10,badcase,标签太少且内容几乎无产品语境，证据太弱
53,6808207869432742918,Melissa Mendez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6808207869432742918,1,badcase,娱乐变装主导，vape只是零星点缀
54,6787143677850043398,KJWOCK,https://cn--xtb.noxinfluencer.com/tiktok/channel/6787143677850043398,1,badcase,音乐娱乐号，缺少vape导购场景
57,6644285746188910597,iamryanprice,https://cn--xtb.noxinfluencer.com/tiktok/channel/6644285746188910597,13,badcase,街访辩论为主，近期多为戒vape内容
58,6614202803890438149,marianaaa!!,https://cn--xtb.noxinfluencer.com/tiktok/channel/6614202803890438149,0,badcase,游戏生活号，vape标签不构成转化
60,7150978744454235138,❤❤❤🌟🌟🌟,https://cn--xtb.noxinfluencer.com/tiktok/channel/7150978744454235138,0,badcase,主做母婴家居，vape指驱蚊器，不是人用
61,7199068776284816410,VEGS,https://cn--xtb.noxinfluencer.com/tiktok/channel/7199068776284816410,3,badcase,体育生活混合，vape曝光少且无购买场景
62,6818828195669312513,_Markisasunkist,https://cn--xtb.noxinfluencer.com/tiktok/channel/6818828195669312513,0,badcase,更像Vespa机车号，vape标签疑似噪声
66,6818292703907038209,FAQIh,https://cn--xtb.noxinfluencer.com/tiktok/channel/6818292703907038209,0,badcase,meme动漫为主，vape标签不构成转化
67,6950745034857890818,˚ ༘🍥 meyೀ🌸⋆｡˚˚,https://cn--xtb.noxinfluencer.com/tiktok/channel/6950745034857890818,0,badcase,多是驱蚊和美妆内容，非人用vape场景
69,6547659078670794753,AUM,https://cn--xtb.noxinfluencer.com/tiktok/channel/6547659078670794753,0,badcase,看起来是Vespa机车内容，和vape无关
73,6734721105859003397,Vape,https://cn--xtb.noxinfluencer.com/tiktok/channel/6734721105859003397,0,badcase,vape tricks娱乐号，不适合做产品推广
74,6609329458398134273,ALİHOCA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6609329458398134273,0,badcase,舞蹈健身美甲为主，和vape不匹配
75,7229991111758267418,hqd.factory,https://cn--xtb.noxinfluencer.com/tiktok/channel/7229991111758267418,0,badcase,工厂型虽相关，但内容偏满足感展示
79,6786034106474185733,Tay,https://cn--xtb.noxinfluencer.com/tiktok/channel/6786034106474185733,-10,badcase,无 vape 相关信号，近期全是舞蹈/生活内容
92,7487574191430992942,Nancy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7487574191430992942,-9,badcase,无标签，近期仅少量 vape/购物帖，证据很弱
102,6780196803117827074,adelyamalya,https://cn--xtb.noxinfluencer.com/tiktok/channel/6780196803117827074,-10,badcase,无 vape 标签，近期也看不出相关商品内容
107,7107502460038956058,_crljyrzgn on ig,https://cn--xtb.noxinfluencer.com/tiktok/channel/7107502460038956058,-9,badcase,主做 manhwa，vape 仅零星露出，相关度低
111,7128068699462288430,simplisick,https://cn--xtb.noxinfluencer.com/tiktok/channel/7128068699462288430,-15,badcase,戒烟/反烟内容为主，和推广 vape 目标相反
113,7329867288756077589,SMOKE FREE WITH EASE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7329867288756077589,-15,badcase,戒烟反 vape 号，近期内容也全是禁烟导向
118,7252293997635568666,Tiktokiiishhhhh,https://cn--xtb.noxinfluencer.com/tiktok/channel/7252293997635568666,-10,badcase,主做剧情娱乐，vape 证据弱且不在前排标签
125,7304181644408161285,Dr.GlenaFe,https://cn--xtb.noxinfluencer.com/tiktok/channel/7304181644408161285,-10,badcase,医学科普偏反 vape，不适合推广 vape
128,7359125963221206062,user26851683691584,https://cn--xtb.noxinfluencer.com/tiktok/channel/7359125963221206062,-10,badcase,无标签，近期仅零星提到vape，无推广意图
132,7063936796875604994,Asil,https://cn--xtb.noxinfluencer.com/tiktok/channel/7063936796875604994,-10,badcase,无标签，近期仅零星提到vape
135,7035575481818891291,jarahhh♈,https://cn--xtb.noxinfluencer.com/tiktok/channel/7035575481818891291,-10,badcase,无标签，近期只有单次vape提及
139,6769084296605058050,Aprian,https://cn--xtb.noxinfluencer.com/tiktok/channel/6769084296605058050,-10,badcase,泛娱乐内容，vape仅零星提及
140,6772846382081868802,AnnaMay🦋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772846382081868802,-10,badcase,内容与vape推广无关
143,7561939953828119566,em,https://cn--xtb.noxinfluencer.com/tiktok/channel/7561939953828119566,-5,badcase,反vape倡导，和推广目标相反
144,7082220914431181829,Martinez L José ❥︎,https://cn--xtb.noxinfluencer.com/tiktok/channel/7082220914431181829,-10,badcase,娱乐号，近期与vape无关
145,6902298036539868161,Educannab,https://cn--xtb.noxinfluencer.com/tiktok/channel/6902298036539868161,-10,badcase,大麻教育内容，不是vape推广场景
147,6982737492856669189,mehran,https://cn--xtb.noxinfluencer.com/tiktok/channel/6982737492856669189,-10,badcase,泛娱乐号，近期是反vape内容
148,7593179939902850078,Sidhu Brand 030,https://cn--xtb.noxinfluencer.com/tiktok/channel/7593179939902850078,-10,badcase,连续反vape科普，不适合推广
149,6820484270567949318,Juan Carlos Rincón E,https://cn--xtb.noxinfluencer.com/tiktok/channel/6820484270567949318,-10,badcase,健康知识号，vape视频是风险讨论
150,7252245654436037659,zᶻ ૮˶- ﻌ -˶ა⌒)ᦱ,https://cn--xtb.noxinfluencer.com/tiktok/channel/7252245654436037659,-10,badcase,emo娱乐号，vape只是一句提及
151,7252245654436037659,zᶻ ૮˶- ﻌ -˶ა⌒)ᦱ,https://cn--xtb.noxinfluencer.com/tiktok/channel/7252245654436037659,-10,badcase,scene/emo娱乐号，和 vape 推广无关
153,242188754818498560,jeff maximum,https://cn--xtb.noxinfluencer.com/tiktok/channel/242188754818498560,-2,badcase,音乐娱乐号，vape 标签像噪声
154,6752433457915331590,stopsmokingexpert,https://cn--xtb.noxinfluencer.com/tiktok/channel/6752433457915331590,-25,badcase,反 vape/戒烟内容，目标完全相反
156,7166767816439268354,Cess affiliate olshop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7166767816439268354,-10,badcase,婴童/导购号，和 vape 受众不匹配
158,7307498092563481606,Good Morning Kuya,https://cn--xtb.noxinfluencer.com/tiktok/channel/7307498092563481606,-20,badcase,晨间综艺/公益号，且近期在做反 vape
159,1690232872589345,Sehatcantik.id,https://cn--xtb.noxinfluencer.com/tiktok/channel/1690232872589345,-10,badcase,健康美妆号，没看到 vape 推广承接
160,6561574202380877825,Nico Nicotine,https://cn--xtb.noxinfluencer.com/tiktok/channel/6561574202380877825,-25,badcase,反 vape/戒断账号，和售卖目标相反
