rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6649886657578270725,Alythuh,https://cn.noxinfluencer.com/tiktok/channel/6649886657578270725,0,badcase,无瑜伽/健身相关证据
4,7029388700410102789,TinyProtectors,https://cn.noxinfluencer.com/tiktok/channel/7029388700410102789,0,badcase,无标签无内容证据
5,7538559812288676878,Gabby & Andy Life,https://cn.noxinfluencer.com/tiktok/channel/7538559812288676878,0,badcase,生活杂项号，与瑜伽垫受众不符
6,6844933207562945542,Goodful,https://cn.noxinfluencer.com/tiktok/channel/6844933207562945542,0,badcase,食品/素食号，和瑜伽垫推广不相关
7,7380421583859336238,tdhr57,https://cn.noxinfluencer.com/tiktok/channel/7380421583859336238,0,badcase,无相关标签
13,7097278989412877358,Coastal Wilds,https://cn.noxinfluencer.com/tiktok/channel/7097278989412877358,10,badcase,动物科普受众，不适合人用瑜伽垫
16,6790363530275308550,New York Bucket List,https://cn.noxinfluencer.com/tiktok/channel/6790363530275308550,0,badcase,无相关证据
27,7306457435546616865,WeaponUp,https://cn.noxinfluencer.com/tiktok/channel/7306457435546616865,0,badcase,无相关标签，频道主题不适合瑜伽垫推广
29,6820570298070615046,Joleen Emery,https://cn.noxinfluencer.com/tiktok/channel/6820570298070615046,0,badcase,手作/艺术频道，与瑜伽垫推广无关
31,6780153512959837190,Chicago Bucket List,https://cn.noxinfluencer.com/tiktok/channel/6780153512959837190,0,badcase,本地美食约会频道，和瑜伽垫无关
37,6663828788587593734,OldDirtyBoston,https://cn.noxinfluencer.com/tiktok/channel/6663828788587593734,0,badcase,内容是美食/喜剧，和瑜伽垫不相关
42,7241242989459391531,MAGIC MARKET 🌛,https://cn.noxinfluencer.com/tiktok/channel/7241242989459391531,0,badcase,无明确相关标签，缺少瑜伽垫推广场景
47,6828002284154045446,Latina Social Wellness Club🖤,https://cn.noxinfluencer.com/tiktok/channel/6828002284154045446,0,badcase,时尚童装导向，和瑜伽垫无关
48,7032036364757926958,Downtown Fort Lauderdale,https://cn.noxinfluencer.com/tiktok/channel/7032036364757926958,0,badcase,本地地理频道，缺少产品推广相关性
51,7084661942185067566,christina ꩜,https://cn.noxinfluencer.com/tiktok/channel/7084661942185067566,0,badcase,无标签无内容，无法判断相关性
53,6774126275927032837,Stonez The Organic,https://cn.noxinfluencer.com/tiktok/channel/6774126275927032837,-5,badcase,娱乐内容为主，和垫子推广场景弱
57,6737274345528722437,Nzingah,https://cn.noxinfluencer.com/tiktok/channel/6737274345528722437,0,badcase,美食旅行为主，与瑜伽垫无关
58,7116282591426233349,marine_chpn,https://cn.noxinfluencer.com/tiktok/channel/7116282591426233349,0,badcase,无标签无内容，缺乏判断依据
59,6798730250521854982,𝓝𝓪𝓸𝓶𝓲 𝓤𝓵𝓪𝓷𝓲,https://cn.noxinfluencer.com/tiktok/channel/6798730250521854982,0,badcase,娱乐自我成长向，缺少运动产品场景
61,6991984865889879046,Nicole✈️📸✨,https://cn.noxinfluencer.com/tiktok/channel/6991984865889879046,0,badcase,时尚生活向，和瑜伽垫关联弱
62,7096494653500261422,"Austin Jackson, LMT",https://cn.noxinfluencer.com/tiktok/channel/7096494653500261422,0,badcase,无标签，未见运动或产品推广信号
66,7017284901654365190,GirlCode GCode,https://cn.noxinfluencer.com/tiktok/channel/7017284901654365190,-10,badcase,娱乐音乐为主，不适合垫子推广
70,6805408991184356357,Flowwithtiff,https://cn.noxinfluencer.com/tiktok/channel/6805408991184356357,-15,badcase,游戏娱乐主导，和产品推广格式不匹配
73,7128627218213192750,xoxKathleenElizabeth,https://cn.noxinfluencer.com/tiktok/channel/7128627218213192750,0,badcase,纯时尚穿搭向，缺少运动产品语境
84,7083583158192833582,Juan Tavarez,https://cn.noxinfluencer.com/tiktok/channel/7083583158192833582,0,badcase,标签与瑜伽垫无关，缺少相关受众
88,6719110963969049605,Lorraine C Ladish,https://cn.noxinfluencer.com/tiktok/channel/6719110963969049605,0,badcase,年龄/女性标签过泛，与瑜伽垫关联弱
89,7005700860080751622,mama makayla 🧸🩵,https://cn.noxinfluencer.com/tiktok/channel/7005700860080751622,0,badcase,缺少任何瑜伽或健身相关证据
93,7358401124637312042,BAGSMART_Lifestyle,https://cn.noxinfluencer.com/tiktok/channel/7358401124637312042,0,badcase,包袋时尚号，与瑜伽垫不相关
98,6968924291245540358,• kat at home • 🌷,https://cn.noxinfluencer.com/tiktok/channel/6968924291245540358,0,badcase,美妆家庭号，与瑜伽垫关联不足
102,7041271311440380934,ShoniceJeanay,https://cn.noxinfluencer.com/tiktok/channel/7041271311440380934,0,badcase,无相关标签，缺少瑜伽或运动信号
103,7457207312732144683,Oyun Botanical Gardens,https://cn.noxinfluencer.com/tiktok/channel/7457207312732144683,0,badcase,农业/农场内容，与瑜伽垫推广无关
104,7456651263049712683,UPR Tech,https://cn.noxinfluencer.com/tiktok/channel/7456651263049712683,0,badcase,无标签无内容信号，难判断相关性
106,7046268718251000837,communitykeis,https://cn.noxinfluencer.com/tiktok/channel/7046268718251000837,0,badcase,励志文案为主，和瑜伽垫推广不相关
107,7375204063737922606,The Good Intentions Club,https://cn.noxinfluencer.com/tiktok/channel/7375204063737922606,0,badcase,无相关标签，缺少瑜伽场景信号
108,6608644558236647429,Mid-Life Renaissance,https://cn.noxinfluencer.com/tiktok/channel/6608644558236647429,0,badcase,无相关标签，缺少瑜伽场景信号
109,7456947816281392174,clubswellter,https://cn.noxinfluencer.com/tiktok/channel/7456947816281392174,0,badcase,无相关标签，缺少瑜伽场景信号
110,6805952319718343685,Asia Chantell,https://cn.noxinfluencer.com/tiktok/channel/6805952319718343685,0,badcase,无相关标签，缺少瑜伽场景信号
114,6577559627402477574,Yōlā Sculp't,https://cn.noxinfluencer.com/tiktok/channel/6577559627402477574,0,badcase,无相关标签，缺少瑜伽场景信号
115,7433198304891175979,morgdawg,https://cn.noxinfluencer.com/tiktok/channel/7433198304891175979,0,badcase,无相关标签，缺少瑜伽场景信号
116,6817146134096610309,Kristin Noel,https://cn.noxinfluencer.com/tiktok/channel/6817146134096610309,0,badcase,情绪/娱乐向内容，与瑜伽垫无关
117,6950407798372484101,Whiskers and Wine,https://cn.noxinfluencer.com/tiktok/channel/6950407798372484101,0,badcase,猫咖内容偏宠物主题，不适合瑜伽垫推广
119,7210182866579276846,drunkenciggy,https://cn.noxinfluencer.com/tiktok/channel/7210182866579276846,0,badcase,无相关标签，缺少瑜伽场景信号
121,7437287492553933870,TimeOFF_US,https://cn.noxinfluencer.com/tiktok/channel/7437287492553933870,0,badcase,无相关标签，缺少瑜伽场景信号
122,6963711810353316870,Nicholasbk,https://cn.noxinfluencer.com/tiktok/channel/6963711810353316870,0,badcase,仅泛健康/清洁标签，缺少瑜伽场景
123,7408958843513177130,Funny Bunny Vibes,https://cn.noxinfluencer.com/tiktok/channel/7408958843513177130,0,badcase,偏游戏和手机内容，与瑜伽垫无关
124,6827656130840740870,Christa Nelson,https://cn.noxinfluencer.com/tiktok/channel/6827656130840740870,0,badcase,无相关标签，缺少瑜伽场景信号
125,7037605562573816837,Britstheboss,https://cn.noxinfluencer.com/tiktok/channel/7037605562573816837,0,badcase,美妆穿搭向内容，与瑜伽垫无关
127,6806722043188102150,Kayli King,https://cn.noxinfluencer.com/tiktok/channel/6806722043188102150,0,badcase,旅行猫频道，与瑜伽垫推广关联很弱
