rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,7227486418661688326,ret,https://cn--xtb.noxinfluencer.com/tiktok/channel/7227486418661688326,-10,badcase,玩具收藏号，近期无瑜伽垫相关内容
13,6592498872362483714,xiao💠,https://cn--xtb.noxinfluencer.com/tiktok/channel/6592498872362483714,-10,badcase,无相关标签或内容，近期也无瑜伽垫信号
14,7504505654016885802,californiagirlx,https://cn--xtb.noxinfluencer.com/tiktok/channel/7504505654016885802,-10,badcase,时尚生活号，缺少瑜伽垫推广证据
21,6639680345402245126,Binita,https://cn--xtb.noxinfluencer.com/tiktok/channel/6639680345402245126,-10,badcase,美妆健康号，近10条与瑜伽垫无关，缺少投放信号
26,6799553909574484994,Jan1994,https://cn--xtb.noxinfluencer.com/tiktok/channel/6799553909574484994,-10,badcase,母婴护肤与度假内容，和瑜伽垫推广无关
47,6592695888376201221,Tik Toker,https://cn--xtb.noxinfluencer.com/tiktok/channel/6592695888376201221,-10,badcase,舞蹈泛娱乐号，与瑜伽垫推广不匹配
55,7326160671484544042,sarah_khan130,https://cn--xtb.noxinfluencer.com/tiktok/channel/7326160671484544042,-19,badcase,音乐娱乐号，内容与瑜伽垫推广明显不符
56,6978825609099854853,LoveNitaMarie,https://cn--xtb.noxinfluencer.com/tiktok/channel/6978825609099854853,-7,badcase,有Yoga标签，但近期内容偏性感娱乐，商品推广弱
71,7321779378709660718,writes.79,https://cn--xtb.noxinfluencer.com/tiktok/channel/7321779378709660718,-9,badcase,政治/情绪类账号，少量瑜伽内容不足以支撑推广
73,6817072379056997382,матросик,https://cn--xtb.noxinfluencer.com/tiktok/channel/6817072379056997382,-6,badcase,个人表达号，瑜伽仅零星提及，不适合推广
75,7432068213188641797,Musimenta Aidah,https://cn--xtb.noxinfluencer.com/tiktok/channel/7432068213188641797,-14,badcase,纯CapCut/娱乐号，缺少瑜伽垫推广相关性
77,7054235099722253317,zelievgns,https://cn--xtb.noxinfluencer.com/tiktok/channel/7054235099722253317,-9,badcase,节日娱乐号，近期内容大多无关瑜伽垫
83,7329732318237918250,Dani124,https://cn--xtb.noxinfluencer.com/tiktok/channel/7329732318237918250,-23,badcase,娱乐/状态号，和瑜伽垫推广目标明显不符
86,6946795497504293889,hlub kj lm xb,https://cn--xtb.noxinfluencer.com/tiktok/channel/6946795497504293889,-10,badcase,无标签且近期内容杂乱，几乎看不到可投放信号
94,7298731528685732906,komalmeer081,https://cn--xtb.noxinfluencer.com/tiktok/channel/7298731528685732906,-23,badcase,娱乐/美妆流量号，内容与瑜伽垫推广不匹配
96,7014832869718459397,edinorozheek,https://cn--xtb.noxinfluencer.com/tiktok/channel/7014832869718459397,-21,badcase,电影娱乐号，瑜伽只是噪声，推广相关性差
101,6564275872936247301,Nadia Fumiko,https://cn--xtb.noxinfluencer.com/tiktok/channel/6564275872936247301,-1,badcase,仅有零散瑜伽痕迹，缺少垫子或导购信号
118,6906028227044443141,Z_Monique,https://cn--xtb.noxinfluencer.com/tiktok/channel/6906028227044443141,-19,badcase,娱乐搞笑为主，瑜伽垫不适合
124,26403888,Wilson Abagensa,https://cn--xtb.noxinfluencer.com/tiktok/channel/26403888,-7,badcase,泛服饰娱乐号，和瑜伽垫不相关
