rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UCIsl-_9jw9GmKz1Ud8sdfSg,Krishi Bioscope,https://cn.noxinfluencer.com/youtube/channel/UCIsl-_9jw9GmKz1Ud8sdfSg,0,badcase,只有社会/生活/食物，缺少农业或产品推广语境
4,UC0GRgB6SnoCMAwWifIxVHxA,考古女孩,https://cn.noxinfluencer.com/youtube/channel/UC0GRgB6SnoCMAwWifIxVHxA,0,badcase,徒步露营建造类，和农产品推广无关
5,UCTf0ab-tBxWSFaUXdSZENow,xrw5,https://cn.noxinfluencer.com/youtube/channel/UCTf0ab-tBxWSFaUXdSZENow,0,badcase,无标签信息，无法判断为相关频道
6,UChk4yVdC8CYA3r8eN0V0swQ,Marcus Stories,https://cn.noxinfluencer.com/youtube/channel/UChk4yVdC8CYA3r8eN0V0swQ,-5,badcase,政治/电影类内容，和农产品推广明显不符
9,UCOjlQXFgOIyoAQaBPdufdIA,Feifei Loves Eat Drink,https://cn.noxinfluencer.com/youtube/channel/UCOjlQXFgOIyoAQaBPdufdIA,-10,badcase,娱乐/电影偏多，不适合农产品推广
17,UCHRsaKh4s9qsg9c88JG1nRw,Prepare Bricks,https://cn.noxinfluencer.com/youtube/channel/UCHRsaKh4s9qsg9c88JG1nRw,0,badcase,贴砖教学频道，与农产品无关
19,UClwkHk39avEEvwhJEKBuoFQ,Thắng Hoa Mountain life,https://cn.noxinfluencer.com/youtube/channel/UClwkHk39avEEvwhJEKBuoFQ,0,badcase,单身生活向，缺少农业产品相关信号
25,UCPBVzb_Z9X-qZp8ETpQIRLg,Ly Dinh Quang - The Wandering Boy,https://cn.noxinfluencer.com/youtube/channel/UCPBVzb_Z9X-qZp8ETpQIRLg,0,badcase,生活叙事为主，缺少农产品推广信号
28,UCBrCKio9GQSiG0_RaWDyCHA,Poor girl,https://cn.noxinfluencer.com/youtube/channel/UCBrCKio9GQSiG0_RaWDyCHA,0,badcase,乡村生活标签过泛，农业产品信号不足
29,UCrvOlLkW9m1WqyyBD53iBUw,Hoàng Thị Bình - live with nature,https://cn.noxinfluencer.com/youtube/channel/UCrvOlLkW9m1WqyyBD53iBUw,0,badcase,以建房/生活为主，农业产品信号不足
30,UC-Up4yVHa1Mtu7OcGbtBBWA,Linh's Life,https://cn.noxinfluencer.com/youtube/channel/UC-Up4yVHa1Mtu7OcGbtBBWA,0,badcase,生活/求生/建造为主，与农业产品关联弱
31,UCp76VrkQBoqixs2J6i83_bA,small family,https://cn.noxinfluencer.com/youtube/channel/UCp76VrkQBoqixs2J6i83_bA,0,badcase,木屋建造和木工内容，和农业产品不匹配
38,UCi2-Z1dAFB_3S7ztScP8iHw,ThyNa Lifestyle,https://cn.noxinfluencer.com/youtube/channel/UCi2-Z1dAFB_3S7ztScP8iHw,0,badcase,零食/儿童生活内容，与农业产品不相干
43,UC5CyFsS-QkiXDIWFEosKYbA,Easy Grafting,https://cn.noxinfluencer.com/youtube/channel/UC5CyFsS-QkiXDIWFEosKYbA,0,badcase,仅 hobby/lifestyle，农业产品信号缺失
44,UCegO4meVJUl6nWwnW-5DeDA,Marie Fonda06,https://cn.noxinfluencer.com/youtube/channel/UCegO4meVJUl6nWwnW-5DeDA,0,badcase,美妆烹饪为主，不适合农业产品推广
49,UCs3RMUtSeaJwV1ZkjpiGPeQ,美食DODO,https://cn.noxinfluencer.com/youtube/channel/UCs3RMUtSeaJwV1ZkjpiGPeQ,0,badcase,美食与手作内容，农业产品关联弱
50,UCTUpBJ3C4xFpuqJfQ3Y-xDQ,TTH - Machine,https://cn.noxinfluencer.com/youtube/channel/UCTUpBJ3C4xFpuqJfQ3Y-xDQ,0,badcase,机器/车辆主题偏泛，不是农产品受众
52,UCJljWf6SXZlYU5vwyz8A3kA,Muscente Montalvan,https://cn.noxinfluencer.com/youtube/channel/UCJljWf6SXZlYU5vwyz8A3kA,0,badcase,无标签无视频证据，无法判断为农业产品相关
53,UCMUgedmXUMbe8NIgWK07nsA,Mọc Mọc,https://cn.noxinfluencer.com/youtube/channel/UCMUgedmXUMbe8NIgWK07nsA,0,badcase,无标签无视频证据，无法判断为农业产品相关
55,UCy79gSlO13NbHul7fXW2LhA,Single,https://cn.noxinfluencer.com/youtube/channel/UCy79gSlO13NbHul7fXW2LhA,0,badcase,无标签无视频证据，无法判断为农业产品相关
61,UC4ueoq3y3BhY2lPdw6uqeQQ,Ethiopian Education,https://cn.noxinfluencer.com/youtube/channel/UC4ueoq3y3BhY2lPdw6uqeQQ,0,badcase,仅有知识标签，和农业产品无关
62,UCBYMBApXaSLxn5enFuYlbxg,Oliver Sanfilippo,https://cn.noxinfluencer.com/youtube/channel/UCBYMBApXaSLxn5enFuYlbxg,0,badcase,无标签无视频证据，无法判断为农业产品相关
64,UC6KbDn3j-ZV0_-j1gCTEzoQ,Dr.Banana,https://cn.noxinfluencer.com/youtube/channel/UC6KbDn3j-ZV0_-j1gCTEzoQ,-15,badcase,娱乐/动画/搞笑为主，与农业产品推广不匹配
66,UCschp0-kxwqfCV8QLt-9eMg,christian haze,https://cn.noxinfluencer.com/youtube/channel/UCschp0-kxwqfCV8QLt-9eMg,0,badcase,无标签无视频证据，无法判断为农业产品相关
70,UCXQ0opKNREpA62x7gMk_hZw,NaLac Technique,https://cn.noxinfluencer.com/youtube/channel/UCXQ0opKNREpA62x7gMk_hZw,0,badcase,科技/制造向，和农业产品无关
71,UCDe8Hyeo99K5QSVdbWmnxng,Bon Garden,https://cn.noxinfluencer.com/youtube/channel/UCDe8Hyeo99K5QSVdbWmnxng,0,badcase,无标签无视频证据，无法判断为农业产品相关
73,UCfyZa3kwI4e4l8nXWIc-U2A,DIY Mini Life,https://cn.noxinfluencer.com/youtube/channel/UCfyZa3kwI4e4l8nXWIc-U2A,-15,badcase,娱乐故事与音乐向，基本不适合推广
78,UCXFLI3apBV_-2yxsQpBTtMQ,T Studio,https://cn.noxinfluencer.com/youtube/channel/UCXFLI3apBV_-2yxsQpBTtMQ,-15,badcase,ASMR解压内容，和农业产品推广场景不符
82,UCQyU7jWSGshq15bJKXD-umg,Trinh Ho Tv,https://cn.noxinfluencer.com/youtube/channel/UCQyU7jWSGshq15bJKXD-umg,0,badcase,烹饪日常为主，农业产品相关度弱
83,UCF7lBB2WhYV1bdRYino4yyw,Lý thị hạnh,https://cn.noxinfluencer.com/youtube/channel/UCF7lBB2WhYV1bdRYino4yyw,0,badcase,家庭日常标签，缺少农业主题
86,UCRwu8FfXFI6g9ZktVHuzTCg,Orphans Boys Daily Life,https://cn.noxinfluencer.com/youtube/channel/UCRwu8FfXFI6g9ZktVHuzTCg,0,badcase,孤儿生存叙事，和农业产品推广无关
90,UCa3rjIHi-3LjmfiEdw4GQgQ,Discovering Skills,https://cn.noxinfluencer.com/youtube/channel/UCa3rjIHi-3LjmfiEdw4GQgQ,0,badcase,技术/机加工为主，非农业推广场景
92,UCUVGo1t9qNyWmTYPhbLhDRw,Botany PhD Diaries,https://cn.noxinfluencer.com/youtube/channel/UCUVGo1t9qNyWmTYPhbLhDRw,-15,badcase,娱乐短视频为主，非产品推广频道
94,UCBzkmgHe5opdwX91Ibgk3ug,Synowiec Babyak,https://cn.noxinfluencer.com/youtube/channel/UCBzkmgHe5opdwX91Ibgk3ug,0,badcase,缺少可用标签，无法判断为相关
95,UCPN-jCN1cXa-vnPcnZAbMIA,MyFarmLife,https://cn.noxinfluencer.com/youtube/channel/UCPN-jCN1cXa-vnPcnZAbMIA,0,badcase,农场名但无标签证据，相关性不足
98,UCRIOMs26SE5YsAXQX3u_yCg,Mountain people,https://cn.noxinfluencer.com/youtube/channel/UCRIOMs26SE5YsAXQX3u_yCg,0,badcase,孤儿/流浪叙事为主，不适合农业推广
101,UCOkFTacQi0oqseFACeNhsOQ,Ponlok BMC,https://cn.noxinfluencer.com/youtube/channel/UCOkFTacQi0oqseFACeNhsOQ,0,badcase,娱乐/健身/游戏向，和农产品推广无关
103,UCr9KE02lqeL1kqwNKX4PjnQ,Survival And Life,https://cn.noxinfluencer.com/youtube/channel/UCr9KE02lqeL1kqwNKX4PjnQ,0,badcase,缺少任何农业相关信号
106,UC5ITylf6-2jfpkxEE007yGg,seo couple build a life,https://cn.noxinfluencer.com/youtube/channel/UC5ITylf6-2jfpkxEE007yGg,0,badcase,夫妻生活/生活方式向，缺少农业场景
109,UCGmGd_PqiJ7b76nKk3gaQLQ,Single life MC,https://cn.noxinfluencer.com/youtube/channel/UCGmGd_PqiJ7b76nKk3gaQLQ,0,badcase,剧情娱乐向，缺少农产品场景
112,UC9nKU5NkAn6lcMrdh49loDQ,LinJun4124,https://cn.noxinfluencer.com/youtube/channel/UC9nKU5NkAn6lcMrdh49loDQ,0,badcase,缺少农业相关信号
113,UC2g65oB4uUaN58tYj8g73DQ,CoreLoop,https://cn.noxinfluencer.com/youtube/channel/UC2g65oB4uUaN58tYj8g73DQ,0,badcase,缺少农业相关信号
115,UCkJ0Hjnb3Rb_TiUfM02TNsg,Fulans413C,https://cn.noxinfluencer.com/youtube/channel/UCkJ0Hjnb3Rb_TiUfM02TNsg,0,badcase,缺少农业相关信号
116,UCj_XX8s4K2dx41-cUGcLedA,Thoan - Free Bushcraft,https://cn.noxinfluencer.com/youtube/channel/UCj_XX8s4K2dx41-cUGcLedA,0,badcase,偏荒野求生，不是农产品推广场景
117,UCfXVvkDRL-cUJfZyfRBu89A,DMG Productions,https://cn.noxinfluencer.com/youtube/channel/UCfXVvkDRL-cUJfZyfRBu89A,0,badcase,缺少农业相关信号
118,UC-AipBwgH8iGiFkFSbe9X3w,NEC - Nature Environment and Construction,https://cn.noxinfluencer.com/youtube/channel/UC-AipBwgH8iGiFkFSbe9X3w,0,badcase,偏环境/建设主题，和农产品推广不匹配
119,UC-Au0nF08oU1b3iZRu0xsCg,Central America Uncovered,https://cn.noxinfluencer.com/youtube/channel/UC-Au0nF08oU1b3iZRu0xsCg,0,badcase,内容偏区域探索，缺少农产品场景
121,UC-DTQ7A7qD4_twroBMYpX6g,National Studio,https://cn.noxinfluencer.com/youtube/channel/UC-DTQ7A7qD4_twroBMYpX6g,0,badcase,政论/社会娱乐向，和农产品推广无关
122,UC-DhzILl_xSukW0mRssbTMw,Sunnatjan Nematov. Productions,https://cn.noxinfluencer.com/youtube/channel/UC-DhzILl_xSukW0mRssbTMw,5,badcase,音乐娱乐为主，农业标签不足以支撑推广
123,UC-PHIZjV-oX8H7zD1cCN2NQ,Arirang TV,https://cn.noxinfluencer.com/youtube/channel/UC-PHIZjV-oX8H7zD1cCN2NQ,0,badcase,娱乐资讯向，和农产品推广无关
127,UC-js9ISMFMBMcjZ7ndtCbtQ,Lý Thị Na,https://cn.noxinfluencer.com/youtube/channel/UC-js9ISMFMBMcjZ7ndtCbtQ,0,badcase,生活方式与露营为主，和农产品推广关联弱
128,UC-nVrse0aOfKA9RKSO961kA,Thanh Family Life,https://cn.noxinfluencer.com/youtube/channel/UC-nVrse0aOfKA9RKSO961kA,0,badcase,蛋糕烘焙频道，和农业产品受众不匹配
130,UC-rgdCPlnUMoziDzw4pEXQw,"Institute for Sustainability, Energy, and Environment at the University of Illinois",https://cn.noxinfluencer.com/youtube/channel/UC-rgdCPlnUMoziDzw4pEXQw,0,badcase,仅有机构名信息，农业产品匹配证据不足
131,UC-zce6vTHAg8ddupRVLqH2w,TÁO TV,https://cn.noxinfluencer.com/youtube/channel/UC-zce6vTHAg8ddupRVLqH2w,-15,badcase,娱乐影视属性强，与农产品推广明显不匹配
132,UC0GmPAYRc_0DJYaoCIPkDuA,Miss Genius Repair,https://cn.noxinfluencer.com/youtube/channel/UC0GmPAYRc_0DJYaoCIPkDuA,0,badcase,仅有修理频道名，缺少农产品相关证据
138,UC0amDbvqzC92tM4TVG5veVw,DRAMAGIRL,https://cn.noxinfluencer.com/youtube/channel/UC0amDbvqzC92tM4TVG5veVw,-15,badcase,剧情娱乐类，和农产品推广场景冲突
139,UC0iXYNt61KXKRoSIvQLo0Gg,TIRAK dora,https://cn.noxinfluencer.com/youtube/channel/UC0iXYNt61KXKRoSIvQLo0Gg,0,badcase,纪录/冒险向，缺少农业产品推广线索
141,UC0lKxhqOd726epabvBa0vDg,Thouk Muramat,https://cn.noxinfluencer.com/youtube/channel/UC0lKxhqOd726epabvBa0vDg,0,badcase,手工金属类频道，与农产品推广无关
142,UC0nwqkWP8CaqmZinoe-SLJA,412T3,https://cn.noxinfluencer.com/youtube/channel/UC0nwqkWP8CaqmZinoe-SLJA,0,badcase,无标签无内容证据，无法判断为农业相关
143,UC0qJuVKOpL__AAC9yjKlQ-Q,Bocheta,https://cn.noxinfluencer.com/youtube/channel/UC0qJuVKOpL__AAC9yjKlQ-Q,0,badcase,无标签无内容证据，无法判断为农业相关
145,UC1-ghvEtoN2DxxrfzFDuAYA,Hominid History Hub,https://cn.noxinfluencer.com/youtube/channel/UC1-ghvEtoN2DxxrfzFDuAYA,0,badcase,人类演化史频道，与农业产品无关
146,UC10X_pdYvhTG6YE7CnJeF7A,Stats Media,https://cn.noxinfluencer.com/youtube/channel/UC10X_pdYvhTG6YE7CnJeF7A,0,badcase,财经新闻向，缺少农业产品相关性
147,UC1DNdPlmuP0QizqK1swoumg,B&W Tek,https://cn.noxinfluencer.com/youtube/channel/UC1DNdPlmuP0QizqK1swoumg,0,badcase,仅有知识标签，农业相关证据不足
148,UC1EFJJJyXa0h11EA7tqIHBw,Tool Wizard,https://cn.noxinfluencer.com/youtube/channel/UC1EFJJJyXa0h11EA7tqIHBw,0,badcase,泛科技兴趣频道，与农产品推广不匹配
149,UC1G3v26yMD-KIV-g4Ef9Gfg,F409F,https://cn.noxinfluencer.com/youtube/channel/UC1G3v26yMD-KIV-g4Ef9Gfg,0,badcase,无标签无内容证据，无法判断为农业相关
150,UC1_nUBJbaQeNOXfNovvKjjA,Lý Thị Bình,https://cn.noxinfluencer.com/youtube/channel/UC1_nUBJbaQeNOXfNovvKjjA,0,badcase,离网生存类为主，与农产品推广不直接相关
151,UC1eR9aaMv2XX3Y5TVznkj1g,CGTN Podcasts,https://cn.noxinfluencer.com/youtube/channel/UC1eR9aaMv2XX3Y5TVznkj1g,1,badcase,政治新闻向，只有business弱相关，和农产品推广不匹配
153,UC1hK5-GM_iyFd9lhMjIH_ew,Lý Tiểu Thư,https://cn.noxinfluencer.com/youtube/channel/UC1hK5-GM_iyFd9lhMjIH_ew,0,badcase,无标签无标题，缺少任何农业相关证据
155,UC1vyT_HN1zM1CZeIQMWXiYg,Easterlin Cereceres,https://cn.noxinfluencer.com/youtube/channel/UC1vyT_HN1zM1CZeIQMWXiYg,0,badcase,无可用内容证据
156,UC1yDKupSUpifv3CtgLqRMAg,Ariana News,https://cn.noxinfluencer.com/youtube/channel/UC1yDKupSUpifv3CtgLqRMAg,0,badcase,新闻资讯频道，缺少农业产品相关性
157,UC2-OS46NQKHULq_SioyzYOQ,Feedstuffs,https://cn.noxinfluencer.com/youtube/channel/UC2-OS46NQKHULq_SioyzYOQ,0,badcase,无标签无标题，无法证明农业内容
158,UC20mUogYJSZsbjZ0IF-RrTg,AFRICA CONTRACTOR,https://cn.noxinfluencer.com/youtube/channel/UC20mUogYJSZsbjZ0IF-RrTg,0,badcase,文化类频道，和农产品推广无关
160,UC25gePrqreeFUjTSYlYrFYA,News Tone,https://cn.noxinfluencer.com/youtube/channel/UC25gePrqreeFUjTSYlYrFYA,0,badcase,无标签无标题，缺少相关性
162,UC2V3yx4Hw4agOqv5B2EQ7Xw,Jun's Field Diary,https://cn.noxinfluencer.com/youtube/channel/UC2V3yx4Hw4agOqv5B2EQ7Xw,0,badcase,无标签无标题，缺少相关性
164,UC2a0wnNo7OmU6QrrrimJVYQ,Fields of Innovation,https://cn.noxinfluencer.com/youtube/channel/UC2a0wnNo7OmU6QrrrimJVYQ,0,badcase,无标签无标题，缺少相关性
165,UC2cwgvz9rO1EWfXqjcXS7RA,Fleurilus Bullert,https://cn.noxinfluencer.com/youtube/channel/UC2cwgvz9rO1EWfXqjcXS7RA,0,badcase,无标签无标题，缺少相关性
