rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,UCbc7arFLZp9ZmHMMvkhUbzw,Build Homes Vietnam,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbc7arFLZp9ZmHMMvkhUbzw,-5,badcase,标签虽有农产品，但近10条全是建房内容，推广偏离明显
8,UC0GRgB6SnoCMAwWifIxVHxA,考古女孩,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0GRgB6SnoCMAwWifIxVHxA,-5,badcase,标签有农产品，但近期全是考古寻宝，受众和场景不匹配
22,UCdepamr5eawzE_GweMsSICA,Ideal Crops,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdepamr5eawzE_GweMsSICA,-15,badcase,ASMR拆袋内容与农产品推广格式冲突，且题材偏美妆时尚
28,UClDDgQklTHqFnxC6TOF_meA,DemonXshortS,https://cn--xtb.noxinfluencer.com/youtube/channel/UClDDgQklTHqFnxC6TOF_meA,-25,badcase,游戏整蛊频道，和农产品推广不匹配
37,UCxbBeCjU1ZOqIKmH6vhWJ1Q,One Minute Done,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxbBeCjU1ZOqIKmH6vhWJ1Q,-22,badcase,旅行/ASMR/技巧向，和农产品推广不搭
40,UCqPFwZNjsNT1ReimGcJ6EBQ,Jumia Côte d'Ivoire,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqPFwZNjsNT1ReimGcJ6EBQ,-10,badcase,电商促销为主，农产品相关性弱
56,UCXFLI3apBV_-2yxsQpBTtMQ,T Studio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXFLI3apBV_-2yxsQpBTtMQ,1,badcase,ASMR和剧情型为主，推广格式不匹配
79,UCRGTC4zGSe6Ro5ntwPky6-g,MP Fresh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRGTC4zGSe6Ro5ntwPky6-g,-2,badcase,有农田内容但核心是ASMR/睡眠音频，产品推广格式不匹配
112,UC7XVArS5WQhKn35aUHm9ZhA,Yam Zones,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7XVArS5WQhKn35aUHm9ZhA,-18,badcase,以考试题和学习为主，不适合农产品推广
115,UCGajqmPTbmZVndRhDqxWJ4A,விவசாயின் மகள் தங்கம்,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGajqmPTbmZVndRhDqxWJ4A,-11,badcase,娱乐情绪内容占主导，农业只是陪衬
118,UC1dvV-po26QBV4m6rQQT7CA,VTS Village family...,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1dvV-po26QBV4m6rQQT7CA,-15,badcase,家庭娱乐与口播为主，农业信号很弱
124,UCxGk1OtjWNbQcxCrUqL4CHQ,Ak Munda Pind da,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxGk1OtjWNbQcxCrUqL4CHQ,-16,badcase,娱乐视频为主，农业只是标签噪声
138,UC3q66a52O5RiRmOXrwPO8tA,Blato CBD,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3q66a52O5RiRmOXrwPO8tA,0,badcase,主体是CBD/健康议题，农业内容只做外围延伸
157,UC_faG5IqbqP1EXjqOC0xQIw,Me Priyanka Lifestyle 45,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_faG5IqbqP1EXjqOC0xQIw,-25,badcase,娱乐喜剧为主，农业字样不改变频道属性
174,UCZbl0uXk_wFDSVTZUiJCP5A,Ideal Crafts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZbl0uXk_wFDSVTZUiJCP5A,-10,badcase,ASMR农场流程为主，强推广格式不匹配
187,UCETHUE2VZPIqJq8ZUuEEHZw,Suji Mugi fun,https://cn--xtb.noxinfluencer.com/youtube/channel/UCETHUE2VZPIqJq8ZUuEEHZw,-12,badcase,娱乐/电影/音乐为主，农业只是陪衬
192,UCoQsNywdjh3RRQUs7A605Ag,Rana Bhai 50🦇,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoQsNywdjh3RRQUs7A605Ag,-24,badcase,以狩猎/野生动物为主，与农产品推广明显错位
193,UC-zce6vTHAg8ddupRVLqH2w,TÁO TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-zce6vTHAg8ddupRVLqH2w,-12,badcase,娱乐剧情频道，农业标题不代表可推广农产品
209,UCdv1QwgbQ4tRvdMFzNc1FZw,Harvest Relax,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdv1QwgbQ4tRvdMFzNc1FZw,-5,badcase,ASMR放松型内容，和农产品推广形式不匹配
217,UC_QHXk6Gweg9avWJJZDhh7Q,டைம் பாஸ்,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_QHXk6Gweg9avWJJZDhh7Q,-12,badcase,无明确农业标签，内容偏杂且娱乐化，相关性弱
223,UCTKgz9yzypPTLufTx6ZuI0g,Tiny Yum Cakes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTKgz9yzypPTLufTx6ZuI0g,-22,badcase,几乎全是蛋糕内容，和农业产品推广不匹配
227,UCwhSY7QheJdBPF4wAyd_pMw,SHAKIB BHATI OFFICIAL,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwhSY7QheJdBPF4wAyd_pMw,-3,badcase,宗教短状态为主，农业内容零散且不稳定
