rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
61,UCoW46VmvCuWgkOcjzE88lmQ,Artsykii,https://cn.noxinfluencer.com/youtube/channel/UCoW46VmvCuWgkOcjzE88lmQ,0,badcase,房产/美妆/时尚混合，和数字产品无关
63,UC8L5sc_QyAPExSwEqnER2Hw,Christina Wei,https://cn.noxinfluencer.com/youtube/channel/UC8L5sc_QyAPExSwEqnER2Hw,0,badcase,生活方式vlog为主，数字产品证据太弱
64,UCBmMkLidBxJn8I0uHQSms0A,Monica Lee,https://cn.noxinfluencer.com/youtube/channel/UCBmMkLidBxJn8I0uHQSms0A,0,badcase,美发生活频道，与数字产品不匹配
67,UC7jNKtEBuuYFHsnl91lQuHQ,Passive Biz Lucca,https://cn.noxinfluencer.com/youtube/channel/UC7jNKtEBuuYFHsnl91lQuHQ,0,badcase,缺少任何可用相关信号
68,UC1Q8FmoIc4wTQouE5I1O2sw,It's Deja's World,https://cn.noxinfluencer.com/youtube/channel/UC1Q8FmoIc4wTQouE5I1O2sw,0,badcase,健身内容为主，与数字产品不相关
70,UCEkJRrZUlN_YWvWPgKOo88w,Jennifer West-Granahan,https://cn.noxinfluencer.com/youtube/channel/UCEkJRrZUlN_YWvWPgKOo88w,0,badcase,纯生活方式频道，相关性不足
72,UCkpT12r1YB1emBBwbstZc5g,Luxury on a Loan,https://cn.noxinfluencer.com/youtube/channel/UCkpT12r1YB1emBBwbstZc5g,-10,badcase,纯娱乐综艺向，不适合数字产品投放
76,UCLsLhL5A4FXhY9tAm_1ez5w,Delphine Tamukong,https://cn.noxinfluencer.com/youtube/channel/UCLsLhL5A4FXhY9tAm_1ez5w,0,badcase,基督教挑战向，和数字产品推广关联很弱
81,UCB74q-UrWJbWvEvZTobz3MA,Tyki So Digital,https://cn.noxinfluencer.com/youtube/channel/UCB74q-UrWJbWvEvZTobz3MA,0,badcase,时尚生活向，和数字产品推广不匹配
84,UCyDdQ3z6fB8AmxZwKSkEWTA,Shar Moore,https://cn.noxinfluencer.com/youtube/channel/UCyDdQ3z6fB8AmxZwKSkEWTA,-10,badcase,电视娱乐向，和数字产品推广不匹配
85,UCWbU53zyoS_DaEdR7PCPmfA,Vanady Hustles,https://cn.noxinfluencer.com/youtube/channel/UCWbU53zyoS_DaEdR7PCPmfA,0,badcase,标签缺失，无法建立相关性
90,UCU24cAMSvEPDgLsDk9QkCUg,Teara Sharda,https://cn.noxinfluencer.com/youtube/channel/UCU24cAMSvEPDgLsDk9QkCUg,0,badcase,标签缺失，无法建立相关性
95,UCvooBZhw03Cttu_Zomy0F-Q,Alex Zubarev (Alex Z),https://cn.noxinfluencer.com/youtube/channel/UCvooBZhw03Cttu_Zomy0F-Q,0,badcase,加密货币/投资向，和数字产品不匹配
96,UCyC1i1qFC7_dyrJD9JT1t3Q,Migrate with peace,https://cn.noxinfluencer.com/youtube/channel/UCyC1i1qFC7_dyrJD9JT1t3Q,0,badcase,留学签证向，和数字产品不匹配
97,UCT5ov78Up4nVUkKLmPa5nnA,Ello Hunny Bun,https://cn.noxinfluencer.com/youtube/channel/UCT5ov78Up4nVUkKLmPa5nnA,0,badcase,美妆生活娱乐向，和数字产品不匹配
98,UCwDf9HZieddgZNOYp3kqQDA,Elevate with Tate,https://cn.noxinfluencer.com/youtube/channel/UCwDf9HZieddgZNOYp3kqQDA,0,badcase,宗教信仰向，和数字产品推广不匹配
99,UCJXGDVAjBYZUQPE-Xru9bPQ,The Soft Life Mogul,https://cn.noxinfluencer.com/youtube/channel/UCJXGDVAjBYZUQPE-Xru9bPQ,0,badcase,健康生活向，和数字产品推广弱相关
100,UC-FLOx8xry_6AuKRqYRNi8g,Saundra Rogers,https://cn.noxinfluencer.com/youtube/channel/UC-FLOx8xry_6AuKRqYRNi8g,0,badcase,标签缺失，无法建立相关性
101,UCKouCSIvbRra46hbOaISC9w,Diane Moore,https://cn.noxinfluencer.com/youtube/channel/UCKouCSIvbRra46hbOaISC9w,1,badcase,仅有泛化副业标签，缺少数字产品推广相关信号
104,UCU19z2HIYrImCkRt3Zv6KNw,Toni Zargari,https://cn.noxinfluencer.com/youtube/channel/UCU19z2HIYrImCkRt3Zv6KNw,0,badcase,无标签与视频证据，无法判断匹配
105,UCdSUib8JyU4lUjSlN0AIrbQ,Her Own Magic,https://cn.noxinfluencer.com/youtube/channel/UCdSUib8JyU4lUjSlN0AIrbQ,0,badcase,无标签与视频证据，无法判断匹配
106,UChm39sJWgIU8V2tWy5AK7Ng,ArinzeDigital,https://cn.noxinfluencer.com/youtube/channel/UChm39sJWgIU8V2tWy5AK7Ng,0,badcase,无标签与视频证据，无法判断匹配
108,UCI-tE8StldHYVksq5jZrMCw,Wealth Works,https://cn.noxinfluencer.com/youtube/channel/UCI-tE8StldHYVksq5jZrMCw,0,badcase,无标签与视频证据，无法判断匹配
111,UCjRiU45lpS2-pNUJiTgwYhQ,Jess Salemme,https://cn.noxinfluencer.com/youtube/channel/UCjRiU45lpS2-pNUJiTgwYhQ,1,badcase,健康向频道，与数字产品推广关联较弱
113,UCnPOUG3DYp27LAxIv0_jh2g,i am Christian M.,https://cn.noxinfluencer.com/youtube/channel/UCnPOUG3DYp27LAxIv0_jh2g,0,badcase,无标签与视频证据，无法判断匹配
115,UCb4b2m7ePCHiMLz9HsXvZiQ,Wake Up To Profit with Coach Kerr,https://cn.noxinfluencer.com/youtube/channel/UCb4b2m7ePCHiMLz9HsXvZiQ,0,badcase,无标签与视频证据，无法判断匹配
117,UCnH9XW0hAnbyuUxavcN13iA,Belle Perjuste,https://cn.noxinfluencer.com/youtube/channel/UCnH9XW0hAnbyuUxavcN13iA,0,badcase,刺激金钱资讯向，和数字产品推广不直接相关
118,UC1iFE2HvZYzOaPA3PElQgog,Nakia Denise,https://cn.noxinfluencer.com/youtube/channel/UC1iFE2HvZYzOaPA3PElQgog,0,badcase,无标签与视频证据，无法判断匹配
121,UC9FmRbrSp3uoTnxJK30KFOg,HerAiGirl,https://cn.noxinfluencer.com/youtube/channel/UC9FmRbrSp3uoTnxJK30KFOg,0,badcase,无标签与视频证据，无法判断匹配
122,UCYukDislbm-dkbRc_EryIQQ,Aniya Selena,https://cn.noxinfluencer.com/youtube/channel/UCYukDislbm-dkbRc_EryIQQ,0,badcase,无标签与视频证据，无法判断匹配
126,UC4EwD-RNKTWTxfaPokQaCYA,Myles Youngblood,https://cn.noxinfluencer.com/youtube/channel/UC4EwD-RNKTWTxfaPokQaCYA,0,badcase,无标签、无视频，和数字产品推广无关
127,UCtFwHTLbWzyNrnmu8VetAog,Brother Ben X,https://cn.noxinfluencer.com/youtube/channel/UCtFwHTLbWzyNrnmu8VetAog,0,badcase,宗教/社会内容为主，数字产品关联很弱
131,UC8CV00Sn_tAgz7LrGA0jyRw,Jess Horst,https://cn.noxinfluencer.com/youtube/channel/UC8CV00Sn_tAgz7LrGA0jyRw,0,badcase,时尚/旅行为主，数字产品推广相关性低
133,UCfKKUFMaUhHth6_XIGrCazg,Tisha Sherika,https://cn.noxinfluencer.com/youtube/channel/UCfKKUFMaUhHth6_XIGrCazg,0,badcase,无标签、无视频，无法判断相关性
135,UC8WVNg37w8M9RDv6qfOBkGg,Aliyeh Gabriella,https://cn.noxinfluencer.com/youtube/channel/UC8WVNg37w8M9RDv6qfOBkGg,0,badcase,美业/时尚垂直，和数字产品推广无关
137,UCEFD9IEMP194V6pnhMf7eWA,Calan Robert,https://cn.noxinfluencer.com/youtube/channel/UCEFD9IEMP194V6pnhMf7eWA,1,badcase,娱乐为主，科技/商业过于泛化
