rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
31,UCyDdQ3z6fB8AmxZwKSkEWTA,Shar Moore,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyDdQ3z6fB8AmxZwKSkEWTA,3,badcase,谈话娱乐频道为主，数字产品仅偶尔提及，推广格式不匹配
82,UChnfw-HX8L8OG4LzYEj86iQ,Its Divine K 🦋,https://cn--xtb.noxinfluencer.com/youtube/channel/UChnfw-HX8L8OG4LzYEj86iQ,-5,badcase,生活vlog为主，和数字产品推广格式严重不匹配
138,UCJ2HdjBUklZ5NZfw7lKgjJA,Ashish Ughrejia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJ2HdjBUklZ5NZfw7lKgjJA,13,badcase,虽有数字产品标签，但近期多是生活和杂项内容
148,UCyHuTc-lwjupAEnrotPNnQQ,The Real Sahana,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyHuTc-lwjupAEnrotPNnQQ,12,badcase,近期几乎全是身心类内容，数字产品不相关
167,UCBmMkLidBxJn8I0uHQSms0A,Monica Lee,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBmMkLidBxJn8I0uHQSms0A,10,badcase,近期完全偏理财，和数字产品推广不符
182,UCkpT12r1YB1emBBwbstZc5g,Luxury on a Loan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCkpT12r1YB1emBBwbstZc5g,-15,badcase,娱乐八卦频道，和数字产品推广目标明显不符
195,UCT5ov78Up4nVUkKLmPa5nnA,Ello Hunny Bun,https://cn--xtb.noxinfluencer.com/youtube/channel/UCT5ov78Up4nVUkKLmPa5nnA,0,badcase,生活/美妆/故事向频道，近期内容与数字产品推广不匹配
197,UCO1S9V9mElPxKj0SBygzI0g,LeadzIn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCO1S9V9mElPxKj0SBygzI0g,0,badcase,近期几乎全是旅行 vlog，和数字产品推广不在一个轨道
198,UCofu_oSh3EQChM194PdADeA,Unique Balwant,https://cn--xtb.noxinfluencer.com/youtube/channel/UCofu_oSh3EQChM194PdADeA,0,badcase,近期是 AI 卡通视频教程，和数字产品销售关联很弱
233,UCCGz9QFQqXg-ScjHx5cnyXQ,LeShundia Katrice | The Digital Plug,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCGz9QFQqXg-ScjHx5cnyXQ,2,badcase,近期全是美妆测评，和数字产品推广目标不一致
248,UCM_fNdnL_aysBmmHJfad10Q,Emak Belajar Jualan Produk Digital,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM_fNdnL_aysBmmHJfad10Q,-22,badcase,宠物娱乐号，和数字产品推广目标明显不符
257,UCU4WP5S2dKert4ZVa-LLTmw,Amazing Food World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU4WP5S2dKert4ZVa-LLTmw,-8,badcase,美食旅行为主，数字产品受众不匹配
295,UCKiGpyhmVhJ-87EjN6hvffg,D'FIGHTERS VLOG /FD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKiGpyhmVhJ-87EjN6hvffg,-5,badcase,ASMR/娱乐型频道，数字产品推广格式不匹配
297,UC-FLOx8xry_6AuKRqYRNi8g,Saundra Rogers,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-FLOx8xry_6AuKRqYRNi8g,10,badcase,有数字产品标签，但近期几乎全是无关内容
302,UCCt3jzTF0qsGpIWybRvtgWg,Jessica Dansoa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCt3jzTF0qsGpIWybRvtgWg,-6,badcase,钩织/生活方式为主，数字产品内容太少
329,UC3pE2zAbzwvbIenSvLjUzZg,Lady J Tips,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3pE2zAbzwvbIenSvLjUzZg,10,badcase,标签命中但近期全是生活内容，数字产品内容缺失
330,UCvrZ5iXs8TpmU-QcXWdePPA,QuickSketch,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvrZ5iXs8TpmU-QcXWdePPA,-10,badcase,数字艺术频道，和数字产品推广主题不匹配
336,UC8CV00Sn_tAgz7LrGA0jyRw,Jess Horst,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8CV00Sn_tAgz7LrGA0jyRw,11,badcase,标签命中但近期是时尚旅行，和数字产品不匹配
342,UC7VaRCfUWQXtvhqXAAxNHxw,The Free Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7VaRCfUWQXtvhqXAAxNHxw,-10,badcase,主要是励志观点内容，缺少数字产品销售信号
351,UCNWo-98qrI2gXM1DLtBqzwg,Viralmarathinews,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNWo-98qrI2gXM1DLtBqzwg,-7,badcase,以新闻和社会内容为主，数字产品只是零星提及，相关性弱
378,UCGr8e8HmP9VYIabc5ln6jEA,JSA DIGITAL,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGr8e8HmP9VYIabc5ln6jEA,-10,badcase,内容集中在剪辑/AI编辑，与数字产品推广无关
393,UCCuXHTo9V5vRWhUo5jSk0cQ,Trendyxp,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCuXHTo9V5vRWhUo5jSk0cQ,-8,badcase,车辆/音乐号为主，数字产品内容只是零星插入
414,UCf81-sra8SU_RLxNrf9vu0A,Infohub,https://cn--xtb.noxinfluencer.com/youtube/channel/UCf81-sra8SU_RLxNrf9vu0A,-20,badcase,以历史剧情动画为主，不适合推广
424,UC0v3iH9ltp5Qf9jFl9q1NNg,Mike Reilley,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0v3iH9ltp5Qf9jFl9q1NNg,-13,badcase,新闻法务数字主题，不是数字产品推广
425,UC4gyG785e06gEicY8dQVd5g,Sebastiana Campisi,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4gyG785e06gEicY8dQVd5g,-22,badcase,娱乐搞笑频道，和产品推广强冲突
432,UCnSRlzj_MpL5KRxDNZqskeQ,Oddyssa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnSRlzj_MpL5KRxDNZqskeQ,-16,badcase,以音乐/直播为主，数字产品标题不构成有效匹配
435,UC81M6DF9EF0qsVmi9tI0teA,Ridhi Sidhi Industries,https://cn--xtb.noxinfluencer.com/youtube/channel/UC81M6DF9EF0qsVmi9tI0teA,-15,badcase,以工业/本地服务混杂为主，和数字产品推广不匹配
439,UClxR4huEGQyLRHtmhOMGxXA,BazaarBound,https://cn--xtb.noxinfluencer.com/youtube/channel/UClxR4huEGQyLRHtmhOMGxXA,-8,badcase,以写作/服务类为主，数字产品证据很少且分散
441,UClGekO4y_N3MJqJ4R6G8VTw,seputar produk digital,https://cn--xtb.noxinfluencer.com/youtube/channel/UClGekO4y_N3MJqJ4R6G8VTw,-15,badcase,游戏娱乐主频道，数字产品推广场景明显不适合
451,UClYMbx61iE0VsDmVCbL0XZw,SyncSky,https://cn--xtb.noxinfluencer.com/youtube/channel/UClYMbx61iE0VsDmVCbL0XZw,-8,badcase,数字艺术为主，带货和数字产品采购意图都弱
460,UCDuXsLXsNmTWjLjt3GsIMVA,衣啟飛翔創客基地,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDuXsLXsNmTWjLjt3GsIMVA,-9,badcase,当前内容转向职训，和数字产品受众不符
465,UCArc-NRF-tzu2vz0giZNn6g,｡⋆sumhea studio⋆. 𐙚,https://cn--xtb.noxinfluencer.com/youtube/channel/UCArc-NRF-tzu2vz0giZNn6g,-13,badcase,ASMR风格强，和产品推广形式不匹配
466,UCS_Kkd3g1U_y2kKqx6tZQIw,Robert Murray the Frugal Artist,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS_Kkd3g1U_y2kKqx6tZQIw,-6,badcase,艺术教程号，和数字产品推广关联弱
472,UC7lZ9cJEPH3D700EZvQiNRA,Smart Print,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7lZ9cJEPH3D700EZvQiNRA,-8,badcase,印刷和礼品内容为主，非数字产品场景
476,UCYRtJZcu2iRtYuqT8o4zclA,WhArt,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYRtJZcu2iRtYuqT8o4zclA,-9,badcase,数字艺术频道，缺少数字产品销售/评测语境，近10期全不匹配
481,UCuVvEx0azWf9EF7hEYC3UwQ,Abdessalam Alaoui,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuVvEx0azWf9EF7hEYC3UwQ,-8,badcase,SEO/建站与出版为主，和数字产品推广关联弱
495,UC0-Ki-MSHoo5H_vORp8KFSQ,nancy,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0-Ki-MSHoo5H_vORp8KFSQ,-25,badcase,娱乐/音乐型频道，和数字产品推广格式高度不匹配
