rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UC39qXm2VbfQ5lPXWvU0OUXQ,Hiya,https://cn.noxinfluencer.com/youtube/channel/UC39qXm2VbfQ5lPXWvU0OUXQ,0,badcase,无有效标签与内容信号
7,UCv27v8F2XmqN8ENgn41dz7Q,Kilad Johnson,https://cn.noxinfluencer.com/youtube/channel/UCv27v8F2XmqN8ENgn41dz7Q,0,badcase,无有效标签与内容信号
11,UCilwZiBBfI9X6yiZRzWty8Q,FaZe Rug,https://cn.noxinfluencer.com/youtube/channel/UCilwZiBBfI9X6yiZRzWty8Q,0,badcase,纯娱乐生活向，与家电推广弱相关
12,UCTkXRDQl0luXxVQrRQvWS6w,Dream,https://cn.noxinfluencer.com/youtube/channel/UCTkXRDQl0luXxVQrRQvWS6w,0,badcase,仅是 dream 非 Dreame，且为游戏频道
13,UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade,https://cn.noxinfluencer.com/youtube/channel/UCFAiFyGs6oDiF1Nf-rRJpZA,0,badcase,游戏向频道，与 Dreame 无关
14,UCBR8-60-B28hp2BmDPdntcQ,YouTube,https://cn.noxinfluencer.com/youtube/channel/UCBR8-60-B28hp2BmDPdntcQ,-10,badcase,ASMR/娱乐向，不适合实体产品推广
15,UCNQAoLEv87L7NgUp4We3HIg,CRAZY GREAPA,https://cn.noxinfluencer.com/youtube/channel/UCNQAoLEv87L7NgUp4We3HIg,0,badcase,纯娱乐梗图向，缺少产品语境
17,UCNqFDjYTexJDET3rPDrmJKg,7clouds,https://cn.noxinfluencer.com/youtube/channel/UCNqFDjYTexJDET3rPDrmJKg,0,badcase,音乐频道，缺少家电推广语境
18,UCi3onjs7UU2Z64i3RrVci-Q,D Billions,https://cn.noxinfluencer.com/youtube/channel/UCi3onjs7UU2Z64i3RrVci-Q,0,badcase,儿童音乐娱乐向，缺少产品语境
19,UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,https://cn.noxinfluencer.com/youtube/channel/UCgwv23FVv3lqh567yagXfNg,0,badcase,音乐频道，与家电推广不匹配
20,UCmUKewwuQJY2k2sw6lLTZmA,Daquavis,https://cn.noxinfluencer.com/youtube/channel/UCmUKewwuQJY2k2sw6lLTZmA,0,badcase,游戏/meme 向，与 Dreame 无关
21,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,https://cn.noxinfluencer.com/youtube/channel/UCmh5gdwCx6lN7gEC20leNVA,0,badcase,娱乐 vlog 为主，缺少清洁电器语境
22,UCqVXYi_LeGx2-eqH0G6wqaQ,Animal HT,https://cn.noxinfluencer.com/youtube/channel/UCqVXYi_LeGx2-eqH0G6wqaQ,0,badcase,动物内容为主，缺少家电/测评语境
23,UCXhyQQjOLR2-nVhRA71f9hA,Isaac & Andrea,https://cn.noxinfluencer.com/youtube/channel/UCXhyQQjOLR2-nVhRA71f9hA,0,badcase,恶搞/喜剧向，与产品推广不匹配
24,UCg4eCrQji9aEN0Yxr4gYKmA,SuperHero Kids,https://cn.noxinfluencer.com/youtube/channel/UCg4eCrQji9aEN0Yxr4gYKmA,0,badcase,儿童娱乐向，缺少家电推广语境
25,UCUk7VggtJdo9XYTy3Z5QVAw,ItsFunneh,https://cn.noxinfluencer.com/youtube/channel/UCUk7VggtJdo9XYTy3Z5QVAw,0,badcase,游戏向频道，与 Dreame 无关
26,UCaxpAIn0XYokA8vLRjw8GHg,YouTube Presents,https://cn.noxinfluencer.com/youtube/channel/UCaxpAIn0XYokA8vLRjw8GHg,0,badcase,纯娱乐短视频频道，和 Dreame 家电推广几乎无关
28,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,https://cn.noxinfluencer.com/youtube/channel/UCGIY_O-8vW4rfX98KlMkvRg,0,badcase,游戏频道，缺少家电或消费电子推广场景
30,UCzi1cjtEXE74u2dTXiJeb9A,Superhero Couple,https://cn.noxinfluencer.com/youtube/channel/UCzi1cjtEXE74u2dTXiJeb9A,-15,badcase,超级英雄剧情娱乐，和家电推广明显冲突
35,UCody6opnDHFHC3zgDkunaxA,Banana D.,https://cn.noxinfluencer.com/youtube/channel/UCody6opnDHFHC3zgDkunaxA,0,badcase,游戏内容为主，与 Dreame 受众不匹配
37,UCpInjhuJ1WUekcFeXPPyGGg,Netflix Family,https://cn.noxinfluencer.com/youtube/channel/UCpInjhuJ1WUekcFeXPPyGGg,0,badcase,家庭影视内容，不是家电推广场景
39,UCnGdRTo6HhVtrbpe2EQgDNA,Okanutie,https://cn.noxinfluencer.com/youtube/channel/UCnGdRTo6HhVtrbpe2EQgDNA,0,badcase,泛娱乐搞笑号，和 Dreame 关联不足
43,UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,https://cn.noxinfluencer.com/youtube/channel/UCe4LM_eKc9ywRmVuBm5pjQg,0,badcase,音乐厂牌内容，与 Dreame 受众不匹配
45,UCLlwze6M26ECq0qYwz1OhKw,BETER BÖCÜK UNİVERSE,https://cn.noxinfluencer.com/youtube/channel/UCLlwze6M26ECq0qYwz1OhKw,0,badcase,泛娱乐搞笑频道，与 Dreame 关联不足
46,UCadtap8RYMNy8w4K9lXhzpQ,Barbie,https://cn.noxinfluencer.com/youtube/channel/UCadtap8RYMNy8w4K9lXhzpQ,0,badcase,玩具/影视娱乐导向，和 Dreame 关联不足
47,UC7e1XWjOlYy8XlNMeVxeKNg,Chotoonz TV - Funny Cartoons,https://cn.noxinfluencer.com/youtube/channel/UC7e1XWjOlYy8XlNMeVxeKNg,0,badcase,动画娱乐频道，不适合家电推广
48,UCETZ7OiW7-wqwb-6hsz3C4w,Bionic,https://cn.noxinfluencer.com/youtube/channel/UCETZ7OiW7-wqwb-6hsz3C4w,0,badcase,Minecraft 游戏频道，缺少家电消费场景
49,UCh8f8vssLddD2PbnU3Ag_Bw,Cleetus McFarland,https://cn.noxinfluencer.com/youtube/channel/UCh8f8vssLddD2PbnU3Ag_Bw,0,badcase,汽车赛事向，与 Dreame 家电场景无关
51,UCq9DI1Mv2m-bCNL3tsTYRaw,Ashton Hall,https://cn.noxinfluencer.com/youtube/channel/UCq9DI1Mv2m-bCNL3tsTYRaw,0,badcase,健身垂类受众广，但与 Dreame 不直接相关
52,UCU0SGO9-HhqZfsB9v8sbJ5w,Magnet World,https://cn.noxinfluencer.com/youtube/channel/UCU0SGO9-HhqZfsB9v8sbJ5w,-15,badcase,ASMR/助眠格式，与产品推广场景强冲突
53,UCCdYYruzqbr0FdNehbUoUiw,Oddly Satisfying Slime ASMR,https://cn.noxinfluencer.com/youtube/channel/UCCdYYruzqbr0FdNehbUoUiw,-15,badcase,ASMR 解压内容，商品推广匹配差
54,UCPLMPHT-d8GZOqL_AHJFdQQ,Parrot,https://cn.noxinfluencer.com/youtube/channel/UCPLMPHT-d8GZOqL_AHJFdQQ,0,badcase,游戏内容与 Dreame 主题关联弱
55,UC2IbKgetx0qzxVKVZ8NlIfw,RageElixir,https://cn.noxinfluencer.com/youtube/channel/UC2IbKgetx0qzxVKVZ8NlIfw,0,badcase,游戏内容与 Dreame 主题关联弱
61,UCpiCK8c6PBktcxq7Az_t4RQ,Netflix K-Content,https://cn.noxinfluencer.com/youtube/channel/UCpiCK8c6PBktcxq7Az_t4RQ,-15,badcase,影视娱乐号，与商品推广目标不一致
62,UC_IRYSp4auq7hKLvziWVH6w,Pixar,https://cn.noxinfluencer.com/youtube/channel/UC_IRYSp4auq7hKLvziWVH6w,-15,badcase,动画影视娱乐号，和商品推广不匹配
63,UCX2Pm1JoWF3chsVOR9e1hbQ,Alex Warren,https://cn.noxinfluencer.com/youtube/channel/UCX2Pm1JoWF3chsVOR9e1hbQ,-15,badcase,音乐号，缺少商品推广场景
64,UCKFtfFitaK83yBc0rlg9m1A,Paul Cuffaro,https://cn.noxinfluencer.com/youtube/channel/UCKFtfFitaK83yBc0rlg9m1A,-15,badcase,宠物动物垂类，不适合 Dreame
65,UCb-ikMqe9iS8GjG7WgGwCrQ,Teddy Swims,https://cn.noxinfluencer.com/youtube/channel/UCb-ikMqe9iS8GjG7WgGwCrQ,-15,badcase,音乐号，缺少消费品推广语境
67,UC4zS1wbO81p59CxKL7CQAcA,Brian Barczyk,https://cn.noxinfluencer.com/youtube/channel/UC4zS1wbO81p59CxKL7CQAcA,-15,badcase,宠物动物内容，和 Dreame 不相关
68,UCzQMI4gtB50HUYAZIa2z-Hg,iamSanna,https://cn.noxinfluencer.com/youtube/channel/UCzQMI4gtB50HUYAZIa2z-Hg,0,badcase,游戏向儿童受众，关联度较弱
69,UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,https://cn.noxinfluencer.com/youtube/channel/UCk2U-Oqn7RXf-ydPqfSxG5g,0,badcase,播客向内容，缺少明确产品相关线索
70,UCnc6db-y3IU7CkT_yeVXdVg,J. Cole,https://cn.noxinfluencer.com/youtube/channel/UCnc6db-y3IU7CkT_yeVXdVg,-15,badcase,音乐号，和商品推广目标不匹配
72,UCsqjHFMB_JYTaEnf_vmTNqg,Doug DeMuro,https://cn.noxinfluencer.com/youtube/channel/UCsqjHFMB_JYTaEnf_vmTNqg,0,badcase,车评垂类与 Dreame 品类不匹配
73,UCqg2eLFNUu3QN3dttNeOWkw,iHasCupquake,https://cn.noxinfluencer.com/youtube/channel/UCqg2eLFNUu3QN3dttNeOWkw,0,badcase,游戏娱乐号，缺少相关消费场景
74,UCpdK1NLHxEUGXc1gq2NxkTw,The Voice,https://cn.noxinfluencer.com/youtube/channel/UCpdK1NLHxEUGXc1gq2NxkTw,-15,badcase,音乐综艺号，和产品推广场景不一致
76,UCBJuxfqZuiibvcwSc8ViGsQ,A for Adley - Learning & Fun,https://cn.noxinfluencer.com/youtube/channel/UCBJuxfqZuiibvcwSc8ViGsQ,0,badcase,家庭娱乐内容，缺少家电/测评/购买意图
77,UColnnUYyz7CWjhzpF1kASnw,NOW UNITED,https://cn.noxinfluencer.com/youtube/channel/UColnnUYyz7CWjhzpF1kASnw,-5,badcase,音乐娱乐频道，与Dreame产品推广场景不匹配
78,UC21Kozr_K0yDM-VjoihG9Aw,TheStradman,https://cn.noxinfluencer.com/youtube/channel/UC21Kozr_K0yDM-VjoihG9Aw,0,badcase,汽车内容与Dreame家电品牌不匹配
