rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
21,UCXkr5LEoP0UN0sU0ZuFgbmQ,Yazar: Asmira,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXkr5LEoP0UN0sU0ZuFgbmQ,-15,badcase,娱乐短剧号，虽有 Dreame 标签但内容域明显不适合推广
43,UCu0cVyaC2Z4oqO5q3iZnbqw,My Life My Experience,https://cn--xtb.noxinfluencer.com/youtube/channel/UCu0cVyaC2Z4oqO5q3iZnbqw,-8,badcase,育儿号，与Dreame产品推广无关，近期也无相关内容
47,UCRcPcb0yFS114x5-s1pSlyA,Dylan Saborio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRcPcb0yFS114x5-s1pSlyA,-1,badcase,泛科技频道，近期内容与Dreame无关，召回价值低
48,UCO_2nIuFjps4Mi-f_bp0BQA,Iris Corner 💖,https://cn--xtb.noxinfluencer.com/youtube/channel/UCO_2nIuFjps4Mi-f_bp0BQA,-14,badcase,美妆ASMR号，Dreame内容存在明显形式不匹配
51,UCiGLDtKIrlLysrwGh5yRvXA,Pomme2Tech,https://cn--xtb.noxinfluencer.com/youtube/channel/UCiGLDtKIrlLysrwGh5yRvXA,-10,badcase,苹果科技号，和 Dreame 家电推广无关
58,UCcPt_Iaeava_ZH3CioKdeNw,Дарья Дождева,https://cn--xtb.noxinfluencer.com/youtube/channel/UCcPt_Iaeava_ZH3CioKdeNw,-10,badcase,只有日期，没有可用的推广相关内容
76,UCgz0LJqw9vIxYVbHxF-VPNw,DreamWhisper ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgz0LJqw9vIxYVbHxF-VPNw,-25,badcase,ASMR睡眠内容，与 Dreame 清洁家电推广完全不匹配
94,UCoXthsCNWacX7Q2aUkWOTUQ,KaviRam At USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoXthsCNWacX7Q2aUkWOTUQ,-2,badcase,内容杂且近期大多无关，Dreame 证据太弱
96,UCGW8Vn1l4MgqeADeadrs3oA,Kofi Harmony,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGW8Vn1l4MgqeADeadrs3oA,-25,badcase,音乐娱乐频道，与 Dreame 产品推广不相关
99,UCeerHFgR9_y5s_DQx3YL3qw,E TikTok,https://cn--xtb.noxinfluencer.com/youtube/channel/UCeerHFgR9_y5s_DQx3YL3qw,-25,badcase,娱乐短视频频道，不适合 Dreame 推广
103,UCdvmlkL7wcCQk7IAsKfPZqw,Not Noob,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdvmlkL7wcCQk7IAsKfPZqw,-20,badcase,娱乐短剧/动画内容，与 Dreame 产品推广无关
110,UCDvbD9VqV1HsBKXLclqAanw,Inspiring impossible Visions,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDvbD9VqV1HsBKXLclqAanw,-25,badcase,ASMR/叙事为主，明显不适合 Dreame 产品推广
121,UC9anwFlVoZdyzMA5Cjc-qMw,amzVibes,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9anwFlVoZdyzMA5Cjc-qMw,-25,badcase,音乐化商品展示，形式偏娱乐，不适合直推
123,UCjTdtdav7jORH7TrA9CiL5A,JACKDONALD ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjTdtdav7jORH7TrA9CiL5A,-25,badcase,ASMR/娱乐账号，内容形式与产品推广冲突
124,UC_SxrWiL2WjT4rmjIOlu17w,Fashion World,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_SxrWiL2WjT4rmjIOlu17w,-15,badcase,时尚娱乐向频道，与 Dreame 家电推广不匹配
127,UCH30Y8muOGCQWRLiKa_jXcg,DoReMe vape Bob,https://cn--xtb.noxinfluencer.com/youtube/channel/UCH30Y8muOGCQWRLiKa_jXcg,-20,badcase,电子烟垂类，和Dreame家电/清洁类受众不匹配
131,UCFw25FIbcYT13XfNqdi2ZDQ,Алмазник дракон,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFw25FIbcYT13XfNqdi2ZDQ,-25,badcase,游戏娱乐频道，和Dreame家电推广场景不相干
