rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC1TUgGLEoqd76pjpY8cP2Dg,Love toys,https://cn.noxinfluencer.com/youtube/channel/UC1TUgGLEoqd76pjpY8cP2Dg,5,badcase,玩具ASMR频道，厨房词命中但受众不符
5,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,https://cn.noxinfluencer.com/youtube/channel/UClFN9LShD_Pv0wnSeUKbUZw,-15,badcase,猫咪娱乐内容，和厨房产品推广无关
13,UCibwPGKNJfUwAbChSgF5dCg,ToyToy Unboxing,https://cn.noxinfluencer.com/youtube/channel/UCibwPGKNJfUwAbChSgF5dCg,5,badcase,玩具ASMR为主，厨房产品受众不对
17,UCOA68X77Fu7-He2CnLnNWxg,Alex Do Reaction,https://cn.noxinfluencer.com/youtube/channel/UCOA68X77Fu7-He2CnLnNWxg,5,badcase,新闻反应向，和厨房商品推广不匹配
24,UC97W_FE-wnyyCk-9n3nzjZA,Tiny King,https://cn.noxinfluencer.com/youtube/channel/UC97W_FE-wnyyCk-9n3nzjZA,5,badcase,玩具厨房和ASMR，非真实厨房受众
27,UCtJ38CLkge_ezbQoAYrRKPg,Toys Drama,https://cn.noxinfluencer.com/youtube/channel/UCtJ38CLkge_ezbQoAYrRKPg,5,badcase,玩具ASMR娱乐号，和厨房产品推广场景冲突
37,UCgrPjre5JS5KG9VdM2PkhgA,Emily Askin,https://cn.noxinfluencer.com/youtube/channel/UCgrPjre5JS5KG9VdM2PkhgA,-8,badcase,ASMR生活号，缺少厨房主题且格式不匹配
57,UCMc_ucC5qT1e1n2W5nXH6Dg,Vovchiki.funhouse,https://cn.noxinfluencer.com/youtube/channel/UCMc_ucC5qT1e1n2W5nXH6Dg,5,badcase,娱乐短视频为主，与厨房推广不匹配
62,UC0gAkSxhXuF1C-xsALSCZjQ,CHINALY,https://cn.noxinfluencer.com/youtube/channel/UC0gAkSxhXuF1C-xsALSCZjQ,1,badcase,缺少厨房语义，相关性很弱
72,UCUC_P0yFC89FtW66tIJW0Qw,BaRaDa,https://cn.noxinfluencer.com/youtube/channel/UCUC_P0yFC89FtW66tIJW0Qw,-15,badcase,挑战恶搞内容，与厨房推广明显冲突
73,UCRyZenBMc4UhH-CvaxNk10w,Kami Larae,https://cn.noxinfluencer.com/youtube/channel/UCRyZenBMc4UhH-CvaxNk10w,10,badcase,ASMR格式不利于实体产品推广
78,UCHa7PRKgRz6s_gJb8Xad6eA,Cardboard World,https://cn.noxinfluencer.com/youtube/channel/UCHa7PRKgRz6s_gJb8Xad6eA,0,badcase,迷你手工/房间场景，厨房相关很弱
82,UCBSPKJ8u-p0-RQcT9Tf8lzg,Taste Maker Tok,https://cn.noxinfluencer.com/youtube/channel/UCBSPKJ8u-p0-RQcT9Tf8lzg,5,badcase,ASMR清洁型，促销场景不匹配
85,UCz9bf-ivt9hNqcD6q2oic7A,DRAMANIYA,https://cn.noxinfluencer.com/youtube/channel/UCz9bf-ivt9hNqcD6q2oic7A,5,badcase,娱乐短视频，厨房只是泛标签
86,UC1iGyuT5uL5YHgAptxKdXlg,TechMoodern,https://cn.noxinfluencer.com/youtube/channel/UC1iGyuT5uL5YHgAptxKdXlg,-15,badcase,电影解说娱乐，和厨房无关
92,UCdg5OzKKXBQEDSwqhMCqADA,Parvina_sharipova_sam,https://cn.noxinfluencer.com/youtube/channel/UCdg5OzKKXBQEDSwqhMCqADA,5,badcase,舞蹈音乐娱乐，厨房受众不符
93,UCifaMlWn5TbeoT46jqqvIbw,Jeremy Clyde,https://cn.noxinfluencer.com/youtube/channel/UCifaMlWn5TbeoT46jqqvIbw,0,badcase,时尚生活向，厨房相关很弱
94,UCr-XT5CLxrWBxDxkX-v0ohQ,NAA PERU SIRI,https://cn.noxinfluencer.com/youtube/channel/UCr-XT5CLxrWBxDxkX-v0ohQ,0,badcase,泰卢固vlog向，厨房相关很弱
96,UC6mgfyp5xMBEeCWcEvHk-Hg,Official short rells,https://cn.noxinfluencer.com/youtube/channel/UC6mgfyp5xMBEeCWcEvHk-Hg,5,badcase,泛娱乐短内容，厨房只是辅助标签
97,UC-rhtOEonrzUNe5BOS9a9yA,4Teen Challenge,https://cn.noxinfluencer.com/youtube/channel/UC-rhtOEonrzUNe5BOS9a9yA,-15,badcase,挑战恶搞向，和厨房推广不符
98,UChsz_u-8KIqfzXRb6tJSdZw,The Hayeks,https://cn.noxinfluencer.com/youtube/channel/UChsz_u-8KIqfzXRb6tJSdZw,-15,badcase,宠物ASMR，和人用厨房不符
102,UCrpufLiqG97URaAqMPDrJsA,Jelly DO,https://cn.noxinfluencer.com/youtube/channel/UCrpufLiqG97URaAqMPDrJsA,-10,badcase,挑战/恶作剧为主，厨房推广格式不匹配
104,UCqmjJ8MOFQWj4eJ1EDHxC-g,Kuehnhold Pavella,https://cn.noxinfluencer.com/youtube/channel/UCqmjJ8MOFQWj4eJ1EDHxC-g,-15,badcase,娱乐短视频/电影向，和厨房推广目标明显不符
112,UCShp9GecGXIvvhKYQlqxUtg,TrailVent 2.0,https://cn.noxinfluencer.com/youtube/channel/UCShp9GecGXIvvhKYQlqxUtg,0,badcase,美妆发型频道，与厨房主题无关
114,UCHf7hwfrPgFHXcUwgtfO-BQ,Alkan stone,https://cn.noxinfluencer.com/youtube/channel/UCHf7hwfrPgFHXcUwgtfO-BQ,0,badcase,无有效标签，无法判断厨房相关性
117,UC3xRz0KtqOdATu3mpUe4XFQ,Mimi's Art,https://cn.noxinfluencer.com/youtube/channel/UC3xRz0KtqOdATu3mpUe4XFQ,0,badcase,娱乐向为主，厨房相关信号很弱
127,UCYH8juKW2tmYKbyvDwDTPuA,TKempDigital,https://cn.noxinfluencer.com/youtube/channel/UCYH8juKW2tmYKbyvDwDTPuA,0,badcase,情感家庭向，与厨房产品无关
129,UCrw0kiY-0K4Nf4ALgZj-AkA,Multi DO Joy,https://cn.noxinfluencer.com/youtube/channel/UCrw0kiY-0K4Nf4ALgZj-AkA,0,badcase,挑战整蛊频道，与厨房产品不匹配
