rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,https://cn--xtb.noxinfluencer.com/youtube/channel/UClFN9LShD_Pv0wnSeUKbUZw,-30,badcase,宠物娱乐号，厨房词只是梗，不适合厨房产品投放
20,UCyhn8G_jqECuUwgCLAm1sTg,வண்ணமயில்-edits,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyhn8G_jqECuUwgCLAm1sTg,-3,badcase,娱乐剪辑为主，厨房只作标题点缀，不适合投放
34,UCgrPjre5JS5KG9VdM2PkhgA,Emily Askin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgrPjre5JS5KG9VdM2PkhgA,8,badcase,ASMR休闲格式明显，不适合厨房产品投放
38,UCibKrSEHCqULrU98waXIh5g,Sri Ram,https://cn--xtb.noxinfluencer.com/youtube/channel/UCibKrSEHCqULrU98waXIh5g,0,badcase,娱乐搞笑为主，近期与厨房无关
43,UCxMiylbWa7_SXvqpNy9MwFQ,Muhsina Finds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxMiylbWa7_SXvqpNy9MwFQ,2,badcase,链接号式内容居多，厨房推广可信度低
52,UC0vDCy8moGUhR7kRL19wWpw,토이몽 TV - ToyMong Tv,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0vDCy8moGUhR7kRL19wWpw,-5,badcase,玩具ASMR/开箱为主，厨房词只是玩具语境，不适合推广
79,UCTKJREAH1cMVGpoKjE-MEbw,Julianna Claire,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTKJREAH1cMVGpoKjE-MEbw,0,badcase,ASMR收纳风格强，偏氛围内容，不利厨房产品推广
88,UC_K9JqOQk5sbv3P0QmoRV1A,HalfFried,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_K9JqOQk5sbv3P0QmoRV1A,7,badcase,泛生活vlog为主，厨房只在标签里，相关性弱
121,UCqOaSwkJprObWrsnIVnBmzA,Pradip Khatua,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqOaSwkJprObWrsnIVnBmzA,0,badcase,娱乐短视频为主，厨房仅是标签，推广适配差
128,UCDOsl2dFqhgLwLuxR4MUOVw,𝙎𝙩𝙧𝙖𝙣𝙜𝙚 𝙒𝙞𝙙𝙜𝙚𝙩𝙨,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDOsl2dFqhgLwLuxR4MUOVw,-2,badcase,Kitchen标签下是ASMR吃播，格式不符
135,UCnijnl2g0U5Y-qsCXwLWSIQ,Cardboard Design,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnijnl2g0U5Y-qsCXwLWSIQ,10,badcase,只做微缩屋厨房，不是现实厨房受众
139,UCoxmZ8RbrywslMvt6zhjRDA,Multi Do Korean,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoxmZ8RbrywslMvt6zhjRDA,-2,badcase,挑战娱乐内容盖过厨房标签，不合适
155,UC1TUgGLEoqd76pjpY8cP2Dg,Love toys,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1TUgGLEoqd76pjpY8cP2Dg,-5,badcase,玩具ASMR开箱，不适合真实厨房产品
170,UCGU-IfKWjr8S_pcDSueqatw,Our Home stories,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGU-IfKWjr8S_pcDSueqatw,10,badcase,近期内容与厨房推广偏离明显
185,UCG1w5XpqMcdcClsaFCbNqNA,Southh Movies Studios,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG1w5XpqMcdcClsaFCbNqNA,-5,badcase,电影评论为主，厨房词只是混入
191,UCTi4_ppMYarrYKumx-5R6Yw,JajaToys,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTi4_ppMYarrYKumx-5R6Yw,-5,badcase,ASMR玩具内容为主，不适合厨房用品
197,UCqGRYxVOmDGCZPjMD-UBGlw,HOPEFULLY CULTURE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqGRYxVOmDGCZPjMD-UBGlw,-3,badcase,村落/野生动物叙事为主，不匹配
205,UCvh8w4cH8s4wCh1Tg04NFyg,JUGALBANDI Magical Stories,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvh8w4cH8s4wCh1Tg04NFyg,-5,badcase,剧情动画频道，厨房只是场景
217,UCUC_P0yFC89FtW66tIJW0Qw,BaRaDa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUC_P0yFC89FtW66tIJW0Qw,-5,badcase,挑战整蛊频道，与厨房推广不匹配
225,UCvNHU2v7t45_RgSry80CoHg,Neethu santhigiri vlogs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvNHU2v7t45_RgSry80CoHg,11,badcase,园艺内容为主，厨房关联很弱
236,UC6ABNFIGTdN41wC-PccaIKA,Andrey Grechka,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6ABNFIGTdN41wC-PccaIKA,-5,badcase,娱乐恶作剧频道，厨房标签不足以抵消内容错配
