rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
17,UCpHaAKu74UHvcYCi2g_PvBQ,Shout! Studios,https://cn.noxinfluencer.com/youtube/channel/UCpHaAKu74UHvcYCi2g_PvBQ,5,badcase,影视频道里的“marathon”是片单马拉松
32,UC73sF-7Ihcs1HpnXEEXZ2ew,Brooke Monk,https://cn.noxinfluencer.com/youtube/channel/UC73sF-7Ihcs1HpnXEEXZ2ew,0,badcase,娱乐喜剧向频道，与马拉松推广无关
33,UCk2fmJwVqs0o9BETmJjYEyQ,Happy Doggo,https://cn.noxinfluencer.com/youtube/channel/UCk2fmJwVqs0o9BETmJjYEyQ,-15,badcase,宠物犬频道，面向人类马拉松受众明显冲突
38,UC1zrPxxLTkfQdbwdn6lJQ7w,Cody Trains,https://cn.noxinfluencer.com/youtube/channel/UC1zrPxxLTkfQdbwdn6lJQ7w,0,badcase,仅生活方式标签，缺少跑步或赛事信号
40,UCP50Hi9Mqx3RRfu3FXQZtfg,"Shayne, No One Cares",https://cn.noxinfluencer.com/youtube/channel/UCP50Hi9Mqx3RRfu3FXQZtfg,0,badcase,游戏频道与马拉松推广无关
41,UCBY4jKMGoEGi2lLr_oDSbyw,Alex Martin,https://cn.noxinfluencer.com/youtube/channel/UCBY4jKMGoEGi2lLr_oDSbyw,0,badcase,摩托/越野车内容，与马拉松无关
42,UCSJ0XLlYkUGjSDHmiTxSJZA,iiizwerg,https://cn.noxinfluencer.com/youtube/channel/UCSJ0XLlYkUGjSDHmiTxSJZA,0,badcase,游戏频道与马拉松无关
46,UCXsGXvytTgHvoHI4Vu8CtrQ,Jake Ferrin,https://cn.noxinfluencer.com/youtube/channel/UCXsGXvytTgHvoHI4Vu8CtrQ,0,badcase,远程工作/技术频道，无跑步赛事相关性
50,UCIYWnYq9es1CHdycFUot4qA,"John Titor, Timewalker.",https://cn.noxinfluencer.com/youtube/channel/UCIYWnYq9es1CHdycFUot4qA,0,badcase,游戏频道与马拉松无关
54,UCWDVjToFqTeLMiIN4_A00aA,Hunter Leininger,https://cn.noxinfluencer.com/youtube/channel/UCWDVjToFqTeLMiIN4_A00aA,0,badcase,无标签与内容证据
57,UCy3KEZcw8Q6ghIapYRIJ1Bw,Maddie Green,https://cn.noxinfluencer.com/youtube/channel/UCy3KEZcw8Q6ghIapYRIJ1Bw,0,badcase,旅行/音乐向，与马拉松关联很弱
60,UCpy9ckRxleSSRciniAhdnmA,Diffizzle,https://cn.noxinfluencer.com/youtube/channel/UCpy9ckRxleSSRciniAhdnmA,0,badcase,游戏内容，与马拉松受众不匹配
64,UC2JszRez6TEqHvgF0wHlsUw,KingGodsu Sports and Gaming,https://cn.noxinfluencer.com/youtube/channel/UC2JszRez6TEqHvgF0wHlsUw,0,badcase,游戏主导，与马拉松无关
66,UCuuuY0l20-1K7Z4Tpe7Zepg,GAIN 101 YT,https://cn.noxinfluencer.com/youtube/channel/UCuuuY0l20-1K7Z4Tpe7Zepg,0,badcase,射击游戏向，与马拉松无关
71,UCvoW0J9UVUWI_hvMkTpTYpQ,Supahs,https://cn.noxinfluencer.com/youtube/channel/UCvoW0J9UVUWI_hvMkTpTYpQ,0,badcase,恐怖游戏内容，与马拉松无关
72,UCn_X2jex0fmpALPaVj5yhuw,Hallmark Mystery,https://cn.noxinfluencer.com/youtube/channel/UCn_X2jex0fmpALPaVj5yhuw,0,badcase,影视娱乐内容，与马拉松无关
73,UC38niPViKoFY42raS1BSuNA,Ian Evolution,https://cn.noxinfluencer.com/youtube/channel/UC38niPViKoFY42raS1BSuNA,0,badcase,游戏内容，与马拉松受众不匹配
75,UCLq_SYAsBOAHmWE6CoGzaTw,ZZ Kids TV,https://cn.noxinfluencer.com/youtube/channel/UCLq_SYAsBOAHmWE6CoGzaTw,0,badcase,儿童娱乐内容，不适合马拉松推广
77,UC04aufeY13IIaeR7kJFyQCA,Antenna TV,https://cn.noxinfluencer.com/youtube/channel/UC04aufeY13IIaeR7kJFyQCA,0,badcase,以娱乐影视音乐为主，与马拉松推广不匹配
79,UCKy1dAqELo0zrOtPkf0eTMw,IGN,https://cn.noxinfluencer.com/youtube/channel/UCKy1dAqELo0zrOtPkf0eTMw,0,badcase,游戏频道，和马拉松受众缺少关联
80,UCjTrj6i4dOX-SrjhCc2gAWw,Salauddin Vlog,https://cn.noxinfluencer.com/youtube/channel/UCjTrj6i4dOX-SrjhCc2gAWw,0,badcase,偏消费电子/生活内容，与马拉松无直接关联
81,UCsaEd_rKBccEukTaje8biEw,Caitlin Benson,https://cn.noxinfluencer.com/youtube/channel/UCsaEd_rKBccEukTaje8biEw,0,badcase,音乐反应型频道，跑步/运动受众不明确
82,UCj8Ry4V-5VLY074xDapW5pA,SML Movies,https://cn.noxinfluencer.com/youtube/channel/UCj8Ry4V-5VLY074xDapW5pA,0,badcase,缺少标签和视频证据，无法判断为马拉松相关
83,UCKwWMPNLFKRCOmugvuTs2fA,PazarGamingGuides,https://cn.noxinfluencer.com/youtube/channel/UCKwWMPNLFKRCOmugvuTs2fA,0,badcase,游戏教程频道，和马拉松推广目标不一致
84,UCuZLobn22_4xOd1vZ1M_w0g,Pawn Stars Story,https://cn.noxinfluencer.com/youtube/channel/UCuZLobn22_4xOd1vZ1M_w0g,0,badcase,Roblox/角色扮演内容，与马拉松无关
85,UCHfWCXDzWvNR260TE700bIQ,Griffin Hammond,https://cn.noxinfluencer.com/youtube/channel/UCHfWCXDzWvNR260TE700bIQ,0,badcase,有 how to / 电子相关能力，但与马拉松主题不匹配
86,UCZfh_frGbfKed_9R-pnb-XA,The Pogcast,https://cn.noxinfluencer.com/youtube/channel/UCZfh_frGbfKed_9R-pnb-XA,0,badcase,塔科夫游戏播客，和马拉松受众不重合
96,UChC1uB08G8kBn9u_ZhYIwNg,Steph Monti,https://cn.noxinfluencer.com/youtube/channel/UChC1uB08G8kBn9u_ZhYIwNg,0,badcase,旅行美食生活向，跑步/马拉松证据不足
97,UC7Yd8X0o5nFvdNZPe7yMiEQ,The ninja on the mountains,https://cn.noxinfluencer.com/youtube/channel/UC7Yd8X0o5nFvdNZPe7yMiEQ,0,badcase,偏户外器材/冰浴内容，与马拉松缺少直接语境
98,UC7iLbYCL-xW6LGxp-sbcXcQ,Sand Castle University,https://cn.noxinfluencer.com/youtube/channel/UC7iLbYCL-xW6LGxp-sbcXcQ,-15,badcase,ASMR/满足感格式与马拉松推广强冲突
99,UCF0cVLAdgGd9cw8KbN7KJUQ,Derrick Moy (Moysauce12),https://cn.noxinfluencer.com/youtube/channel/UCF0cVLAdgGd9cw8KbN7KJUQ,0,badcase,汽车/特斯拉向，和马拉松目标受众不重合
