rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCEgyTT7d5xNjy4zdTslk42A,Allen Cooley,https://cn.noxinfluencer.com/youtube/channel/UCEgyTT7d5xNjy4zdTslk42A,0,badcase,无摄影器材相关信号
8,UCYUf7r_WnDCq0BJjlWk5i2A,Vitalii Semenchenko,https://cn.noxinfluencer.com/youtube/channel/UCYUf7r_WnDCq0BJjlWk5i2A,0,badcase,无有效标签
15,UC3O-vNlEOfElAZR8y2zGePQ,The Kevi Kronicles,https://cn.noxinfluencer.com/youtube/channel/UC3O-vNlEOfElAZR8y2zGePQ,0,badcase,无有效标签
17,UCAl0pUAb7X4OCCfN9TJC3Qw,Leroy Tademy,https://cn.noxinfluencer.com/youtube/channel/UCAl0pUAb7X4OCCfN9TJC3Qw,0,badcase,无有效标签
18,UCnOhZskgYdH55Qug0cMbLOw,Our Story Your Story,https://cn.noxinfluencer.com/youtube/channel/UCnOhZskgYdH55Qug0cMbLOw,0,badcase,业务/播客向，和摄影器材不相关
21,UC4SL8tppnzgZ5npmJP4fkLg,Eric Wethington,https://cn.noxinfluencer.com/youtube/channel/UC4SL8tppnzgZ5npmJP4fkLg,0,badcase,无有效标签
24,UCUTI1W-29HjYZjd7TpUnPPA,Trialbike,https://cn.noxinfluencer.com/youtube/channel/UCUTI1W-29HjYZjd7TpUnPPA,0,badcase,无有效标签
26,UCGXtY2dokuZpku6Y5MI-Fpw,cnc machining factory,https://cn.noxinfluencer.com/youtube/channel/UCGXtY2dokuZpku6Y5MI-Fpw,0,badcase,CNC加工工厂，和摄影器材推广基本无关
34,UC9S1bbeiuKN_BeZLJ-VNu_Q,CincyPhotography.com,https://cn.noxinfluencer.com/youtube/channel/UC9S1bbeiuKN_BeZLJ-VNu_Q,1,badcase,标签以娱乐为主，和摄影器材关联很弱
40,UCf-c_drkookULi0siYAeSrA,FromNishasView,https://cn.noxinfluencer.com/youtube/channel/UCf-c_drkookULi0siYAeSrA,0,badcase,无标签无内容证据，无法判断相关性
43,UC2qwPyfytQqsetyMPBPSoqA,Trendy Byte,https://cn.noxinfluencer.com/youtube/channel/UC2qwPyfytQqsetyMPBPSoqA,0,badcase,缺少任何相关标签或内容证据
45,UC-5bHZzSDmwdKDZ_dLiMdvA,Julian Taylor,https://cn.noxinfluencer.com/youtube/channel/UC-5bHZzSDmwdKDZ_dLiMdvA,0,badcase,Puffco相关内容，与摄影器材无关
46,UC-6yyP913dAO1EMq76rpYbQ,XTRA LONG SHORTS,https://cn.noxinfluencer.com/youtube/channel/UC-6yyP913dAO1EMq76rpYbQ,0,badcase,无标签无视频证据，相关性不足
49,UC-DxQgjcXS_Zye8qM9N_6NA,Jaronmaria,https://cn.noxinfluencer.com/youtube/channel/UC-DxQgjcXS_Zye8qM9N_6NA,0,badcase,食品宠物生活向，和摄影器材不匹配
52,UC-OM1yrHHi4SKIGhY6Jb5MQ,Light and Shadow Wanderer,https://cn.noxinfluencer.com/youtube/channel/UC-OM1yrHHi4SKIGhY6Jb5MQ,0,badcase,无标签、无内容证据
54,UC-UQJCQtKfxNLoLepiTmDJA,Owlkrown,https://cn.noxinfluencer.com/youtube/channel/UC-UQJCQtKfxNLoLepiTmDJA,0,badcase,无可用标签，缺少相关证据
55,UC-bTQTvmp3ivYrmutDxP-cA,BigBearB Creative,https://cn.noxinfluencer.com/youtube/channel/UC-bTQTvmp3ivYrmutDxP-cA,0,badcase,无可用标签，缺少相关证据
56,UC-dEYzr7ay2nDRsx8cNMB8A,🔥GB-iTecH🔥,https://cn.noxinfluencer.com/youtube/channel/UC-dEYzr7ay2nDRsx8cNMB8A,0,badcase,手机促销向，与摄影设备不匹配
58,UC-oGAwjSA8860e5Jt0LeL9g,Heather Scott Lifestyle,https://cn.noxinfluencer.com/youtube/channel/UC-oGAwjSA8860e5Jt0LeL9g,0,badcase,生活方式向，无摄影设备证据
59,UC-wQ_COLu0jGWihvgrPJyUw,Tall Man's Cruise Adventures,https://cn.noxinfluencer.com/youtube/channel/UC-wQ_COLu0jGWihvgrPJyUw,0,badcase,邮轮旅行向，与摄影设备关联弱
61,UC0-GbRD5_PlKu4Z2EcTG5pA,Lens Aura,https://cn.noxinfluencer.com/youtube/channel/UC0-GbRD5_PlKu4Z2EcTG5pA,0,badcase,无可用标签，缺少相关证据
62,UC02HpdTtHAfJkv0HocGb6Lg,M3Pics,https://cn.noxinfluencer.com/youtube/channel/UC02HpdTtHAfJkv0HocGb6Lg,0,badcase,无可用标签，缺少相关证据
64,UC09TxZnv6qBngYQaYr_-y_w,TCTV Studios,https://cn.noxinfluencer.com/youtube/channel/UC09TxZnv6qBngYQaYr_-y_w,-15,badcase,娱乐游戏向，和摄影设备受众不符
65,UC0I1i31YipxvSsEooNQsbNw,Tony Narrative,https://cn.noxinfluencer.com/youtube/channel/UC0I1i31YipxvSsEooNQsbNw,0,badcase,无可用标签，缺少相关证据
68,UC0X5Z3AL83f_WFhtf8c0XmQ,Vubli - be everywhere,https://cn.noxinfluencer.com/youtube/channel/UC0X5Z3AL83f_WFhtf8c0XmQ,0,badcase,无可用标签，缺少相关证据
69,UC0cgXAzcrhlQ1bUneapXxDQ,Gadgets Corner,https://cn.noxinfluencer.com/youtube/channel/UC0cgXAzcrhlQ1bUneapXxDQ,0,badcase,桌面/耳机评测为主，与摄影设备无关
70,UC0ge58jinPfDKxxHeDXuzHw,Ben Accinelli,https://cn.noxinfluencer.com/youtube/channel/UC0ge58jinPfDKxxHeDXuzHw,0,badcase,无可用标签，缺少相关证据
72,UC0mhrn3rMFBXXTMX9f_kzBQ,Ma Coffees On,https://cn.noxinfluencer.com/youtube/channel/UC0mhrn3rMFBXXTMX9f_kzBQ,0,badcase,无可用标签，缺少相关证据
73,UC0sdHNGWEeqyJA55uPDtFlg,Yazenstore,https://cn.noxinfluencer.com/youtube/channel/UC0sdHNGWEeqyJA55uPDtFlg,0,badcase,无可用标签，缺少相关证据
74,UC0siHHGD0IkKLVXLnsDNJrw,Breno Loves Cameras,https://cn.noxinfluencer.com/youtube/channel/UC0siHHGD0IkKLVXLnsDNJrw,0,badcase,名称像摄影频道，但标签为空，证据不足
