rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
15,UCZ38JxS6nxFcegK2FvrSXBw,Brenda Dykgraaf,https://cn.noxinfluencer.com/youtube/channel/UCZ38JxS6nxFcegK2FvrSXBw,0,badcase,标签为空，缺少任何相关信号
22,UCR4QvpA-4E3YOpPdv21nB7w,Hecks Review Ranch,https://cn.noxinfluencer.com/youtube/channel/UCR4QvpA-4E3YOpPdv21nB7w,0,badcase,无标签无内容信号，相关性不足
23,UCzUMIhuzFxOXc3Zc_eNfV_Q,ShapeFit,https://cn.noxinfluencer.com/youtube/channel/UCzUMIhuzFxOXc3Zc_eNfV_Q,0,badcase,无标签无内容信号，相关性不足
33,UCZIUZucCbKFIGH3Akl34uww,Amy Connell,https://cn.noxinfluencer.com/youtube/channel/UCZIUZucCbKFIGH3Akl34uww,0,badcase,缺少标签和内容证据，无法判断相关性
34,UCiM3Dk2vxb4JlI3hvpsg4Qw,Emma Top Picks,https://cn.noxinfluencer.com/youtube/channel/UCiM3Dk2vxb4JlI3hvpsg4Qw,0,badcase,缺少标签和内容证据，无法判断相关性
35,UCslDOe-8gV49Kg_j374OJVw,Royal We Fitness,https://cn.noxinfluencer.com/youtube/channel/UCslDOe-8gV49Kg_j374OJVw,0,badcase,内容偏支持/关系话题，与器材推广无关
51,UC1YtZ2NJajxJqRDewmKq4GA,JL Fitness,https://cn.noxinfluencer.com/youtube/channel/UC1YtZ2NJajxJqRDewmKq4GA,0,badcase,无标签和视频证据，无法判断阻力带推广适配
59,UCLWlCagQarE_9MpvFrQ8Sjw,Jacob Nowak,https://cn.noxinfluencer.com/youtube/channel/UCLWlCagQarE_9MpvFrQ8Sjw,0,badcase,无标签和视频证据，相关性不足
62,UCV25pEPOd_p0cFi1UlVLvGA,GWD Reviews,https://cn.noxinfluencer.com/youtube/channel/UCV25pEPOd_p0cFi1UlVLvGA,0,badcase,无标签和视频证据，难证明可推广性
97,UCzFRXCv7n8Y2S03roLdcUMw,ItsMe Fatz - Bisayangdaku,https://cn.noxinfluencer.com/youtube/channel/UCzFRXCv7n8Y2S03roLdcUMw,5,badcase,Vlog/娱乐主导，和健身器材推广不匹配
107,UCx4Riuj6mSDcQ1nKc006udw,Lina Mayorga,https://cn.noxinfluencer.com/youtube/channel/UCx4Riuj6mSDcQ1nKc006udw,5,badcase,K-pop反应娱乐频道，不适合卖健身器材
128,UCvaEE46bbcMSpUjSF37Xwpg,KarlashFit,https://cn.noxinfluencer.com/youtube/channel/UCvaEE46bbcMSpUjSF37Xwpg,0,badcase,缺少标签和视频证据，无法支持相关判断
133,UCQCo2L7U7WU0eNIFQ7WzFjw,Gymnanigains,https://cn.noxinfluencer.com/youtube/channel/UCQCo2L7U7WU0eNIFQ7WzFjw,0,badcase,宠物标签占主导，人用弹力带受众不匹配
141,UC0e1l-8b9juifVFJSFEgoow,Fit Simplify,https://cn.noxinfluencer.com/youtube/channel/UC0e1l-8b9juifVFJSFEgoow,0,badcase,缺少标签和视频证据，无法判断为相关
146,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,-15,badcase,汽车收藏标签主导，与弹力带推广目标明显不符
155,UCPtS04LqpxE8AozGhQjfMPg,Tribe By Noire,https://cn.noxinfluencer.com/youtube/channel/UCPtS04LqpxE8AozGhQjfMPg,0,badcase,以纯饮食/营养为主，和阻力带推广不匹配
182,UCRvqjQPSeaWn-uEx-w0XOIg,Benjamin Cowen,https://cn.noxinfluencer.com/youtube/channel/UCRvqjQPSeaWn-uEx-w0XOIg,-15,badcase,加密货币频道，与健身器材推广无关
199,UCxPSwn42fcQlQdp8DTQGRUA,The Fit RV,https://cn.noxinfluencer.com/youtube/channel/UCxPSwn42fcQlQdp8DTQGRUA,-15,badcase,RV 旅行频道，和健身弹力带推广不匹配
217,UCZvWXmatS6TnMA1p4QSjn9g,Dr. Sammy Fit,https://cn.noxinfluencer.com/youtube/channel/UCZvWXmatS6TnMA1p4QSjn9g,0,badcase,无明确阻力带或健身推广相关标签
221,UC7bHN0p0Vsw5wAGySrlWx_Q,Phu Cao Swim,https://cn.noxinfluencer.com/youtube/channel/UC7bHN0p0Vsw5wAGySrlWx_Q,0,badcase,游泳频道，与阻力带推广相关性弱
224,UCivftAnVL9yycWWvuWr6q4w,Calisthenics Larry,https://cn.noxinfluencer.com/youtube/channel/UCivftAnVL9yycWWvuWr6q4w,0,badcase,无标签与阻力带相关，缺少推广证据
225,UCYD8V4akK44hsxZjZHTHonw,The Diabetes Resistance,https://cn.noxinfluencer.com/youtube/channel/UCYD8V4akK44hsxZjZHTHonw,0,badcase,无标签且仅名称含 resistance，不构成相关
226,UCxNMRf0_-__PCiV7jVAPVGA,Home Pro Gym,https://cn.noxinfluencer.com/youtube/channel/UCxNMRf0_-__PCiV7jVAPVGA,0,badcase,无标签无视频证据，相关性不足
229,UCv-YHvLkkYDc55mZYo5aD7A,Two8 Bands,https://cn.noxinfluencer.com/youtube/channel/UCv-YHvLkkYDc55mZYo5aD7A,0,badcase,无相关标签，证据不足
230,UCTYyVnahmQYdWHpsJAFQnUw,Dr. Ngoundi Jean,https://cn.noxinfluencer.com/youtube/channel/UCTYyVnahmQYdWHpsJAFQnUw,0,badcase,无相关标签，证据不足
231,UCZd7rAGIY6kd8zZCT8MLs0w,DFH101,https://cn.noxinfluencer.com/youtube/channel/UCZd7rAGIY6kd8zZCT8MLs0w,0,badcase,无相关标签，证据不足
234,UCrcYmZvWL_ePe4UlbbIZFqA,iWalk 4K,https://cn.noxinfluencer.com/youtube/channel/UCrcYmZvWL_ePe4UlbbIZFqA,0,badcase,旅游散步频道，与弹力带推广无关
236,UCM0BYap6QzTw_uZ7K6lk4Qg,Mile40,https://cn.noxinfluencer.com/youtube/channel/UCM0BYap6QzTw_uZ7K6lk4Qg,0,badcase,无相关标签，证据不足
240,UCrTEDfpzs1tVcCEGIkMyyqQ,Rosana Anastasia,https://cn.noxinfluencer.com/youtube/channel/UCrTEDfpzs1tVcCEGIkMyyqQ,0,badcase,无相关标签，证据不足
242,UC0u4w-4tvztzb3CnhIHFpTw,Muscle Bands,https://cn.noxinfluencer.com/youtube/channel/UC0u4w-4tvztzb3CnhIHFpTw,0,badcase,无相关标签，证据不足
243,UCCOUo_dPdyGdjf5w1eirS3g,The Antonio Neal Channel,https://cn.noxinfluencer.com/youtube/channel/UCCOUo_dPdyGdjf5w1eirS3g,-10,badcase,ASMR格式与器材推广不匹配
245,UC0kJWYsL-o0dg7FXNoQBakQ,Muhata,https://cn.noxinfluencer.com/youtube/channel/UC0kJWYsL-o0dg7FXNoQBakQ,0,badcase,无相关标签，证据不足
246,UCjPIGKNVxOASzTNc3JFsJrA,360StrongWomen,https://cn.noxinfluencer.com/youtube/channel/UCjPIGKNVxOASzTNc3JFsJrA,0,badcase,无相关标签，证据不足
247,UCCe5QDJSg_vFDS9cg--8AAA,Daniel Arena,https://cn.noxinfluencer.com/youtube/channel/UCCe5QDJSg_vFDS9cg--8AAA,0,badcase,无相关标签，证据不足
253,UCkg6ehWalJLVP0Ysk4zfLWw,Love Review,https://cn.noxinfluencer.com/youtube/channel/UCkg6ehWalJLVP0Ysk4zfLWw,0,badcase,生活美食向，缺少器械训练语境
254,UCOV5nh0UIWG6605JKlJJHpw,Gregory Fitness,https://cn.noxinfluencer.com/youtube/channel/UCOV5nh0UIWG6605JKlJJHpw,0,badcase,标签为空，无法确认适配
255,UCh5nQhKtidLii_jaWkj97Nw,THANKS LEE,https://cn.noxinfluencer.com/youtube/channel/UCh5nQhKtidLii_jaWkj97Nw,0,badcase,标签为空，无法确认适配
256,UCgXpWCL9L9Eh5dQVIuvh1sw,Own. Move. Anchor.,https://cn.noxinfluencer.com/youtube/channel/UCgXpWCL9L9Eh5dQVIuvh1sw,0,badcase,名称抽象，缺少训练器械证据
262,UC2bZGu0XOM-BTPHdtmg9kLw,Coach Kate,https://cn.noxinfluencer.com/youtube/channel/UC2bZGu0XOM-BTPHdtmg9kLw,0,badcase,标签为空，无法确认适配
263,UCOrDb-RH5QdvRPtsfktbOlQ,Maye Fitness,https://cn.noxinfluencer.com/youtube/channel/UCOrDb-RH5QdvRPtsfktbOlQ,0,badcase,标签为空，无法确认适配
264,UCXUL86gzaJKANEC2ZrB9CzQ,A Better Way with Kersten Kimura,https://cn.noxinfluencer.com/youtube/channel/UCXUL86gzaJKANEC2ZrB9CzQ,0,badcase,营养控重内容，非器械推广主场景
