rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,UCBRRLqAsmF-TUWu8rR8SZuA,King Reviews Curtos | Illlustres,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBRRLqAsmF-TUWu8rR8SZuA,-10,badcase,内容与跑步机无关，近期也几乎全偏题
11,UCMjoWwU7XAcb1bUzTu0aWwQ,Runseek Running Music,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMjoWwU7XAcb1bUzTu0aWwQ,0,badcase,音乐/节拍导向，跑步机词不代表可推广
33,UCYkTscx8nosHSmC_g35J97w,DIVERSE MUSIC GROUP (DIVERSE MUSIC),https://cn--xtb.noxinfluencer.com/youtube/channel/UCYkTscx8nosHSmC_g35J97w,-13,badcase,音乐娱乐号，跑步机只是零散健身片段
46,UCTVfxYFhQ0wjpKtP2kSqBaA,Life with The OLI'S,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTVfxYFhQ0wjpKtP2kSqBaA,-7,badcase,家庭美食娱乐号，跑步机内容偏个人打卡
47,UC-KiwDZvQpxAnacfrrsOWCg,Walk Hike Run,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-KiwDZvQpxAnacfrrsOWCg,-5,badcase,ASMR虚拟跑步频道，提到跑步机但不适合推广
48,UCZJcp0ORhpp5PHzTUYXmvag,Missy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZJcp0ORhpp5PHzTUYXmvag,-8,badcase,美妆时尚娱乐号，跑步机内容零散且无购买导向
63,UCN7unqtWXb5GYrhEWqXgLHw,ETTENNA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCN7unqtWXb5GYrhEWqXgLHw,-6,badcase,近期内容偏娱乐/观点，与跑步机推广脱节
90,UCmcOuaj-MxHwedmGpmb3Z2w,TurboNerd Gaming,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmcOuaj-MxHwedmGpmb3Z2w,-5,badcase,主内容是游戏，跑步机标签像SEO，不适合投放
95,UC-m-40G3vKvvxzJan9pX9kA,Virtual Running TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-m-40G3vKvvxzJan9pX9kA,-2,badcase,虚拟跑步/景观内容，不是产品导购场景
98,UCSziezVynYPPYdCW-WgAiqw,খবর পডকাস্ট 1M,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSziezVynYPPYdCW-WgAiqw,10,badcase,近期内容转向影视新闻，和跑步机推广不匹配
100,UC9LGi7FRFTxNT7WK6jr6OXw,Virtual Exercise Channel,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9LGi7FRFTxNT7WK6jr6OXw,-2,badcase,虚拟徒步和景观内容为主，不适合跑步机推广
102,UCBOrXR0hEBlmFnjMIihCo1g,Lego Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBOrXR0hEBlmFnjMIihCo1g,13,badcase,家居改造相关，但缺少明确评测购买导向
104,UCq5O2ZfzRQChMdahnpKpGVg,Treadmill TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq5O2ZfzRQChMdahnpKpGVg,-4,badcase,虚拟跑风景为主，缺少产品推广导向
106,UCavZ5Pahj2peCh4jQwuIecg,MrNaveedking,https://cn--xtb.noxinfluencer.com/youtube/channel/UCavZ5Pahj2peCh4jQwuIecg,11,badcase,标签有器材，但近期几乎全是宗教/杂项
108,UCraSRtpbGKl5CsY80XWUoMw,Jnehring Shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCraSRtpbGKl5CsY80XWUoMw,-4,badcase,ASMR/娱乐为主，跑步机仅作道具
111,UCTQ6UrZgj8PbqPxZh7ltv1w,Circitz,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTQ6UrZgj8PbqPxZh7ltv1w,-3,badcase,VR游戏为主，跑步机只是道具
113,UC-CX7VRgaW2wuWTxRhbZYyQ,Wellness for Pets,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-CX7VRgaW2wuWTxRhbZYyQ,-4,badcase,宠物狗内容，不适合人用跑步机推广
118,UCoI0tdjRkoitZnlTc0YNKZg,Brick World Channel,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoI0tdjRkoitZnlTc0YNKZg,-5,badcase,LEGO玩具娱乐，和跑步机卖货不匹配
123,UCBBb0PKkx-fo5hPFziKfMDg,Janina Buckman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBBb0PKkx-fo5hPFziKfMDg,-3,badcase,时尚挑战/娱乐为主，跑步机是道具
126,UCTc2_0hKJWWw0leXmtBQZiQ,Leo Bangladesh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTc2_0hKJWWw0leXmtBQZiQ,10,badcase,娱乐音乐为主，虽有健身标签，但近期内容明显偏离
133,UCjL13BzzL3PgA-kqzVVMkQQ,Aviator’s Garage,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjL13BzzL3PgA-kqzVVMkQQ,5,badcase,汽车号为主，跑步机标签与受众不匹配
137,UCceVRaEv-lS1dwK-FimwbUw,Sharp Ridge Homestead,https://cn--xtb.noxinfluencer.com/youtube/channel/UCceVRaEv-lS1dwK-FimwbUw,10,badcase,家居/草本与癌症内容偏离跑步机推广
138,UCB0HbcbIE4UMYnM_F1GLjqA,Aura Locker,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB0HbcbIE4UMYnM_F1GLjqA,-10,badcase,无跑步机相关标签，近期为娱乐短内容
144,UCGnzI8LNToxx19P2XhhbYoQ,Benjo Romero,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGnzI8LNToxx19P2XhhbYoQ,10,badcase,职业/鞋类内容为主，跑步机受众偏离
145,UCUwOHNWDSmLV1oUIxTk7nzA,The Lazy Generation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUwOHNWDSmLV1oUIxTk7nzA,-15,badcase,喜剧整蛊格式，跑步机只是节目道具
162,UCnvemPiFOBiHaGxnhhDrUvg,The Average Runner,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnvemPiFOBiHaGxnhhDrUvg,-25,badcase,事实短视频号，与跑步机推广场景不符
169,UCEUQ14v1Yw3y4CIPLiw_rVg,Factty Sohel,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEUQ14v1Yw3y4CIPLiw_rVg,-10,badcase,近10条均为科普短视频，缺少跑步机评测、购买或使用语境
