rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,UCmOHWuF8NNKVB4tQwn2-BHA,Ziblacking,https://cn.noxinfluencer.com/youtube/channel/UCmOHWuF8NNKVB4tQwn2-BHA,5,badcase,游戏向频道，vape 词更像混入标签，不适合推广
8,UCRu0zjM8EcIWEms0zbgr1Jg,highoffvlone,https://cn.noxinfluencer.com/youtube/channel/UCRu0zjM8EcIWEms0zbgr1Jg,5,badcase,娱乐+ASMR 为主，vape 只像背景词
20,UCBNNps4x8KsBxFkWuoQAgYA,Bedwars SS,https://cn.noxinfluencer.com/youtube/channel/UCBNNps4x8KsBxFkWuoQAgYA,5,badcase,vape 词混入游戏作弊语境，明显不适合
24,UCfPrnq331Bh6ifA74y-z1YQ,Juggster,https://cn.noxinfluencer.com/youtube/channel/UCfPrnq331Bh6ifA74y-z1YQ,2,badcase,仅有 blinker/hotbox 等弱相关词，相关性低
31,UCNKwA1crOjVMtQo17fq6z_A,That High Couple,https://cn.noxinfluencer.com/youtube/channel/UCNKwA1crOjVMtQo17fq6z_A,0,badcase,仅泛生活/健康标签，和 vape 投放相关性弱
32,UC-232AjfVLFdnMU73vYNUTA,G.P 18,https://cn.noxinfluencer.com/youtube/channel/UC-232AjfVLFdnMU73vYNUTA,5,badcase,有 vape 直击，但 sleep stream/娱乐型态不适合
35,UCyLwb0Val45oDMGLTSqdvMg,edwin flores,https://cn.noxinfluencer.com/youtube/channel/UCyLwb0Val45oDMGLTSqdvMg,0,badcase,泛娱乐/健康，缺少 vape 产品语境
36,UCIqJ0_vo5XxotnFl1Bby_9A,Rebuildable Ryan,https://cn.noxinfluencer.com/youtube/channel/UCIqJ0_vo5XxotnFl1Bby_9A,0,badcase,无有效标签，无法判断与 vape 的相关性
40,UCVMSDJ3j6zVNxPSoecjpWOA,Your Driver,https://cn.noxinfluencer.com/youtube/channel/UCVMSDJ3j6zVNxPSoecjpWOA,0,badcase,泛生活/健康，缺少明确产品推广能力
42,UCQlu5a_3UkYpMrx1Kh5W-Gw,Vape central Wholesale,https://cn.noxinfluencer.com/youtube/channel/UCQlu5a_3UkYpMrx1Kh5W-Gw,0,badcase,无标签且偏 wholesale，缺少创作者内容证据
45,UCfKb7qU4vHrOd_4nhnm4g6A,6Yitr9CbAGWECG6a1qyIx,https://cn.noxinfluencer.com/youtube/channel/UCfKb7qU4vHrOd_4nhnm4g6A,-15,badcase,游戏外挂频道，'vape' 只是误导性词形
46,UCEjrD72V_Yh1qGqTuDEVRUg,DistroMike,https://cn.noxinfluencer.com/youtube/channel/UCEjrD72V_Yh1qGqTuDEVRUg,0,badcase,无标签，信息不足
47,UCH30Y8muOGCQWRLiKa_jXcg,DoReMe vape Bob,https://cn.noxinfluencer.com/youtube/channel/UCH30Y8muOGCQWRLiKa_jXcg,0,badcase,无标签，信息不足
51,UC6i6YK9vqwUK_E6YB4CwVTA,Straight Edge Stoner,https://cn.noxinfluencer.com/youtube/channel/UC6i6YK9vqwUK_E6YB4CwVTA,0,badcase,无 vape 相关标签或视频证据
53,UCkz13RcPS5wl4DA1OdRVM_g,Shila Menninger,https://cn.noxinfluencer.com/youtube/channel/UCkz13RcPS5wl4DA1OdRVM_g,0,badcase,无 vape 相关标签或视频证据
55,UCwXp7xDj0nCUnQ6PiSuwS4g,DISPOSABLEDAD,https://cn.noxinfluencer.com/youtube/channel/UCwXp7xDj0nCUnQ6PiSuwS4g,0,badcase,无 vape 相关标签或视频证据
56,UCU7SOQlaAKQ1acQxDkf8Ybg,Baish LTD,https://cn.noxinfluencer.com/youtube/channel/UCU7SOQlaAKQ1acQxDkf8Ybg,0,badcase,无 vape 相关标签或视频证据
57,UCKBPHrCKIEj3RyYYxTvSwrg,Virginia Robinsons,https://cn.noxinfluencer.com/youtube/channel/UCKBPHrCKIEj3RyYYxTvSwrg,0,badcase,无 vape 相关标签或视频证据
58,UCJ3EdI60BKY-EbGU3hFH4rg,PeReC Fly,https://cn.noxinfluencer.com/youtube/channel/UCJ3EdI60BKY-EbGU3hFH4rg,0,badcase,娱乐 prank 频道，无 vape 证据
61,UCNLak8Xd-tjqH2OvvnTKiEg,Rassal Freemans,https://cn.noxinfluencer.com/youtube/channel/UCNLak8Xd-tjqH2OvvnTKiEg,0,badcase,无 vape 相关标签或视频证据
62,UCdMUa_Fgb8YEgRim1ZubSoQ,World Famous Authentic E-Cigs,https://cn.noxinfluencer.com/youtube/channel/UCdMUa_Fgb8YEgRim1ZubSoQ,0,badcase,无标签和视频证据支撑 vape 推广
64,UCihrhCrJZucjThejJQAKJVA,Big Daddy,https://cn.noxinfluencer.com/youtube/channel/UCihrhCrJZucjThejJQAKJVA,0,badcase,无 vape 相关标签或视频证据
65,UCIwdOf_hxvImohWel0wF7Aw,Woomi Official,https://cn.noxinfluencer.com/youtube/channel/UCIwdOf_hxvImohWel0wF7Aw,0,badcase,无 vape 相关标签或视频证据
70,UCjCeNaX2hnzH2RoHW5upaRA,cigbayOfficial,https://cn.noxinfluencer.com/youtube/channel/UCjCeNaX2hnzH2RoHW5upaRA,0,badcase,无 vape 相关标签或视频证据
71,UCUFNWGSHXbP8_J1ubwthf2w,Joshua Moore,https://cn.noxinfluencer.com/youtube/channel/UCUFNWGSHXbP8_J1ubwthf2w,1,badcase,仅有 smoke 弱相关，无 vape 证据
75,UCwhyCvKE4TkreD_A5ey3Gfw,ALD Group Limited,https://cn.noxinfluencer.com/youtube/channel/UCwhyCvKE4TkreD_A5ey3Gfw,0,badcase,无 vape 相关标签或视频证据
76,UCnHmlqCD3i92erKeq0KRbFw,SPiCYCRiSP,https://cn.noxinfluencer.com/youtube/channel/UCnHmlqCD3i92erKeq0KRbFw,0,badcase,无相关标签或内容证据
79,UCWF0PiUvUi3Jma2oFgaiX2w,VICE TV,https://cn.noxinfluencer.com/youtube/channel/UCWF0PiUvUi3Jma2oFgaiX2w,20,badcase,娱乐媒体为主，vape 只是标签点缀
81,UCV6iJix0OOdDRkgmvqgzYig,HQD Vape,https://cn.noxinfluencer.com/youtube/channel/UCV6iJix0OOdDRkgmvqgzYig,0,badcase,缺少标签和视频证据，信号过弱
82,UCVbVdXJVsUbj6dIubi9dg5Q,Mr.KeenHacker,https://cn.noxinfluencer.com/youtube/channel/UCVbVdXJVsUbj6dIubi9dg5Q,0,badcase,DIY/钓鱼类频道，与 vape 无关
85,UCo7wg51AMdcnMj2slikt1Sw,Addiction Mindset,https://cn.noxinfluencer.com/youtube/channel/UCo7wg51AMdcnMj2slikt1Sw,15,badcase,戒烟内容与 vape 推广方向相反
91,UCmy3kcn1lrfrVswaEnF2aWQ,Abby Haute,https://cn.noxinfluencer.com/youtube/channel/UCmy3kcn1lrfrVswaEnF2aWQ,20,badcase,关系/怀孕内容为主，非 vape 促销场景
94,UCPBx2IdULl-yJ0euIdctWaw,EVzeal_official,https://cn.noxinfluencer.com/youtube/channel/UCPBx2IdULl-yJ0euIdctWaw,10,badcase,vape 但 ASMR 化明显，促销不合适
97,UCKBciQW_1tSRRm8eJb1e5sw,cigvapes,https://cn.noxinfluencer.com/youtube/channel/UCKBciQW_1tSRRm8eJb1e5sw,10,badcase,ASMR 化明显，不适合商品促销
98,UCdvxLGikEkQAB-Qz1qZjlSA,Stoney Vision,https://cn.noxinfluencer.com/youtube/channel/UCdvxLGikEkQAB-Qz1qZjlSA,10,badcase,娱乐/ASMR 为主，非商品推广场景
102,UCqp1WeWDsPrcT75gPsbyIYA,Nehir,https://cn.noxinfluencer.com/youtube/channel/UCqp1WeWDsPrcT75gPsbyIYA,0,badcase,游戏频道里 vape 仅是词面干扰，缺少产品推广语境
108,UCYPIHaI9LlvYohutUtSNHkw,GoofyGarlic,https://cn.noxinfluencer.com/youtube/channel/UCYPIHaI9LlvYohutUtSNHkw,0,badcase,娱乐生活号，缺少 vape 或相关产品推广能力
111,UCgRs44XXb6jTX1Z8G7mj1Dw,Persuit OH,https://cn.noxinfluencer.com/youtube/channel/UCgRs44XXb6jTX1Z8G7mj1Dw,0,badcase,偏游戏娱乐，缺少 vape 相关消费场景
112,UCtXTNU33rAurZyWRksS23Zg,MrHolol,https://cn.noxinfluencer.com/youtube/channel/UCtXTNU33rAurZyWRksS23Zg,7,badcase,仅词面命中 vape，主体是搞笑杂项，不适合推广
115,UCU6Yy6QttlTcwf96aafYHkQ,truthorange,https://cn.noxinfluencer.com/youtube/channel/UCU6Yy6QttlTcwf96aafYHkQ,6,badcase,核心是戒烟戒 vape，不是产品推广受众
116,UC-tyEBLn0gIGm8g9WcGUM_w,Christ-Centered Mental Health,https://cn.noxinfluencer.com/youtube/channel/UC-tyEBLn0gIGm8g9WcGUM_w,5,badcase,心理健康为主，vape 只是泛提及，缺少推广语境
122,UCe8IzqpmK6p-kpeHndvXGuQ,Koi CBD,https://cn.noxinfluencer.com/youtube/channel/UCe8IzqpmK6p-kpeHndvXGuQ,0,badcase,只有 CBD 泛话题，缺少 vape 相关产品证据
125,UCNmV-X6kOkM6cPp0T6Mli-g,ShempTheWolf,https://cn.noxinfluencer.com/youtube/channel/UCNmV-X6kOkM6cPp0T6Mli-g,6,badcase,词面命中但主体是游戏/电子杂项，推广价值低
126,UCP9qFGELDQBB5HjRHFClnXQ,Fashionlush,https://cn.noxinfluencer.com/youtube/channel/UCP9qFGELDQBB5HjRHFClnXQ,0,badcase,美妆穿搭频道，与 vape 推广无关
132,UCppRyIKgopxtSga4118OMaQ,Sabih Ahmed,https://cn.noxinfluencer.com/youtube/channel/UCppRyIKgopxtSga4118OMaQ,0,badcase,健康/时事泛频道，缺少 vape 受众
135,UCZOFCMIDIPgP_AJNPxfJAkw,HCFAlert,https://cn.noxinfluencer.com/youtube/channel/UCZOFCMIDIPgP_AJNPxfJAkw,-15,badcase,游戏频道，vape 词更像游戏语义
137,UCnwOgYdo9rRPZBLnjwJxNLw,Gilito El Rican LVB,https://cn.noxinfluencer.com/youtube/channel/UCnwOgYdo9rRPZBLnjwJxNLw,-10,badcase,以 Fortnite/游戏为主，vape 语义不稳
140,UCp4HYCvS9FZpCLJStXngM9w,pug,https://cn.noxinfluencer.com/youtube/channel/UCp4HYCvS9FZpCLJStXngM9w,-15,badcase,Minecraft/游戏客户端语境，不是电子烟
144,UCiOkLo-uqm543NQv3Zjh03g,ASMR Winkeyy,https://cn.noxinfluencer.com/youtube/channel/UCiOkLo-uqm543NQv3Zjh03g,5,badcase,ASMR/助眠格式与 vape 产品推广强冲突
147,UCmeqRPX25tgQeLgOEhobLsQ,Penny Aspire,https://cn.noxinfluencer.com/youtube/channel/UCmeqRPX25tgQeLgOEhobLsQ,0,badcase,无标签证据，无法判断相关性
148,UCWfeIeGy8jviZTjuvnv7Eqg,High Damion,https://cn.noxinfluencer.com/youtube/channel/UCWfeIeGy8jviZTjuvnv7Eqg,0,badcase,无标签与内容证据
152,UCdY8LF858krS9lfyRZXSonA,FitToks,https://cn.noxinfluencer.com/youtube/channel/UCdY8LF858krS9lfyRZXSonA,5,badcase,游戏频道夹带vape标签，缺少推广转化信号
155,UCU7q6RstqxLcqK_ujM6jH3g,Piston,https://cn.noxinfluencer.com/youtube/channel/UCU7q6RstqxLcqK_ujM6jH3g,5,badcase,游戏向频道，vape仅是孤立标签
156,UCk4Q0_gn0l45VSltBTurkoQ,VtuberBits,https://cn.noxinfluencer.com/youtube/channel/UCk4Q0_gn0l45VSltBTurkoQ,5,badcase,vtuber游戏向，缺少vape推广场景
158,UC_uWEXFSKcXlxhqvzUklEtg,23CUPS,https://cn.noxinfluencer.com/youtube/channel/UC_uWEXFSKcXlxhqvzUklEtg,5,badcase,音乐娱乐频道，vape相关性弱
159,UCWjC3vrOkCcxShOnnUMG77Q,whease,https://cn.noxinfluencer.com/youtube/channel/UCWjC3vrOkCcxShOnnUMG77Q,5,badcase,纯游戏频道，vape标签不构成推广适配
162,UCidLUUbm2cbLPrc0tZknxkg,BlazeFire,https://cn.noxinfluencer.com/youtube/channel/UCidLUUbm2cbLPrc0tZknxkg,5,badcase,Minecraft游戏向，和vape推广目标不匹配
163,UC1TX1OUcxM_BRzUQlKQR3cw,Maraki Tube,https://cn.noxinfluencer.com/youtube/channel/UC1TX1OUcxM_BRzUQlKQR3cw,0,badcase,无vape相关标签，基本无关
167,UCJqEZRuXWAfqbo6TbNCAJAA,MintySoda,https://cn.noxinfluencer.com/youtube/channel/UCJqEZRuXWAfqbo6TbNCAJAA,5,badcase,音乐娱乐频道，vape标签不足以支撑推广
168,UCMaoXZG0ij-t6A0_sw-7W8A,Milden,https://cn.noxinfluencer.com/youtube/channel/UCMaoXZG0ij-t6A0_sw-7W8A,5,badcase,游戏/音乐混合，缺少vape产品信号
173,UC0l9xejG0-jnnlk-Mo2Az2Q,Herbistry420,https://cn.noxinfluencer.com/youtube/channel/UC0l9xejG0-jnnlk-Mo2Az2Q,5,badcase,娱乐笑料频道，和vape推广不匹配
177,UCYDQCtidsYbGATf3b7fmqlw,Phase,https://cn.noxinfluencer.com/youtube/channel/UCYDQCtidsYbGATf3b7fmqlw,14,badcase,游戏频道夹带vape标签，推广意图不清
184,UCbF5uHShbt6Lkkm8sUY82Bg,GizmoGrove,https://cn.noxinfluencer.com/youtube/channel/UCbF5uHShbt6Lkkm8sUY82Bg,2,badcase,仅泛科技/生活方式，缺少vape相关证据
194,UCahpTwmICGZEAFjbs34IlWQ,Gigilovesasmr,https://cn.noxinfluencer.com/youtube/channel/UCahpTwmICGZEAFjbs34IlWQ,8,badcase,ASMR吸入向，格式与产品推广明显错配
198,UCSGy8pSYZEOPbV2S_Yfo8RQ,The Djuan Moore Show,https://cn.noxinfluencer.com/youtube/channel/UCSGy8pSYZEOPbV2S_Yfo8RQ,15,badcase,游戏直播为主，vape标签缺乏支撑
199,UCcM9sE-nrwu3qGzPx4Ai3cA,Let's learn together,https://cn.noxinfluencer.com/youtube/channel/UCcM9sE-nrwu3qGzPx4Ai3cA,16,badcase,随机综合频道，缺少可验证的vape场景
212,UC4b8_jBgYp3NVJeBnVdD0UA,L3G1TDC,https://cn.noxinfluencer.com/youtube/channel/UC4b8_jBgYp3NVJeBnVdD0UA,5,badcase,命中 vape，但动画故事型娱乐为主，明显不适合
233,UCGABnn20eyvCW_msCx_0ZUA,Dan Sears,https://cn.noxinfluencer.com/youtube/channel/UCGABnn20eyvCW_msCx_0ZUA,10,badcase,偏 vape ban/政策讨论，不适合做产品推广
238,UCRPLgL5_AAHwtnP9Qwu8tsw,CBQ Method - Health & Wellness,https://cn.noxinfluencer.com/youtube/channel/UCRPLgL5_AAHwtnP9Qwu8tsw,10,badcase,戒烟/stop smoking 导向，和 vape 推广相冲
242,UCUvw__zQnaI_pcvMy2O0v6g,Ninye,https://cn.noxinfluencer.com/youtube/channel/UCUvw__zQnaI_pcvMy2O0v6g,0,badcase,无 vape 相关标签，纯游戏内容
250,UC4pxfsq8C7Ciwl2XOICD3Yw,Luna,https://cn.noxinfluencer.com/youtube/channel/UC4pxfsq8C7Ciwl2XOICD3Yw,0,badcase,无 vape 相关标签，纯游戏内容
252,UCWljxewHlJE3M7U_6_zFNyA,Awesomeness,https://cn.noxinfluencer.com/youtube/channel/UCWljxewHlJE3M7U_6_zFNyA,-15,badcase,纯娱乐搞笑，和vape推广不匹配
256,UC9AaYXbH5qvbYSccHhiCWZQ,Hunter Borer,https://cn.noxinfluencer.com/youtube/channel/UC9AaYXbH5qvbYSccHhiCWZQ,0,badcase,游戏/睡眠直播，缺少相关证据
259,UCngV1MDKM6WSH7ihiOfa5qg,Freckled Zelda,https://cn.noxinfluencer.com/youtube/channel/UCngV1MDKM6WSH7ihiOfa5qg,-15,badcase,音乐娱乐频道，不适合vape推广
260,UCNzSnsbF_EtHCzIOFUJstBg,Crackheads,https://cn.noxinfluencer.com/youtube/channel/UCNzSnsbF_EtHCzIOFUJstBg,5,badcase,有vape标签但主轴是娱乐综艺
262,UCmv1736fwONJwnqXgKakgmQ,Condemn,https://cn.noxinfluencer.com/youtube/channel/UCmv1736fwONJwnqXgKakgmQ,5,badcase,游戏音乐混合，vape只是点缀
264,UCuNfQHhJVLi1aXeA6rnnETg,CustomGrow420,https://cn.noxinfluencer.com/youtube/channel/UCuNfQHhJVLi1aXeA6rnnETg,0,badcase,泛生活内容，缺少vape相关性
266,UC6aH53EZeMx1q7M7YyDprtA,Yoo Dabba Dabba,https://cn.noxinfluencer.com/youtube/channel/UC6aH53EZeMx1q7M7YyDprtA,5,badcase,喜剧/stoner娱乐，不适合投放
269,UC80DSzgNHWkLtFcka8lGHNw,TS Mobile Mechanic,https://cn.noxinfluencer.com/youtube/channel/UC80DSzgNHWkLtFcka8lGHNw,5,badcase,汽车维修频道，vape关联弱
271,UCEvJa4PqhUgp3opS7z1sAAw,"Dr. Chris, PharmD",https://cn.noxinfluencer.com/youtube/channel/UCEvJa4PqhUgp3opS7z1sAAw,5,badcase,健康教育视角，推广匹配差
272,UCadipHOQVa6oH-JPEOo9_pg,Mrthc,https://cn.noxinfluencer.com/youtube/channel/UCadipHOQVa6oH-JPEOo9_pg,-15,badcase,游戏娱乐为主，缺少相关度
274,UC1MWid_POoYbFAEURKIS4Cw,Who's the Biggest A**Hole?,https://cn.noxinfluencer.com/youtube/channel/UC1MWid_POoYbFAEURKIS4Cw,5,badcase,脱口秀/问答娱乐，相关性弱
275,UCQJChzOjillOSuQMMDoFaDA,jacobfuckingjones,https://cn.noxinfluencer.com/youtube/channel/UCQJChzOjillOSuQMMDoFaDA,0,badcase,标签太少，无法判断为相关
279,UCdznqBbbG4fCpszsqSVxgYg,MLGPRONOSCOPER,https://cn.noxinfluencer.com/youtube/channel/UCdznqBbbG4fCpszsqSVxgYg,5,badcase,Minecraft 作弊/游戏语境里的歧义词，不是消费级 vape 频道
280,UCwntQaFoIyCttnJ1FNwK12Q,McCall Mirabella,https://cn.noxinfluencer.com/youtube/channel/UCwntQaFoIyCttnJ1FNwK12Q,-5,badcase,娱乐时尚向，缺少产品推广场景
287,UCz0GD3nJfU5sPwkmW48KhSQ,CXM-CHENGXIANG,https://cn.noxinfluencer.com/youtube/channel/UCz0GD3nJfU5sPwkmW48KhSQ,10,badcase,偏工业机器/包装语境，非消费级 vape 推广场景
290,UC00MMwDOgYvWBeI9n4jiJLQ,Cewpins,https://cn.noxinfluencer.com/youtube/channel/UC00MMwDOgYvWBeI9n4jiJLQ,-10,badcase,娱乐/故事型频道，与 vape 产品推广不匹配
293,UC9g6AJM1C1pOoaDc7LsuKwQ,SMPLSCK,https://cn.noxinfluencer.com/youtube/channel/UC9g6AJM1C1pOoaDc7LsuKwQ,-5,badcase,泛娱乐生活向，缺少 vape 相关证据
294,UCQJgC72WQy8KmNkWD8IzuUA,CannaCribs,https://cn.noxinfluencer.com/youtube/channel/UCQJgC72WQy8KmNkWD8IzuUA,-5,badcase,养殖/种植类 cannabis 频道，非 vape 消费推广场景
299,UCgBg0aacyJnw4qUnb1FlfEQ,Institute of Human Anatomy,https://cn.noxinfluencer.com/youtube/channel/UCgBg0aacyJnw4qUnb1FlfEQ,0,badcase,健康科普向，但没有 vape 相关产品语境
301,UCGJd8O8Y8BrVsHrKDhUTnlQ,:P,https://cn.noxinfluencer.com/youtube/channel/UCGJd8O8Y8BrVsHrKDhUTnlQ,0,badcase,无vape相关标签，偏Roblox脚本游戏内容
302,UC7_MLSDei7l9Vfbma6e4tJw,MindSquire,https://cn.noxinfluencer.com/youtube/channel/UC7_MLSDei7l9Vfbma6e4tJw,0,badcase,娱乐搞笑且无vape相关标签
308,UCs7QpIY82nij18AlavhaHUw,Seby G,https://cn.noxinfluencer.com/youtube/channel/UCs7QpIY82nij18AlavhaHUw,0,badcase,健康生活类泛标签，缺少vape证据
312,UCDasxS0mPjwX1QKk4E64Tsg,Robert Ellis,https://cn.noxinfluencer.com/youtube/channel/UCDasxS0mPjwX1QKk4E64Tsg,-10,badcase,ASMR格式与实体产品推广明显不匹配
