rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UCSFe7melSR0LRl396D1cuxg,VAPE_RINGGAR_ SMOKE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSFe7melSR0LRl396D1cuxg,0,badcase,以烟圈特效短视频为主，缺少产品评测与购买意图
4,UCymX2Fi1tjyHey4nG5ZNNDA,RR Editx Z,https://cn--xtb.noxinfluencer.com/youtube/channel/UCymX2Fi1tjyHey4nG5ZNNDA,0,badcase,泛娱乐剪辑占比高，近期多为无关内容
19,UCfPrnq331Bh6ifA74y-z1YQ,Juggster,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfPrnq331Bh6ifA74y-z1YQ,0,badcase,以weed/热box娱乐为主，不适合Vape产品推广
31,UCKQl0ljS0FLJIfIe5cK-Z1Q,Clips Asmr,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKQl0ljS0FLJIfIe5cK-Z1Q,12,badcase,ASMR/睡眠取向强，不适合做 vape 产品推广
72,UCgZd5ygXFoQry9KDGlddSBg,RiP Trippers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgZd5ygXFoQry9KDGlddSBg,15,badcase,标签有 vape，但近10条几乎全是无关哲学内容
83,UC7mCp-spW3EwBQHlivmfXDA,Dani Aditya channel,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7mCp-spW3EwBQHlivmfXDA,2,badcase,娱乐/音乐/游戏向为主，vape 只是零散提及
129,UCXWQSBqzYoGd8OngoIIfSNQ,Nate420,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXWQSBqzYoGd8OngoIIfSNQ,10,badcase,仅表面命中，近期几乎无vape内容
138,UCyLwb0Val45oDMGLTSqdvMg,edwin flores,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyLwb0Val45oDMGLTSqdvMg,10,badcase,仅有vape标签，近期内容完全不相关
141,UC-KiQd9mv8Mxlatql5hcoqA,xoZero,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-KiQd9mv8Mxlatql5hcoqA,10,badcase,仅表面命中，近期以高/娱乐为主
142,UCIZDtF1DXJzJgXgBXe9L9Kw,High ASMR Senses,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIZDtF1DXJzJgXgBXe9L9Kw,6,badcase,ASMR导向，明显不适合实体推广
151,UCVRslHedJKDSuq0CcJSLABA,kubaserio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVRslHedJKDSuq0CcJSLABA,0,badcase,有Vape标签但近10条全是娱乐内容，不适合产品投放
152,UCmOHWuF8NNKVB4tQwn2-BHA,Ziblacking,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmOHWuF8NNKVB4tQwn2-BHA,0,badcase,游戏梗频道，vape只是标签点缀，转化价值低
160,UCRFuT4ujedKaoNyABRVcDqQ,Phật Pháp Vi Diệu,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRFuT4ujedKaoNyABRVcDqQ,0,badcase,近期全是佛法故事，和电子烟投放场景不匹配
161,UCS0YEF9kukUUyJHAO81_CJA,BVA UNBOXING SHOW,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS0YEF9kukUUyJHAO81_CJA,20,badcase,ASMR展示为主，偏视觉娱乐，不偏卖货
163,UCpjO8E8STzbhwIVGITYELvw,VeskerOG,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpjO8E8STzbhwIVGITYELvw,0,badcase,主线是游戏/PC内容，vape相关性弱
168,UCRDTCJGLkv-z3ftJr8lQAeQ,Qaqu TV / DJ ESLA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRDTCJGLkv-z3ftJr8lQAeQ,0,badcase,DJ内容占主，电子烟只是附带标签
172,UClXoYHfPFix0fK3wmdJkEgg,TIVI69,https://cn--xtb.noxinfluencer.com/youtube/channel/UClXoYHfPFix0fK3wmdJkEgg,0,badcase,ASMR/开箱导向，偏展示不偏产品转化
173,UCNPr_ArNGKLY74yBstpu2oA,Keyline,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNPr_ArNGKLY74yBstpu2oA,3,badcase,心理/娱乐混合，vape只是零散点缀
178,UCxkj-UMEoT_ck7xRZMGGEyQ,Raindots,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxkj-UMEoT_ck7xRZMGGEyQ,10,badcase,标签有 vape，但主体是游戏作弊，不适合推产品
184,UCZ-WYsgulD32Ndsj8NVPn0Q,Yuletta Yucha,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZ-WYsgulD32Ndsj8NVPn0Q,10,badcase,音乐娱乐为主，vape 只是弱标签，转化差
186,UC5Mhq9EDcR9sNO6p8RVfF3w,Vape bank😮‍💨,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5Mhq9EDcR9sNO6p8RVfF3w,11,badcase,娱乐音乐主导，虽带 vape 词但不适合推广
188,UCFNL01tcJ1T1Htcj9kA3LKw,VBAY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFNL01tcJ1T1Htcj9kA3LKw,13,badcase,娱乐梗图为主，产品标签不足以支撑推广
192,UC5k9V2gLLJeDVlZo_qPwXkQ,Vũ Khanh Filler,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5k9V2gLLJeDVlZo_qPwXkQ,10,badcase,美业频道，vape 标签很弱，定位不匹配
196,UC4pJbMklx2CvZIDSBxGuCJQ,Sabka Review,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4pJbMklx2CvZIDSBxGuCJQ,13,badcase,内容以旅行杂谈为主，vape 只是标签
213,UCsdg8Y-WEtA1vT515U4PbEA,Borabor Mahin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsdg8Y-WEtA1vT515U4PbEA,5,badcase,音乐娱乐为主，vape 只是弱标签
218,UC5GJ47y0W616f9fdQasnXhw,Zumo_Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5GJ47y0W616f9fdQasnXhw,10,badcase,ASMR 占主导，缺少 review/test 证据
222,UCNjGUhZaVZ5PYy477RYNMTQ,SirSmoke,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNjGUhZaVZ5PYy477RYNMTQ,13,badcase,音乐/rap 为主，vape 相关性很弱
239,UCQEOARoJflxgJRl4b9MlO1w,Pumping Lifestyle,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQEOARoJflxgJRl4b9MlO1w,10,badcase,健身播客为主，几乎没有vape推广语境
