rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC-7e9wCYqsP5cqZOHTb749w,Foxy's Domestic Side,https://cn.noxinfluencer.com/youtube/channel/UC-7e9wCYqsP5cqZOHTb749w,0,badcase,仅DIY泛标签，和瑜伽垫关联弱
4,UC--2-CR3wf_H9EHxJsTLR7Q,Purple Unicorns,https://cn.noxinfluencer.com/youtube/channel/UC--2-CR3wf_H9EHxJsTLR7Q,-15,badcase,宠物频道，和人用瑜伽垫目标不一致
14,UCaHcBHMtfsmoIgz9IMGPEsw,Renown Health,https://cn.noxinfluencer.com/youtube/channel/UCaHcBHMtfsmoIgz9IMGPEsw,0,badcase,医疗健康机构，不是瑜伽垫投放场景
17,UCB4ZUDlQGHGQWGWm07kRFHw,Alicia Arol Lives On...,https://cn.noxinfluencer.com/youtube/channel/UCB4ZUDlQGHGQWGWm07kRFHw,0,badcase,仅宠物/生活泛标签，和瑜伽垫不匹配
19,UCLkpRFIMcvIl0W9B4WI1cyw,Opera Bound®,https://cn.noxinfluencer.com/youtube/channel/UCLkpRFIMcvIl0W9B4WI1cyw,0,badcase,无标签无内容证据，无法判断为相关
20,UCHz_Lzky3SW-p2uEwCEQ0Bg,IWMF - International Waldenstrom Foundation,https://cn.noxinfluencer.com/youtube/channel/UCHz_Lzky3SW-p2uEwCEQ0Bg,0,badcase,癌症健康机构，不适合瑜伽垫推广
22,UCIdL3adzhWn6rACtR1qJ79g,Yoloha Yoga,https://cn.noxinfluencer.com/youtube/channel/UCIdL3adzhWn6rACtR1qJ79g,0,badcase,无可用标签与视频证据，相关性不足
23,UC_Igqo9cIs7ItscR2Ujr79Q,Rachel Kavela Yoga,https://cn.noxinfluencer.com/youtube/channel/UC_Igqo9cIs7ItscR2Ujr79Q,0,badcase,无可用标签与视频证据，相关性不足
24,UCL9-ldFspTzzQeAhSpw6Sgg,Healthy Vegan Living,https://cn.noxinfluencer.com/youtube/channel/UCL9-ldFspTzzQeAhSpw6Sgg,0,badcase,烹饪/素食频道，与瑜伽垫不相关
26,UCdztw8FE1ZwoM18nZAvKwtA,Relax Sound Space,https://cn.noxinfluencer.com/youtube/channel/UCdztw8FE1ZwoM18nZAvKwtA,-12,badcase,放松音景/ASMR型频道，与瑜伽垫推广场景不符
31,UCMfwDVAkrXosNu-sThbiy-A,🕵️‍♀️ KitKat’s Korner,https://cn.noxinfluencer.com/youtube/channel/UCMfwDVAkrXosNu-sThbiy-A,0,badcase,缺少与瑜伽垫相关的内容证据
38,UC_jDgxkbtUQV3wYKpl0sTlQ,WILKYS,https://cn.noxinfluencer.com/youtube/channel/UC_jDgxkbtUQV3wYKpl0sTlQ,0,badcase,缺少与瑜伽垫相关的内容证据
42,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,-15,badcase,汽车类标签占主导，与瑜伽垫受众明显冲突
44,UC7hsME4e5EHUcng9mKgNpPQ,The Best ABC,https://cn.noxinfluencer.com/youtube/channel/UC7hsME4e5EHUcng9mKgNpPQ,0,badcase,科技频道，和瑜伽垫受众不匹配
51,UC8Qk1LdniND--45E1VBQXIA,Rob Raffety,https://cn.noxinfluencer.com/youtube/channel/UC8Qk1LdniND--45E1VBQXIA,0,badcase,缺少瑜伽/健身相关信号，无法判断适配
53,UC461Mhj9dQ36QoQES9YTlZg,Everyday Fitness Hacks,https://cn.noxinfluencer.com/youtube/channel/UC461Mhj9dQ36QoQES9YTlZg,0,badcase,无足够标签/视频证据，难判断投放适配
59,UCOjfO9IMMXsyj_qdpu11Ulw,ILONA SELKE,https://cn.noxinfluencer.com/youtube/channel/UCOjfO9IMMXsyj_qdpu11Ulw,0,badcase,无相关标签，缺少投放依据
61,UCh5nQhKtidLii_jaWkj97Nw,THANKS LEE,https://cn.noxinfluencer.com/youtube/channel/UCh5nQhKtidLii_jaWkj97Nw,0,badcase,无相关信号，适配度不足
62,UC4NFfpnkW4TQo6zc_s3IDtQ,Lorena Espinoza Design,https://cn.noxinfluencer.com/youtube/channel/UC4NFfpnkW4TQo6zc_s3IDtQ,0,badcase,设计频道，缺少瑜伽/健身相关
66,UCBcHwcf2TjIn8qEWMmw-Itg,Home Workout Lab,https://cn.noxinfluencer.com/youtube/channel/UCBcHwcf2TjIn8qEWMmw-Itg,0,badcase,仅有名称暗示，缺少可用证据
70,UC0cFU2bYcYKDajv7QQDuGDw,StrangeAI,https://cn.noxinfluencer.com/youtube/channel/UC0cFU2bYcYKDajv7QQDuGDw,0,badcase,新闻/娱乐向，和产品推广不匹配
71,UCJklYyle9sP7bWX_ZXIZ4Ug,Health Info Tips,https://cn.noxinfluencer.com/youtube/channel/UCJklYyle9sP7bWX_ZXIZ4Ug,0,badcase,仅有健康泛标签，证据不足
73,UCS--KJF9azzl-EXiOCIo5lA,Zsrnb,https://cn.noxinfluencer.com/youtube/channel/UCS--KJF9azzl-EXiOCIo5lA,0,badcase,混合泛标签，缺少瑜伽垫相关证据
76,UC6M7PyDyQOxqUzZSzI7OjEg,Angelmay Bisaya-American,https://cn.noxinfluencer.com/youtube/channel/UC6M7PyDyQOxqUzZSzI7OjEg,0,badcase,宠物美食账号，与瑜伽垫推广场景不匹配
77,UCl3MY1-NrULFkKId6JZ4e_g,More Info,https://cn.noxinfluencer.com/youtube/channel/UCl3MY1-NrULFkKId6JZ4e_g,0,badcase,无标签无视频，缺少任何可用相关性证据
83,UCG5MYuczIM2snqQO24hct-A,Trending Style List,https://cn.noxinfluencer.com/youtube/channel/UCG5MYuczIM2snqQO24hct-A,0,badcase,无相关内容证据
84,UC6C1wgXvATY7B2uR53nQZhA,Mad About Cooking At Home,https://cn.noxinfluencer.com/youtube/channel/UC6C1wgXvATY7B2uR53nQZhA,0,badcase,烹饪号，与瑜伽垫无关
85,UCctX2HJpjBqaf5gN5cUvWOw,Odina H. Palmer,https://cn.noxinfluencer.com/youtube/channel/UCctX2HJpjBqaf5gN5cUvWOw,0,badcase,无相关证据
86,UCbtpg_JajxVSxVmywTtbzuQ,Care New England,https://cn.noxinfluencer.com/youtube/channel/UCbtpg_JajxVSxVmywTtbzuQ,2,badcase,医疗账号仅有泛健康，推广场景不合适
87,UCM5lHW0UyvldbxZrDqyeQtA,Rider of The Storm,https://cn.noxinfluencer.com/youtube/channel/UCM5lHW0UyvldbxZrDqyeQtA,0,badcase,无相关证据
88,UCFOU8G9mk4LoxsrAY7gtq3Q,NEW YOGA CITY,https://cn.noxinfluencer.com/youtube/channel/UCFOU8G9mk4LoxsrAY7gtq3Q,-10,badcase,音乐娱乐号，和物理产品推广形式冲突
89,UCaflYQJfj0HoMm8gXPe5XFA,NUBIAN GODDESS ENTERPRISES,https://cn.noxinfluencer.com/youtube/channel/UCaflYQJfj0HoMm8gXPe5XFA,0,badcase,无相关证据
90,UCrBXSpSV7XL-Bgoc0q9u1Qg,OddlyPawfect,https://cn.noxinfluencer.com/youtube/channel/UCrBXSpSV7XL-Bgoc0q9u1Qg,0,badcase,疑似宠物号，和人用瑜伽垫不匹配
93,UCvr3ztKQ11vvfRx7LSrlfsg,Naomi The G,https://cn.noxinfluencer.com/youtube/channel/UCvr3ztKQ11vvfRx7LSrlfsg,0,badcase,无相关证据
98,UCEfW6UynmaCoDF2e_1P27bQ,Caroling Geary,https://cn.noxinfluencer.com/youtube/channel/UCEfW6UynmaCoDF2e_1P27bQ,0,badcase,无相关证据
99,UCLeMXJ-91-z5HpE99wB5CSg,Caldera Films,https://cn.noxinfluencer.com/youtube/channel/UCLeMXJ-91-z5HpE99wB5CSg,0,badcase,影视频道，与瑜伽垫推广无关
100,UCnQc0s4p9x1RWXGlswoaEWA,DaneeyLiving,https://cn.noxinfluencer.com/youtube/channel/UCnQc0s4p9x1RWXGlswoaEWA,0,badcase,生活方式号证据不足，相关性弱
