rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UCWNj13QS-yhWX0FO-lRaWFQ,Daria Zlobinski,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWNj13QS-yhWX0FO-lRaWFQ,-10,badcase,摄影频道，近10条与瑜伽垫无关
10,UC5XjsCw8wYpCrQEheG3iB9A,Yoga小鱼儿,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5XjsCw8wYpCrQEheG3iB9A,-8,badcase,娱乐抽奖型短视频，和瑜伽垫推广不匹配
11,UC2O-Qacbt18uH895P8OWRWw,Rhen Espinosa,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2O-Qacbt18uH895P8OWRWw,-4,badcase,泛健身号，近期内容又多为无关题材
15,UCCcIQ-Jfo4TO_Uf3fXFPYsA,Susann Alicia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCcIQ-Jfo4TO_Uf3fXFPYsA,-23,badcase,主轴是动漫解说/故事娱乐，和瑜伽垫完全错位
16,UCKOuiq0wI_in7LZKzpuIwAw,Vital Running,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKOuiq0wI_in7LZKzpuIwAw,-4,badcase,虽有健身标签，但近期多为梗图/动物内容，偏离太大
24,UCjDpQ1Yf9ra3gXQybcFwt1g,Fitness_creator | Puja Rani,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjDpQ1Yf9ra3gXQybcFwt1g,-7,badcase,标签杂乱且近期大量订阅/口号内容，转化价值低
40,UCTc2_0hKJWWw0leXmtBQZiQ,Leo Bangladesh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTc2_0hKJWWw0leXmtBQZiQ,-5,badcase,娱乐音乐向，近期内容与瑜伽垫推广几乎无关
43,UC--2-CR3wf_H9EHxJsTLR7Q,Purple Unicorns,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--2-CR3wf_H9EHxJsTLR7Q,-5,badcase,宠物内容为主，和人用瑜伽垫受众不匹配
46,UCEbvAnyChNvk4GZGy9L5BYg,lux asmr 💌,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEbvAnyChNvk4GZGy9L5BYg,-5,badcase,命中标签但ASMR助眠向，和产品推广场景冲突
47,UC1zBE1dxmckJDddYyXc4Sqg,DIY BY NIMMI,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1zBE1dxmckJDddYyXc4Sqg,-5,badcase,命中标签但主体是地垫手工制作，和瑜伽垫推广不一致
48,UCPxoXe_7_DLrvX1IoglDNFw,Sonali Gupta Creations,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPxoXe_7_DLrvX1IoglDNFw,-5,badcase,命中标签但主体是地垫/手工垫内容，偏离目标产品
54,UCfcP9hPZU_c2d0Delsd80eg,Home Creativity,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfcP9hPZU_c2d0Delsd80eg,5,badcase,主线是地垫/门垫手工，瑜伽垫标签明显像误标
56,UCdauhHdEihi-aXSJ4CCP7eQ,RATHORE SOLUTION,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdauhHdEihi-aXSJ4CCP7eQ,-5,badcase,内容几乎全是冥想/专注音乐，属于音频放松型，不适合实物推广
57,UCBbk9pmz47kHP8gAlspkaJw,Arushi arts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBbk9pmz47kHP8gAlspkaJw,5,badcase,地垫手工与旧纱丽改造为主，和瑜伽垫推广目标冲突
58,UCh19Vn6r2GFaQxMmcahET6w,Seekho Sab Kuchh (Vlog),https://cn--xtb.noxinfluencer.com/youtube/channel/UCh19Vn6r2GFaQxMmcahET6w,10,badcase,旧衣改造和地垫手工占主导，非瑜伽或运动用品受众
60,UC6xMcrBkXEIb8IG-Oipvk4Q,Rama Chauhan,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6xMcrBkXEIb8IG-Oipvk4Q,5,badcase,门垫和旧布改造内容为主，瑜伽垫标签不可信
63,UCC5KYVJJfsq63Y5SkWEZ-lA,Suryansh ki family,https://cn--xtb.noxinfluencer.com/youtube/channel/UCC5KYVJJfsq63Y5SkWEZ-lA,10,badcase,近期几乎都是旧衣做地垫，和瑜伽垫不相关
64,UCYzl2y_31AO9hlLg6qyVmYw,Incredible things,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYzl2y_31AO9hlLg6qyVmYw,10,badcase,地垫手工与旧布再造为主，不是瑜伽垫推广场景
67,UCw_jFCPjXt0gTjQ3xe2geqg,IRONIC ESPORTS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCw_jFCPjXt0gTjQ3xe2geqg,0,badcase,以音乐/时尚和引流文案为主，不是瑜伽或运动用品频道
68,UCEVAPnWTgAQpVs_omjAKH-A,🧿Meena.j. Gaikwad🧿,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEVAPnWTgAQpVs_omjAKH-A,10,badcase,手工包袋制作为主，近期内容与瑜伽垫无关
69,UCXHrjqPkRcRu-RlqbaIRJ6Q,Namita's Creative,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXHrjqPkRcRu-RlqbaIRJ6Q,11,badcase,以包袋缝制和旧衣改造为主，受众不匹配
80,UC--ZsKpLkCQFGkMREOPgw0A,catty corner,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--ZsKpLkCQFGkMREOPgw0A,-10,badcase,宠物/车内容为主，与瑜伽垫推广无关
82,UC-aTLfk_2Xyi19CCmS70xQA,Mahee Creation Fashion world's,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-aTLfk_2Xyi19CCmS70xQA,-10,badcase,旧衣改造与地垫手作，和瑜伽垫推广不匹配
90,UC7WLRYxefPhmWHN2mquTQWg,Miss kanika rajput77,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7WLRYxefPhmWHN2mquTQWg,-10,badcase,短视频娱乐号，主题与瑜伽垫无关
95,UCAlbe-DQqkdY6zw-_rL9brw,🧿Attractive Corner🧿,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAlbe-DQqkdY6zw-_rL9brw,-10,badcase,旧衣改造/地垫手作，与瑜伽垫推广不匹配
96,UCB4ZUDlQGHGQWGWm07kRFHw,Alicia Arol Lives On...,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB4ZUDlQGHGQWGWm07kRFHw,-10,badcase,宠物与生活碎片内容，和瑜伽垫无关
101,UCEB98ZWC4kaZSIsDG0shSpg,fauji wife Neelam,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEB98ZWC4kaZSIsDG0shSpg,-10,badcase,手工收纳为主，和瑜伽垫推广几乎无关
105,UCILA46ilyvYvVa2KxK32-UA,intro place,https://cn--xtb.noxinfluencer.com/youtube/channel/UCILA46ilyvYvVa2KxK32-UA,-10,badcase,批发杂货和饰品为主，与瑜伽垫不匹配
110,UCKfNyfZu9pZC-p41bLfF3JA,Dan Li,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKfNyfZu9pZC-p41bLfF3JA,-21,badcase,近期几乎都不是相关主题，且频道主业不符
