rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,5740546480,Expressive Lifestyle ✪™️,https://cn--xtb.noxinfluencer.com/instagram/channel/5740546480,0,badcase,无 lifestyle 标签，偏营销/AI 视频编辑
12,243406465,sofia,https://cn--xtb.noxinfluencer.com/instagram/channel/243406465,0,badcase,无标签，无法判断 lifestyle 相关性
13,47191001419,Bushy B,https://cn--xtb.noxinfluencer.com/instagram/channel/47191001419,0,badcase,天文内容，和 lifestyle 推广不相关
36,965790992,Young & Lit,https://cn--xtb.noxinfluencer.com/instagram/channel/965790992,0,badcase,无标签无内容证据，难判断为lifestyle相关
39,42877855646,Silvia Magana Andrade,https://cn--xtb.noxinfluencer.com/instagram/channel/42877855646,0,badcase,无标签无内容证据，相关性不足
42,2988177633,Gabe Fraser,https://cn--xtb.noxinfluencer.com/instagram/channel/2988177633,0,badcase,无标签无内容证据，难判为lifestyle相关
45,298866101,JOSÉ LUIS FOREVER 🫶,https://cn--xtb.noxinfluencer.com/instagram/channel/298866101,0,badcase,无标签无内容证据，相关性不足
57,33188465646,JENSEN ECHOLS,https://cn--xtb.noxinfluencer.com/instagram/channel/33188465646,0,badcase,无标签、无内容证据，无法判断为 lifestyle 相关
61,4934196,AGNEZ MO,https://cn--xtb.noxinfluencer.com/instagram/channel/4934196,0,badcase,偏娱乐音乐内容，缺少 lifestyle 相关证据
68,229732185,christian miller,https://cn--xtb.noxinfluencer.com/instagram/channel/229732185,0,badcase,无标签、无内容证据，相关性不足
69,9540672,Paige Audrey-Marie Hurd🦒,https://cn--xtb.noxinfluencer.com/instagram/channel/9540672,0,badcase,偏娱乐剧情向，缺少 lifestyle 相关内容信号
71,6940842913,jryako,https://cn--xtb.noxinfluencer.com/instagram/channel/6940842913,0,badcase,无标签、无内容证据，无法支持 lifestyle 判断
73,2235692863,Tucker Doss,https://cn--xtb.noxinfluencer.com/instagram/channel/2235692863,0,badcase,车圈/娱乐为主，lifestyle 相关证据不足
80,25271159663,LJ,https://cn--xtb.noxinfluencer.com/instagram/channel/25271159663,0,badcase,无标签，无法判断相关性
84,4534598063,madina_.amir,https://cn--xtb.noxinfluencer.com/instagram/channel/4534598063,0,badcase,无标签，无法判断相关性
86,51851968,OMGRONNY,https://cn--xtb.noxinfluencer.com/instagram/channel/51851968,0,badcase,无标签，无法判断相关性
87,9982404220,Anastasia,https://cn--xtb.noxinfluencer.com/instagram/channel/9982404220,0,badcase,主题是派对装饰，不是生活方式创作者
89,196272013,Kim N Tran ♔,https://cn--xtb.noxinfluencer.com/instagram/channel/196272013,0,badcase,无标签，无法判断相关性
100,11890073458,hannah fields,https://cn--xtb.noxinfluencer.com/instagram/channel/11890073458,0,badcase,无标签，无法判断相关性
101,210429330,El OZO,https://cn--xtb.noxinfluencer.com/instagram/channel/210429330,0,badcase,音乐/智能手机向，缺少 lifestyle 受众信号
102,261616439,Morgan Hanbery,https://cn--xtb.noxinfluencer.com/instagram/channel/261616439,0,badcase,以 food/mukbang 为主，生活方式相关信号弱
105,181108383,Balardin,https://cn--xtb.noxinfluencer.com/instagram/channel/181108383,0,badcase,无标签，缺少判断依据
