rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
29,11714841178,Jonjon,https://cn.noxinfluencer.com/instagram/channel/11714841178,8,badcase,ASMR键盘声向，格式与科技产品推广明显不匹配
40,328970583,Kyle Krueger,https://cn.noxinfluencer.com/instagram/channel/328970583,0,badcase,仅有reels，缺少科技或产品相关信号
64,8321099748,उर्फ़ Mithilesh Patankar,https://cn.noxinfluencer.com/instagram/channel/8321099748,0,badcase,无tech相关信号，主体偏旅行娱乐
65,2976366244,Romina Gafur,https://cn.noxinfluencer.com/instagram/channel/2976366244,0,badcase,仅有ad标签，缺少任何科技受众证据
67,59890032114,Sajjaad Khader,https://cn.noxinfluencer.com/instagram/channel/59890032114,0,badcase,无标签无内容证据，无法判断为科技相关
80,63130650070,No Tech for Apartheid,https://cn.noxinfluencer.com/instagram/channel/63130650070,8,badcase,反科技议题，推广语境明显不合
85,9461172575,Kaitlynd McQueen,https://cn.noxinfluencer.com/instagram/channel/9461172575,0,badcase,无标签信息，无法判断
86,63543733835,Caden Wolf,https://cn.noxinfluencer.com/instagram/channel/63543733835,0,badcase,无标签信息，无法判断
87,58991015329,Voodies Interviews,https://cn.noxinfluencer.com/instagram/channel/58991015329,0,badcase,访谈型且无相关标签，难判断
97,191479034,Vince Do,https://cn.noxinfluencer.com/instagram/channel/191479034,0,badcase,纯生活vlog，无科技相关信号
111,52368665883,Brandon LaChappelle,https://cn.noxinfluencer.com/instagram/channel/52368665883,0,badcase,缺少科技相关证据，无法判断为可投放频道
112,57286832979,Magan | Building in Public,https://cn.noxinfluencer.com/instagram/channel/57286832979,0,badcase,无标签无内容证据，相关性不足
114,58248063818,ryan,https://cn.noxinfluencer.com/instagram/channel/58248063818,0,badcase,缺少任何科技相关信号
122,16616661050,Fireship,https://cn.noxinfluencer.com/instagram/channel/16616661050,0,badcase,无标签无标题证据，相关性不足
127,40930559,Alex Falcone,https://cn.noxinfluencer.com/instagram/channel/40930559,0,badcase,喜剧娱乐向，缺少科技或产品推广信号
132,59404555178,kumora,https://cn.noxinfluencer.com/instagram/channel/59404555178,0,badcase,无标签无内容线索，无法判断为科技相关
135,40904747468,Gohar Khan,https://cn.noxinfluencer.com/instagram/channel/40904747468,0,badcase,教育学习向，和科技产品推广关联弱
141,72864658293,madelyn,https://cn.noxinfluencer.com/instagram/channel/72864658293,0,badcase,无任何可用标签，无法支持科技推广判断
143,13492847809,Wowville,https://cn.noxinfluencer.com/instagram/channel/13492847809,0,badcase,无标签无主题，科技相关性不足
146,42058280528,More Perfect Union,https://cn.noxinfluencer.com/instagram/channel/42058280528,0,badcase,工会议题频道，与科技产品推广无关
148,72290742569,Sam Hlabangana,https://cn.noxinfluencer.com/instagram/channel/72290742569,0,badcase,无标签无内容证据，无法判断相关
154,29682319888,Sidalia Aguilar,https://cn.noxinfluencer.com/instagram/channel/29682319888,0,badcase,无相关标签，难判断与 tech 推广相关
158,62345419500,Alexander Moreo,https://cn.noxinfluencer.com/instagram/channel/62345419500,0,badcase,无标签，缺少任何 tech 相关依据
161,74947501598,Derek She,https://cn.noxinfluencer.com/instagram/channel/74947501598,0,badcase,无标签，缺少任何 tech 相关依据
