rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
12,2289642888,#CreativeOPTIC,https://cn--xtb.noxinfluencer.com/instagram/channel/2289642888,0,badcase,摄影/动物/旅行为主，与科技推广无关
29,49156923090,Stock Dads Trading,https://cn--xtb.noxinfluencer.com/instagram/channel/49156923090,0,badcase,标签全是金融交易，和科技推广不匹配
31,7437399407,Artificial Intelligence News & Technology,https://cn--xtb.noxinfluencer.com/instagram/channel/7437399407,0,badcase,标签偏励志和汽车，科技推广不成立
34,56819441518,1X,https://cn--xtb.noxinfluencer.com/instagram/channel/56819441518,0,badcase,仅有home标签，和科技推广关联很弱
45,7047093844,Drew Fortini,https://cn--xtb.noxinfluencer.com/instagram/channel/7047093844,0,badcase,标签偏摄影生活方式，和科技推广不符
49,50003786001,Dr. Erin Toussaint Jacques,https://cn--xtb.noxinfluencer.com/instagram/channel/50003786001,0,badcase,无标签，无法判断为科技相关频道
51,3067926373,Power Of Wudan Ai,https://cn--xtb.noxinfluencer.com/instagram/channel/3067926373,0,badcase,时尚穿搭号，和科技产品推广无关
54,50041967053,TEDDY,https://cn--xtb.noxinfluencer.com/instagram/channel/50041967053,0,badcase,音效/合拍娱乐号，与科技推广不匹配
56,73929074251,Emily Higgins,https://cn--xtb.noxinfluencer.com/instagram/channel/73929074251,0,badcase,无可用主题信号
57,77135431487,AriaCodez,https://cn--xtb.noxinfluencer.com/instagram/channel/77135431487,0,badcase,缺少科技内容证据，难判断为科技相关
59,32772175231,Jeff Su,https://cn--xtb.noxinfluencer.com/instagram/channel/32772175231,0,badcase,职业求职内容，科技相关性弱
76,70271696541,Icon Becker,https://cn--xtb.noxinfluencer.com/instagram/channel/70271696541,0,badcase,无科技标签与视频证据，相关性不足
77,45301658994,Rob Wynn,https://cn--xtb.noxinfluencer.com/instagram/channel/45301658994,0,badcase,业务/营销向，和科技产品推广关联弱
85,4752479,Jason Pantana | Marketing + AI for Real Estate,https://cn--xtb.noxinfluencer.com/instagram/channel/4752479,0,badcase,地产营销向，科技推广相关性不强
86,1522397519,AI For Business,https://cn--xtb.noxinfluencer.com/instagram/channel/1522397519,0,badcase,标签跑偏到豪车，科技投放不成立
88,3676475417,Cait Kuentzel,https://cn--xtb.noxinfluencer.com/instagram/channel/3676475417,0,badcase,仅生活类标签，缺少科技相关性
90,3285715609,Edward S Honour,https://cn--xtb.noxinfluencer.com/instagram/channel/3285715609,0,badcase,无有效标签与内容证据
92,38774211020,Uncovering Artificial Intelligence (AI),https://cn--xtb.noxinfluencer.com/instagram/channel/38774211020,0,badcase,AI名头被车类/生活方式标签稀释，相关性差
93,3596555661,Ryan Kelly,https://cn--xtb.noxinfluencer.com/instagram/channel/3596555661,0,badcase,宗教/关系类内容，与科技投放无关
